calibration.dark_light_exposure_tolerance	eng/packaging/config/defaults.json:20	5	s	暗场/亮场曝光一致性容差（文档侧只给 K=t_light/t_dark 语义）	未标注	未标注（预检橘色提示级，不阻断）	无来源（负责人裁决未落 SCI 条文）	defaults.json:24 记「负责人裁决 2026-09-16」；docs/science/CALIBRATION.md:19,21 无数值	待确认	normalize 预检与暗场优化建议路径	多侧：仅 defaults.json 一侧有值；lib/ 生产代码对该 leaf 零命中 ⇒ 无实现侧兜底值可比对、亦无消费点；保守方向=取更小容差（更严匹配），影响面限于预检提示
rejection.sigma.upper_sigma	eng/packaging/config/defaults.json:303	3.0	sigma	sigma-clip 高侧阈值（正数）	未标注	>0	有文献（同三元组）	docs/science/REJECTION.md:97	文献值	Phase2 多值堆排异	代码兜底同值 rejection.cpp:1246
rejection.sigma.max_iterations	eng/packaging/config/defaults.json:317	8	iterations	sigma-clip 迭代上限	≥1	≥1	有文献（同三元组）	docs/science/REJECTION.md:97	文献值	Phase2 多值堆排异	同名不同值族：max_iterations 另取 upm.cpp:270/287/2460=100、json_config.h:50=100、stage2_common.h:65 max_irls_iterations=100、ipv_robust_refine.h:48=10、sky_plane.cpp:457=30、:517=1 ⇒ 一个键名承载六套迭代上限，配置键面只覆盖 rejection 的 8
rejection.winsorized.lower_sigma	eng/packaging/config/defaults.json:331	4.0	sigma	winsorized 低侧阈值	未标注	>0	有文献（三元组共用）	docs/science/REJECTION.md:97	文献值	Phase2 排异	与 sigma/averaged 两族取值完全相同（4.0/3.0/8）⇒ 三份登记一份事实；代码 rejection.cpp:1247-1248
rejection.winsorized.upper_sigma	eng/packaging/config/defaults.json:345	3.0	sigma	winsorized 高侧阈值	未标注	>0	有文献（三元组共用）	docs/science/REJECTION.md:97	文献值	Phase2 排异	代码 rejection.cpp:1247
rejection.winsorized.max_iterations	eng/packaging/config/defaults.json:359	8	iterations	winsorized 迭代上限	≥1	≥1	有文献（三元组共用）	docs/science/REJECTION.md:97	文献值	Phase2 排异	代码 rejection.cpp:1248
rejection.averaged_sigma.lower_sigma	eng/packaging/config/defaults.json:373	4.0	sigma	averaged_sigma 低侧阈值	未标注	>0	有文献（三元组共用）	docs/science/REJECTION.md:97	文献值	Phase2 排异	实现侧字段名为 p.averaged（无 _sigma 后缀）rejection.cpp:1249 ⇒ 键名与符号名不一致
rejection.averaged_sigma.upper_sigma	eng/packaging/config/defaults.json:387	3.0	sigma	averaged_sigma 高侧阈值	未标注	>0	有文献（三元组共用）	docs/science/REJECTION.md:97	文献值	Phase2 排异	代码 rejection.cpp:1249
rejection.averaged_sigma.max_iterations	eng/packaging/config/defaults.json:401	8	iterations	averaged_sigma 迭代上限	≥1	≥1	有文献（三元组共用）	docs/science/REJECTION.md:97	文献值	Phase2 排异	代码 rejection.cpp:1250
rejection.linear_fit.lower_sigma	eng/packaging/config/defaults.json:415	5.0	sigma	linear_fit 低侧阈值	未标注	>0	有文献（SCI §5 linear_fit 5.0/3.5/8）	docs/science/REJECTION.md:59	文献值	Phase2 排异	来源叙述冲突：实现注释 rejection.cpp:1251 记「WBPP Light 默认」（Siril 惯例），defaults.json 记 SCI:59 ⇒ 同一数值两个出处，须裁定权威链（本表按 SCI 登记）
rejection.linear_fit.upper_sigma	eng/packaging/config/defaults.json:429	3.5	sigma	linear_fit 高侧阈值	未标注	>0	有文献（SCI §5）	docs/science/REJECTION.md:59；实现注释记 WBPP Light 默认	文献值	Phase2 排异	同 lower_sigma 的来源叙述冲突
rejection.linear_fit.max_iterations	eng/packaging/config/defaults.json:443	8	iterations	linear_fit 迭代上限	≥1	≥1	有文献（SCI §5）	docs/science/REJECTION.md:59	文献值	Phase2 排异	代码 rejection.cpp:1252
rejection.esd.alpha	eng/packaging/config/defaults.json:457	0.05	1（无量纲）	Generalized ESD 显著性水平	0<alpha<1；未标注功效/样本量前提	alpha∈(0,1)	有文献（SCI §5 冻结 0.05）	docs/science/REJECTION.md:60；§9a（alpha=0.05, max_outliers=10）；方法学出处 Iglewicz & Hoaglin 1993（本仓未给 DOI，见备注）	文献值	Phase2 排异 ESD 路径	一手文献未登记（0.05 是惯例显著性水平，非本仓推导）⇒ 补 A 级出处；代码同值 rejection.cpp:1253 p.esd.alpha=0.05 与 :1264 extreme_prior.alpha=0.05（两处不同用途同值）
rejection.esd.max_outliers	eng/packaging/config/defaults.json:471	10	count	单次 ESD 允许剔除的离群数上限	≥1；未标注与堆深度 n 的关系	≥1	有文献（SCI §5）	docs/science/REJECTION.md:60	文献值	Phase2 排异 ESD 路径	10 与典型 n（Phase2 贡献帧数）无关，是绝对数 ⇒ 与 n 相关的界（如 0.1n）更可导出；代码 rejection.cpp:1253
rejection.percentile.low	eng/packaging/config/defaults.json:485	0.2	1（分位比）	小 N 分位拒低侧分位	0<low<1	low∈(0,1)；scale=|median|	有文献（SCI §5 percentile low 0.2/high 0.1）	docs/science/REJECTION.md:59,:166（§9a）	文献值	Phase2 小 N 排异	代码 rejection.cpp:1254 注释记来源为 WBPP Light ⇒ 同 linear_fit 的来源叙述冲突
rejection.percentile.high	eng/packaging/config/defaults.json:499	0.1	1（分位比）	小 N 分位拒高侧分位	0<high<1	high∈(0,1)	有文献（SCI §5）	docs/science/REJECTION.md:59,:166	文献值	Phase2 小 N 排异	代码 rejection.cpp:1254（不对称 0.2/0.1 与天光正偏预期一致，但文档未说明不对称依据）
rejection.minmax.min_kept	eng/packaging/config/defaults.json:513	4	count	极值拒保留下限	≥1；与 0.6·n 小 N 判据配套	≥1	有文献（SCI §5 minmax 1/1/4）	docs/science/REJECTION.md:60,:166（§9a min_kept=4）	文献值	Phase2 极值拒	代码 rejection.cpp:1258 p.minmax.min_kept=4 且同处 reject_low_count=1/reject_high_count=1 未进 defaults.json ⇒ 同一方法的三参数只登记一个，其余两个仅存在于代码
rejection.large_scale.enabled	eng/packaging/config/defaults.json:527	false	bool	空间邻域仅 large_scale 结构半径（pixel 域）默认关闭	不适用（开关）	{0,1}	有文献（SCI §5 默认关闭）	docs/science/REJECTION.md:61,:126,:24	文献值	Phase2 空间邻域排异	代码 rejection.cpp:1260 enabled=0；同结构的 min_structure_pixels=8、low/high_grow_radius_pixels=2 三参数只在代码里，defaults.json 未登记 ⇒ 登记面缺口
