rejection.linear_fit.max_iterations	eng/packaging/config/defaults.json:443	8	iterations	linear_fit 迭代上限	≥1	≥1	有文献（SCI §5 linear_fit 5.0/3.5/8）	docs/science/REJECTION.md:59	文献值	Phase2 排异	代码兜底同值 rejection.cpp:1252
photometry.min_reference_stars	eng/packaging/config/defaults.json:597	3	count	|r_consistent|≥3 才进 IRLS，否则 NO_DATA	≥1；未标注参数可辨识性推导	≥1（3 参数模型的下限是 3，但未写推导）	可公式导出（≥ 模型自由参数数）	docs/science/PHOTOMETRY.md:44	公式导出	测光定标退化保护	代码同值字面量：star_matcher.cpp:518 `if (r_consistent.size() < 3)` 与 :519 日志串「< 3」⇒ 值写在两处（判据+文案），改一处即不一致；另 spatial_gain 面另有 min_stars_order1=50（spatial_gain.h:85、frame_photometry_fit.h:76）未进 defaults.json ⇒ 同为"最少星数"语义两套值
photometry.min_inlier_stars	eng/packaging/config/defaults.json:611	2	count	|r_inliers|≥2 才估计 sigma_residual，否则 0	≥1	≥1	有文献（SCI :44）	docs/science/PHOTOMETRY.md:44	文献值	测光 sigma_residual 估计	2 是"能算 MAD"的下限，但 MAD 在 n=2 时无统计意义 ⇒ 属可公式导出（下限应随稳健尺度估计的自由度提高），文档未给推导
precision.default	eng/packaging/config/defaults.json:625	fp64	枚举 id	计算精度模式标识 {fp32, fp64}	不适用（枚举）；FP32 仅显式等价路径（SparseEqualsDense 1e-12 门）	{fp32, fp64}	有文献（SCI 默认 FP64）	docs/science/SCIENCE_SCOPE.md:56	文献值	全链路精度口径	ASTROCS_DESIGN.md §3.3 的 JSON 示例写 fp32（示例取值与默认打架，defaults.json:635 note 已登记）；实现侧不做静默默认：module_adapters.cpp:7507-7520 缺 precision_mode 即 REJECT（B2-A12），CLI 模板固定 precision_mode=1 ⇒ 该键实际由"必须显式"承载，defaults.json 的默认值不进入运行路径（消费点为 0）
upm.k_corr	eng/packaging/config/defaults.json:639	1.4	1（无量纲）	控制点方差相关放大因子：control_variance = k_corr·(π/2)·σ_bg²/N_retained	未标注；SCI 记保守取整 1.4，MC 实测 ≈1.3883	1 ≤ k_corr	需实验标定	docs/science/PHASE2_UPM.md:24,:124（改默认属不可接受变化）；:116 保守取整；:131/:169 MC k_corr≈1.3883（control_median_mc_test 未注册/MISSING，不可复跑）	实验标定	Phase2 UPM 控制点方差	**支撑实验不可复跑**（defaults.json:649 自证 MISSING）⇒ 1.4 的标定证据链断裂；代码兜底同值三处：lib/algorithms/coverage/src/sky_plane.cpp:233/:254、include/astro/phase2/sampler.h:55 注释；另lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.h:377 同名 k_corr = 0.0（同名不同族，未进配置键面）
hips.tile_width	eng/packaging/config/defaults.json:653	512	px	HiPS tile 边长 W；leaf_order = tile_order + 9（512=2⁹）	整数且必须 2 的幂	{2 的幂}，实现侧只接受 512	有文献（SCI 默认 512=2⁹）	docs/science/PHASE3_HIPS_TO_FITS.md:41,:130,:63	文献值	HiPS 读写与规划	多侧硬编码同值：lib/algorithms/coverage/hips_properties.h:25 kHipsTileWidth=512 且 :120-121 对非 512 直接 fail（"hips_tile_width must be 512"）、lib/include/astrocs/core/plan_estimator.h:42 kHipsTileWidthPx=512、aio_hips_reader/writer 多处 512、v6_hips_manifest.h:35 tile_width=512 ⇒ 512 事实上是格式约束而非默认值，但登记成"默认"（语义错档）；leaf_order=tile_order+9 可由 log2(512) 导出
drizzle.pixfrac	eng/packaging/config/defaults.json:667	0.8	1（无量纲）	drop 投影足迹收缩边长比（drop 边长 = pixfrac × 像素边长）	未标注（通量守恒与 pixfrac 无关，由核面积归一保证）	0 < pixfrac ≤ 1（非法值显式 NO_DATA，不静默夹逼）	有文献（负责人裁决 0.8 + Fruchter & Hook 2002 §7.2 核归一）	docs/science/DRIZZLE.md §4/§7；docs/contracts/DATA_SEMANTICS.md §31.1（FZ-COND-FLUX-CONSERV）；Fruchter & Hook 2002（ADS 2002PASP..114..157F，本仓未登记 DOI）	文献值	Phase1 drizzle 累加	**四侧不一致（P0 母题）**：代码兜底 lib/algorithms/drizzle/src/module_entry.cpp:355 缺键取 1.0；结构体默认 lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:27 = 1.0、reverse_drizzle.h:39 = 1.0、v6_spherical_overlap.h:35 = 1.0、integration/v6_phase1/include/astrocs/v6/phase1_product.h:130 = 1.0、aio/include/hiss_format.h:53/:297 = 1.0、aio/v6/include/astro/aio/v6_provenance.h:48 = 1.0；管线侧 lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:67 = 0.8；coverage 侧 lib/algorithms/coverage/src/sampler.cpp:81 与 include/astro/phase2/sampler.h:53 = 0.8、integration/v6/src/phase2_integrate.cpp:459 = 0.8；出厂模板 eng/packaging/config/templates/normalize.phase_config.json:11,22 = 0.8；CLI 生成骨架 lib/infrastructure/cli/session_commands.h:181 = **1.0**；合同 eng/contracts/schemas/phase_config_normalize.schema.json:468-472 不声明默认且描述仍写"defaults.json 的 drizzle.pixfrac 为 pending_authority"（已过时）⇒ 同一命令按是否显式给键得到不同结果
sparse_snr.density	eng/packaging/config/defaults.json:681	null	点/度²	启用稀疏层时的控制点密度（按面积密度的表述）	不适用（无值）	未定	无来源（GAP-024 显式挂起）	docs/plugins/algorithms_phase1/07_noise_snr.md:112-113 默认列为「——」；ASTROCS_DESIGN.md §3.3 点名该字段；pending_task=SCI-RES-01/R-001	待确认	Phase1 稀疏 SNR 层	按裁决以 pending_authority 占位、禁止编造（合规样例）；**风险**：与 sparse_snr.spacing_px 是同一物理量的两种单位表述（点/度² vs px），若两侧同时被消费会互相矛盾；保守方向=只保留 spacing_px 一侧
sparse_snr.spacing_px	eng/packaging/config/defaults.json:692	64	px	稀疏层控制点间隔 Δ	≥1 整数；理由写 Δ/ℓ≈1.1-1.6（ℓ=40.4-57.9 px 实测相关长度）	≥1	需实验标定（ℓ 由实验给出）+ 负责人裁决	docs/science/NOISE_MODEL.md / GAP_AUDIT §9.45（负责人 2026-09-19「64 可以了」）；ℓ 区间见 实验/absolute-snr；64 = hips.tile_width/8	实验标定	Phase1 稀疏 SNR 层	导出式已写出但为**派生式**：64 = 512/8（依赖 hips.tile_width）⇒ 若 tile 宽变更须联动，现为两处独立字面量；键名不一致：schema 侧为 sparse_snr_spacing_px（eng/contracts/schemas/phase_config_normalize.schema.json /$defs/sparse_snr_spacing_px default=64, minimum=1），defaults.json 侧为 sparse_snr.spacing_px ⇒ 两处同值 64 但 leaf 名不同，leaf 名在 lib 生产代码零命中（无消费点证据）
snr.path	eng/packaging/config/defaults.json:703	sparse_reconstruct	枚举 token	Phase2 消费 Phase1 SNR 层的路径 ∈ {dense, sparse_reconstruct, frame_reconstruct}	不适用（枚举）	枚举三值	有文献（负责人裁决 + 插件文档）	docs/plugins/algorithms_phase1/07_noise_snr.md:186；GAP_AUDIT §9.46；值域唯一事实源 eng/contracts/schemas/phase_config_mosaic.schema.json /$defs/mosaic_config/properties/snr_path	文献值	Phase2 SNR 重建	多侧同值：出厂模板 eng/packaging/config/templates/mosaic.phase_config.json:7 = sparse_reconstruct、CLI 骨架 lib/infrastructure/cli/session_commands.h:230 = sparse_reconstruct；但 mosaic schema 的 snr_path **只给 enum 不给 default** ⇒ "默认"实际无 schema 承载；CLI 侧另自证生产科学消费点未落地（eng/ci/ledgers/dead_config_keys.json 死键台账）⇒ 默认值指向一条未接线的路径
scalar_gate.rd	eng/packaging/config/defaults.json:722	null	unspecified	标量降级鲁棒离散门	不适用（无值无单位）	未定	无来源（GAP-024）	docs/plugins/algorithms_phase1/07_noise_snr.md:61 默认与单位列均为「——」；pending_task=SCI-RES-01/R-002	待确认	Phase1 标量 SNR 门	阈值未定前标量门失败须自动升级空间模型（07_noise_snr.md:76）⇒ 判据不成立时行为由兜底路径决定，属可运行但无判据状态；保守方向=先登记为"门不启用"而非取任意数
scalar_gate.trend	eng/packaging/config/defaults.json:733	null	unspecified	标量降级系统趋势门	不适用（无值无单位）	未定	无来源（GAP-024）	docs/plugins/algorithms_phase1/07_noise_snr.md:62（scalar_gate_trend）；pending_task=SCI-RES-01/R-002	待确认	Phase1 标量 SNR 门	同 rd；两键合起来使"标量降级路径"目前无量化判据
paths.gaia_root	eng/packaging/config/defaults.json:744	gaia	path	Gaia 外部只读星表根目录（相对仓库根解析，可用 local.paths.json 覆盖）	不适用（路径）	存在且可读	有文献（负责人直接指令 2026-09-21）	ASTROCS_DESIGN.md / 负责人指令；覆盖文件 eng/packaging/config/local.paths.json（.gitignore:172 不入库）	文献值	Gaia 客户端与星表引导检测	键 leaf 在 lib 生产代码零命中：运行侧实际键名为 wcs.gaia_data_dir（lib/infrastructure/cli/session_commands.h:188 模板与 lib/infrastructure/scheduler/src/module_adapters.cpp 的 gaia_data_dir）⇒ 同一语义两个键名，paths.gaia_root 无消费点；登记面 config_registry.json:446/:1527 declared_default=gaia（第三侧同值）
cosmetic.bad_column_enabled	eng/packaging/config/defaults.json:755	true	bool	列状缺陷路径开关（false 时逐位不生效）	不适用（开关）	{0,1}	有文献（合同 §10.4）	docs/contracts/DATA_SEMANTICS.md §10.4（:304）	文献值	Phase1 装饰性校正	代码兜底位置 module_adapters.cpp:2782 附近以 p1_bool 读取（默认值同 true）；与点状缺陷开关共用 enabled 名 ⇒ 同名不同义已在 eng/ci/ledgers/config_default_divergences.json 登记
cosmetic.bad_column_sigma	eng/packaging/config/defaults.json:769	5.0	MAD 倍数	列统计量跨列跳变与帧内稳健尺度比对的阈值	>0	>0	有文献（合同判据 + SCI 缺陷形态可分性）	docs/contracts/DATA_SEMANTICS.md §10.4（:304）；docs/science/CALIBRATION.md	文献值	Phase1 列状缺陷检测	代码兜底同值：module_adapters.cpp:2782 `p1_num(c, "bad_column_sigma", 5.0)`；换算因子 1.482602218505602（MAD→σ）在 lib 内 20 个文件 34 处各自写死，无单一来源（见该族行）
cosmetic.bad_column_neighbor_k	eng/packaging/config/defaults.json:783	3	列数	每侧参与列统计量估计的列数	≥1	≥1	有文献（合同邻域宽度）	docs/contracts/DATA_SEMANTICS.md §10.4	文献值	Phase1 列状缺陷检测	代码兜底同值 module_adapters.cpp:2783 `p1_int(c, "bad_column_neighbor_k", 3)`；与修复算子（左右两邻）同构但独立取值 ⇒ 两处应共享一个"邻域宽度"定义
cosmetic.bad_column_sigma_master	eng/packaging/config/defaults.json:797	10.5	MAD 倍数	母版路径（暗/偏置母版）专用列状缺陷阈	>0；<=0 归一到科学帧阈（向后兼容）	>0	需实验标定（生产实现在真实母版上标定）	docs/contracts/DATA_SEMANTICS.md §10.4；标定证据 run/LINDEF-CLOSE-01/REPORT.md（authority_status=measured）	实验标定	Phase1 母版路径	代码兜底见 module_adapters.cpp:2807（p1_num(c,"bad_column_sigma_master", …)）；10.5 是标定曲线读数 ⇒ 标定数据/seed 是否入库需 AUD-205 核对（run/ 不入库 = 证据不可复现风险）
cosmetic.bad_column_variance_kappa	eng/packaging/config/defaults.json:811	2.0	1（无量纲）	修复像素方差 = (Σw²·var)·κ	≥1/Σw²；两邻算术平均 ⇒ Σw²=0.5 ⇒ κ≥2	κ≥2	可公式导出（确定性插值不得声称携带多于一次独立测量）	docs/contracts/DATA_SEMANTICS.md §10.5（:328）；defaults.json:815 给出推导 κ≥1/Σw²=2	公式导出	Phase1 修复像素方差	已写出导出式且取等号 ⇒ 唯一正确值 2.0，硬编码可接受但应由式生成；对照实验数值 0.5502σ²≈Σw²σ² 支持 κ=1 的解释（估计量误差 vs 信息量两种语义）⇒ 语义分歧已在文档内记录，需裁定（交 AUD-203）
cosmetic.bad_column_master_wide_frac_max	eng/packaging/config/defaults.json:825	0.001	1（占帧宽）	母版路径「仅标记不修」列数的声明上界	0<x≤1；超界整类丢弃并记账	(0,1]	需实验标定（实测反号配对事故标定）	docs/contracts/DATA_SEMANTICS.md；run/LINDEF-CLOSE-01/REPORT.md（加守卫前真实母版标记 1192 列）	实验标定	Phase1 母版路径宽列守卫	代码侧另有同形第二键 bad_column_science_wide_frac_max（module_adapters.cpp:2819-2820）**未进 defaults.json** ⇒ 科学帧路径的上界只在代码里，登记面缺口
