param_name,config_file,json_path,type,default_value,parse_function,consumer_stage,consumer_dll,consumer_function,verification,severity,notes
stack.sigma_clip_method,stage2_config.json,stack.sigma_clip_method,string,winsorized,orc_findJsonKey+orc_extractJsonStr,GRADIENT_SPHERE,healpix_stack.dll,hp_stack_gradient_corrected,PASS,,
stack.sigma_clip_sigma,stage2_config.json,stack.sigma_clip_sigma,double,3.0,orc_findJsonKey+orc_extractJsonNum,GRADIENT_SPHERE,healpix_stack.dll,hp_stack_gradient_corrected,PASS,,
stack.sigma_clip_max_iter,stage2_config.json,stack.sigma_clip_max_iter,int,5,orc_findJsonKey+orc_extractJsonNum,GRADIENT_SPHERE,healpix_stack.dll,hp_stack_gradient_corrected,PASS,,
stack.winsorize_low_pct,stage2_config.json,stack.winsorize_low_pct,double,0.05,orc_findJsonKey+orc_extractJsonNum,GRADIENT_SPHERE,healpix_stack.dll,hp_stack_gradient_corrected,PASS,,
stack.winsorize_high_pct,stage2_config.json,stack.winsorize_high_pct,double,0.95,orc_findJsonKey+orc_extractJsonNum,GRADIENT_SPHERE,healpix_stack.dll,hp_stack_gradient_corrected,PASS,,
stack.weighting,stage2_config.json,stack.weighting,string,snr_squared,(未解析),STACK,(DLL内部),(DLL内部固定),WARN,LOW,"DLL固定SNR²加权"
stack.mosaic_fov_ra,stage2_config.json,stack.mosaic_fov_ra,double,0.0,(未解析),STACK,(预留),(预留),WARN,LOW,"预留参数"
stack.mosaic_fov_dec,stage2_config.json,stack.mosaic_fov_dec,double,0.0,(未解析),STACK,(预留),(预留),WARN,LOW,"预留参数"
stack.mosaic_fov_radius_deg,stage2_config.json,stack.mosaic_fov_radius_deg,double,0.0,(未解析),STACK,(预留),(预留),WARN,LOW,"预留参数"
gradient_sphere.gaia_data_dir,stage2_config.json,gradient_sphere.gaia_data_dir,string,,orc_getJsonString,GRADIENT_SPHERE,healpix_stack.dll,hp_stack_gradient_corrected,PASS,MEDIUM,"P03-002修复: 原硬编码nullptr"
gradient_sphere.gradient_max_iter,stage2_config.json,gradient_sphere.gradient_max_iter,int,10,orc_getJsonNum,GRADIENT_SPHERE,healpix_stack.dll,hp_stack_gradient_corrected,PASS,MEDIUM,"P03-002修复: 原硬编码10"
gradient_sphere.gradient_lambda,stage2_config.json,gradient_sphere.gradient_lambda,double,1.0e-4,orc_getJsonNum,GRADIENT_SPHERE,healpix_stack.dll,hp_stack_gradient_corrected,PASS,MEDIUM,"P03-002修复: 原硬编码1e-4"
