优先档,键,键族,机械命中判据,机械细节,S1_defaults.json,S2_出厂模板,S3_CLI骨架,S4_合同schema,S5_代码兜底,S6_登记册,有值侧数
③哨兵不一致,median,kernel_v2、kernels,T3哨兵不一致,T3: 合同 exclusiveMinimum=0 把 0 判为非法，而某侧把 0 当默认/兜底 ⇒ 0 两义,该侧无此项,该侧无此项,该侧无此项,值[exclusiveMinimum=0] @eng/contracts/schemas/cpu_profile.schema.json#/kernels/additionalProperties/median ; eng/contracts/schemas/cpu_profile.schema.json#/kernel_v2/median,"值[0.0 ×2 (value(""k"",d),声明/赋值 k=) @lib/include/astrocs/core/master_unit_guard.h:62; lib/infrastructure/benchmark/backend_host/profile_gen_v2.cpp:703 ## -1.0 ×1 (value(""k"",d)) @lib/infrastructure/benchmark/backend_host/cpu_routing.cpp:336] @3 处 / 2 个位点（前 4: value(""k"",d); 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项,1
③哨兵不一致,nside,execution、nside,T3哨兵不一致,T3: 合同 exclusiveMinimum=0 把 0 判为非法，而某侧把 0 当默认/兜底 ⇒ 0 两义,该侧无此项,该侧无此项,该侧无此项,值[exclusiveMinimum=0] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stage_timeout_sec/nside,"值[0 ×30 (value(""k"",d),初始化列表 k(…),声明/赋值 k=,成员/赋值 leaf.k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:260; lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:108; lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:131; lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.h:28 ## 16 ×2 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:203; lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:209 ## NSIDE_MAX ×2 (声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:722; lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:731 ## 1 ×1 (声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:718 ## 2 ×1 (声明/赋值 k=) @lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:92 ## 32768 ×1 (声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:25 ## 4194304 ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:210 ## NSIDE_MIN ×1 (声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:730] @39 处 / 4 个位点（前 4: value(""k"",d); 初始化列表 k(…); 声明/赋值 k=; 成员/赋值 leaf.k=）；全量见 side5_位点.log","值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[38] field=nside (doc docs/plugins/algorithms_phase1/08_drizzle.md:51, module 08_drizzle, finding=unregistered) [registered_at=-]",1
③哨兵不一致,precision_mode,blocks、drizzle、drizzle_config,T1数值不等|T3哨兵不一致,"T1: S2={1.0} ｜S3={1.0} ｜S5={-1.0,0.0,1.0} ;; T3: 代码侧用 -1 作哨兵，其余侧无 -1 约定（兄弟字段哨兵不同形）",该侧无此项,值[1] @eng/packaging/config/templates/normalize.phase_config.json#blocks.[].drizzle.precision_mode [phase=normalize],值[1] @lib/infrastructure/cli/session_commands.h#config_fields(normalize).drizzle [normalize],"值[enum=[0,1]] @eng/contracts/schemas/phase_config_normalize.schema.json#/drizzle_config/precision_mode","值[0 ×4 (声明/赋值 k=,成员/赋值 config.k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:39; lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:999; lib/infrastructure/aio/include/hiss_format.h:326; lib/infrastructure/pipeline/orchestrator/cpp/src/main.cpp:144 ## 1 ×4 (成员/赋值 config.k=,成员/赋值 pimpl_->metadata.k=) @lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:992; lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:996; lib/infrastructure/aio/src/hiss_writer.cpp:804; lib/infrastructure/aio/src/hiss_writer.cpp:980 ## -1 ×1 (value(""k"",d)) @lib/infrastructure/scheduler/src/module_adapters.cpp:7523 ## -1.0 ×1 (value(""k"",d)) @lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:3548] @10 处 / 4 个位点（前 4: value(""k"",d); 声明/赋值 k=; 成员/赋值 config.k=; 成员/赋值 pimpl_->metadata.k=）；全量见 side5_位点.log",该侧无此项,3
③哨兵不一致,read,execution、profile_v2,T3哨兵不一致,T3: 合同 exclusiveMinimum=0 把 0 判为非法，而某侧把 0 当默认/兜底 ⇒ 0 两义,该侧无此项,该侧无此项,该侧无此项,值[exclusiveMinimum=0] @eng/contracts/schemas/cpu_profile.schema.json#/profile_v2/memory_bandwidth/read ; lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stage_timeout_sec/read,值[0 ×1 (声明/赋值 k=) @lib/infrastructure/scheduler/src/mosaic_window.cpp:153] @1 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log,该侧无此项,1
③哨兵不一致,scale_deg_per_px,blocks、scale_deg_per_px,T1数值不等|T3哨兵不一致,T1: S2={0.001} ｜S3={0.001} ｜S5={0.0} ;; T3: 合同 exclusiveMinimum=0 把 0 判为非法，而某侧把 0 当默认/兜底 ⇒ 0 两义,该侧无此项,值[0.001] @eng/packaging/config/templates/export.phase_config.json#blocks.[].scale_deg_per_px [phase=export],值[0.001] @lib/infrastructure/cli/session_commands.h#config_fields(export).scale_deg_per_px [export],值[exclusiveMinimum=0] @eng/contracts/schemas/phase_config_export.schema.json#/scale_deg_per_px,"值[0.0 ×4 (value(""k"",d),声明/赋值 k=) @lib/include/astrocs/core/plan_estimator.h:101; lib/infrastructure/scheduler/src/module_adapters.cpp:13727; lib/phase3_session/p3_session.cpp:108; lib/phase3_session/p3_session.cpp:152] @4 处 / 2 个位点（前 4: value(""k"",d); 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项,3
③哨兵不一致,snr,execution、snr,T3哨兵不一致,T3: 合同 exclusiveMinimum=0 把 0 判为非法，而某侧把 0 当默认/兜底 ⇒ 0 两义,该侧无此项,该侧无此项,值[该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)] @lib/infrastructure/cli/session_commands.h#config_fields(normalize).snr [normalize],值[exclusiveMinimum=0] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stage_timeout_sec/snr,"值[0.0 ×4 (value(""k"",d),声明/赋值 k=) @lib/algorithms/integration/v6/include/astrocs/v6/weight_chain.h:44; lib/algorithms/photometry/wrapper_phase1/photometer.h:18; lib/algorithms/star_detection/wrapper_phase1/star_detector.h:20; lib/infrastructure/scheduler/src/module_adapters.cpp:9534 ## nullptr ×3 (value(""k"",d),声明/赋值 k=) @lib/infrastructure/aio/healpix_db/archive/legacy/healpix_stack/hp_stack_hiss.cpp:99; lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp:445; lib/infrastructure/cli/session_commands.h:193 ## 0 ×2 (声明/赋值 k=,成员/赋值 dp.k=) @lib/infrastructure/aio/healpix_db/archive/legacy/healpix_stack/hp_stack_api.cpp:128; lib/infrastructure/aio/src/hips/aio_hips_reader.cpp:143 ## ""SNR"" ×1 (具名常量 SNR) @lib/infrastructure/pipeline/orchestrator/cpp/include/resource_monitor.h:45] @10 处 / 4 个位点（前 4: value(""k"",d); 具名常量 SNR; 声明/赋值 k=; 成员/赋值 dp.k=）；全量见 side5_位点.log",该侧无此项,1
③哨兵不一致,storage_form,product_index、storage_form,T3哨兵不一致,"T3: 同一合同节点既声明 default=""archive"" 又把 null/空串列进 enum ⇒ 「未设」与该默认值在值域内同时合法（哨兵与实值两义同节点）@storage_form",该侧无此项,该侧无此项,值[该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)] @lib/infrastructure/cli/session_commands.h#config_fields(normalize).storage_form [normalize],"值[enum=[""archive"",""bare""]] @eng/contracts/schemas/hips_storage_form.schema.json#/product_index/storage_form ||| 值[default=""archive"";enum=[""archive"",""bare"","""",null]] @eng/contracts/schemas/phase_config_normalize.schema.json#/storage_form","值[nullptr ×1 (value(""k"",d)) @lib/infrastructure/cli/session_commands.h:176] @1 处 / 1 个位点（前 4: value(""k"",d)）；全量见 side5_位点.log",该侧无此项,1
③哨兵不一致,target_pixel_area,provenance、units,T3哨兵不一致,T3: 合同 exclusiveMinimum=0 把 0 判为非法，而某侧把 0 当默认/兜底 ⇒ 0 两义,该侧无此项,该侧无此项,该侧无此项,值[exclusiveMinimum=0] @eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/units/target_pixel_area ; eng/contracts/schemas/unified/coverage.schema.json#/units/target_pixel_area ; eng/contracts/schemas/unified/depth_m5.schema.json#/units/target_pixel_area ; eng/contracts/schemas/unified/frame_snr.schema.json#/units/target_pixel_area ; eng/contracts/schemas/unified/ivar.schema.json#/units/target_pixel_area ; eng/contracts/schemas/unified/point_information.schema.json#/units/target_pixel_area ;…,值[1.0 ×2 (成员/赋值 p.units.k=) @lib/algorithms/integration/v6/src/phase2_integrate.cpp:441; lib/phase3_session/p3_v6_export.cpp:267 ## 0.0 ×1 (声明/赋值 k=) @lib/infrastructure/aio/v6/include/astro/aio/v6_provenance.h:28 ## A_pixel ×1 (成员/赋值 p.units.k=) @lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:236] @4 处 / 2 个位点（前 4: 声明/赋值 k=; 成员/赋值 p.units.k=）；全量见 side5_位点.log,该侧无此项,1
③哨兵不一致,w_info,units、w_info,T3哨兵不一致,T3: 合同 exclusiveMinimum=0 把 0 判为非法，而某侧把 0 当默认/兜底 ⇒ 0 两义,该侧无此项,该侧无此项,该侧无此项,值[const=0] @eng/contracts/schemas/product_family_field_constraints.schema.json#/units/bunit_semantics/pixel_area_power_defaults/W_info ||| 值[exclusiveMinimum=0] @eng/contracts/schemas/unified/point_information.schema.json#/W_info,"值[0.0 ×3 (声明/赋值 k=) @lib/algorithms/integration/v6/include/astrocs/v6/phase2_integrate.h:163; lib/algorithms/noise_snr/include/astrocs/v6/information_weight.h:45; lib/algorithms/noise_snr/include/astrocs/v6/information_weight.h:82 ## ""w_psf"" ×2 (value(""k"",d)) @lib/algorithms/photometry/cpp/src/psfsw.cpp:683; lib/algorithms/resample/p3_rsmp_failclosed.cpp:46 ## ""ADU^-2"" ×1 (声明/赋值 k=) @lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:33] @6 处 / 2 个位点（前 4: value(""k"",d); 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项,1
③哨兵不一致,workers,kernel_v1、kernel_v2、kernels,T1数值不等|T3哨兵不一致,"T1: S5={-1.0,0.0,0u,1.0,1u,2.0} ｜S6={由 profile} ;; T3: 代码侧用 -1 作哨兵，其余侧无 -1 约定（兄弟字段哨兵不同形）",该侧无此项,该侧无此项,该侧无此项,值[minimum=1] @eng/contracts/schemas/cpu_profile.schema.json#/kernels/items/workers ; eng/contracts/schemas/cpu_profile.schema.json#/kernels/additionalProperties/workers ; eng/contracts/schemas/cpu_profile.schema.json#/kernel_v1/workers ; eng/contracts/schemas/cpu_profile.schema.json#/kernel_v2/workers,"值[1 ×15 (声明/赋值 k=,成员/赋值 a.k=,成员/赋值 r.k=) @lib/include/astrocs/core/export_stream.h:64; lib/include/astrocs/core/mosaic_window.h:47; lib/include/astrocs/core/normalize_workflow.h:91; lib/infrastructure/benchmark/backend_host/cpu_routing.cpp:183 ## 0 ×7 (value(""k"",d),声明/赋值 k=) @lib/include/astrocs/core/contracts.h:209; lib/include/astrocs/core/runtime.h:75; lib/infrastructure/benchmark/backend_host/bench_harness.h:22; lib/infrastructure/benchmark/backend_host/bench_report.cpp:394 ## -1 ×1 (value(""k"",d)) @lib/infrastructure/benchmark/backend_host/bench_report.cpp:389 ## 0u ×1 (value(""k"",d)) @lib/infrastructure/benchmark/backend_host/worker_advisor.cpp:201 ## 1u ×1 (value(""k"",d)) @lib/infrastructure/benchmark/backend_host/cpu_routing.cpp:176 ## 2 ×1 (成员/赋值 a.k=) @lib/infrastructure/benchmark/backend_host/worker_advisor.cpp:222] @26 处 / 4 个位点（前 4: value(""k"",d); 声明/赋值 k=; 成员/赋值 a.k=; 成员/赋值 r.k=）；全量见 side5_位点.log","值[declared_default=""由 profile""] @eng/packaging/config/config_registry.json#plugin_knobs[76] registered_key=kernel_v2.workers (doc docs/plugins/infrastructure/19_runtime.md:67, module 19_runtime, finding=none) [registered_at=eng/contracts/schemas/cpu_profile.schema.json#/$defs/kernel_v2/properties/workers]",2
③哨兵不一致,write,profile_v2,T3哨兵不一致,T3: 合同 exclusiveMinimum=0 把 0 判为非法，而某侧把 0 当默认/兜底 ⇒ 0 两义,该侧无此项,该侧无此项,该侧无此项,值[exclusiveMinimum=0] @eng/contracts/schemas/cpu_profile.schema.json#/profile_v2/memory_bandwidth/write,值[0 ×2 (声明/赋值 k=) @lib/algorithms/psf/src/dpsf_psf.cpp:1120; lib/algorithms/psf/src/dpsf_psf.cpp:955] @2 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log,该侧无此项,1
⑤仅跨侧异值（含同名异义嫌疑）,block,kernel_v2、kernels,T1数值不等,"T1: S5={0.0,0ull,1.0,1ull,256.0,prefetch,sub_block} ｜S6={由 profile}",该侧无此项,该侧无此项,该侧无此项,值[minimum=1] @eng/contracts/schemas/cpu_profile.schema.json#/kernels/additionalProperties/block ; eng/contracts/schemas/cpu_profile.schema.json#/kernel_v2/block,"值[0 ×5 (value(""k"",d),声明/赋值 k=) @lib/infrastructure/benchmark/backend_host/bench_report.h:64; lib/infrastructure/benchmark/backend_host/profile_gen.h:30; lib/infrastructure/benchmark/backend_host/profile_gen_v2.cpp:702; lib/infrastructure/benchmark/backend_host/worker_advisor.h:120 ## 1 ×3 (声明/赋值 k=,成员/赋值 r.k=) @lib/infrastructure/benchmark/backend_host/cpu_routing.cpp:200; lib/infrastructure/benchmark/backend_host/cpu_routing.h:28; lib/infrastructure/benchmark/backend_host/profile_gen.h:42 ## ""sub_block"" ×2 (成员/赋值 ev.k=) @lib/infrastructure/scheduler/src/export_stream.cpp:291; lib/infrastructure/scheduler/src/export_stream.cpp:450 ## 256 ×2 (具名常量 block,声明/赋值 k=) @lib/infrastructure/acr/backends/cuda/cuda_backend.hpp:115 ## ""prefetch"" ×1 (成员/赋值 ce.k=) @lib/infrastructure/scheduler/src/normalize_workflow.cpp:364 ## 0ull ×1 (value(""k"",d)) @lib/infrastructure/benchmark/backend_host/worker_advisor.cpp:202 ## 1ull ×1 (value(""k"",d)) @lib/infrastructure/benchmark/backend_host/cpu_routing.cpp:177] @15 处 / 6 个位点（前 4: value(""k"",d); 具名常量 block; 声明/赋值 k=; 成员/赋值 ce.k=）；全量见 side5_位点.log","值[declared_default=""由 profile""] @eng/packaging/config/config_registry.json#plugin_knobs[77] registered_key=kernel_v2.block (doc docs/plugins/infrastructure/19_runtime.md:68, module 19_runtime, finding=none) [registered_at=eng/contracts/schemas/cpu_profile.schema.json#/$defs/kernel_v2/properties/block]",2
