task_id,gate,depends_on,scope,required_commit,required_push,checkpoint,status
C4-010,C4,C4-009,Phase3 data contracts (FITS/WCS),yes,yes,C4,NOT_STARTED
C4-011,C4,C4-001,error and exit-code contract,yes,yes,C4,NOT_STARTED
C4-012,C4,C4-008,ARCH/API checkpoint snapshot,yes,yes,C4,NOT_STARTED
C5-001,C5,C4-012,astrocs CLI implementation,yes,yes,C5,NOT_STARTED
C5-002,C5,C5-001,in-process Phase1 wiring,yes,yes,C5,NOT_STARTED
C5-003,C5,C5-001,in-process Phase2 wiring,yes,yes,C5,NOT_STARTED
C5-004,C5,C5-001,in-process Phase3 skeleton,yes,yes,C5,NOT_STARTED
C5-005,C5,C4-005,CPU backend skeleton + baseline backend,yes,yes,C5,NOT_STARTED
C5-006,C5,C5-005,dynamic threading per affinity,yes,yes,C5,NOT_STARTED
C5-007,C5,C1-006,hardcode cleanup: cores/workers/blocksize,yes,yes,C5,NOT_STARTED
C5-008,C5,C1-006,AVX/global arch flag governance,yes,yes,C5,NOT_STARTED
C5-009,C5,C5-004,Phase3 tile geometry core,yes,yes,C5,NOT_STARTED
C5-010,C5,C5-009,Phase3 WCS grid builder,yes,yes,C5,NOT_STARTED
C5-011,C5,C5-010,Phase3 sky-to-plane sampler,yes,yes,C5,NOT_STARTED
C5-012,C5,C5-011,Phase3 boundary/NaN handling,yes,yes,C5,NOT_STARTED
C5-013,C5,C4-010,Phase3 FITS/WCS writer,yes,yes,C5,NOT_STARTED
C5-014,C5,C4-007,resource monitor implementation,yes,yes,C5,NOT_STARTED
C5-015,C5,C4-008,resource gate implementation,yes,yes,C5,NOT_STARTED
C5-016,C5,C3-008,per-kernel benchmark implementation,yes,yes,C5,NOT_STARTED
C5-017,C5,C1-007,upm.cpp race fixes (532/577/625),yes,yes,C5,NOT_STARTED
C5-018,C5,C5-017,race regression suite (TSan clean),yes,yes,C5,NOT_STARTED
C5-019,C5,C5-006,serial-segment audit on recompute paths,yes,yes,C5,NOT_STARTED
C5-020,C5,C5-013,alpha packaging script,yes,yes,C5,NOT_STARTED
C5-021,C5,C5-020,Windows build adaptation for CLI/backend,yes,yes,C5,NOT_STARTED
C5-022,C5,C5-021,CODE checkpoint snapshot,yes,yes,C5,NOT_STARTED
C6-001,C6,C2-008,Phase3 independent synthetic Oracle,yes,yes,C6,NOT_STARTED
C6-002,C6,C6-001,Oracle vs implementation conformance,yes,yes,C6,NOT_STARTED
C6-003,C6,C5-001,CLI contract tests,yes,yes,C6,NOT_STARTED
C6-004,C6,C5-004,in-process invocation tests,yes,yes,C6,NOT_STARTED
C6-005,C6,C5-005,backend dispatch tests,yes,yes,C6,NOT_STARTED
C6-006,C6,C5-006,dynamic threading tests,yes,yes,C6,NOT_STARTED
C6-007,C6,C5-016,per-kernel benchmark tests,yes,yes,C6,NOT_STARTED
C6-008,C6,C5-014,resource monitor accuracy tests,yes,yes,C6,NOT_STARTED
C6-009,C6,C5-015,resource gate trigger tests,yes,yes,C6,NOT_STARTED
C6-010,C6,C5-013,Phase3 end-to-end synthetic test,yes,yes,C6,NOT_STARTED
C6-011,C6,C6-004,Phase1/2/3 full-chain synthetic test,yes,yes,C6,NOT_STARTED
C6-012,C6,C6-002,existing suites regression on current main,yes,yes,C6,NOT_STARTED
C6-013,C6,C5-018,TSan full-gate clean verification,yes,yes,C6,NOT_STARTED
C6-014,C6,C6-011,test checkpoint snapshot,yes,yes,C6,NOT_STARTED
C7-001,C7,C6-014,full target build (build.sh extended),yes,yes,C7,NOT_STARTED
C7-002,C7,C7-001,alpha package build,yes,yes,C7,NOT_STARTED
C7-003,C7,C7-002,alpha SHA256 and manifest registration,yes,yes,C7,NOT_STARTED
C7-004,C7,C7-001,Linux full verification summary,yes,yes,C7,NOT_STARTED
C7-005,C7,C7-003,review capsule generation (latest full files),yes,yes,C7,NOT_STARTED
C7-006,C7,C7-005,C7 checkpoint package,yes,yes,C7,NOT_STARTED
C8-001,C8,C7-006,Windows official build (toolchain),yes,yes,C8,NOT_STARTED
C8-002,C8,C8-001,Windows full test suite,yes,yes,C8,NOT_STARTED
C8-003,C8,C8-001,Windows full per-kernel benchmark,yes,yes,C8,NOT_STARTED
C8-004,C8,C8-002,Windows synthetic verification,yes,yes,C8,NOT_STARTED
C8-005,C8,C8-004,Windows small real-data verification (2R),yes,yes,C8,NOT_STARTED
C8-006,C8,C8-003,Windows resource gate adjudication,yes,yes,C8,NOT_STARTED
C8-007,C8,C8-006,Windows artifact hash registration,yes,yes,C8,NOT_STARTED
C8-008,C8,C8-007,C8 checkpoint package,yes,yes,C8,NOT_STARTED
C9-001,C9,C8-008,"Galaxy Center 32R (current candidate, once)",yes,yes,C9,NOT_STARTED
C9-002,C9,C9-001,32R resource gate adjudication,yes,yes,C9,NOT_STARTED
C9-003,C9,C9-002,release review package assembly,yes,yes,C9,NOT_STARTED
C9-004,C9,C9-003,final state freeze and ledger closure,yes,yes,C9,NOT_STARTED
C9-005,C9,C9-004,emit AWAITING_EXTERNAL_RELEASE_REVIEW,yes,yes,C9,NOT_STARTED
