task_id,wave,owner,mode,depends_on,goal,allowed_paths,acceptance_command,timeout_s,heavy,gate,status
V8-CI-007,CI,SA-CI-32,write,V8-CI-005|V8-CI-006,Lock actions and install hosted Linux Windows workflows,.github/workflows;ci/actions.lock.json;ci,python3 ci/validate_workflows.py --strict,600,false,G-CI,NOT_STARTED
V8-CI-008,CI,SA-CI-32,write,V8-CI-007,Implement Fatduck selector restricted job and publish policy,.github/workflows;ci;docs/operations,python3 ci/validate_fatduck_workflow.py --strict,900,false,G-CI,NOT_STARTED
V8-CI-009,CI,SA-CI-32,write,V8-CI-005|V8-CI-006|V8-CI-008,Add CI negative tests against false PASS and data leakage,ci/tests;tests/ci,python3 -m unittest discover -s ci/tests -p test_*.py,900,false,G-CI,NOT_STARTED
V8-CI-011,CI,FG-000,read,V8-CI-009,Configure and verify public repository Actions and artifact policies,GitHub settings;evidence/github,python3 ci/verify_repo_settings.py --strict,600,false,G-CI,NOT_STARTED
V8-CI-010,CI,FG-000,read,V8-CI-011|V81-ADOPT-003|V81-ADOPT-005|V81-ADOPT-006,Verify latest main SHA has hosted Linux and Windows PASS,GitHub;evidence/github,python3 ci/verify_remote_run.py --sha HEAD --workflows linux-ci windows-ci,7200,false,G-CI,NOT_STARTED
V8-CI-012,CI,FG-000,read,V8-CI-010,Run one hosted Linux deep CI and freeze measured quality baselines,GitHub;evidence/github;ci,python3 ci/verify_remote_run.py --sha HEAD --workflows linux-ci --profile linux-deep,21600,true,G-CI,NOT_STARTED
V8-CIQA-001,CIQA,SA-CIQ-33,read,V8-CI-012,Independently attack CI and Fatduck isolation,evidence/ciqa,python3 ci/verify_ciqa_report.py evidence/ciqa/CIQA_REPORT.json,1800,false,G-CI,NOT_STARTED
V8-RT-001,FIX,SA-ARCH-03,write,V8-CIQA-001,Generate actual production operation artifact and call graph,lib;cli;tools/graph;docs/architecture;tests,python3 ci/run.py --profile fast --focus V8-RT-001,1800,false,G-FIX,NOT_STARTED
V8-RT-002,FIX,SA-ARCH-03,write,V8-RT-001,Enforce one Phase2 IR node one real operation and artifact edge,lib/core;lib/phase2;cli;tests;docs,python3 ci/run.py --profile linux-main --focus V8-RT-002,3600,true,G-FIX,NOT_STARTED
V8-P2-001,FIX,SA-P2-12,write,V8-RT-002,Inventory every Phase2 heavy loop and parallel axis,lib/phase2;docs/architecture;tests;ci,python3 ci/run.py --profile fast --focus V8-P2-001,1200,false,G-FIX,NOT_STARTED
V8-P2-002,FIX,SA-P2-12,write,V8-P2-001|V8-MON-001,Parallelize Phase2 coverage sampler UPM rejection integration,lib/phase2;tests;docs,python3 ci/run.py --profile linux-main --focus V8-P2-002,7200,true,G-FIX,NOT_STARTED
V8-CPU-001,FIX,SA-CPU-06,write,V8-CI-003,Remove hardcoded workers and centralize effective thread budget,lib/core;lib/runtime;cli;tests;docs,python3 ci/run.py --profile linux-main --focus V8-CPU-001,3600,true,G-FIX,NOT_STARTED
V8-CPU-002,FIX,SA-CPU-06,write,V8-CPU-001,Implement generic AVX2 AVX512 correctness benchmark and profile,lib;cli;tests;docs;ci,python3 ci/run.py --profile linux-main --focus V8-CPU-002,5400,true,G-FIX,NOT_STARTED
V8-CPU-003,FIX,SA-CPU-06,write,V8-CPU-002,Route actual provider DLL by valid profile and trace real kernel,lib;cli;tests;docs,python3 ci/run.py --profile linux-main --focus V8-CPU-003,5400,true,G-FIX,NOT_STARTED
V8-MON-001,FIX,SA-CPU-06,write,V8-CI-003,Replace declared workers with observed thread and resource samples,cli;lib/runtime;tools/monitoring;tests;docs,python3 ci/run.py --profile linux-main --focus V8-MON-001,3600,true,G-FIX,NOT_STARTED
V8-MON-002,FIX,SA-CPU-06,write,V8-MON-001|V8-P2-002|V8-CPU-003,Enforce compute interval utilization leak and progress gates,cli;lib/runtime;tools/monitoring;tests;docs;ci,python3 ci/run.py --profile linux-main --focus V8-MON-002,5400,true,G-FIX,NOT_STARTED
V8-SCI-001,FIX,SA-DOC-05,write,V8-CI-005,Complete per-algorithm synthetic Oracle and trace matrix,docs/science;docs/algorithms;tests/science;traceability;ci,python3 ci/run.py --profile linux-main --focus V8-SCI-001,5400,true,G-FIX,NOT_STARTED
V8-DOC-001,FIX,SA-DOC-05,write,V8-RT-001|V8-SCI-001,Generate current module API ABI doc graph and remove stale active versions,docs;tools/quality;configs;README.md,python3 ci/run.py --profile fast --focus V8-DOC-001,1800,false,G-FIX,NOT_STARTED
V8-RES-001,RESUME,FG-000,read,V8-MON-002|V8-DOC-001,Dispatch and close all alpha-release-scope V7.1 atomic tasks from reconstructed state,evidence;baseline,python3 ci/verify_resumed_ledger.py --state evidence/TASK_STATE.json --release-scope alpha-0.11.0,600,false,G-FIX,NOT_STARTED
V8-AUD-001,AUD,SA-AUD-99,read,V8-RES-001,Audit architecture science docs code tests and CI by sampling,evidence/audit,python3 ci/verify_audit_report.py evidence/audit/INTERIM_AUDIT.json,1800,false,G-FIX,NOT_STARTED
V8-FAT-001,FAT,SA-FAT-90,read,V8-CI-008,Install low privilege Fatduck runner and locked local harness,D:\AstroCSRunner,python3 ci/verify_fatduck_probe.py evidence/fatduck/FATDUCK_PROBE.json,1800,false,G-FAT,NOT_STARTED
V8-FAT-002,FAT,SA-FAT-90,read,V8-AUD-001|V8-FAT-001,Run latest candidate against local smoke and 32R data,D:\AstroCSRunner,python3 ci/verify_fatduck_final.py evidence/fatduck/FATDUCK_FINAL_SUMMARY.json,82800,true,G-FAT,NOT_STARTED
V8-FAT-003,FAT,SA-CIQ-33,read,V8-FAT-002,Verify public output whitelist and Owner review notice,evidence/fatduck;GitHub,python3 ci/verify_publish_bundle.py --strict,1200,false,G-FAT,NOT_STARTED
V8-AUD-002,RELEASE,SA-AUD-99,read,V8-FAT-003,Produce independent alpha release decision package,evidence;docs;source,python3 ci/verify_release_package.py --strict,3600,false,G-REL,NOT_STARTED
