class	path	type	tracked	bytes	files	dirs	mtime	sha256	git_last	decision	basis
A	astrocs_run_37bc24d27490.json	FILE	0	594	1	0	2026-09-12 18:49:33	0c4bea311a2c2f30a3067df7643d37e43d7ce969c7d0b4d8296e82a8e2767ae5	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_37e2e0b1a467.json	FILE	0	600	1	0	2026-09-12 18:52:20	bf8be805d6503187307b13f093801ccd6d1dd7c5da2d347d3d3fb04e072f1487	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_37e30359908d.json	FILE	0	610	1	0	2026-09-12 18:52:20	d70ffcdfc94c4cee57128e3313f0637a9bc31cfc779823761e6e7a2df69ab71c	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_37e3658244f9.json	FILE	0	595	1	0	2026-09-12 18:52:22	b45f0b2763c5a37a4fb52ff6830e25536be8b3839e34abae379ca9799c4fa312	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_747dd4685289.json	FILE	0	750	1	0	2026-09-13 13:22:56	e8b389bd68dd3a20ce6f1460a9ff921b530579d8b17a2e520905f7c68cccfb6d	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7710c5d75718.json	FILE	0	612	1	0	2026-09-13 14:10:06	34f263f09d1c4f498ba4bcfa4dcad19a316dd9102b67a530f12c3edb0b480c80	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7727be85ca3b.json	FILE	0	600	1	0	2026-09-13 14:11:45	54e61ca97072c58720aa51a64a32988271fb1f54c2897199397fa5f78adec62a	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_773fc5abbdb2.json	FILE	0	616	1	0	2026-09-13 14:13:28	b4362ead22d03c06739d96e18783db3a479a099dd3519d7eeb744b140ca10a8b	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7764cfc42284.json	FILE	0	1059	1	0	2026-09-13 14:16:07	c667aec1e44050483eb8af3be71046feec8bcbc106d83c0f1aa89b7e98f74cd6	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7764edd68939.json	FILE	0	632	1	0	2026-09-13 14:16:07	3616a374cf3f51448328c815dbb1bc21586a7c0f53080fa95278e30225157977	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_776551ed3162.json	FILE	0	617	1	0	2026-09-13 14:16:09	acbccec57f0bf042f11509649477eb829dc2cfc3cfe41dcc9290014d9f21f652	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7775fc748ba0.json	FILE	0	623	1	0	2026-09-13 14:17:21	1129229b9ab122e0d58d3b7e0e8785f7737d2cae45959a8d2733c3bd758885af	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_777ed0a3fc79.json	FILE	0	612	1	0	2026-09-13 14:17:59	96c75e07a9b211f0e44e2e1c8f6e41e20fe5cc86fb6b77d880ac8239c190d3cf	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_778a3f855cbc.json	FILE	0	612	1	0	2026-09-13 14:18:48	5a4997713ec214b3208ccf6e5ddac04744407b445397f614b41b49eaa91a68ea	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_77aa2e202ef7.json	FILE	0	616	1	0	2026-09-13 14:21:05	7578220b6f4d9aa2035d43980c9af0aef8569487a541f6c9ce6818afac754cb1	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_77cf2b3ad159.json	FILE	0	622	1	0	2026-09-13 14:23:44	1b913cf2f13e1363a38dce992a9650d2fb15a47ad892d9e9c6ae1a0cf25d9f10	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_77cf4df6054b.json	FILE	0	632	1	0	2026-09-13 14:23:44	88889942791dad051d5c2204ccb76b92804289b72f916c2b712ae74bebfbc2eb	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_77cfb00d72f5.json	FILE	0	617	1	0	2026-09-13 14:23:46	ffc1dce92e0eff9c15535ce9dea34399f7f4689c28b602c28855c6ba5bfbab7c	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_77e065d9a558.json	FILE	0	623	1	0	2026-09-13 14:24:58	dd066d883fb2398fa96b97327cf7ae380f6a3edcf6036535092557bdd981b2c5	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_77e9148413a2.json	FILE	0	612	1	0	2026-09-13 14:25:35	5e6131d71928d043ae46e332d66a56e963a1c5f5a9b7823e1d9324717de68733	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_77f43b9efd54.json	FILE	0	612	1	0	2026-09-13 14:26:23	fc1714904e88d824bfbf123998d6199d31b440ae78e0bffa50e5f1a39ffe65b2	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_78ca3c837398.json	FILE	0	683	1	0	2026-09-13 14:41:42	3b8c120d5bf275fcb50d9d4a1418941e03fe6b62ba9e1fb2d2ff5e56cad35e8c	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_78ca5b10633d.json	FILE	0	632	1	0	2026-09-13 14:41:43	e1ec0a1af74b75fcf69e73ce1d55de4ed5631d97678cc86d72a8c70daad38c14	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7a0e52cce96d.json	FILE	0	683	1	0	2026-09-13 15:04:54	33b295e2491204d69908ae6d9e66b5beb4d4eeef93af10a6c3d0c3b080099a01	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7a0e716c3e34.json	FILE	0	632	1	0	2026-09-13 15:04:55	25d782f6c5e484b111b0bf32370a282c7b8474610c12e943b62248cc881d4a24	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7aa043edacca.json	FILE	0	683	1	0	2026-09-13 15:15:21	d6a32721f5939f0a444ebd2ba03599b3ea22063e7087648060c780100d52e875	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7aa06280a22e.json	FILE	0	632	1	0	2026-09-13 15:15:21	3e8a7569b2939647661c13e195fad138400c383ad668f38caf5b10e7d59f08fa	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7b9b6d815bea.json	FILE	0	683	1	0	2026-09-13 15:33:20	3502637e6c736eab2d68b9eb6e6543266aed9bc282f1ee865f7dc6aeb8950c5e	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7b9b8c00f246.json	FILE	0	632	1	0	2026-09-13 15:33:20	b82ddbf82e20dd59b6628c323c04af199f9a56c8ad7c5e12ffdbc88064e78bc9	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7c2d25c2a8c7.json	FILE	0	661	1	0	2026-09-13 15:43:46	1652058bc9c0c2e87f184b1724321302c4b78152485fa833ea0c52e9c2bfa927	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7c2d4452f907.json	FILE	0	610	1	0	2026-09-13 15:43:46	d411b274331c32489577396b7814526dc5113645047be71949fd5929730ce6f9	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7c92e964454a.json	FILE	0	594	1	0	2026-09-13 15:51:03	7c7653cc6b230720068508030e707741805192ab67fb53c41b0f2c52aa0dc91d	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7cb926de8cb6.json	FILE	0	600	1	0	2026-09-13 15:53:47	a5c37280980ddc58538400ef182b42849fbc132fbd31807ec9ffc39cef96a471	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7cb94a8107ba.json	FILE	0	610	1	0	2026-09-13 15:53:47	c96adf974e00d35429280b097cfa51640753d42b1f623e246ecf2cf02ce15e67	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7cb9ae372be0.json	FILE	0	595	1	0	2026-09-13 15:53:49	4a4fb6f0df0038824d95d6e05c9de8f51bfa10cf7930e9b4947258e010f95799	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7cd992a70cb6.json	FILE	0	600	1	0	2026-09-13 15:56:07	c90fc95f08fad221ccee6ae33f20bce49c99d0fc83af5a01b16f134470d94cbc	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7ce3113498e3.json	FILE	0	590	1	0	2026-09-13 15:56:47	9535cd119bf7dc5368d3ce7d32f81fce1b5537130df62452b047366016df54d7	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7cf141fb3858.json	FILE	0	590	1	0	2026-09-13 15:57:48	6f5f9896d78d42d11dfd7e8ea94e80f789e070b548ee9a26e02eb556c2060a32	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7d268fd82da5.json	FILE	0	594	1	0	2026-09-13 16:01:37	4d1dcb1162b37c0330f9275ae8fd40a616857b54bfbab700df661885a0576539	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7d4cd130056e.json	FILE	0	600	1	0	2026-09-13 16:04:21	2f4fd8aec87e2d5a7139eb67f7a3e6efc26bb69387c627574baf360c8dc07e14	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7d4cf3fb7d58.json	FILE	0	610	1	0	2026-09-13 16:04:22	d4852ceb597634d9c9db7cba528bacdcc6dead9829cc87c0443fc292e08c534c	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7d4d5a19bdd9.json	FILE	0	595	1	0	2026-09-13 16:04:23	c071de9c3f7f67cf55700c98fc1c863067ea0149cf3a638486bcee5a56e086f5	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7d868d76fc59.json	FILE	0	590	1	0	2026-09-13 16:08:29	368c2864ca21b90134c08a8696b533b4bd54a9295d141c1c9e80ead02fe65bfe	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7dbd576dd925.json	FILE	0	594	1	0	2026-09-13 16:12:24	b0c486b4b162ca96c9c02a23b93008dfe055fd16c1afb40aa706f2684b2e8169	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7de3c1dd4ebc.json	FILE	0	600	1	0	2026-09-13 16:15:09	f996162eaecd7823537474eb49fd18a8ed8242d2228b655bba5ad13d33080bdc	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7de3e6278900.json	FILE	0	610	1	0	2026-09-13 16:15:10	c13b35034fa0a56e4dd212ea72716cede19898fe264f448bdd44b6e1538c5811	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7de4477e6a0c.json	FILE	0	595	1	0	2026-09-13 16:15:12	1825baf73599ef989e1293348c2c02cf4c12fce76037f5c31aa0b66b2b580c6c	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7e0290c68a05.json	FILE	0	600	1	0	2026-09-13 16:17:22	5289a6715d09b0c019523b3c9d6fdd3e0da3e3397bc65cc37e84f0784cadff68	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7e0b6c51dacc.json	FILE	0	590	1	0	2026-09-13 16:18:00	746134e0d532a479e1a3bfbfd8b07d1fa4802ba73f998f5ad122552c1d357180	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7e1909b8a2bf.json	FILE	0	590	1	0	2026-09-13 16:18:58	afc5a5f8bc807b974d485446e07f7a8e16d43b63a882b5aa0dea599257a6ea3f	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7e65e9789939.json	FILE	0	683	1	0	2026-09-13 16:24:28	c3dab58c85cdb16656738af7e1b2388d0d093fe81ac20e2e20df6730e1e831ba	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
A	astrocs_run_7e6607ca717c.json	FILE	0	632	1	0	2026-09-13 16:24:29	6a540ad1bf9d61a70981cea62a2ba595528cb3145ee7bc1f75e9df497b021a40	—（untracked）	删除	一次性运行清单（run manifest）。cli/commands.cpp:446 out_dir/astrocs_run_<run_id>.json + :343 write_run_context；ASTROCS_DESIGN §6.3 只许落 output_dir；ci/ci_repair_round.py:118 明文认定「目标目录解析为 CWD(=仓库根)」为缺陷
