task_id,gate,title,depends_on,platform,change_class,heavy_compute,commit_required,scope,acceptance,status
DOC-005,G8,实现静态Pipeline图与运行trace一致性检查,CORE-004;CORE-008;CLI-002,Linux,tooling,no,yes,IR graph; trace; artifacts; module versions,节点/边/端口/hash一致; 机器图纳入代码文档,NOT_STARTED
QA-001,G8,清零生产编译警告抑制和高风险警告,BLD-001;LEG-004,Linux+Windows,quality,no,yes,CMake warning flags; -w /w; compiler warnings,项目源码无全局禁警告; 警告基线为空或逐项批准,NOT_STARTED
QA-002,G8,建立串行与硬编码静态禁令,DOC-004;CORE-006,Linux,tooling,no,yes,workers=1; thread literals; direct omp; serial hot loops; ISA flags,production heavy path零违规; allowlist仅短I/O且有理由,NOT_STARTED
QA-003,G8,完成Sanitizer与线程安全验证,IO-002;IO-004;P1-009;P2-008;P3-006,Linux,quality,yes,yes,ASan; UBSan; LSan; TSan targeted,无泄漏/UAF/race/UB; suppressions逐项来源和期限,NOT_STARTED
QA-004,G8,完成复杂度重复实现和所有权审查,LEG-002;LEG-003;LEG-004,Linux,quality,no,yes,dup schedulers; I/O/WCS copies; ownership; giant files,每P0/P1闭环; 无第二生产调度器; 关键函数复杂度报告,NOT_STARTED
QA-005,G8,建立可复现构建依赖与SBOM,BLD-001;QA-001,Linux+Windows,quality,no,yes,dependency versions; licenses; build metadata; SBOM,同commit重建hash可解释; third-party不隐式漂移,NOT_STARTED
LNX-001,G9,Linux GCC Release构建,QA-001;CLI-003;LEG-004,Linux,validation,no,yes,amd64 release baseline; ACR OFF,clean configure/build; CLI doctor; target/link scan pass,NOT_STARTED
LNX-002,G9,Linux Clang Debug与静态分析,LNX-001;DOC-004,Linux,validation,no,yes,clang build; clang-tidy/analyzer; contracts,无P0/P1; findings逐项状态; API extraction pass,NOT_STARTED
LNX-003,G9,Linux全组合成科学测试,LNX-001;QA-003,Linux,validation,yes,yes,all module oracles; pipeline integration,全TEST PASS; 容差事前值; 失败不可重跑掩盖,NOT_STARTED
LNX-004,G9,Linux 2核资源与恢复验证,LNX-003;CPU-008,Linux,validation,yes,yes,heavy synthetic; memory pressure; cancel/resume,active workers>=2; utilization gate; bounded RAM; checkpoint recovery,NOT_STARTED
LNX-005,G9,Linux少量真实数据冒烟,LNX-003;LNX-004,Linux,validation,yes,yes,hashed minimal Fatduck sample; Phase1/2/3 impacted paths,只拷少量; timeout; no crash/leak; outputs verify; 不替代32R,NOT_STARTED
WIN-001,G10,Windows在线探测与MSVC构建,LNX-001;QA-005,Windows,validation,no,yes,SSH timeout; clean MSVC release/debug; package layout,offline则WAITING_WINDOWS; online clean build; no hidden manual steps,NOT_STARTED
WIN-002,G10,Windows CPU benchmark与provider选择,WIN-001;CPU-007;CPU-008,Windows,validation,yes,yes,baseline/AVX2/AVX512; threads; memory,每kernel正确性先过; profile绑定; unsupported provider不加载,NOT_STARTED
WIN-003,G10,Windows合成科学与资源验证,WIN-001;WIN-002;LNX-003,Windows,validation,yes,yes,all synthetic modules and pipelines,MSVC数值容差; no serial heavy; resource gate pass,NOT_STARTED
WIN-004,G10,Windows少量真实代表帧验证,WIN-003;LNX-005,Windows,validation,yes,yes,one hashed R per panel plus masters,Phase1 outputs; Phase2 overlaps; Phase3 sample; diagnostic artifacts,NOT_STARTED
WIN-005,G10,Windows银心32R最终一次全链,WIN-004;DOC-002,Windows,validation,yes,yes,11+11+10 R; final candidate; monitor,全部输入贡献; P1 to P2 artifact identity; HiPS/support/UPM/rejection; resource gates,NOT_STARTED
WIN-006,G10,HiPS与Phase3视觉技术证据,WIN-005;P3-006,Windows,validation,yes,yes,locked viewer state; seam/holes/stripes/streaks; planar FITS,预览与数值seam metrics; WCS/FITS verify; 生成owner review清单,NOT_STARTED
REL-001,G11,生成双平台Alpha发布产物,LNX-005;WIN-006;QA-005,Linux+Windows,release,no,yes,Linux amd64; Windows amd64; providers; configs; licenses,版本0.10.0-alpha.1; reproducible metadata; install/run smoke,NOT_STARTED
REL-002,G11,完成最终文档真相校验,DOC-002;DOC-003;DOC-004;DOC-005;REL-001,Linux,release,no,yes,L0-L3; version; pipeline; APIs; status,无旧入口/旧版本/假实现; owner文档链接到现场证据,NOT_STARTED
REL-003,G11,生成白名单审核包,REL-001;REL-002,Linux,release,no,yes,source snapshot; changed docs; evidence summaries; previews; manifests,validate_audit PASS; source/evidence/artifact commit一致; 无大文件历史数据build,NOT_STARTED
REL-004,G11,负责人最终视觉与发布决策,REL-003,Owner,release,no,no,HiPS locked views; release status; known limits,负责人明确APPROVE或REJECT; Agent不得代签,NOT_STARTED
