key	leaf	lib_hits	lib_prod_hits	sample_prod
photometry.min_reference_stars	min_reference_stars	0	0	
photometry.min_inlier_stars	min_inlier_stars	0	0	
precision.default	default	1392	1253	lib/algorithms/calibration/cpp/cosmetic_corrector.h:9:    #define CC_EXPORT __attribute__((visibility("default")))
upm.k_corr	k_corr	154	93	lib/algorithms/coverage/include/astro/phase2/sampler.h:51:    // control_variance = k_corr × (π/2) × sigma_bg² / N_retained；
hips.tile_width	tile_width	108	84	lib/algorithms/coverage/hips_properties.cpp:85:            if (!parse_int(val, &out->tile_width)) return fail("hips_tile_width not integer");
drizzle.pixfrac	pixfrac	749	277	lib/algorithms/coverage/CMakeLists.txt:141:    # pixfrac grid piecewise-linear + exact corners; drives production impl
sparse_snr.density	density	31	31	lib/algorithms/platesolve/cpp/ipv/include/ipv_api.h:285://   mag_lim/n_target/sigma_d/vote/density 零命中）。legacy orchestrator 路径同样仅
sparse_snr.spacing_px	spacing_px	0	0	
snr.path	path	3322	1829	lib/algorithms/calibration/build.ps1:11:    Write-Host "Expected path: $gpp" -ForegroundColor Yellow
scalar_gate.rd	rd	236	173	lib/algorithms/fits_output/p3_output.cpp:540:                const bool rd = (sig[(size_t)i] != sig[(size_t)i]);
scalar_gate.trend	trend	23	12	lib/algorithms/coverage/src/sampler.cpp:1436:                    "scalar_degrade: thresholds not declared (residual/trend and "
paths.gaia_root	gaia_root	0	0	
cosmetic.bad_column_enabled	bad_column_enabled	3	3	lib/infrastructure/scheduler/src/module_adapters.cpp:2777:  // bad_column_enabled 默认 true，配置可关闭；关闭时本节点对像素的行为
cosmetic.bad_column_sigma	bad_column_sigma	2	2	lib/infrastructure/scheduler/src/module_adapters.cpp:2782:  const float col_sigma = static_cast<float>(p1_num(c, "bad_column_sigma", 5.0));
cosmetic.bad_column_neighbor_k	bad_column_neighbor_k	2	2	lib/infrastructure/scheduler/src/module_adapters.cpp:2783:  const int col_k = p1_int(c, "bad_column_neighbor_k", 3);
cosmetic.bad_column_sigma_master	bad_column_sigma_master	3	3	lib/infrastructure/scheduler/src/module_adapters.cpp:2734:// 覆盖点：cosmetic.bad_column_sigma_master；<=0 ⇒ 归一到科学帧阈值（向后兼容）。
cosmetic.bad_column_variance_kappa	bad_column_variance_kappa	3	3	lib/algorithms/calibration/include/astro_calibration.h:285: *   (Q2) **κ = 2**（本层取值，配置键 bad_column_variance_kappa 默认 2.0）：
cosmetic.bad_column_master_wide_frac_max	bad_column_master_wide_frac_max	2	2	lib/infrastructure/scheduler/src/module_adapters.cpp:2817:      c, "bad_column_master_wide_frac_max",
