claim_id,science_doc,science_anchor,algorithm_doc,algorithm_anchor,architecture_doc,api_symbol,source_symbol,test_id,oracle_id,unit,precision_contract,status
API-PSF-001,docs/science/PSF.md,3 物理量和单位,docs/algorithms/STAR_PSF_ALGORITHMS.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/dynamic_psf/include/dynamic_psf.h::dpsf_fit,,,,ADU,Moffat4 7参数 LM residue<1e-8,ACTIVE
CODE-PSF-001,docs/science/PSF.md,3 物理量和单位,docs/algorithms/STAR_PSF_ALGORITHMS.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/dynamic_psf/include/dynamic_psf.h::dpsf_fit,lib/dynamic_psf/src/dpsf_psf.cpp::dpsf_fit,,,ADU,Moffat4 7参数 LM residue<1e-8,ACTIVE
TEST-PSF-001,docs/science/PSF.md,3 物理量和单位,docs/algorithms/STAR_PSF_ALGORITHMS.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/dynamic_psf/include/dynamic_psf.h::dpsf_fit,lib/dynamic_psf/src/dpsf_psf.cpp::dpsf_fit,tests/backend/test_wcs_psf_oracle.py,SYN-002,ADU,Moffat4 7参数 LM residue<1e-8,ACTIVE
SCI-PHOT-001,docs/science/PHOTOMETRY.md,3 物理量和单位,,,,,,,,mag,IRLS-Tukey 20%离群 location 漂移<0.1 dex,ACTIVE
ALG-PHOT-001,docs/science/PHOTOMETRY.md,3 物理量和单位,docs/algorithms/PHOTOMETRIC_FIT.md,2 离散公式,,,,,,mag,IRLS-Tukey 20%离群 location 漂移<0.1 dex,ACTIVE
ARCH-PHOT-001,docs/science/PHOTOMETRY.md,3 物理量和单位,docs/algorithms/PHOTOMETRIC_FIT.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,,,,,mag,IRLS-Tukey 20%离群 location 漂移<0.1 dex,ACTIVE
API-PHOT-001,docs/science/PHOTOMETRY.md,3 物理量和单位,docs/algorithms/PHOTOMETRIC_FIT.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/photometric_calib/cpp/include/photometric_calib.h::pc_calibrate_simple,,,,mag,IRLS-Tukey 20%离群 location 漂移<0.1 dex,ACTIVE
CODE-PHOT-001,docs/science/PHOTOMETRY.md,3 物理量和单位,docs/algorithms/PHOTOMETRIC_FIT.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/photometric_calib/cpp/include/photometric_calib.h::pc_calibrate_simple,lib/photometric_calib/cpp/src/pc_api.cpp::pc_calibrate_simple,,,mag,IRLS-Tukey 20%离群 location 漂移<0.1 dex,ACTIVE
TEST-PHOT-001,docs/science/PHOTOMETRY.md,3 物理量和单位,docs/algorithms/PHOTOMETRIC_FIT.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/photometric_calib/cpp/include/photometric_calib.h::pc_calibrate_simple,lib/photometric_calib/cpp/src/pc_api.cpp::pc_calibrate_simple,tests/backend/test_wcs_psf_oracle.py,SYN-002,mag,IRLS-Tukey 20%离群 location 漂移<0.1 dex,ACTIVE
SCI-NOISE-001,docs/science/NOISE_MODEL.md,3 物理量和单位,,,,,,,,ADU^2,sigma_bg=1.4826*MAD 常量帧 sigma<1e-4,ACTIVE
ALG-NOISE-001,docs/science/NOISE_MODEL.md,3 物理量和单位,docs/algorithms/NOISE_ESTIMATION.md,2 离散公式,,,,,,ADU^2,sigma_bg=1.4826*MAD 常量帧 sigma<1e-4,ACTIVE
ARCH-NOISE-001,docs/science/NOISE_MODEL.md,3 物理量和单位,docs/algorithms/NOISE_ESTIMATION.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,,,,,ADU^2,sigma_bg=1.4826*MAD 常量帧 sigma<1e-4,ACTIVE
API-NOISE-001,docs/science/NOISE_MODEL.md,3 物理量和单位,docs/algorithms/NOISE_ESTIMATION.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/snr_estimator/cpp/include/snr_estimator.h::snr_noise_model_v1,,,,ADU^2,sigma_bg=1.4826*MAD 常量帧 sigma<1e-4,ACTIVE
CODE-NOISE-001,docs/science/NOISE_MODEL.md,3 物理量和单位,docs/algorithms/NOISE_ESTIMATION.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/snr_estimator/cpp/include/snr_estimator.h::snr_noise_model_v1,lib/snr_estimator/cpp/src/noise_model.cpp::snr_noise_model_v1,,,ADU^2,sigma_bg=1.4826*MAD 常量帧 sigma<1e-4,ACTIVE
TEST-NOISE-001,docs/science/NOISE_MODEL.md,3 物理量和单位,docs/algorithms/NOISE_ESTIMATION.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/snr_estimator/cpp/include/snr_estimator.h::snr_noise_model_v1,lib/snr_estimator/cpp/src/noise_model.cpp::snr_noise_model_v1,tests/backend/test_noise_model_oracle.py,SYN-003,ADU^2,sigma_bg=1.4826*MAD 常量帧 sigma<1e-4,ACTIVE
SCI-DRZ-001,docs/science/DRIZZLE.md,3 物理量和单位,,,,,,,,ADU,S_p=F/D 面亮度 + 缩放律 alpha^2 var 精确,ACTIVE
ALG-DRZ-001,docs/science/DRIZZLE.md,3 物理量和单位,docs/algorithms/DRIZZLE_GEOMETRY.md,2 离散公式,,,,,,ADU,S_p=F/D 面亮度 + 缩放律 alpha^2 var 精确,ACTIVE
ARCH-DRZ-001,docs/science/DRIZZLE.md,3 物理量和单位,docs/algorithms/DRIZZLE_GEOMETRY.md,2 离散公式,docs/architecture/PHASE3_MODULE_ARCH.md,,,,,ADU,S_p=F/D 面亮度 + 缩放律 alpha^2 var 精确,ACTIVE
API-DRZ-001,docs/science/DRIZZLE.md,3 物理量和单位,docs/algorithms/DRIZZLE_GEOMETRY.md,2 离散公式,docs/architecture/PHASE3_MODULE_ARCH.md,lib/healpix_db/healpix_drizzle/hp_drizzle_api.h::hp_drizzle_run,,,,ADU,S_p=F/D 面亮度 + 缩放律 alpha^2 var 精确,ACTIVE
CODE-DRZ-001,docs/science/DRIZZLE.md,3 物理量和单位,docs/algorithms/DRIZZLE_GEOMETRY.md,2 离散公式,docs/architecture/PHASE3_MODULE_ARCH.md,lib/healpix_db/healpix_drizzle/hp_drizzle_api.h::hp_drizzle_run,lib/healpix_db/healpix_drizzle/hp_drizzle_api.cpp::hp_drizzle_run,,,ADU,S_p=F/D 面亮度 + 缩放律 alpha^2 var 精确,ACTIVE
TEST-DRZ-001,docs/science/DRIZZLE.md,3 物理量和单位,docs/algorithms/DRIZZLE_GEOMETRY.md,2 离散公式,docs/architecture/PHASE3_MODULE_ARCH.md,lib/healpix_db/healpix_drizzle/hp_drizzle_api.h::hp_drizzle_run,lib/healpix_db/healpix_drizzle/hp_drizzle_api.cpp::hp_drizzle_run,tests/backend/test_drizzle_oracle.py,SYN-004,ADU,S_p=F/D 面亮度 + 缩放律 alpha^2 var 精确,ACTIVE
SCI-UPM-001,docs/science/PHASE2_UPM.md,3 物理量和单位,,,,,,,,mag,参数恢复+残差+接缝降低,ACTIVE
ALG-UPM-001,docs/science/PHASE2_UPM.md,3 物理量和单位,docs/algorithms/UPM_SOLVER.md,2 离散公式,,,,,,mag,参数恢复+残差+接缝降低,ACTIVE
ARCH-UPM-001,docs/science/PHASE2_UPM.md,3 物理量和单位,docs/algorithms/UPM_SOLVER.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,,,,,mag,参数恢复+残差+接缝降低,ACTIVE
API-UPM-001,docs/science/PHASE2_UPM.md,3 物理量和单位,docs/algorithms/UPM_SOLVER.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/phase2/src/upm.cpp::p2_upm_build,,,,mag,参数恢复+残差+接缝降低,ACTIVE
CODE-UPM-001,docs/science/PHASE2_UPM.md,3 物理量和单位,docs/algorithms/UPM_SOLVER.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/phase2/src/upm.cpp::p2_upm_build,lib/phase2/src/upm.cpp::p2_upm_build,,,mag,参数恢复+残差+接缝降低,ACTIVE
TEST-UPM-001,docs/science/PHASE2_UPM.md,3 物理量和单位,docs/algorithms/UPM_SOLVER.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/phase2/src/upm.cpp::p2_upm_build,lib/phase2/src/upm.cpp::p2_upm_build,tests/api/test_upm_recovery_oracle.py,SYN-005,mag,参数恢复+残差+接缝降低,ACTIVE
SCI-REJ-001,docs/science/REJECTION.md,3 物理量和单位,,,,,,,,ADU,reject set+identity+weighted result 可解析,ACTIVE
ALG-REJ-001,docs/science/REJECTION.md,3 物理量和单位,docs/algorithms/REJECTION_ALGORITHMS.md,2 离散公式,,,,,,ADU,reject set+identity+weighted result 可解析,ACTIVE
ARCH-REJ-001,docs/science/REJECTION.md,3 物理量和单位,docs/algorithms/REJECTION_ALGORITHMS.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,,,,,ADU,reject set+identity+weighted result 可解析,ACTIVE
API-REJ-001,docs/science/REJECTION.md,3 物理量和单位,docs/algorithms/REJECTION_ALGORITHMS.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/phase2/src/rejection.cpp::p2_reject_stack,,,,ADU,reject set+identity+weighted result 可解析,ACTIVE
CODE-REJ-001,docs/science/REJECTION.md,3 物理量和单位,docs/algorithms/REJECTION_ALGORITHMS.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/phase2/src/rejection.cpp::p2_reject_stack,lib/phase2/src/rejection.cpp::p2_reject_stack,,,ADU,reject set+identity+weighted result 可解析,ACTIVE
TEST-REJ-001,docs/science/REJECTION.md,3 物理量和单位,docs/algorithms/REJECTION_ALGORITHMS.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/phase2/src/rejection.cpp::p2_reject_stack,lib/phase2/src/rejection.cpp::p2_reject_stack,tests/api/test_reject_integration_oracle.py,SYN-006,ADU,reject set+identity+weighted result 可解析,ACTIVE
SCI-INT-001,docs/science/INTEGRATION.md,3 物理量和单位,,,,,,,,ADU,weighted mean+max reducer small-N,ACTIVE
ALG-INT-001,docs/science/INTEGRATION.md,3 物理量和单位,docs/algorithms/INTEGRATION_ALGORITHMS.md,2 离散公式,,,,,,ADU,weighted mean+max reducer small-N,ACTIVE
ARCH-INT-001,docs/science/INTEGRATION.md,3 物理量和单位,docs/algorithms/INTEGRATION_ALGORITHMS.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,,,,,ADU,weighted mean+max reducer small-N,ACTIVE
API-INT-001,docs/science/INTEGRATION.md,3 物理量和单位,docs/algorithms/INTEGRATION_ALGORITHMS.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/phase2/src/integrate.cpp::p2_integrate_pixel,,,,ADU,weighted mean+max reducer small-N,ACTIVE
CODE-INT-001,docs/science/INTEGRATION.md,3 物理量和单位,docs/algorithms/INTEGRATION_ALGORITHMS.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/phase2/src/integrate.cpp::p2_integrate_pixel,lib/phase2/src/integrate.cpp::p2_integrate_pixel,,,ADU,weighted mean+max reducer small-N,ACTIVE
TEST-INT-001,docs/science/INTEGRATION.md,3 物理量和单位,docs/algorithms/INTEGRATION_ALGORITHMS.md,2 离散公式,docs/architecture/THREAD_BUDGET_ARCH.md,lib/phase2/src/integrate.cpp::p2_integrate_pixel,lib/phase2/src/integrate.cpp::p2_integrate_pixel,tests/api/test_reject_integration_oracle.py,SYN-006,ADU,weighted mean+max reducer small-N,ACTIVE
SCI-P3-001,docs/science/PHASE3_HIPS_TO_FITS.md,3 物理量和单位,,,,,,,,Jy,SB保持+独立WCS/FITS reader+seam 过,ACTIVE
ALG-P3-001,docs/science/PHASE3_HIPS_TO_FITS.md,3 物理量和单位,docs/algorithms/PHASE3_RESAMPLE.md,2 离散公式,,,,,,Jy,SB保持+独立WCS/FITS reader+seam 过,ACTIVE
ARCH-P3-001,docs/science/PHASE3_HIPS_TO_FITS.md,3 物理量和单位,docs/algorithms/PHASE3_RESAMPLE.md,2 离散公式,docs/architecture/PHASE3_MODULE_ARCH.md,,,,,Jy,SB保持+独立WCS/FITS reader+seam 过,ACTIVE
API-P3-001,docs/science/PHASE3_HIPS_TO_FITS.md,3 物理量和单位,docs/algorithms/PHASE3_RESAMPLE.md,2 离散公式,docs/architecture/PHASE3_MODULE_ARCH.md,lib/phase3_session/p3_session.h::p3_session_run,,,,Jy,SB保持+独立WCS/FITS reader+seam 过,ACTIVE
CODE-P3-001,docs/science/PHASE3_HIPS_TO_FITS.md,3 物理量和单位,docs/algorithms/PHASE3_RESAMPLE.md,2 离散公式,docs/architecture/PHASE3_MODULE_ARCH.md,lib/phase3_session/p3_session.h::p3_session_run,lib/phase3_session/p3_session.cpp::p3_session_run,,,Jy,SB保持+独立WCS/FITS reader+seam 过,ACTIVE
TEST-P3-001,docs/science/PHASE3_HIPS_TO_FITS.md,3 物理量和单位,docs/algorithms/PHASE3_RESAMPLE.md,2 离散公式,docs/architecture/PHASE3_MODULE_ARCH.md,lib/phase3_session/p3_session.h::p3_session_run,lib/phase3_session/p3_session.cpp::p3_session_run,tests/backend/test_phase3_reproject_oracle.py,SYN-007,Jy,SB保持+独立WCS/FITS reader+seam 过,ACTIVE
