key	value	doc	candidates	true_anchor
photometry.tukey_c	4.685	docs/science/PHOTOMETRY.md	6	31:| `c` | Tukey 形状参数 `4.685` | 同上 | ;; 207:u_i = (r_i − location)/(c·S),  c=4.685 ;; 221:- **为什么窗宽不构成风险**：真正决定鲁棒性的是其后 IRLS/Tukey 层——`S = MAD(r)/0.6744897501960817`、`c = 4.685` 的 biweight 截断（§7「鲁棒性」不变量：注入 20% 离群 `location` 变化 `<0.1 dex`）。预过滤窗只需保证「不放走
photometry.irls_max_iterations	50	docs/science/PHOTOMETRY.md	0	
photometry.irls_tolerance_dex	1e-06	docs/science/PHOTOMETRY.md	0	
photometry.min_reference_stars	3	docs/science/PHOTOMETRY.md	0	
photometry.min_inlier_stars	2	docs/science/PHOTOMETRY.md	0	
precision.default	"fp64"	docs/science/SCIENCE_SCOPE.md	3	92:**稀疏/有限数据**（帧级 SNR、WCS 解、星表匹配、测光定标）全程 **FP64**。 ;; 93:- **计算与承载分离**：本层内部归约/累积用 FP64，FP32 是**落盘/发布 dtype**（块类型 `AIO_BLOCK_FLOAT32`/`AIO_BLOCK_FLOAT64` 由精度模式选择，`module_adapters.cpp:6355-6377`）。 ;; 96:- **显式等价路径门**：UPM 稀疏模型与稠密缓存对同一输入的块输出按 `EXPECT_NEAR(..., 1e-12)` 判等（`lib/algorithms/coverage/tests/synthetic_gate.cpp:2849`，用例 `Phase2Upm.SparseEqualsDense`）；该门只
upm.k_corr	1.4	docs/science/PHASE2_UPM.md	9	24:| `k_corr` | Drizzle 相关校正；定义域 **1 < k_corr**（`k_corr = 1` ⇔ 忽略相关，显式拒），冻结默认 1.4 | `sampler.cpp:83`（默认）/ `:874-875`（取值与消费） | ;; 42:- `k_corr` 为 `frames[f].kcorr>0 ? per-frame : cfg.control_k_corr`，缺省 1.4（`sampler.cpp:874`）； ;; 49:**适用域（正向约束）**：k_corr 只在**其标定域内**有实证意义。生产取值 1.4 的来源是
hips.tile_width	512	docs/science/PHASE3_HIPS_TO_FITS.md	12	17:| `hips_tile_width` | tile 宽 `W`（默认 512=2⁹） | 输入 | ;; 18:| `leaf_order` | leaf 像素 order = `tile_order + log2(W)`（`W=hips_tile_width`；**支持子集 W=512 ⇒ +9**） | DATA_SEMANTICS §3 | ;; 43:- properties 必需键存在且合法: `hips_order`(int≥0), `hips_tile_width`(**支持子集 W=512**), `hips_frame`='equatorial', 数据属性含 float FITS tiles；**合法转换=仅恒等 ICRS**。
drizzle.pixfrac	0.8	docs/science/DRIZZLE.md	3	26:| `pixfrac` | drop 收缩因子 (0,1]（`drizzle.pixfrac`，默认 0.8） | `drizzle_engine:half=0.5*pixfrac` | ;; 132:`pixfrac∈{0.1,0.5,0.8,1.0}` × 过采样率 `{1,2,3,4}` 上断言 `Σ_p sumFlux_p=Σ_j x_j` ;; 172:`pixfrac∈{0.1,0.5,0.8,1.0}`×过采样率 `{1,2,3,4}` 上断言 `Σ_p sumFlux_p=Σ_j x_j`
sparse_snr.density	null	-	-	<<no cited file>>
sparse_snr.spacing_px	64	-	-	<<no cited file>>
snr.path	"sparse_reconstruct"	docs/plugins/algorithms_phase1/07_noise_snr.md	2	97:- **不静默降级**：输入无稀疏层而路径为 `sparse_reconstruct`（含默认）⇒ 按帧级执行但**必须显式记录实际路径**（`snr_path_effective`）并计数；稀疏层存在但损坏/不可重建 ⇒ 显式失败； ;; 216:| `snr_path` | `sparse_reconstruct` | —— | SNR 重建路径：`dense` / `sparse_reconstruct`（默认）/ `frame_reconstruct`；三条路径的适用域由 `实验/absolute-snr` 给出 |
scalar_gate.rd	null	-	-	<<no cited file>>
scalar_gate.trend	null	-	-	<<no cited file>>
paths.gaia_root	"gaia"	-	-	<<no cited file>>
cosmetic.bad_column_enabled	true	docs/contracts/DATA_SEMANTICS.md	0	
cosmetic.bad_column_sigma	5.0	docs/contracts/DATA_SEMANTICS.md	0	
cosmetic.bad_column_neighbor_k	3	docs/contracts/DATA_SEMANTICS.md	0	
cosmetic.bad_column_sigma_master	10.5	run/LINDEF-CLOSE-01/REPORT.md	-	<<no cited file>>
cosmetic.bad_column_variance_kappa	2.0	docs/contracts/DATA_SEMANTICS.md	0	
cosmetic.bad_column_master_wide_frac_max	0.001	run/LINDEF-CLOSE-01/REPORT.md	-	<<no cited file>>
