key	value	anchor_agree	anchors	value_in_cited_line	cited_line_text
drizzle.pixfrac	0.8	DIFF	:0 vs docs/science/DRIZZLE.md:35	NO-VALUE	docs/science/DRIZZLE.md:35 => - `w>0,h>0`, WCS 有效，`0<pixfrac<=1` 否则 `NO_DATA`（`drizzle:拒绝非法pixfrac`），NESTED 唯一 ordering，`nside=2^order` 为 2 的幂。
sparse_snr.density	null	ONLY-SOURCE	:0 vs :None	n/a	
sparse_snr.spacing_px	64	ONLY-SOURCE	:0 vs :None	n/a	
snr.path	"sparse_reconstruct"	SAME	docs/plugins/algorithms_phase1/07_noise_snr.md:186 vs docs/plugins/algorithms_phase1/07_noise_snr.md:186	NO-VALUE	docs/plugins/algorithms_phase1/07_noise_snr.md:186 => | `bilinear_regular_grid_v1` | 规则网格双线性（边界 clamp） | 保留为**对照/回退**（现行实现的忠实保留） |
scalar_gate.rd	null	ONLY-SOURCE	:0 vs :None	n/a	
scalar_gate.trend	null	ONLY-SOURCE	:0 vs :None	n/a	
paths.gaia_root	"gaia"	ONLY-SOURCE	:0 vs :None	n/a	
cosmetic.bad_column_enabled	true	DIFF	:0 vs docs/contracts/DATA_SEMANTICS.md:304	NO-VALUE	docs/contracts/DATA_SEMANTICS.md:304 => ### 10.4 列状缺陷路径（bad column）
cosmetic.bad_column_sigma	5.0	DIFF	:0 vs docs/contracts/DATA_SEMANTICS.md:304	NO-VALUE	docs/contracts/DATA_SEMANTICS.md:304 => ### 10.4 列状缺陷路径（bad column）
cosmetic.bad_column_neighbor_k	3	DIFF	:0 vs docs/contracts/DATA_SEMANTICS.md:304	NO-VALUE	docs/contracts/DATA_SEMANTICS.md:304 => ### 10.4 列状缺陷路径（bad column）
cosmetic.bad_column_sigma_master	10.5	DIFF	:0 vs run/LINDEF-CLOSE-01/REPORT.md:1	missing	<<MISSING FILE>>run/LINDEF-CLOSE-01/REPORT.md
cosmetic.bad_column_variance_kappa	2.0	DIFF	:0 vs docs/contracts/DATA_SEMANTICS.md:328	NO-VALUE	docs/contracts/DATA_SEMANTICS.md:328 => ### 10.5 列状缺陷的方差处置
cosmetic.bad_column_master_wide_frac_max	0.001	DIFF	:0 vs run/LINDEF-CLOSE-01/REPORT.md:1	missing	<<MISSING FILE>>run/LINDEF-CLOSE-01/REPORT.md
