符号/键,位置(路径:行),现行值,单位,坐标系/归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,备注
noise.max_clip_rounds,eng/packaging/config/defaults.json:163,2,rounds,patch 裁剪迭代轮数上限,≥0,0..N,有文献（SCI §5 冻结 ≤2 轮）,"docs/science/NOISE_MODEL.md:56,:126",文献值,Phase1 patch 裁剪,代码兜底 noise_model.cpp:1254；无 schema 侧、无 CLI 侧
noise.saturation_level,eng/packaging/config/defaults.json:177,0,ADU,0/负/非有限 = 未提供电平（unset），>0 = 饱和电平,整数或浮点；0 不表示「无饱和」,来源优先级：显式 cfg > FITS SATURATE > DATAMAX,需实验标定（缺失代价已由实验量化）,docs/science/NOISE_MODEL.md:52（§4 饱和域，claim SC-008/SAT-001）；SAT-001 实测 run/PROJECT-GOVERNANCE-01/SAT-001,实验标定,Phase1 blank-sky 统计与逐像素权重场,代码兜底同值 module_adapters.cpp:6383 saturation_level=0.0；未提供路径强制写显式降级声明 photo_stats.NOISE_SATURATION_FILTER=DISABLED_NO_METADATA ⇒ 缺陷不静默；SAT-001 数字：平台 patch 方差 6.87e8 vs 1.74e8（真值 25），帧平均 ivar 比 0.218
noise.spatial_field_enabled,eng/packaging/config/defaults.json:191,1,bool(0/1),1 且 n_ctrl≥4 用 LS 平面 var=a+b·x+c·y，否则全局中位数兜底,不适用（开关）,"{0,1}",有文献（SCI §4 启用条件）,"docs/science/NOISE_MODEL.md:47；NOISE_ESTIMATION.md:20,:38",文献值,Phase1 空间噪声场,代码兜底异名同值 noise_model.cpp:1255 enable_spatial_field=1 ⇒ 键名与符号名不一致，靠注释对齐
noise.variance_floor,eng/packaging/config/defaults.json:205,1e-12,ADU^2,"ivar=1/max(var,floor) 的分母下界",未标注（仅「保证 ivar 有限」）,>0,无来源（数量级拍定，未给物理或数值推导）,docs/science/NOISE_MODEL.md:23（§2）、:125（§9）、:29（单位 ADU²）,待确认,Phase1 variance/ivar 全场,同一语义 epsilon 现有多档：rejection.cpp:1245 normalization_floor=1e-12；实验侧 p1noise_oracle.hpp:112 记 0.0、p1noise_tests_core.cpp:776 用 1.0e-46 ⇒ 除零/下限保护没有统一的相对量纲定义（应相对 σ_bg² 或机器精度给出导出式）；影响面=全部下游权重与 SNR；保守方向=按最小可观测 σ² 的 1e-6 相对量导出
noise.mask_k_sigma,eng/packaging/config/defaults.json:219,0.1,sigma,掩膜边缘残余面亮度系数：源面亮度 = k·σ_bg 处定半径,由污染预算导出（σ_bg 偏差 ≤0.5%）,>0；k 越大掩膜越大,可公式导出（配 SCI §11 源污染 oracle）,docs/science/NOISE_MODEL.md:84（§5a 冻结 k=0.1）；MASK-001 §3.3 实测 r=10 px 偏差 +0.13%,公式导出,Phase1 逐星掩膜半径,代码内两处同值：noise_model.cpp:1258 配置兜底 + :826 使用层再兜底 (c.mask_k_sigma>0)?·:0.1 ⇒ 改一处即不一致
noise.mask_r_min_px,eng/packaging/config/defaults.json:233,1.5,px,"逐星半径下界 r_min=max(1.5 px, 0.75·FWHM_i)",约束写 ≥1 而取值 1.5（两数不同源）,>0,有文献（SCI §5a 同式）,docs/science/NOISE_MODEL.md:85,文献值,Phase1 逐星掩膜半径下界,代码两处同值：noise_model.cpp:1259 与 :827；r_min 与 mask_fwhm_floor_scale 取 max 的同式在两处（配置层/使用层）重复实现
noise.mask_fwhm_floor_scale,eng/packaging/config/defaults.json:247,0.75,1（无量纲）,r_min 的 FWHM 项系数 0.75·FWHM_i,>0,>0,有文献（SCI §5a 同式）但**导出式未写**,docs/science/NOISE_MODEL.md:85,文献值,Phase1 逐星掩膜半径下界,"0.75 与 PSF 核心覆盖的关系无推导（为何不是 1·FWHM=2.35σ 或 2σ）⇒ 属可公式导出但文档只给结果；代码两处同值 noise_model.cpp:1260,:828"
noise.mask_budget_min_patches,eng/packaging/config/defaults.json:261,8,count,天空预算合格 patch 数下限 n_qualified,≥4（平面 LS 需 ≥4 非共线控制点）,≥1,可公式导出（下限 4 可导；8=2× 余量无据）,docs/science/NOISE_MODEL.md:87（§5a）,公式导出,Phase1 掩膜天空预算,"代码两处同值 noise_model.cpp:1261,:829；4→8 的余量倍数未标定 ⇒ 余量部分属需实验标定档"
noise.mask_budget_min_sky,eng/packaging/config/defaults.json:275,9216,px,未被掩膜合法像素数下限 N_sky,SE(σ̂)/σ ≤ 1.5%,≥1；同时收紧 §8 全帧兜底阈,可公式导出,(1.44/0.015)²=9216；docs/science/NOISE_MODEL.md:87 与 defaults.json:285（c≈1.152/√N、中位数效率 1.25 ⇒ SE≈1.44/√N）；MASK-001 §5.3/§3.5,公式导出,Phase1 天空预算与全帧兜底,典型「可推导却硬编码」：代码 noise_model.cpp:1262 与 :830 直接写 9216ull，未由 (1.44/tol)² 生成，容差 1.5% 变更时不会联动；建议由公式生成并加断言
rejection.sigma.lower_sigma,eng/packaging/config/defaults.json:289,4.0,sigma,sigma-clip 低侧阈值（正数）,未标注,>0,有文献（SCI §5 阈值冻结锚点）,docs/science/REJECTION.md:97（sigma/winsorized/averaged = 4.0/3.0/8）,文献值,Phase2 多值堆排异,代码兜底同值 rejection.cpp:1246；方向异常（lower 4.0 > upper 3.0）文档与实现一致，物理判据交 AUD-203
rejection.sigma.upper_sigma,eng/packaging/config/defaults.json:303,3.0,sigma,sigma-clip 高侧阈值（正数）,未标注,>0,有文献（同三元组）,docs/science/REJECTION.md:97,文献值,Phase2 多值堆排异,代码兜底同值 rejection.cpp:1246
rejection.sigma.max_iterations,eng/packaging/config/defaults.json:317,8,iterations,sigma-clip 迭代上限,≥1,≥1,有文献（同三元组）,docs/science/REJECTION.md:97,文献值,Phase2 多值堆排异,同名不同值族：max_iterations 另取 upm.cpp:270/287/2460=100、json_config.h:50=100、stage2_common.h:65 max_irls_iterations=100、ipv_robust_refine.h:48=10、sky_plane.cpp:457=30、:517=1 ⇒ 一个键名承载六套迭代上限，配置键面只覆盖 rejection 的 8
rejection.winsorized.lower_sigma,eng/packaging/config/defaults.json:331,4.0,sigma,winsorized 低侧阈值,未标注,>0,有文献（三元组共用）,docs/science/REJECTION.md:97,文献值,Phase2 排异,与 sigma/averaged 两族取值完全相同（4.0/3.0/8）⇒ 三份登记一份事实；代码 rejection.cpp:1247-1248
rejection.winsorized.upper_sigma,eng/packaging/config/defaults.json:345,3.0,sigma,winsorized 高侧阈值,未标注,>0,有文献（三元组共用）,docs/science/REJECTION.md:97,文献值,Phase2 排异,代码 rejection.cpp:1247
rejection.winsorized.max_iterations,eng/packaging/config/defaults.json:359,8,iterations,winsorized 迭代上限,≥1,≥1,有文献（三元组共用）,docs/science/REJECTION.md:97,文献值,Phase2 排异,代码 rejection.cpp:1248
rejection.averaged_sigma.lower_sigma,eng/packaging/config/defaults.json:373,4.0,sigma,averaged_sigma 低侧阈值,未标注,>0,有文献（三元组共用）,docs/science/REJECTION.md:97,文献值,Phase2 排异,实现侧字段名为 p.averaged（无 _sigma 后缀）rejection.cpp:1249 ⇒ 键名与符号名不一致
rejection.averaged_sigma.upper_sigma,eng/packaging/config/defaults.json:387,3.0,sigma,averaged_sigma 高侧阈值,未标注,>0,有文献（三元组共用）,docs/science/REJECTION.md:97,文献值,Phase2 排异,代码 rejection.cpp:1249
rejection.averaged_sigma.max_iterations,eng/packaging/config/defaults.json:401,8,iterations,averaged_sigma 迭代上限,≥1,≥1,有文献（三元组共用）,docs/science/REJECTION.md:97,文献值,Phase2 排异,代码 rejection.cpp:1250
rejection.linear_fit.lower_sigma,eng/packaging/config/defaults.json:415,5.0,sigma,linear_fit 低侧阈值,未标注,>0,有文献（SCI §5 linear_fit 5.0/3.5/8）,docs/science/REJECTION.md:59,文献值,Phase2 排异,来源叙述冲突：实现注释 rejection.cpp:1251 记「WBPP Light 默认」（Siril 惯例），defaults.json 记 SCI:59 ⇒ 同一数值两个出处，须裁定权威链（本表按 SCI 登记）
rejection.linear_fit.upper_sigma,eng/packaging/config/defaults.json:429,3.5,sigma,linear_fit 高侧阈值,未标注,>0,有文献（SCI §5）,docs/science/REJECTION.md:59；实现注释记 WBPP Light 默认,文献值,Phase2 排异,同 lower_sigma 的来源叙述冲突
rejection.linear_fit.max_iterations,eng/packaging/config/defaults.json:443,8,iterations,linear_fit 迭代上限,≥1,≥1,有文献（SCI §5）,docs/science/REJECTION.md:59,文献值,Phase2 排异,代码 rejection.cpp:1252
rejection.esd.alpha,eng/packaging/config/defaults.json:457,0.05,1（无量纲）,Generalized ESD 显著性水平,0<alpha<1；未标注功效/样本量前提,"alpha∈(0,1)",有文献（SCI §5 冻结 0.05）,"docs/science/REJECTION.md:60；§9a（alpha=0.05, max_outliers=10）；方法学出处 Iglewicz & Hoaglin 1993（本仓未给 DOI，见备注）",文献值,Phase2 排异 ESD 路径,一手文献未登记（0.05 是惯例显著性水平，非本仓推导）⇒ 补 A 级出处；代码同值 rejection.cpp:1253 p.esd.alpha=0.05 与 :1264 extreme_prior.alpha=0.05（两处不同用途同值）
rejection.esd.max_outliers,eng/packaging/config/defaults.json:471,10,count,单次 ESD 允许剔除的离群数上限,≥1；未标注与堆深度 n 的关系,≥1,有文献（SCI §5）,docs/science/REJECTION.md:60,文献值,Phase2 排异 ESD 路径,10 与典型 n（Phase2 贡献帧数）无关，是绝对数 ⇒ 与 n 相关的界（如 0.1n）更可导出；代码 rejection.cpp:1253
rejection.percentile.low,eng/packaging/config/defaults.json:485,0.2,1（分位比）,小 N 分位拒低侧分位,0<low<1,"low∈(0,1)；scale=|median|",有文献（SCI §5 percentile low 0.2/high 0.1）,"docs/science/REJECTION.md:59,:166（§9a）",文献值,Phase2 小 N 排异,代码 rejection.cpp:1254 注释记来源为 WBPP Light ⇒ 同 linear_fit 的来源叙述冲突
rejection.percentile.high,eng/packaging/config/defaults.json:499,0.1,1（分位比）,小 N 分位拒高侧分位,0<high<1,"high∈(0,1)",有文献（SCI §5）,"docs/science/REJECTION.md:59,:166",文献值,Phase2 小 N 排异,代码 rejection.cpp:1254（不对称 0.2/0.1 与天光正偏预期一致，但文档未说明不对称依据）
rejection.minmax.min_kept,eng/packaging/config/defaults.json:513,4,count,极值拒保留下限,≥1；与 0.6·n 小 N 判据配套,≥1,有文献（SCI §5 minmax 1/1/4）,"docs/science/REJECTION.md:60,:166（§9a min_kept=4）",文献值,Phase2 极值拒,代码 rejection.cpp:1258 p.minmax.min_kept=4 且同处 reject_low_count=1/reject_high_count=1 未进 defaults.json ⇒ 同一方法的三参数只登记一个，其余两个仅存在于代码
rejection.large_scale.enabled,eng/packaging/config/defaults.json:527,false,bool,空间邻域仅 large_scale 结构半径（pixel 域）默认关闭,不适用（开关）,"{0,1}",有文献（SCI §5 默认关闭）,"docs/science/REJECTION.md:61,:126,:24",文献值,Phase2 空间邻域排异,代码 rejection.cpp:1260 enabled=0；同结构的 min_structure_pixels=8、low/high_grow_radius_pixels=2 三参数只在代码里，defaults.json 未登记 ⇒ 登记面缺口
photometry.mag_tolerance,eng/packaging/config/defaults.json:541,3.0,mag,预过滤 |delta_i − median(delta)| > 3.0 mag 的星被拒,>0；未标注与测光精度/sigma_residual 的关系,>0,有文献（SCI §测光 3.0 mag）,docs/science/PHOTOMETRY.md:30；docs/algorithms/PHOTOMETRIC_FIT.md:20（F7 同一 3.0 mag）,文献值,测光星等一致性预过滤,代码兜底同值 lib/algorithms/photometry/cpp/src/star_matcher.h:72 mag_tolerance = 3.0；3.0 mag 相当于亮度比 15.85×，与 sigma_residual（本项目测光精度 ~0.01 mag 量级）差两个数量级 ⇒ 该阈实际几乎不滤（判据强度需实验侧确认，交 AUD-201）
photometry.tukey_c,eng/packaging/config/defaults.json:555,4.685,1（无量纲）,"Tukey biweight 形状参数 c（w=(1−u²)², u=(r−loc)/(c·S)）",>0；对应 95% 正态效率（未在本仓推导）,>0（经验最优 4.685）,可公式导出（给定效率目标可数值求根）,"本仓 docs/science/PHOTOMETRY.md:21,:54；一手=Beaton & Tukey 1978 / Tukey 1975（本仓未登记 DOI）；实现注释 star_matcher.cpp:22「标准稳健统计, 对应 95% 正态效率」",公式导出,测光 IRLS 稳健位置,两份实现同值重复：lib/algorithms/photometry/cpp/src/spatial_gain.cpp:40 kTukeyC=4.685、star_matcher.cpp:23 _TUKEY_C=4.685；且 4.685 的 95% 效率结论只在正态假设下成立，本项目 r=log10(F_instr/F_syn) 分布是否近正态无证据 ⇒ 适用域未验证
photometry.irls_max_iterations,eng/packaging/config/defaults.json:569,50,iterations,S>0 时 IRLS 迭代上限,≥1；未标注收敛余量,≥1,有文献（SCI 冻结 max_iter=50）,"docs/science/PHOTOMETRY.md:192,:53",文献值,测光 IRLS,键 leaf 在 lib 零命中：值以符号承载两处（spatial_gain.cpp:42 kIrlsMaxIter=50、star_matcher.cpp:25 _IRLS_MAX_ITER=50）⇒ 名称不对齐，改默认需人工同步；另有第三套迭代上限 100（rejection/upm/stage2 面）
photometry.irls_tolerance_dex,eng/packaging/config/defaults.json:583,1e-06,dex,IRLS location 收敛门 |loc_new−loc_old|<1e-6,>0；相对 MAD 尺度未定义；dex 单位下等于 2.3e-6 相对通量,>0,无来源（未给浮点精度或收敛速率推导）,docs/science/PHOTOMETRY.md:192（tol=1e-6）；实现 star_matcher.cpp:27 _IRLS_CONVERGE=1e-6,待确认,测光 IRLS 收敛,"多侧不一致：spatial_gain.cpp:44 kIrlsConverge=1e-9（注释自称「比标量 location 的 1e-6 更严」）⇒ 同一""IRLS 收敛门""两处取值差 3 个数量级，只有 1e-6 进了 defaults.json；影响面=空间增益拟合的迭代终止与可复现性；保守方向=取更严者并统一"
photometry.min_reference_stars,eng/packaging/config/defaults.json:597,3,count,|r_consistent|≥3 才进 IRLS，否则 NO_DATA,≥1；未标注参数可辨识性推导,≥1（3 参数模型的下限是 3，但未写推导）,可公式导出（≥ 模型自由参数数）,docs/science/PHOTOMETRY.md:44,公式导出,测光定标退化保护,"代码同值字面量：star_matcher.cpp:518 `if (r_consistent.size() < 3)` 与 :519 日志串「< 3」⇒ 值写在两处（判据+文案），改一处即不一致；另 spatial_gain 面另有 min_stars_order1=50（spatial_gain.h:85、frame_photometry_fit.h:76）未进 defaults.json ⇒ 同为""最少星数""语义两套值"
photometry.min_inlier_stars,eng/packaging/config/defaults.json:611,2,count,|r_inliers|≥2 才估计 sigma_residual，否则 0,≥1,≥1,有文献（SCI :44）,docs/science/PHOTOMETRY.md:44,文献值,测光 sigma_residual 估计,"2 是""能算 MAD""的下限，但 MAD 在 n=2 时无统计意义 ⇒ 属可公式导出（下限应随稳健尺度估计的自由度提高），文档未给推导"
precision.default,eng/packaging/config/defaults.json:625,fp64,枚举 id,"计算精度模式标识 {fp32, fp64}",不适用（枚举）；FP32 仅显式等价路径（SparseEqualsDense 1e-12 门）,"{fp32, fp64}",有文献（SCI 默认 FP64）,docs/science/SCIENCE_SCOPE.md:56,文献值,全链路精度口径,"ASTROCS_DESIGN.md §3.3 的 JSON 示例写 fp32（示例取值与默认打架，defaults.json:635 note 已登记）；实现侧不做静默默认：module_adapters.cpp:7507-7520 缺 precision_mode 即 REJECT（B2-A12），CLI 模板固定 precision_mode=1 ⇒ 该键实际由""必须显式""承载，defaults.json 的默认值不进入运行路径（消费点为 0）"
upm.k_corr,eng/packaging/config/defaults.json:639,1.4,1（无量纲）,控制点方差相关放大因子：control_variance = k_corr·(π/2)·σ_bg²/N_retained,未标注；SCI 记保守取整 1.4，MC 实测 ≈1.3883,1 ≤ k_corr,需实验标定,"docs/science/PHASE2_UPM.md:24,:124（改默认属不可接受变化）；:116 保守取整；:131/:169 MC k_corr≈1.3883（control_median_mc_test 未注册/MISSING，不可复跑）",实验标定,Phase2 UPM 控制点方差,**支撑实验不可复跑**（defaults.json:649 自证 MISSING）⇒ 1.4 的标定证据链断裂；代码兜底同值三处：lib/algorithms/coverage/src/sky_plane.cpp:233/:254、include/astro/phase2/sampler.h:55 注释；另lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.h:377 同名 k_corr = 0.0（同名不同族，未进配置键面）
hips.tile_width,eng/packaging/config/defaults.json:653,512,px,HiPS tile 边长 W；leaf_order = tile_order + 9（512=2⁹）,整数且必须 2 的幂,{2 的幂}，实现侧只接受 512,有文献（SCI 默认 512=2⁹）,"docs/science/PHASE3_HIPS_TO_FITS.md:41,:130,:63",文献值,HiPS 读写与规划,"多侧硬编码同值：lib/algorithms/coverage/hips_properties.h:25 kHipsTileWidth=512 且 :120-121 对非 512 直接 fail（""hips_tile_width must be 512""）、lib/include/astrocs/core/plan_estimator.h:42 kHipsTileWidthPx=512、aio_hips_reader/writer 多处 512、v6_hips_manifest.h:35 tile_width=512 ⇒ 512 事实上是格式约束而非默认值，但登记成""默认""（语义错档）；leaf_order=tile_order+9 可由 log2(512) 导出"
drizzle.pixfrac,eng/packaging/config/defaults.json:667,0.8,1（无量纲）,drop 投影足迹收缩边长比（drop 边长 = pixfrac × 像素边长）,未标注（通量守恒与 pixfrac 无关，由核面积归一保证）,0 < pixfrac ≤ 1（非法值显式 NO_DATA，不静默夹逼）,有文献（负责人裁决 0.8 + Fruchter & Hook 2002 §7.2 核归一）,docs/science/DRIZZLE.md §4/§7；docs/contracts/DATA_SEMANTICS.md §31.1（FZ-COND-FLUX-CONSERV）；Fruchter & Hook 2002（ADS 2002PASP..114..157F，本仓未登记 DOI）,文献值,Phase1 drizzle 累加,"**四侧不一致（P0 母题）**：代码兜底 lib/algorithms/drizzle/src/module_entry.cpp:355 缺键取 1.0；结构体默认 lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:27 = 1.0、reverse_drizzle.h:39 = 1.0、v6_spherical_overlap.h:35 = 1.0、integration/v6_phase1/include/astrocs/v6/phase1_product.h:130 = 1.0、aio/include/hiss_format.h:53/:297 = 1.0、aio/v6/include/astro/aio/v6_provenance.h:48 = 1.0；管线侧 lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:67 = 0.8；coverage 侧 lib/algorithms/coverage/src/sampler.cpp:81 与 include/astro/phase2/sampler.h:53 = 0.8、integration/v6/src/phase2_integrate.cpp:459 = 0.8；出厂模板 eng/packaging/config/templates/normalize.phase_config.json:11,22 = 0.8；CLI 生成骨架 lib/infrastructure/cli/session_commands.h:181 = **1.0**；合同 eng/contracts/schemas/phase_config_normalize.schema.json:468-472 不声明默认且描述仍写""defaults.json 的 drizzle.pixfrac 为 pending_authority""（已过时）⇒ 同一命令按是否显式给键得到不同结果"
sparse_snr.density,eng/packaging/config/defaults.json:681,null,点/度²,启用稀疏层时的控制点密度（按面积密度的表述）,不适用（无值）,未定,无来源（GAP-024 显式挂起）,docs/plugins/algorithms_phase1/07_noise_snr.md:112-113 默认列为「——」；ASTROCS_DESIGN.md §3.3 点名该字段；pending_task=SCI-RES-01/R-001,待确认,Phase1 稀疏 SNR 层,按裁决以 pending_authority 占位、禁止编造（合规样例）；**风险**：与 sparse_snr.spacing_px 是同一物理量的两种单位表述（点/度² vs px），若两侧同时被消费会互相矛盾；保守方向=只保留 spacing_px 一侧
sparse_snr.spacing_px,eng/packaging/config/defaults.json:692,64,px,稀疏层控制点间隔 Δ,≥1 整数；理由写 Δ/ℓ≈1.1-1.6（ℓ=40.4-57.9 px 实测相关长度）,≥1,需实验标定（ℓ 由实验给出）+ 负责人裁决,docs/science/NOISE_MODEL.md / GAP_AUDIT §9.45（负责人 2026-09-19「64 可以了」）；ℓ 区间见 实验/absolute-snr；64 = hips.tile_width/8,实验标定,Phase1 稀疏 SNR 层,"导出式已写出但为**派生式**：64 = 512/8（依赖 hips.tile_width）⇒ 若 tile 宽变更须联动，现为两处独立字面量；键名不一致：schema 侧为 sparse_snr_spacing_px（eng/contracts/schemas/phase_config_normalize.schema.json /$defs/sparse_snr_spacing_px default=64, minimum=1），defaults.json 侧为 sparse_snr.spacing_px ⇒ 两处同值 64 但 leaf 名不同，leaf 名在 lib 生产代码零命中（无消费点证据）"
snr.path,eng/packaging/config/defaults.json:703,sparse_reconstruct,枚举 token,"Phase2 消费 Phase1 SNR 层的路径 ∈ {dense, sparse_reconstruct, frame_reconstruct}",不适用（枚举）,枚举三值,有文献（负责人裁决 + 插件文档）,docs/plugins/algorithms_phase1/07_noise_snr.md:186；GAP_AUDIT §9.46；值域唯一事实源 eng/contracts/schemas/phase_config_mosaic.schema.json /$defs/mosaic_config/properties/snr_path,文献值,Phase2 SNR 重建,"多侧同值：出厂模板 eng/packaging/config/templates/mosaic.phase_config.json:7 = sparse_reconstruct、CLI 骨架 lib/infrastructure/cli/session_commands.h:230 = sparse_reconstruct；但 mosaic schema 的 snr_path **只给 enum 不给 default** ⇒ ""默认""实际无 schema 承载；CLI 侧另自证生产科学消费点未落地（eng/ci/ledgers/dead_config_keys.json 死键台账）⇒ 默认值指向一条未接线的路径"
scalar_gate.rd,eng/packaging/config/defaults.json:722,null,unspecified,标量降级鲁棒离散门,不适用（无值无单位）,未定,无来源（GAP-024）,docs/plugins/algorithms_phase1/07_noise_snr.md:61 默认与单位列均为「——」；pending_task=SCI-RES-01/R-002,待确认,Phase1 标量 SNR 门,"阈值未定前标量门失败须自动升级空间模型（07_noise_snr.md:76）⇒ 判据不成立时行为由兜底路径决定，属可运行但无判据状态；保守方向=先登记为""门不启用""而非取任意数"
scalar_gate.trend,eng/packaging/config/defaults.json:733,null,unspecified,标量降级系统趋势门,不适用（无值无单位）,未定,无来源（GAP-024）,docs/plugins/algorithms_phase1/07_noise_snr.md:62（scalar_gate_trend）；pending_task=SCI-RES-01/R-002,待确认,Phase1 标量 SNR 门,"同 rd；两键合起来使""标量降级路径""目前无量化判据"
paths.gaia_root,eng/packaging/config/defaults.json:744,gaia,path,Gaia 外部只读星表根目录（相对仓库根解析，可用 local.paths.json 覆盖）,不适用（路径）,存在且可读,有文献（负责人直接指令 2026-09-21）,ASTROCS_DESIGN.md / 负责人指令；覆盖文件 eng/packaging/config/local.paths.json（.gitignore:172 不入库）,文献值,Gaia 客户端与星表引导检测,键 leaf 在 lib 生产代码零命中：运行侧实际键名为 wcs.gaia_data_dir（lib/infrastructure/cli/session_commands.h:188 模板与 lib/infrastructure/scheduler/src/module_adapters.cpp 的 gaia_data_dir）⇒ 同一语义两个键名，paths.gaia_root 无消费点；登记面 config_registry.json:446/:1527 declared_default=gaia（第三侧同值）
