键,键族,语义路径样本,S1_defaults.json,S2_出厂模板,S3_CLI骨架,S4_合同schema,S5_代码兜底,S6_登记册
19_runtime#schedule_policy,19_runtime#schedule_policy,19_runtime#schedule_policy,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=""locality_first""] @eng/packaging/config/config_registry.json#plugin_knobs[104] registered_key=19_runtime#schedule_policy (doc docs/plugins/infrastructure/19_runtime.md:72, module 19_runtime, finding=none) [registered_at=docs/plugins/infrastructure/19_runtime.md:70]"
22_gaia_xpsd_client#prefetch_neighbors,22_gaia_xpsd_client#prefetch_neighbors,22_gaia_xpsd_client#prefetch_neighbors,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=""true""] @eng/packaging/config/config_registry.json#plugin_knobs[106] registered_key=22_gaia_xpsd_client#prefetch_neighbors (doc docs/plugins/infrastructure/22_gaia_xpsd_client.md:61, module 22_gaia_xpsd_client, finding=none) [registered_at=docs/plugins/infrastructure/22_gaia_xpsd_client.md:59]"
22_gaia_xpsd_client#tile_scheme,22_gaia_xpsd_client#tile_scheme,22_gaia_xpsd_client#tile_scheme,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=""healpix""] @eng/packaging/config/config_registry.json#plugin_knobs[107] registered_key=22_gaia_xpsd_client#tile_scheme (doc docs/plugins/infrastructure/22_gaia_xpsd_client.md:60, module 22_gaia_xpsd_client, finding=none) [registered_at=docs/plugins/infrastructure/22_gaia_xpsd_client.md:58]"
^schema_version$,^schema_version$,^schema_version$,该侧无此项,该侧无此项,该侧无此项,"值[const=""1""] @eng/contracts/schemas/phase_config_export.schema.json#/then/^schema_version$ ; eng/contracts/schemas/phase_config_export.schema.json#/else/else/^schema_version$ ; eng/contracts/schemas/phase_config_mosaic.schema.json#/then/^schema_version$ ; eng/contracts/schemas/phase_config_mosaic.schema.json#/else/else/^schema_version$ ; eng/contracts/schemas/phase_config_normalize.schema.json#/then/^schema_version$ ; eng/contracts/schemas/phase_config_normalize.schema.json#/else/^schema_version$",该侧无此项,该侧无此项
a_nea.unit,psf,psf.a_nea.unit,该侧无此项,该侧无此项,该侧无此项,"值[const=""px^2""] @eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/a_nea/unit",该侧无此项,该侧无此项
a_nea.value,psf,psf.a_nea.value,该侧无此项,该侧无此项,该侧无此项,值[exclusiveMinimum=0] @eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/a_nea/value,该侧无此项,该侧无此项
abi_version,legacy_v1,legacy_v1.build.abi_version,该侧无此项,该侧无此项,该侧无此项,值[minimum=1] @eng/contracts/schemas/cpu_profile.schema.json#/legacy_v1/build/abi_version,"值[ACS_ABI_VERSION_V1 ×40 (成员/赋值 cfg.head.k=,成员/赋值 err->head.k=,成员/赋值 inst->head.k=,成员/赋值 out->allocator.k=,成员/赋值 out->budget.k=,成员/赋值 out->cancel.k=,成员/赋值 out->k=,成员/赋值 out->logger.k=,成员/赋值 out_desc->alg_id.head.k=,成员/赋值 out_desc->api_id.head.k=,成员/赋值 out_desc->build_id.head.k=,成员/赋值 out_desc->head.k=,成员/赋值 out_desc->module_id.head.k=,成员/赋值 out_desc->sci_id.head.k=,成员/赋值 out_desc->version.head.k=,成员/赋值 p->head.k=,成员/赋值 p.head.k=,成员/赋值 v.head.k=) @lib/algorithms/calibration/src/module_entry.cpp:1161; lib/algorithms/calibration/src/module_entry.cpp:1163; lib/algorithms/calibration/src/module_entry.cpp:1167; lib/algorithms/calibration/src/module_entry.cpp:1171 ## ACS_CAP_ABI_VERSION_V1 ×3 (成员/赋值 c.k=) @lib/infrastructure/benchmark/cpu/avx2/src/avx2_provider.cpp:69; lib/infrastructure/benchmark/cpu/avx512/src/avx512_provider.cpp:80; lib/infrastructure/benchmark/cpu/baseline/src/baseline_provider.cpp:58 ## SNR_NOISE_CONFIG_ABI_VERSION ×2 (成员/赋值 cfg->k=) @lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1249; lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1272 ## SNR_NOISE_MODEL_ABI_VERSION ×2 (成员/赋值 model->k=,成员/赋值 out_model->k=) @lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1278; lib/algorithms/noise_snr/cpp/src/noise_model.cpp:799 ## 0 ×1 (声明/赋值 k=) @lib/infrastructure/benchmark/backend_host/backend_loader.h:17 ## 0u ×1 (value(""k"",d)) @lib/infrastructure/benchmark/backend_host/backend_loader.cpp:73 ## AIO_HIPS_DIAG_TILE_VIEW_ABI_VERSION ×1 (成员/赋值 v->k=) @lib/infrastructure/a] @55 处 / 29 个位点（前 4: value(""k"",d); 声明/赋值 k=; 成员/赋值 c.k=; 成员/赋值 cfg->k=）；全量见 side5_位点.log",该侧无此项
accepts_object,accepts_object,accepts_object,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""signal"",""variance"",""ivar"",""source_snr"",""depth_m5"",""frame_snr"",""point_information"",""sparse_snr_layer"",""support"",""coverage"",""validity"",""rejection"",""provenance""]] @eng/contracts/schemas/unified/port_contract.schema.json#/accepts_object ||| 值[const=""signal""] @eng/contracts/schemas/unified/port_contract.schema.json#/if/accepts_object ||| 值[const=""variance""] @eng/contracts/schemas/unified/port_contract.schema.json#/if/accepts_object ||| 值[const=""ivar""] @eng/contracts/schemas/unified/port_contract.schema.json#/if/accepts_object ||| 值[const=""source_snr""] @eng/contracts/schemas/unified/port_contract.schema.json#/if/accepts_object ||| 值[const=""depth_m5""] @eng/contracts/schemas/unified/port_contract.schema.json#/if/accepts_object ||| 值[const=""frame_snr""] @eng/contracts/schemas/unified/port_contract.schema.json#/if/accepts_object ||| 值[const=""point_information""] @eng/contracts/schemas/unified/port_contract.schema.json#/if/accepts_object (本侧另有 6 种取值)",该侧无此项,该侧无此项
accepts_schema_id,accepts_schema_id,accepts_schema_id,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""https://astrocs.local/schemas/unified/signal/v1"",""https://astrocs.local/schemas/unified/variance/v1"",""https://astrocs.local/schemas/unified/ivar/v1"",""https://astrocs.local/schemas/unified/source_snr/v1"",""https://astrocs.local/schemas/unified/depth_m5/v1"",""https://astrocs.local/schemas/unified/frame_snr/v1"",""https://astrocs.local/schemas/unified/point_information/v1"",""https://astrocs.local/schemas/unified/sparse_snr_layer/v1"",""https://astrocs.local/schemas/unified/support/v1"",""https://astrocs.local/schemas/unified/coverage/v1"",""https://astrocs.local/schemas/unified/validity/v1"",""https://astrocs.local/schemas/unified/rejection/v1"",""https://astrocs.local/schemas/unified/provenance/v1""]] @eng/contracts/schemas/unified/port_contract.schema.json#/accepts_schema_id ||| 值[const=""https://astrocs.local/schemas/unified/signal/v1""] @eng/contracts/schemas/unified/port_contract.schema.json#/then/accepts_schema_id ||| 值[const=""https://astrocs.local/schemas/unified/variance/v1""] @eng/contracts/schemas/unified/port_contract.schema.json#/then/accepts_schema_id ||| 值[const=""https://astrocs.local/schemas/unified/ivar/v1""] @eng/contracts/schemas/unified/port_contract.schema.json#/then/accepts_schema_id ||| 值[const=""https://astrocs.local/schemas/unified/source_snr/v1""] @eng/contracts/schemas/unified/port_contract.schema.json#/then/accepts_schema_id ||| 值[const=""https://astrocs.local/schemas/unified/depth_m5/v1""] @eng/contracts/schemas/unified/port_contract.schema.json#/then/accepts_schema_id ||| 值[const=""https://astrocs.local/schemas/unified/frame_snr/v1""] @eng/contracts/schemas/unified/port_contract.schema.json#/then/accepts_schema_id ||| 值[const=""https://astrocs.local/schemas/unified/point_information/v1""] @eng/contracts/schemas/unified/port_contract.schema.json#/then/accepts_schema_id (本侧另有 6 种取值)",该侧无此项,该侧无此项
additive_mode,additive_mode,additive_mode,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=""delta"" ｜note默认值断言: 默认delta] @eng/packaging/config/config_registry.json#plugin_knobs[108] field=additive_mode (doc docs/plugins/algorithms_phase2/11_upm.md:98, module 11_upm, finding=unregistered) [registered_at=-]"
affinity,affinity、legacy_v1,affinity；legacy_v1.hardware.affinity,该侧无此项,该侧无此项,该侧无此项,值[minimum=0] @eng/contracts/schemas/cpu_profile.schema.json#/legacy_v1/hardware/affinity/items ; eng/contracts/schemas/hardware_inspect.schema.json#/affinity/items,该侧无此项,该侧无此项
affinity_count,affinity_count,affinity_count,该侧无此项,该侧无此项,该侧无此项,值[minimum=1] @eng/contracts/schemas/hardware_inspect.schema.json#/affinity_count,该侧无此项,该侧无此项
algorithm,artifact_manifest、config_digest、content_digest,artifact_manifest.config_digest.algorithm；artifact_manifest.content_digest.algorithm；config_digest.algorithm；content_digest.algorithm,该侧无此项,该侧无此项,该侧无此项,"值[const=""sha256""] @eng/contracts/data/artifact_manifest.schema.json#/content_digest/algorithm ; eng/contracts/data/artifact_manifest.schema.json#/config_digest/algorithm ; eng/contracts/data/phase_product_exchange.schema.json#/artifact_manifest/content_digest/algorithm ; eng/contracts/data/phase_product_exchange.schema.json#/artifact_manifest/config_digest/algorithm",该侧无此项,该侧无此项
algorithm_psf_model,algorithm_psf_model,algorithm_psf_model,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""moffat4""]] @eng/contracts/schemas/phase_config_normalize.schema.json#/algorithm_psf_model","值[""sparse_snr_layer"" ×1 (value(""k"",d)) @lib/infrastructure/cli/parser.cpp:381] @1 处 / 1 个位点（前 4: value(""k"",d)）；全量见 side5_位点.log",该侧无此项
algorithm_rejection_method,algorithm_rejection_method、mosaic_config,algorithm_rejection_method；mosaic_config.algorithm_rejection_method,该侧无此项,该侧无此项,值[该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)] @lib/infrastructure/cli/session_commands.h#config_fields(mosaic).algorithm_rejection_method [mosaic],"值[enum=[""auto"",""sigma"",""winsorized"",""averaged_sigma"",""linear_fit"",""esd"",""percentile""]] @eng/contracts/schemas/phase_config_mosaic.schema.json#/mosaic_config/algorithm_rejection_method","值[nullptr ×1 (value(""k"",d)) @lib/infrastructure/cli/session_commands.h:245] @1 处 / 1 个位点（前 4: value(""k"",d)）；全量见 side5_位点.log",该侧无此项
algorithm_status,modules,modules.algorithm_status,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""VERIFIED"",""MISSING""]] @eng/contracts/schemas/traceability_matrix.schema.json#/modules/items/algorithm_status",该侧无此项,该侧无此项
algorithm_upm_gauge,mosaic、mosaic_config,mosaic.config.algorithm_upm_gauge；mosaic_config.algorithm_upm_gauge,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""reference_frame"",""sum""]] @eng/contracts/schemas/phase_config_mosaic.schema.json#/mosaic_config/algorithm_upm_gauge",该侧无此项,"值[declared_default=""reference_frame"" ｜note默认值断言: 默认reference_frame] @eng/packaging/config/config_registry.json#plugin_knobs[45] registered_key=mosaic.config.algorithm_upm_gauge (doc docs/plugins/algorithms_phase2/11_upm.md:91, module 11_upm, finding=none) [registered_at=eng/contracts/schemas/phase_config_mosaic.schema.json#/$defs/mosaic_config/properties/algorithm_upm_gauge]"
alpha,,,该侧无此项,该侧无此项,该侧无此项,该侧无此项,值[0.05 ×1 (成员/赋值 p.esd.k=) @lib/algorithms/coverage/src/rejection.cpp:1253] @1 处 / 1 个位点（前 4: 成员/赋值 p.esd.k=）；全量见 side5_位点.log,该侧无此项
aperture_radius,aperture_radius,aperture_radius,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=""~~2×FWHM~~（**值待定**）"" ｜note默认值断言: 默认2] @eng/packaging/config/config_registry.json#plugin_knobs[26] field=aperture_radius (doc docs/plugins/algorithms_phase1/06_photometry.md:76, module 06_photometry, finding=gap) [registered_at=-]"
api_status,modules,modules.api_status,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""VERIFIED"",""MISSING"",""NONE""]] @eng/contracts/schemas/traceability_matrix.schema.json#/modules/items/api_status",该侧无此项,该侧无此项
applied_in_combination_coefficients,weight_mode,weight_mode.parameter_effectiveness.applied_in_combination_coefficients,该侧无此项,该侧无此项,该侧无此项,值[const=true] @eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/parameter_effectiveness/applied_in_combination_coefficients,该侧无此项,该侧无此项
applied_in_effective_psf,weight_mode,weight_mode.parameter_effectiveness.applied_in_effective_psf,该侧无此项,该侧无此项,该侧无此项,值[const=true] @eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/parameter_effectiveness/applied_in_effective_psf,该侧无此项,该侧无此项
approx_wcs,star_detection,star_detection.approx_wcs,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=""无""] @eng/packaging/config/config_registry.json#plugin_knobs[114] registered_key=star_detection.approx_wcs (doc docs/plugins/algorithms_phase1/03_star_detection.md:65, module 03_star_detection, finding=none) [registered_at=eng/contracts/schemas/phase_config_normalize.schema.json#/$defs/star_detection_config]"
approximation.kind,covariance,covariance.approximation.kind,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""pixel_ivar_degenerate"",""diagonal_C""]] @eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/approximation/kind",该侧无此项,该侧无此项
arch,profile_v2,profile_v2.host.arch,该侧无此项,该侧无此项,该侧无此项,"值[const=""amd64""] @eng/contracts/schemas/cpu_profile.schema.json#/profile_v2/host/arch","值["""" ×2 (value(""k"",d)) @lib/infrastructure/benchmark/backend_host/cpu_routing.cpp:125; lib/infrastructure/benchmark/backend_host/profile_gen_v2.cpp:668] @2 处 / 1 个位点（前 4: value(""k"",d)）；全量见 side5_位点.log",该侧无此项
arch_status,modules,modules.arch_status,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""VERIFIED"",""MISSING"",""NONE""]] @eng/contracts/schemas/traceability_matrix.schema.json#/modules/items/arch_status",该侧无此项,该侧无此项
architecture,architecture、legacy_v1,architecture；legacy_v1.hardware.architecture,该侧无此项,该侧无此项,该侧无此项,"值[const=""amd64""] @eng/contracts/schemas/cpu_profile.schema.json#/legacy_v1/hardware/architecture ; eng/contracts/schemas/hardware_inspect.schema.json#/architecture",该侧无此项,该侧无此项
archive_bytes,manifest_storage_product,manifest_storage_product.archive_bytes,该侧无此项,该侧无此项,该侧无此项,值[minimum=1] @eng/contracts/schemas/hips_storage_form.schema.json#/manifest_storage_product/archive_bytes,该侧无此项,该侧无此项
artifact_manifest.size,artifact_manifest,artifact_manifest.size,该侧无此项,该侧无此项,该侧无此项,值[minimum=0] @eng/contracts/data/phase_product_exchange.schema.json#/artifact_manifest/size,该侧无此项,该侧无此项
artifact_manifest.status,artifact_manifest,artifact_manifest.status,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""COMPLETE"",""INCOMPLETE"",""FAILED"",""CANCELLED"",""PENDING""]] @eng/contracts/data/phase_product_exchange.schema.json#/artifact_manifest/status",该侧无此项,该侧无此项
authoring_owner,authoring_owner,authoring_owner,该侧无此项,该侧无此项,该侧无此项,"值[const=""SA-QA-29""] @eng/contracts/schemas/traceability_matrix.schema.json#/authoring_owner",该侧无此项,该侧无此项
authoring_task,authoring_task,authoring_task,该侧无此项,该侧无此项,该侧无此项,"值[const=""DOC-001""] @eng/contracts/schemas/traceability_matrix.schema.json#/authoring_task",该侧无此项,该侧无此项
avail,covariance,covariance.avail,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""available"",""unavailable""]] @eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/avail","值[""available"" ×1 (声明/赋值 k=) @lib/algorithms/calibration/include/astrocs/calibration/v6_calibration_covariance.h:320] @1 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项
available_logical_cpus,available_logical_cpus、legacy_v1,available_logical_cpus；legacy_v1.hardware.available_logical_cpus,该侧无此项,该侧无此项,该侧无此项,值[minimum=1] @eng/contracts/schemas/cpu_profile.schema.json#/legacy_v1/hardware/available_logical_cpus ; eng/contracts/schemas/hardware_inspect.schema.json#/available_logical_cpus,"值[1u ×3 (value(""k"",d)) @lib/infrastructure/benchmark/backend_host/bench_report.cpp:200; lib/infrastructure/benchmark/backend_host/cpu_routing.cpp:74; lib/infrastructure/benchmark/backend_host/profile_gen_v2.cpp:336 ## 0u ×2 (value(""k"",d)) @lib/infrastructure/benchmark/backend_host/cpu_routing.cpp:141; lib/infrastructure/benchmark/backend_host/profile_gen.cpp:58 ## 0 ×1 (声明/赋值 k=) @lib/infrastructure/benchmark/backend_host/bench_report.h:98] @6 处 / 2 个位点（前 4: value(""k"",d); 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项
bad_column_enabled,cosmetic,cosmetic.bad_column_enabled,值[true] @eng/packaging/config/defaults.json#fields[key=cosmetic.bad_column_enabled] [authority_status=owner_adjudicated],该侧无此项,该侧无此项,该侧无此项,"值[true ×1 (value(""k"",d)) @lib/infrastructure/scheduler/src/module_adapters.cpp:2781] @1 处 / 1 个位点（前 4: value(""k"",d)）；全量见 side5_位点.log",该侧无此项
bad_column_master_wide_frac_max,cosmetic,cosmetic.bad_column_master_wide_frac_max,值[0.001] @eng/packaging/config/defaults.json#fields[key=cosmetic.bad_column_master_wide_frac_max] [authority_status=measured],该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项
bad_column_neighbor_k,cosmetic,cosmetic.bad_column_neighbor_k,值[3] @eng/packaging/config/defaults.json#fields[key=cosmetic.bad_column_neighbor_k] [authority_status=sourced],该侧无此项,该侧无此项,该侧无此项,"值[3 ×1 (value(""k"",d)) @lib/infrastructure/scheduler/src/module_adapters.cpp:2783] @1 处 / 1 个位点（前 4: value(""k"",d)）；全量见 side5_位点.log",该侧无此项
bad_column_sigma,cosmetic,cosmetic.bad_column_sigma,值[5.0] @eng/packaging/config/defaults.json#fields[key=cosmetic.bad_column_sigma] [authority_status=sourced],该侧无此项,该侧无此项,该侧无此项,"值[5.0 ×1 (value(""k"",d)) @lib/infrastructure/scheduler/src/module_adapters.cpp:2782] @1 处 / 1 个位点（前 4: value(""k"",d)）；全量见 side5_位点.log",该侧无此项
bad_column_sigma_master,cosmetic,cosmetic.bad_column_sigma_master,值[10.5] @eng/packaging/config/defaults.json#fields[key=cosmetic.bad_column_sigma_master] [authority_status=measured],该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项
bad_column_variance_kappa,cosmetic,cosmetic.bad_column_variance_kappa,值[2.0] @eng/packaging/config/defaults.json#fields[key=cosmetic.bad_column_variance_kappa] [authority_status=derived],该侧无此项,该侧无此项,该侧无此项,"值[2.0 ×1 (value(""k"",d)) @lib/infrastructure/scheduler/src/module_adapters.cpp:2812] @1 处 / 1 个位点（前 4: value(""k"",d)）；全量见 side5_位点.log",该侧无此项
band_height,band_height,band_height,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[63] field=band_height (doc docs/plugins/algorithms_phase3/16_fits_output.md:42, module 16_fits_output, finding=none) [registered_at=docs/plugins/algorithms_phase3/16_fits_output.md:42]"
baseline_compare,baseline_compare,baseline_compare,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=""true"" ｜note默认值断言: 默认true] @eng/packaging/config/config_registry.json#plugin_knobs[54] field=baseline_compare (doc docs/plugins/algorithms_phase2/13_integration.md:74, module 13_integration, finding=none) [registered_at=docs/plugins/algorithms_phase2/13_integration.md:74]"
baselines,psfsw,psfsw.baseline_comparison.baselines,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""equal"",""exposure"",""pixel_ivar"",""W_info""]] @eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/baseline_comparison/baselines/items",该侧无此项,该侧无此项
bias_path,bias_path,bias_path,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[0] field=bias_path (doc docs/plugins/algorithms_phase1/01_calibration.md:44, module 01_calibration, finding=none) [registered_at=eng/contracts/schemas/phase_config_normalize.schema.json#/properties/blocks[]]"
bitpix,bitpix,bitpix,该侧无此项,该侧无此项,值[该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)] @lib/infrastructure/cli/session_commands.h#config_fields(export).bitpix [export],"值[enum=[-32,-64]] @eng/contracts/schemas/phase_config_export.schema.json#/bitpix","值[-64 ×7 (value(""k"",d),声明/赋值 k=,成员/赋值 l.spec.k=) @lib/algorithms/integration/v6/src/phase2_integrate.cpp:1133; lib/algorithms/integration/v6/src/phase2_integrate.cpp:163; lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:135; lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:183 ## -32 ×6 (value(""k"",d),声明/赋值 k=) @lib/algorithms/fits_output/p3_output.cpp:639; lib/infrastructure/aio/src/aio_pipeline.cpp:1468; lib/infrastructure/scheduler/src/module_adapters.cpp:13525; lib/infrastructure/scheduler/src/module_adapters.cpp:13732 ## 0 ×6 (声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/fits_reader.cpp:200; lib/algorithms/integration/v6/src/phase2_integrate.cpp:240; lib/infrastructure/aio/src/aio_pipeline.cpp:1462; lib/infrastructure/aio/v6/include/astro/aio/v6_fits.h:110 ## 16 ×1 (成员/赋值 hdr.k=) @lib/infrastructure/aio/src/aio_fits.cpp:114 ## 32 ×1 (声明/赋值 k=) @lib/infrastructure/aio/src/aio_pipeline.cpp:1472 ## 64 ×1 (声明/赋值 k=) @lib/infrastructure/aio/src/aio_pipeline.cpp:1474 ## nullptr ×1 (value(""k"",d)) @lib/infrastructure/cli/session_commands.h:301] @23 处 / 4 个位点（前 4: value(""k"",d); 声明/赋值 k=; 成员/赋值 hdr.k=; 成员/赋值 l.spec.k=）；全量见 side5_位点.log",该侧无此项
bkg_spline_spacing,bkg_spline_spacing,bkg_spline_spacing,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[100] field=bkg_spline_spacing (doc docs/plugins/algorithms_phase2/11_upm.md:93, module 11_upm, finding=none) [registered_at=docs/plugins/algorithms_phase2/11_upm.md:91]"
