符号/键,位置(路径:行),现行值,单位,坐标系/归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,备注
io_wait_high_percent,lib/infrastructure/cli/resource_gate.h:207,50.0,%（iowait 占区间）,系统级 iowait×100（含他进程，21_observability §8.7）,未规定,iowait>50 判 IoWaitHigh,无出处,无——契约无 iowait 键、21_observability §8.3 判据表七项亦无『异常 IO 等待』；lib 内注称『07 §3』文档不在跟踪集（详见 md §5）,④ 待确认,CLI 生产面不可达（输入 :182 恒 0.0）,多侧同值无源：C++ 结构体默认 50.0（不可配置）↔ 外挂 judge CLI 默认 50.0（eng/tools/quality/resource_monitor.py:895 --max-io-wait-percent）⇒ 两侧同数但皆未登记；违反契约 authority_note『实现侧不得再出现字面量阈值』；:204 同一结构体内 memory_growth_limit 已改从契约取，本键漏改。
util_samples_pass_frac,lib/infrastructure/cli/resource_gate.h:211,.1;0.75,分数 0..1,逐样本占比,未规定,>=0.70 判绿,不适用（结构性常数）,实际初值 = kMon001NotSampled（契约哨兵）；机械层报的 .1/0.75 是注释文本,不适用（结构性常数）,逐样本占比输入，0..1,注释『U>=0.75 样本占比』与契约冲突：per_sample_utilization_min_percent=85、per_sample_pass_fraction_min=0.7，且本文件 :125 自述『旧 D.6 的 75%/50% 已在契约中废止，不得回归』⇒ 同一文件注释与冻结值打架（与 :529、A07#20 同案）。
queue_low_run_seconds,lib/infrastructure/cli/resource_gate.h:212,0.50,s,连续窗长,未规定,>=10 s 判 QueueStarvedCpu,不适用（结构性常数）,实际初值 = kMon001NotSampled；机械层报的 0.50 是注释文本,不适用（结构性常数）,连续低利用窗，>=0,注释『U<0.50』与契约 compute.queue_low_utilization_percent=60 矛盾（同一废止条款的残留）。
work_core_seconds,lib/infrastructure/cli/resource_gate.h:225,-1.0,线程秒（等效核·秒）,—,不适用,>=0 为已提供,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,生产由 commands.cpp:944 无条件覆盖 ⇒ -1 回算分支仅单元/直调路径可达；下限 10 核·秒本身取自契约 workload_floor_core_seconds ✓。
(无名),lib/infrastructure/cli/resource_gate.h:232,0.0,无量纲,—,不适用,0.0 = 哨兵下界,不适用（结构性常数）,—（比较用的哨兵/零值守卫，不是判据阈值）,不适用（结构性常数）,0.0 = 哨兵下界,gate_window_representative 的『未提供』比较（<0 放行）。
(无名),lib/infrastructure/cli/resource_gate.h:240,0.0,无量纲,—,不适用,0.0 = 哨兵下界,不适用（结构性常数）,—（比较用的哨兵/零值守卫，不是判据阈值）,不适用（结构性常数）,0.0 = 哨兵下界,work_core_seconds_of 的『已提供』比较。
win,lib/infrastructure/cli/resource_gate.h:241,0.0,无量纲,—,不适用,哨兵/合法性判别，非阈值,不适用（结构性常数）,—（比较用的哨兵/零值守卫，不是判据阈值）,不适用（结构性常数）,哨兵/合法性判别，非阈值,选窗回退：active_window>0 否则用 wall；与 :232 的 <0 三态混用（登记）。
(无名),lib/infrastructure/cli/resource_gate.h:295,0.0,未标注,未标注,未标注,未标注,不适用（结构性常数）,—（除零守卫）,① 登记出处（现值与契约相反，须改）,allocated_capacity_cores==0 时,返回 0.0 把『算不出』伪装成『利用率 0%』，与契约 denominator.zero_denominator_effect（不成立→记 allocated_capacity_undeclared、不参与裁决）方向相反；应回哨兵 -1。
(无名),lib/infrastructure/cli/resource_gate.h:302,0.0,无量纲,—,不适用,0 = 无阈值,不适用（结构性常数）,—（比较用的哨兵/零值守卫，不是判据阈值）,不适用（结构性常数）,0 = 无阈值,非 Compute 返回阈值 0 ⇒ 使 :365 的 thr>0 短路。
(无名),lib/infrastructure/cli/resource_gate.h:304,0.0;100.0,未标注,未标注,未标注,(kCpuMeanMinPercent/100)*m,不适用（结构性常数）,—（百分比→分数换算；100.0 是『百分』定义的一部分）,不适用（结构性常数）,Compute 且分母>=1,换算方向已核：kCpuMeanMinPercent(85)/100 × 已分配核数 ⇒ 单位=核，与 avg_equivalent_cores 同量纲 ✓。
(无名),lib/infrastructure/cli/resource_gate.h:336,5.0,s,进程 wall 秒,未规定,wall>5.0 且无 stage 标注,无出处（引用指针悬空）,无——注称『07 §1/§3/§4』；跟踪集内唯一 07_*.md 是 docs/plugins/algorithms_phase1/07_noise_snr.md（噪声/SNR 面），git log --diff-filter=D 亦无资源面 07 文档；契约与 §8.3 判据表均无『无标注>5s → P1』,④ 待确认,CLI 生产可达（kind 恒 Compute，本判据在 kind 分派之前）,CL-5S 第二处（另两行：A07#1 resource_events.h:84 默认参数、A08#7 :397）：同值三写且无唯一数值源登记。
(无名),lib/infrastructure/cli/resource_gate.h:343,0.0,无量纲,—,不适用,0.0 = 哨兵下界,不适用（结构性常数）,—（比较用的哨兵/零值守卫，不是判据阈值）,不适用（结构性常数）,0.0 = 哨兵下界,workers_p50 的哨兵比较（>=0 才用观测值）。
(无名),lib/infrastructure/cli/resource_gate.h:363,5.0,s,wall 秒,未规定,wall<5.0 → NotApplicable,无出处,无——注称『07 §1/§3/§4』；跟踪集内唯一 07_*.md 是 docs/plugins/algorithms_phase1/07_noise_snr.md（噪声/SNR 面），git log --diff-filter=D 亦无资源面 07 文档；契约 applicability 只规定『严格>10 s』并明记『C++ 侧原有 wall<5s 静默豁免已废止』,④ 待确认,仅 active_window 未提供（<0）的直调/单元路径可达,第二个判定域下限（5 s）不在唯一数值源内；处置虽已是显式 NotApplicable（非豁免），但 5 这个数值本身仍是无源字面量，且与契约唯一域界 10 并存。
(无名),lib/infrastructure/cli/resource_gate.h:368,20.0;5.0,%；s,单核标度 / iowait,未规定,cpu<20 && iowait<5,无出处,无——注称『07 §1/§3/§4』；跟踪集内唯一 07_*.md 是 docs/plugins/algorithms_phase1/07_noise_snr.md（噪声/SNR 面），git log --diff-filter=D 亦无资源面 07 文档；契约/§8.3 均无『CPU/io/mem 皆低』判据,④ 待确认,Compute 分支、active window>=10 s,20.0 用单核刻度而本文件阈值口径要求容量归一（见 A07#10）；iowait 腿输入恒 0.0（:182 未接线）⇒ 三腿判据实际退化为『cpu<20』。簇内共 2 行（:368 含 20.0 与 5.0，:369 含 15.0）。
(无名),lib/infrastructure/cli/resource_gate.h:369,0.0;15.0,未定（分数或 %）,内存带宽占用,未规定,mem_bw<15,无出处,无——注称『07 §1/§3/§4』；跟踪集内唯一 07_*.md 是 docs/plugins/algorithms_phase1/07_noise_snr.md（噪声/SNR 面），git log --diff-filter=D 亦无资源面 07 文档,④ 待确认,Compute 分支同上,mem_bandwidth_percent 生产恒 -1 ⇒ 本腿恒真；15.0 无源、单位亦未在契约或注释中定义。
(无名),lib/infrastructure/cli/resource_gate.h:375,0.0,无量纲,—,不适用,哨兵/合法性判别，非阈值,不适用（结构性常数）,—（比较用的哨兵/零值守卫，不是判据阈值）,不适用（结构性常数）,哨兵/合法性判别，非阈值,cpu_p50 哨兵比较（未采样即跳过）——方向正确。
(无名),lib/infrastructure/cli/resource_gate.h:377,0.0,无量纲,—,不适用,哨兵/合法性判别，非阈值,不适用（结构性常数）,—（比较用的哨兵/零值守卫，不是判据阈值）,不适用（结构性常数）,哨兵/合法性判别，非阈值,cpu_mean 哨兵比较——方向正确。
(无名),lib/infrastructure/cli/resource_gate.h:382,0.0,无量纲,—,不适用,哨兵/合法性判别，非阈值,不适用（结构性常数）,—（比较用的哨兵/零值守卫，不是判据阈值）,不适用（结构性常数）,哨兵/合法性判别，非阈值,achieved 带宽比率的『未测=FAIL』比较；Memory 分支生产不可达。
(无名),lib/infrastructure/cli/resource_gate.h:391,0.0,无量纲,—,不适用,哨兵/合法性判别，非阈值,不适用（结构性常数）,—（比较用的哨兵/零值守卫，不是判据阈值）,不适用（结构性常数）,哨兵/合法性判别，非阈值,把『await<=0』当作『无 IO 证据』的一腿：0 等待与未测不可分；Io 分支不可达。
(无名),lib/infrastructure/cli/resource_gate.h:397,5.0,s,wall 秒,未规定,wall>5.0,无出处（引用指针悬空）,无——注称『07 §1/§3/§4』；跟踪集内唯一 07_*.md 是 docs/plugins/algorithms_phase1/07_noise_snr.md（噪声/SNR 面），git log --diff-filter=D 亦无资源面 07 文档,④ 待确认,Unknown kind 分支,同 :336 的 5 s 判据复写（CL-5S 第 3 处）；Unknown 分支生产不可达（kind 恒 Compute）。
(无名),lib/infrastructure/cli/resource_gate.h:414,100.0,无量纲换算因子,—,不适用,U∈0..1,不适用（结构性常数）,—（utilization_value 的百分→分数换算，定义性）,不适用（结构性常数）,逐样本 U 计算,与 :304/:293 同一换算链，口径一致（100%=已分配容量用满）✓。
(无名),lib/infrastructure/cli/resource_gate.h:421,0.0,无量纲,—,不适用,0 = 无样本,不适用（结构性常数）,—（比较用的哨兵/零值守卫，不是判据阈值）,不适用（结构性常数）,0 = 无样本,样本数为正的合法性比较（monitoring_effective）。
(无名),lib/infrastructure/cli/resource_gate.h:460,0.0,无量纲,—,不适用,0 = 无样本,不适用（结构性常数）,—（比较用的哨兵/零值守卫，不是判据阈值）,不适用（结构性常数）,0 = 无样本,alloc 面『零有效样本=FAIL』的 fail-closed 比较。
(无名),lib/infrastructure/cli/resource_gate.h:479,0.0,无量纲,—,不适用,哨兵/合法性判别，非阈值,不适用（结构性常数）,—（比较用的哨兵/零值守卫，不是判据阈值）,不适用（结构性常数）,哨兵/合法性判别，非阈值,diag_message 里的哨兵比较（呈现用，不参与判定）。
(无名),lib/infrastructure/cli/resource_gate.h:492,0.85,—,—,不适用,字符串常量,C 二手（字符串复写契约值）,eng/contracts/resource_gate_v1.json compute.mean_utilization_min_percent=85（应写成 kCpuMeanMinPercent/100）,② 可由契约导出,诊断文本呈现,把阈值 0.85 抄进面向用户的失败文案：契约改值即产生假文案。与 :529 同案（L4）。
(无名),lib/infrastructure/cli/resource_gate.h:529,0.75,—,—,不适用,字符串常量,无出处（与契约矛盾的陈旧值）,无——契约是 85/0.70，本串写 0.75；:125 已自述 75% 废止,④ 待确认,诊断文本呈现,非数值常数（fprintf 前的字符串字面量），但内容假：U>=0.75 与实际判据 U>=0.85 不符 ⇒ 立案 L4。
(无名),lib/infrastructure/cli/resource_gate.h:542,100.0,无量纲换算因子,—,不适用,百分比→分数,不适用（结构性常数）,—（诊断串里把契约百分值换算成分数的定义性因子）,不适用（结构性常数）,diag_message 文本,100.0 = 『百分』定义，与 :304/:414 同一换算（簇内 3 行）；呈现的是 kMon001QueueUtilMinPercent/100=0.60，与契约 queue_low_utilization_percent=60 一致 ✓。
(无名),lib/infrastructure/cli/resource_gate.h:63,0.85;10.5,—,—,—,注释,不适用（结构性常数）,—（枚举行注释里的 0.85 与 §10.5，非字面量）,不适用（结构性常数）,注释,机械层『行内浮点字面量』结论作废：本行只有枚举量 UtilizationP75Low。注内 §10.5 属已废止宪章（docs/DOCUMENT_INDEX.yaml:1065『原引「冻结宪章」已废止』）⇒ 与 :138/:191/:198/:298 同案（L5）。
cpu_pct,lib/infrastructure/cli/resource_recorder.h:128,0.0;100.0,等效核×100,percent_of_one_core（非容量归一）,不适用,n>=0,不适用（结构性常数）,—（单位换算/除零守卫）,不适用（结构性常数）,逐样本采集,100.0 = 本仓 cpu_pct 单位定义（1 核满载=100），出处 resource_recorder.h:5-8 与 21_observability §8.7；interval_<=0 的 0.0 回退把『间隔非法』伪装成 0% CPU（登记）。
(无名),lib/infrastructure/cli/resource_recorder.h:155,0.0;100.0,等效核×100,percent_of_one_core（非容量归一）,不适用,n>=0,不适用（结构性常数）,—（单位换算/除零守卫）,不适用（结构性常数）,逐样本采集,同 :128（每线程 CPU 峰值刻度）。
(无名),lib/infrastructure/cli/resource_recorder.h:157,0.0;100.0,等效核×100,percent_of_one_core（非容量归一）,不适用,n>=0,不适用（结构性常数）,—（单位换算/除零守卫）,不适用（结构性常数）,逐样本采集,同 :128（每线程 CPU 和刻度）。
(无名),lib/infrastructure/cli/resource_recorder.h:159,0.0;100.0,等效核×100,percent_of_one_core（非容量归一）,不适用,n>=0,不适用（结构性常数）,—（单位换算/除零守卫）,不适用（结构性常数）,逐样本采集,同 :128；本列口径含他进程 iowait（§8.7 已澄清，消费者须写明档位）。
progress_,lib/infrastructure/cli/resource_recorder.h:208,0.0,分数 0..1,—,不适用,0..1,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,注入式进度；0.0 与『进度 0%』不可分，但判定用的是独立 bool progress_stalled（gate:206），本字段不进判据。
(无名),lib/infrastructure/cli/resource_recorder.h:221,0.0,未标注,未标注,未标注,未标注,不适用（结构性常数）,—（空集守卫）,④ 待确认（估计器定义无登记）,v 为空,『无样本』与『p50=0』返回同一 0.0 ⇒ 下游 stage_stats 的 cpu_pct_p50=0 会被当已采样参与判红；契约要求『有效样本<2 回落峰值』在 C++ 侧无实现点（L8）。
(无名),lib/infrastructure/cli/resource_recorder.h:225,0.5,未标注,未标注,未标注,未标注,C 二手（规格只写 mean/p50/p95/peak 之名）,无——最近秩变体 idx=round(q*(N-1)) 的定义在 21_observability §8.3 与契约均未登记,④ 待确认,样本数>=1,p50/p95 的**估计器**未登记 ⇒ 同一批样本两实现可给不同分位；q 本身（0.5）取自契约统计量名，+0.5 是四舍五入秩。簇内 4 行（:225/:259/:260/:263）。
sum_cpu,lib/infrastructure/cli/resource_recorder.h:241,0.0,等效核×100 累加,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,均值累加器初值（结构性）。
sum_tcpu,lib/infrastructure/cli/resource_recorder.h:242,0.0,等效核×100 累加,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,同上（每线程 CPU 和累加器）。
cpu_pct_p50,lib/infrastructure/cli/resource_recorder.h:259,0.50,未标注,未标注,未标注,未标注,不适用（结构性常数）,"eng/contracts/resource_gate_v1.json compute.p50_utilization_min_percent 的统计量名=""p50""",② 可由契约导出（等级）／估计器待确认,送 gate :190 判据⑤,分位等级 0.50 = 契约统计量名，数值本身不是阈值；估计器定义同 :225。
cpu_pct_p95,lib/infrastructure/cli/resource_recorder.h:260,0.95,未标注,未标注,未标注,未标注,不适用（结构性常数）,—（报告面统计量）,不适用（结构性常数）,仅写 resource_summary.json,已核无判据消费者：契约 §8.3 七项与 evaluate_gate/mon001/mon002 均不读 p95 ⇒ 不进科学语义。
workers_p50,lib/infrastructure/cli/resource_recorder.h:263,0.50,未标注,未标注,未标注,未标注,不适用（结构性常数）,"eng/contracts/resource_gate_v1.json compute.min_active_compute_threads_statistic=""p50""",② 可由契约导出（等级）／估计器待确认,送 gate :185 判据①,同 :259；但契约另要求有效样本<2 回落 peak，此处仍返回 p50 ⇒ 回落缺失点在此（L8）。
dt,lib/infrastructure/cli/resource_recorder.h:265,0.001,s,首末样本时间差,未规定,"max(0.001, Δt)",无出处,无——epsilon 未给物理/数值来源（标准 02 §3 要求）,④ 待确认,st_.wall_seconds < 1 ms 的极短阶段,RSS 斜率分母下限 1 ms ⇒ 斜率被放大最多 1000×；本列产物 rss_slope_bytes_per_s 又与 memory_report.h 的『整条曲线稳健斜率』并存两套估计器（gate:448 明禁只看端点）。
ASTROCS_RES_HAVE_CFITSIO_LOCK_STATS,lib/infrastructure/cli/resource_recorder.h:29,1,—,—,—,预处理,不适用（结构性常数）,—（#if defined 特性宏存在性哨兵）,不适用（结构性常数）,__has_include 命中时,机械层判为『命名常数（纯数值初始化）』作废：值只用于 #if defined() 判存在，不进任何算术；效果仅决定 lock_wait_ns 列是否填实测值。
(无名),lib/infrastructure/cli/resource_recorder.h:295,.2f;.3f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用（结构性常数）,产物文本表示,timeseries 是曲线唯一载体（resource_events.h:6-7）：cpu_pct 两位小数=0.01 核，对 85% 判据分辨率充分；elapsed 三位=1 ms ≪ 10 s 域界。
(无名),lib/infrastructure/cli/resource_recorder.h:296,.2f;.3f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用（结构性常数）,产物文本表示,:295 同一 fprintf 的续行格式串 ⇒ 与 :295 同判（共用一条出处，簇内 A08#29+A09#1）。
(无名),lib/infrastructure/cli/resource_recorder.h:319,.3f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用（结构性常数）,产物文本表示,resource_summary.json 的 wall/overhead 三位小数（1 ms）≪ 10 s 域界 ⇒ 充分。
s,lib/infrastructure/cli/resource_recorder.h:327,.3f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用（结构性常数）,产物文本表示,阶段块 JSON 的 wall_seconds 精度。
(无名),lib/infrastructure/cli/resource_recorder.h:328,.2f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用（结构性常数）,产物文本表示,阶段统计 %.2f（100=1 核刻度下的 0.01 核）⇒ 对 85%/90% 判据分辨率充分。
(无名),lib/infrastructure/cli/resource_recorder.h:329,.2f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用（结构性常数）,产物文本表示,阶段统计 %.2f（100=1 核刻度下的 0.01 核）⇒ 对 85%/90% 判据分辨率充分。
(无名),lib/infrastructure/cli/resource_recorder.h:330,.2f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用（结构性常数）,产物文本表示,阶段统计 %.2f（100=1 核刻度下的 0.01 核）⇒ 对 85%/90% 判据分辨率充分。
(无名),lib/infrastructure/cli/resource_recorder.h:332,.2f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用（结构性常数）,产物文本表示,阶段统计 %.2f（100=1 核刻度下的 0.01 核）⇒ 对 85%/90% 判据分辨率充分。
(无名),lib/infrastructure/cli/resource_recorder.h:333,.2f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用（结构性常数）,产物文本表示,阶段统计 %.2f（100=1 核刻度下的 0.01 核）⇒ 对 85%/90% 判据分辨率充分。
(无名),lib/infrastructure/cli/resource_recorder.h:335,.2f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用（结构性常数）,产物文本表示,阶段统计 %.2f（100=1 核刻度下的 0.01 核）⇒ 对 85%/90% 判据分辨率充分。
util,lib/infrastructure/cli/resource_recorder.h:369,0.0;100.0,%（并行平衡度，非容量利用率）,active+runnable 归一,不适用,denom>0,不适用（结构性常数）,定义性换算（100=百分），但**定义本身与权威口径同名不同义**,① 登记出处（须改名或写明口径）,worker_balance.csv 的 utilization_pct 列,此处 util=active/(active+runnable)×100，而 21_observability §8.2 与契约把『利用率』定义为占已分配容量百分比 ⇒ 同一产物族里 utilization 两义（L12）；denom==0 回退 0.0 同 :295 类问题。
(无名),lib/infrastructure/cli/resource_recorder.h:370,.2f;.3f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用（结构性常数）,产物文本表示,worker_balance.csv 的 util 两位小数。
elapsed_seconds,lib/infrastructure/cli/resource_recorder.h:49,0.0,s,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,样本单调时刻初值；生产每条样本由 :124 覆盖。
cpu_pct,lib/infrastructure/cli/resource_recorder.h:51,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,见 :128（同一刻度定义）。
system_cpu_pct,lib/infrastructure/cli/resource_recorder.h:53,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用（结构性常数）,仅作为未接线时的占位,系统级 CPU 占用；注释『可得时』未定口径（登记）。
