"符号/键","位置(路径:行)","现行值","单位","坐标系/归一化","精度要求","有效有限域","来源现状","出处","处置","适用域","备注"
"noise.mask_r_min_px","eng/packaging/config/defaults.json:233","1.5","px","逐星半径下界 r_min=max(1.5 px, 0.75·FWHM_i) 的绝对项","无精度陈述","注册 constraint 写 >=1 而取值 1.5（两数不同源）；schema :281-285 minimum=**0** maximum=1e4；解析层 [0,1e4]","文献值（本仓 SCI §5a 同式，无外部一手）","docs/science/NOISE_MODEL.md:96（r_min = max(1.5 px, 0.75·FWHM_i)；符号表 :38 同）；注册件所引 :85 是空行","文献值（本仓冻结档）","Phase1 逐星掩膜半径下界","值域两侧不等立案：注册面 >=1、权威式取 max(1.5,·)，但 schema 与解析层都放行 0 ⇒ 填 0 时 schema/代码判合法、使用层 :827 静默改取 1.5 而 noise_cfg_applied 回执记 0（第四侧隐藏默认）；两处同值 noise_model.cpp:1259 与 :827；单位/语义有；1.5 本身无推导（为何不是 1 或 2 未述）"
"noise.mask_fwhm_floor_scale","eng/packaging/config/defaults.json:247","0.75","1（无量纲）","r_min 的 FWHM 项系数 0.75·FWHM_i","无精度陈述","注册 >0；schema :288-292 minimum=**0** maximum=1e3；解析层 [0,1e3]；使用层把 <=0 当 unset","文献值但只给结果不给式","docs/science/NOISE_MODEL.md:96（同式一项）；**0.75 与 PSF 核心覆盖的关系全仓无推导**（既未写 0.75·FWHM 覆盖多少能量，也未给 Moffat/Gaussian 的等效半径式）","公式导出（须补导出式：由 β=4 的 Moffat 围道能量占比给出）或降档待确认","Phase1 逐星掩膜半径下界","同 r_min 侧不一致（schema 允许 0、使用层 :828 静默取 0.75、回执仍记 0）；两处字面量 noise_model.cpp:1260 与 :828；对照 SCI :103 的回调规则用 4·FWHM_i ⇒ 同文档对 FWHM 系数同时用 0.75 与 4 两个量级而无换算说明；语义有、单位无量纲"
"noise.mask_budget_min_patches","eng/packaging/config/defaults.json:261","8","count","天空预算合格 patch 数下限 n_qualified","无精度陈述","注册 constraint 写 >=4；取值 8；schema :295-299 minimum=**1** maximum=1e6；解析层 [1,1e6]","可公式导出（下限 4 由平面 LS 可辨识性导出；8=2x 余量无据）","docs/science/NOISE_MODEL.md:98（n_qualified(s) >= 8 且 N_sky >= 9216）；>=4 的来源 = §4 :54 平面场启用条件（3 参数 + 非共线）","公式导出（4 部分）+ 实验标定（8/4=2 的余量倍数部分）","Phase1 掩膜天空预算","值域三侧不等：注册 >=4 / schema 1 / 代码 1 ⇒ 填 1..3 时合同与代码都放行，而 SCI 判平面场不可辨识（静默降级为常量场，fail-open）；两处同值 noise_model.cpp:1261 与 :829（后者以 8u 硬编码兜底 0）；与 noise.patch_grid 的 8x8 同数不同义（一个是格数一个是合格数），units=count 有、语义有"
"noise.mask_budget_min_sky","eng/packaging/config/defaults.json:275","9216","px","未被掩膜合法像素数下限 N_sky","SE(sigma_hat)/sigma <= 1.5%","注册 >=1；schema :302-306 [1,1e9]；解析层 [1,1e9]；使用层把 <=0 当 unset","可公式导出（且式已在权威内）","docs/science/NOISE_MODEL.md:98-99（(1.44/0.015)^2=9216；SE≈1.44/sqrt(N) 由 c≈1.152/sqrt(N) 与中位数效率 1.25 导出）；:100-101 另警告该量是相对标准误、不可当 dex 用","公式导出（代码应按式算，不应写死 9216）","Phase1 天空预算与 §8 全帧兜底","典型『该导出却硬编码』：noise_model.cpp:1262 与 :830 直接写 9216ull/9216，容差 1.5% 或效率系数变更时不联动；同键三侧另有 schema :306 default=9216（第四侧）与 README:— 未列；注意 §8 全帧兜底用 max(min_patch_samples, mask_budget_min_sky)=9216 而 MAD 路径解析 SE≈1.144/sqrt(N) ⇒ 同一 9216 在两条路径对应两个不同精度（1.5% vs 1.19%），注册件 note 已如实记录；语义/单位/精度要求三者齐备的一行"
"rejection.sigma.lower_sigma","eng/packaging/config/defaults.json:289","4.0","sigma","sigma-clip 低侧阈值（正数）；方向异常：lower(4.0)>upper(3.0)","未标注","注册 >0；**schema 侧无承载**（mosaic $defs/reject 与 $defs/upm 均为裸 type=object，无 properties/default/min/max）⇒ 合同面不校验任何排异阈值","文献值（本仓 SCI 阈值冻结表）","docs/science/REJECTION.md:116（sigma/winsorized/averaged: 4.0/3.0/8）；注册件所引 :97 是 WBPP 档界叙述行、source_ref 又写 :68（该处无此值）⇒ source 与 source_ref 互相打架且两者都不含值","文献值（本仓冻结档；外部一手只到方法学，不到门值）","Phase2 多值堆排异","本行与 rejection.* 其余 14 行共用一条出处（同表 :116-121）；代码侧唯一承载 rejection.cpp:1246（p.sigma.lower_sigma=4.0）⇒ 实际只有『注册+代码』两侧，schema/模板/CLI/registry 四侧全缺；同一 4.0/3.0/8 三元组在代码里服务**四个**方法（sigma :1246、winsorized :1247-1248、averaged :1249-1250、median_sigma :1255-1256），而注册面只登记三个 ⇒ median_sigma 一族阈值为隐藏默认；物理判据交 AUD-203"
"rejection.sigma.upper_sigma","eng/packaging/config/defaults.json:303","3.0","sigma","sigma-clip 高侧阈值（正数）","未标注","注册 >0；无 schema 承载","文献值（同三元组）","docs/science/REJECTION.md:116（同表；注册件 :97/:68 双锚均不含值）","文献值（本仓冻结档）","Phase2 多值堆排异","与上行同簇合并（共用 :116 出处）；代码侧 rejection.cpp:1246=3.0 单侧；语义有、单位 sigma 有、精度要求无；3.0 与 4.0 的不对称方向与『天光正偏』预期一致但文档未写依据（该依据属科学判据面，交 AUD-203）"
"calibration.master_flat_median_range","eng/packaging/config/defaults.json:31","[0.5, 2.0]","1（无量纲）","已归一 master flat 的中位数判定带；合同值 1.0，带内=视为已归一，带外须显式 master_flat_normalize=median","带内/带外二值判定，无精度要求","注册：median(flat)∈[0.5,2.0]；schema :214-221 只约束 array 长度 2 与 lower<upper，**不声明 default 也不声明带值**⇒ 带值无合同承载","可公式导出（数量级判带，非科学容差）","真锚 docs/science/CALIBRATION.md:182（冻结默认 [0.5, 2.0]）+ docs/algorithms/CALIBRATION_ALGORITHMS.md:57；注册件所引 :103 讲的是**平场响应下界 0.1**（与此带无关）⇒ 锚点指向另一常数","文献值（本仓冻结档；建议改判公式导出并写清『两个数量级』判据）","master flat 消费边界（越界 DATA 拒绝 rc=2）","本队列唯一有门背书的默认键：代码常量 lib/include/astrocs/core/master_unit_guard.h:34-35（0.5/2.0），且 eng/tools/quality/check_master_unit_guard.py 机器核对 ⇒ 注册/代码/门三侧闭合；**但该头文件 :32 自称的三处同值锚（SCI:101-102 / ALG:56）两条都不含带值**（:101-102 = 0.1 响应下界段，ALG 真锚 :57）⇒ 连有门背书的键其出处链也是坏的；schema :214-221 刻意不给 default ⇒ 无第五侧；语义完备（:36 明写『不是科学容差』）"
"rejection.sigma.max_iterations","eng/packaging/config/defaults.json:317","8","iterations","sigma-clip 迭代上限","未标注（未给收敛余量）","注册 >=1；无 schema 承载","文献值（同三元组）","docs/science/REJECTION.md:116（第三位 8）","文献值（本仓冻结档）","Phase2 多值堆排异","键名同名多值族确认并扩列：leaf 名 max_iterations 在生产面承载至少六套互不相干的上限——rejection.cpp:1246/1248/1250/1252/1256=8、upm.cpp:270/287/2460=100、json_config.h:50=100、stage2_common.h:65 max_irls_iterations=100、ipv_robust_refine.h:48=10、sky_plane.cpp:457=30、:517=1；配置键面只覆盖 rejection 的 8；eng/ci/ledgers/config_default_divergences.json 的 config_default_divergence:max_iterations 以『同名不同义』豁免，但其 reason 写『rejection 等其它算法缺省 1』与实际 8 不符 ⇒ 登记表本身读数错误"
"rejection.winsorized.lower_sigma","eng/packaging/config/defaults.json:331","4.0","sigma","winsorized 低侧阈值","未标注","注册 >0；无 schema 承载","文献值（三元组共用一行事实）","docs/science/REJECTION.md:116","文献值（本仓冻结档）","Phase2 排异","同簇（与 sigma/averaged/median_sigma 共用 :116 一条出处，共 4 族 12 键）：代码 rejection.cpp:1247；注册面把一份事实复制成 9 条登记（sigma/winsorized/averaged 各三），每条 source 相同 ⇒ defaults.json 自身违反 registry 的 no_second_source 精神；语义有单位有精度无"
"rejection.winsorized.upper_sigma","eng/packaging/config/defaults.json:345","3.0","sigma","winsorized 高侧阈值","未标注","注册 >0；无 schema 承载","文献值（三元组共用）","docs/science/REJECTION.md:116","文献值（本仓冻结档）","Phase2 排异","同簇：代码 rejection.cpp:1247；无 schema/模板/CLI/registry 侧"
"rejection.winsorized.max_iterations","eng/packaging/config/defaults.json:359","8","iterations","winsorized 迭代上限","未标注","注册 >=1；无 schema 承载","文献值（三元组共用）","docs/science/REJECTION.md:116（第三位）","文献值（本仓冻结档）","Phase2 排异","同簇（共用 :116）；代码 rejection.cpp:1248；仅注册+代码两侧；单位有、精度要求无（未说明 8 轮相对典型 n 的收敛余量）"
"rejection.averaged_sigma.lower_sigma","eng/packaging/config/defaults.json:373","4.0","sigma","averaged_sigma 低侧阈值","未标注","注册 >0；无 schema 承载","文献值（三元组共用）","docs/science/REJECTION.md:116","文献值（本仓冻结档）","Phase2 排异","同簇；键名与符号名不一致：注册族名 averaged_sigma vs 实现字段 p.averaged（rejection.cpp:1249）⇒ 以 averaged_sigma 为 leaf 名在生产面 grep 零命中，改名/自动同步类工具会漏；defaults.json:299 另把『冻结锚点』写成 rejection.cpp:1053-1062，该处实为定长堆容器私有成员与 scratch_median ⇒ 实现锚也失配（真锚 :1245-1263）"
"rejection.averaged_sigma.upper_sigma","eng/packaging/config/defaults.json:387","3.0","sigma","averaged_sigma 高侧阈值","未标注","注册 >0；无 schema 承载","文献值（三元组共用）","docs/science/REJECTION.md:116","文献值（本仓冻结档）","Phase2 排异","同簇；代码 rejection.cpp:1249；同 averaged 命名不一致问题"
"rejection.averaged_sigma.max_iterations","eng/packaging/config/defaults.json:401","8","iterations","averaged_sigma 迭代上限","未标注","注册 >=1；无 schema 承载","文献值（三元组共用）","docs/science/REJECTION.md:116","文献值（本仓冻结档）","Phase2 排异","同簇；代码 rejection.cpp:1250；至此 sigma/winsorized/averaged 三族 9 个键的现行值、单位、出处、处置四项完全相同 ⇒ 登记面 9 份复制 1 份事实，改一处必漏两处（且代码里还有第 4 族 median_sigma 未登记）"
"rejection.linear_fit.lower_sigma","eng/packaging/config/defaults.json:415","5.0","sigma","linear_fit 低侧阈值","未标注","注册 >0；无 schema 承载","文献值（本仓 SCI 冻结表；实现侧另记外部软件来源）","docs/science/REJECTION.md:117（linear_fit: 5.0/3.5/8）；注册件所引 :59 是空行","文献值（本仓冻结档）并须登记与外部来源的关系","Phase2 排异","**来源叙述冲突确证并升级**：本仓 REJECTION.md:286 明确写『linear_fit 是 M3 前本表的取值，生产档 n>=16 已改投 winsorized_sigma』⇒ 5.0/3.5/8 在**生产档已不参与路由**（仅显式指定或对照档 wbpp_2_9_1 才用到），而 defaults.json 把它当生产默认登记且未标『仅对照档』；代码 rejection.cpp:1251 注释记『WBPP Light 默认』（外部软件惯例，非本仓推导）⇒ 同一数值两个出处，须裁定权威链；线性拟合残差尺度的 lower/upper 不对称（5.0/3.5）文档无解释"
"rejection.linear_fit.upper_sigma","eng/packaging/config/defaults.json:429","3.5","sigma","linear_fit 高侧阈值","未标注","注册 >0；无 schema 承载","文献值（同族）","docs/science/REJECTION.md:117","文献值（本仓冻结档）","Phase2 排异","同簇；3.5 是队列中典型的『非整怪值』：实测唯一数值源即 REJECTION.md:117 与代码 :1251 同值 ⇒ 抄自登记表而非测量；另 REJECTION.md:94 记该档实际有效阈『名义 3.5·sigma_fit，实测过拒 12.200%』⇒ 名义值与有效值偏离 1.5-1.9 倍，说明 3.5 不是按污染预算导出的门（判据强度交 AUD-203）"
"rejection.linear_fit.max_iterations","eng/packaging/config/defaults.json:443","8","iterations","linear_fit 迭代上限","未标注","注册 >=1；无 schema 承载","文献值（同族）","docs/science/REJECTION.md:117","文献值（本仓冻结档）","Phase2 排异","同簇；代码 rejection.cpp:1252；至此 defaults.json 中 max_iterations=8 出现 4 次（同一事实四份登记）"
"rejection.esd.alpha","eng/packaging/config/defaults.json:457","0.05","1（无量纲）","Generalized ESD 显著性水平","未标注功效/样本量前提（ESD 的 λ 临界值依赖 n 与 alpha）","注册 0<alpha<1；无 schema 承载；代码无值域校验","待确认（本仓 SCI 自己声明『文献不提供该门值』）","docs/science/REJECTION.md:118（ESD: alpha 0.05 / max_outliers 10）与 :284『alpha=0.05/max_outliers=10 为 Project-defined 采纳值，**文献不提供**这两个门值』；方法学一手 = Rosner 1983 Technometrics 25,165（DOI 10.1080/00401706.1983.10487848，登记于 :296）","待确认（档④：0.05 无功效/误剔预算推导；须给保守方向与影响范围）","Phase2 排异 ESD 路径","**订正机械层与注册件**：队列写『有文献（SCI §5 冻结 0.05）』、defaults.json 也记 authority_status=sourced，但同一文档 :284 明确否认文献提供 ⇒ 该值不得按『文献值』登记；:85 与 :267 已实测级联效应（每步 α=0.05 校准精确 4.95%，但 k=10 级联后总误判率抬到 11.36%）⇒ α 与 max_outliers 耦合、不能各自独立取整；两处同值代码 rejection.cpp:1253（esd.alpha）与 :1264（extreme_prior.alpha）系不同用途同值"
"rejection.esd.max_outliers","eng/packaging/config/defaults.json:471","10","count","单次 ESD 允许剔除的离群数上限","未标注与堆深度 n 的关系","注册 >=1；无 schema 承载","待确认（同上，本仓自认 Project-defined）","docs/science/REJECTION.md:118/:284","待确认（应改为随 n 导出，如 0.1n 与 alpha 联立的界）","Phase2 排异 ESD 路径","同簇（与 alpha 共用 :118/:284 出处，共 2 行）：10 是绝对数而与 Phase2 典型贡献帧数 n 无关 ⇒ n<10 时该上限完全失效（ESD 会先因样本耗尽停止），n 大时又过松；:85 的 11.36% 实测正是 n=10 档级联代价，说明 10 已被观测数据反证为偏松；代码 rejection.cpp:1253"
"detection.threshold_sigma","eng/packaging/config/defaults.json:48","5.0","sigma","threshold = median(img) + 5.0·bgnoise（全局检测阈值）","未标注（fp32/fp64 两路各自实现，未要求两路逐位一致）","注册 >0；**无 schema 承载、无 CLI 承载、无解析层读取**（键面在 lib 生产代码零命中）","文献值（本仓 SCI 冻结）但一手实为抄外部实现","docs/science/STAR_DETECTION.md:65（threshold = median(img) + 5.0·bgnoise，单位 ADU；**注册件所引 :21 讲的是 sigma_smooth=2.0 px，与本键无关**）","待确认（外部实现无版本号 ⇒ 只到 C 级）或补实验标定","star detection 全局阈值","三处硬编码无单源（队列称『两处』，实为四处）：sdet_api.cpp:1779（fp64 路）与 :1827（fp32 路）各写字面量 5.0、phase1_product.cpp:448 detection_threshold_sigma=5.0、另 sdet_api.cpp:472-473 的**背景估计 sigma-clip 也用 5.0**（同数不同义，改默认会连带误改）；真实来源见 sdet_api.cpp:1771 注释『star_finder.c:80,201: threshold = stat->median + sigma*5.0*stat->bgnoise』与 docs/algorithms/STAR_DETECTION_ALGORITHMS.md:198『历史参考 star_finder.c（SExtractor 族）』⇒ 抄自外部文件而无项目/版本登记（标准 02 §1 A 级要求项目＋版本＋文件:行）；键存在而无消费点 = defaults.json 登记值改不动生产行为"
"rejection.percentile.low","eng/packaging/config/defaults.json:485","0.2","1（分位比）","小 N 分位拒低侧分位；判据 v < median - 0.2·|median|","未标注","注册 0<low<1；无 schema 承载；代码无值域校验","文献值（本仓冻结表；实现侧注释记外部软件默认）","docs/science/REJECTION.md:119（percentile: low 0.2 / high 0.1）与 :64（4<=n<=5 档路由）；注册件 source 引 :59（空行）而 source_ref 又引 :166（讲 percentile 工作域与单位，不含 0.2）⇒ 两条锚都不含值","文献值（本仓冻结档）","Phase2 小 N 排异（仅 4<=n<=5 档可达）","代码 rejection.cpp:1254 注释记来源为 WBPP Light ⇒ 与 linear_fit 同型的来源叙述冲突（本仓 SCI vs 外部软件惯例两个出处）；scale=|median| 的近零退化在 REJECTION.md:51 已被记为『带宽→0 ⇒ 可能全拒』的可达域前提 ⇒ 0.2/0.1 作为**相对**比例的判据在天光近零时退化（单位无量纲有、精度要求无）；此路径在生产档 N<=3 为 none ⇒ 低 n 段可达性依赖档"
"rejection.percentile.high","eng/packaging/config/defaults.json:499","0.1","1（分位比）","小 N 分位拒高侧分位","未标注","注册 0<high<1；无 schema 承载","文献值（同 :119）","docs/science/REJECTION.md:119","文献值（本仓冻结档）","Phase2 小 N 排异","同簇（与 low 共用 :119，共 2 行）；代码 rejection.cpp:1254；0.2 与 0.1 的不对称与天光正偏预期一致，但文档与注册件都未写不对称依据 ⇒ 属可公式导出而只给结果；语义有、单位有"
"rejection.minmax.min_kept","eng/packaging/config/defaults.json:513","4","count","极值拒保留下限","未标注（与 0.6·n 小 N 判据的关系未写）","注册 >=1；无 schema 承载","文献值（本仓冻结表）","docs/science/REJECTION.md:120（minmax: reject_low 1 / reject_high 1 / min_kept 4）；注册件 source :60（方法名列表行）与 source_ref :166 都不含 min_kept","文献值（本仓冻结档）","Phase2 极值拒","**登记面缺口确证**：同一方法的三参数 reject_low_count=1、reject_high_count=1、min_kept=4 在代码同一处 rejection.cpp:1257-1258，而 defaults.json 只登记 min_kept 一个 ⇒ 另两个阈值只存在于代码（无任何注册/合同侧）；minmax 路径在生产 AUTO 路由下被禁（REJECTION.md:113 与 :121 之外的 AUTO 禁 min/max 纪律）⇒ 注册的 4 实际仅显式档可达，注册件未标该适用域收缩；单位有、精度无"
