符号/键,位置(路径:行),现行值,单位,坐标系/归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,备注
max_pt,eng/tests/system/v6_runtime/v6_runtime_resource_record_test.cpp:106,0.0,无量纲（每线程 CPU 占用百分比的累加上确界）,逐样本 max,不适用,非负,无（结构性）,无,不适用（结构性常数——累加器初值）,资源记录回归（per_thread_cpu_max_pct 等 summary 键）,0.0 是 max 归约初值（同文件 :106 同行 max_pt/sum_pt）。真正的阈值常量在生产侧：eng/contracts/resource_gate_v1.json（经 CMakeLists.txt:135-154 生成 resource_gate_thresholds_generated.h），本行不承载它。出现处数 tot=8（lib 5/eng 3）
iterativeClipSigma,eng/tests/unit/ipv_platform_binding_test.cpp:65,5.0f（本行）；登记默认 9.0f,σ 倍数（无量纲）,逐候选结构图/迭代裁剪,缺（无精度或收敛要求条目）,名义 >0；实际生产零读取,C（文档登记默认 9.0，无文献/实验锚）＋ 本行 5.0 无登记,值 9.0 唯一源＝代码 lib/algorithms/star_detection/src/sdet_api.cpp:996 与生产调用 lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:1569；文档镜像 lib/algorithms/star_detection/README.md:119、docs/contracts/PUBLIC_API.md:833。值 5.0 无出处,④待确认（并案：多侧默认不一致）,SDetParams 结构图迭代裁剪（当前实现不消费）,"**三套取值并存**：9.0f（sdet_api.cpp:996 默认、orchestrator.cpp:1569、sdet_fp64_test.cpp:54、sdet_saturation_cursor_test.cpp:114、p1star_tests_core.cpp:552、实验/absolute-snr/code/b7_recon_driver.cpp:191）vs 5.0f（**生产入口两处** lib/infrastructure/scheduler/src/module_adapters.cpp:3959 与 :4846、p1star_guided_test.cpp:72、本行）。且 sdet src 内对该字段**只赋值不读取**（git grep 全仓 24 命中中无一处读取）⇒ 现网无行为差异，但 docs/contracts/PUBLIC_API.md:833 把""生产实参""记为 orchestrator 一侧，未记 scheduler 的 5.0f。已登记缺陷：artifacts/evidence/audit-2026-01/FIX_LEDGER.csv:209（M3b-C-05，P1，OPEN）""SDetParams 五字段中四个全仓零读取而文档称有消费面；检测阈三套并存""。出现处数 tot=23（lib 17/eng 2/docs 3/实验 1）"
fwhmClipSigma,eng/tests/unit/ipv_platform_binding_test.cpp:70,3.0f,σ 倍数（无量纲）,逐星 FWHM 估计裁剪,缺,名义 >0；仅 debug 入口消费,C（默认 3.0 只有文档/代码镜像，无文献或实验锚）,lib/algorithms/star_detection/src/sdet_api.cpp:963-975（默认 3.0f）＋ README.md:119-123 ＋ docs/contracts/PUBLIC_API.md:833；消费面限定见 docs/algorithms/STAR_DETECTION_ALGORITHMS.md:252（fwhmClipSigma 仅 debug 入口消费，impl 阶段8 已移除全局）,④待确认（与登记默认一致，但语义上为死参数）,SDetParams.fwhmClipSigma,"本行值与登记默认相等（3.0f），故**不立案多侧不一致**；但 README:121-123 明确""生产消费面只有 maxStars/maxAxisRatio 完整消费，fwhmClipSigma 仅 debug 入口"" ⇒ 该测试设置它不产生判据意义（假绿风险，属断言强度而非取值）。值 3.0 属""惯例 σ 倍数""，无实验标定与文献锚：与同族 iterativeClipSigma 9.0、noise 侧 cosmic_clip_sigma 5.0、background_clip_sigma 3.0 并存四套裁剪倍数，各自的适用域未在一份文档内对比登记。出现处数 tot=32（lib 25/eng 2/docs 4/实验 1）"
kLimit,eng/tests/unit/mem_wire_test.cpp:223,2500,"字节（测试内抽象单位；同块 kPerNode=1000 为""单节点峰值""）","调度器内存上限（Scheduler(8,8,kLimit)）",不适用,0 < limit 时启用受控回压,无（结构性）,无（行内注释 :223 已给出取值的推导逻辑）,不适用（结构性常数）,回压判据：2×1000 ≤ 2500 < 3×1000 ⇒ 恰好 2 个在途,"取值 2500 不是拍的：由同行 kPerNode=1000 与""允许 2 个在途""两个设计量导出，注释 :223 写成不等式，等价于 `2·kPerNode < limit < 3·kPerNode`。**该导出未导出**：写成字面量后 kPerNode 若改动判据会静默失效（无断言守护该不等式）；建议改为表达式。出现处数 tot=8（lib 4/eng 4）。注：本文件 :319 的 limit 才是真导出式，见下一行"
scale_deg_per_px,eng/tests/unit/mem_wire_test.cpp:312,0.001,度/像素,PlanInputMetadata（规划估算输入）,不适用（激励值）,>0；参与 n_side/面积估算,无（测试激励值）,无,不适用（结构性常数——测试激励）,estimate_plan 的内存峰值估算输入,"= 3.6″/px，落在真实数据尺度域内（对照 docs/algorithms/PHASE2_SAMPLER.md:78 的 0.9890″/px 与 GATES 文档的 0.9″/px 下限），但作为估算器激励无口径要求。真正需要出处的量（估算模型自身的系数）在 lib/infrastructure/scheduler 的 estimate_plan 内，不属本符号。出现处数 tot=143（lib 55/eng 70/docs 16/实验 2）——同名键跨规划/度量多处使用，机械层的计数不可当""该常数的副本数""读"
limit,eng/tests/unit/mem_wire_test.cpp:319,表达式 per_node + per_node/2（机械层记作 1.5）,字节（同 kLimit 域）,调度器上限,不适用,>0,无（结构性，且已是导出式）,"无（行内注释 :319 说明""同时最多 1 个在途（1.5×）""，且 per_node 来自估算器 :317，非硬编码）",不适用（结构性常数）,"回压判据的""独立输入""侧","正例：这是本队列里少数**已按公式写**的量（从 estimate_plan 输出导出，注释 :306 明说""判据的独立输入，非硬编码""）。机械层把表达式里的 `1.5`（即 /2 的商）提成""现行值 1.5""，制造了一个并不存在的常数。出现处数（模式 `per_node / 2`）tot=1"
cpu_percent,eng/tests/unit/mon001_gate_test.cpp:34,95.0,百分比（0-100）,GateConfig 逐任务观测量,不适用（激励值）,"[0,100]",无（测试激励值；被测阈值有源）,被测阈值唯一源：eng/contracts/resource_gate_v1.json `compute.per_sample_utilization_min_percent=85`、`p50=90`、`mean=85`（经 CMakeLists.txt:135-154 生成 resource_gate_thresholds_generated.h）；判据语义权威 docs/plugins/infrastructure/21_observability.md §8,不适用（结构性常数——门测试激励）,MON-001 逐样本利用率门（70% 样本 ≥0.85）,取 95 的语义=高于全部三条阈值 ⇒ 绿例激励；同族阈值 record_and_justify 的诚实登记值得引用：JSON compute.enforcement_note「85% 均值门在 16-worker 真负载上实测仅 65.09%，未标定前不得硬失败」⇒ 该族阈值属**③需实验标定且尚未标定**，非本文重点但应进 D4 台账。出现处数 tot=109（lib 15/eng 92/docs 2）
cpu_p50_percent,eng/tests/unit/mon001_gate_test.cpp:36,95.0,百分比,active window 内 p50 统计量,不适用（激励值）,"[0,100]；仅 active window >10 s 时生效",无（测试激励值）,阈值 90 唯一源 eng/contracts/resource_gate_v1.json `compute.p50_utilization_min_percent`；适用域 10 s 同源 `applicability.min_active_window_seconds_exclusive`,不适用（结构性常数——门测试激励）,MON-002 CpuP50Low 诊断（record_and_justify）,"与同行 cpu_percent=95.0 同值：两个统计量取同一个数，使""p50 与瞬时值分离""的判别力在本用例中不成立（若生产把 p50 误读成 cpu_percent，此断言仍绿）。出现处数 tot=22（lib 7/eng 15）"
cpu_mean_percent,eng/tests/unit/mon001_gate_test.cpp:37,90.0,百分比,active window 内均值,不适用（激励值）,"[0,100]",无（测试激励值）,阈值 85 同源 resource_gate_v1.json `mean_utilization_min_percent`,不适用（结构性常数——门测试激励）,MON-002 CpuMeanLow（record_and_justify）,"90.0 恰高于均值阈 85、恰等于 p50 阈 90 —— 与 :36 的 95 交叉后无法区分""均值门""与""p50 门""谁在起作用（两门阈值差 5 个百分点，激励值却落在两者的另一侧边界上）。建议激励值显式偏离任一侧。出现处数 tot=26（lib 11/eng 15）"
iowait_percent,eng/tests/unit/mon002_gate_test.cpp:202,80.0,百分比,GateConfig 观测输入,不适用（激励值）,"[0,100]",无（激励值）；**被测阈值无档**,被测阈值 50.0 的唯一源是代码字面量 lib/infrastructure/cli/resource_gate.h:207（`io_wait_high_percent = 50.0`，GateConfig 成员默认）；eng/contracts/resource_gate_v1.json 内 **iowait/io_wait 零命中**，生成头亦无对应键,④待确认（并案：唯一数值源被旁路）,MON-002 IoWaitHigh 诊断,"**立案（本案最有价值的一类）**：resource_gate_v1.json:7 自述""本文件是该权威下的**唯一数值源**，实现侧不得再出现字面量阈值""，而 :207 的 50.0、:368 的 20.0/5.0、:369 的 15.0 四条阈值仍以字面量活在实现侧且不在唯一源内 ⇒ 契约自述与实现不一致（不是判据错误，是治理面破口）。行内注释 :198 用 ""80% > 50%"" 说明意图，即 50 是隐式共享前提。出现处数 tot=14（lib 5/eng 9）"
active_window_seconds,eng/tests/unit/mon004_enforcement_test.cpp:46,12.0,秒,GateConfig 观测输入（active 窗口长度）,不适用（激励值）,>10 s 才具代表性,无（激励值）；被测阈值有源,被测两量皆有唯一源：适用域 10 s = resource_gate_v1.json `applicability.min_active_window_seconds_exclusive`；工作量下限 10 核·秒 = 同文件 `workload_floor_core_seconds`（→ resource_gate.h:147-148 kMon003MinCoreSeconds）,不适用（结构性常数——门测试激励）,work_core_seconds = avg_equivalent_cores × active_window_seconds（本行 2.0×12=24 ≥ 10）,"12.0 是""刚过 10 s 适用域""的紧激励，设计意图明确；:40 直接断言 kMon003MinCoreSeconds==10.0，把契约数值钉进测试（正向：契约改值即红）。本行无缺陷。出现处数 tot=29（lib 19/eng 9）"
mem_bandwidth_percent,eng/tests/unit/mon004_enforcement_test.cpp:91,90.0,百分比（相对峰值带宽）,GateConfig 观测输入；-1 表示未测,不适用（激励值）,≥0；-1=未测（哨兵）,无（激励值）；被测阈值无档,被测阈值 15.0 唯一源＝代码字面量 resource_gate.h:369；契约 JSON 无带宽键,④待确认（并案：唯一数值源被旁路；与本行同族的 15.0 未登记）,MON-004「CPU/io/mem 皆低 ⇒ 禁止以单线程算法解释」的组合前提,"本行取 90.0 的**目的**是让""带宽很高""从而不触发 :368-369 的三低组合，从而把断言锁定在 LowAvgCores 单一诊断上（:86 注释""< 0.85*4 = 3.4 → 旧失败案例""）——测试逻辑自洽；但承载它的 15.0/20.0/5.0 三常数处于唯一源之外。另：成员默认 -1.0（:183）作为""未测""哨兵，与 0.0（测得为 0）语义不同，该哨兵纪律有注释、无契约条款。出现处数 tot=8（lib 2/eng 6）"
max_dev0,eng/tests/unit/p1001_real_nodes_test.cpp:1516,0.0,无量纲（支持度偏差绝对值上确界）,逐像素 max 归约（tile 0）,不适用,非负,无（结构性）,无,不适用（结构性常数——累加器初值）,HiPS tile support 面回归,"同行 max_dev0/max_dev1 成对，覆盖两 tile；判据阈值不在此行（本用例的容差为独立常量）。模式 `max_dev0` tot=3（全在 eng/tests）——机械层把累加器初值登记成""待确认常数""是无效工作量，建议在机械层按""= 0.0/0.0f 且出现在 max/sum 累加语境""预先归入结构性旁表"
kPxScaleDeg,eng/tests/unit/p1001_real_nodes_test.cpp:1810,0.0002777777777777778,度/像素,WCS CD 矩阵元素（|det CD|^0.5）,缺（oracle 一致性判据为 worst<1e-9，未登记到该常数本身）,>0,B（本仓可复现：值由算式导出且在测试内被用作 oracle 输入）,"数值可核验为 1″/px：1/3600=0.0002777777777777778；行内注释标为 sqrt|det CD| deg/px。同值在 :1829/:1830 以 CD 对角（-s,+s）出现，另 GATES 文档的 0.9″/px 适用域下限为**不同量**（角秒/像素）",②可由关系导出（应写成 1.0/3600.0 或 3600 分之一，而非 19 位字面量）,SIP oracle 桥接回归的像素尺度,"该常数是""整数量（1 角秒）的单位换算""，属可导出且零风险，但字面量写法把单位口径埋进小数里：读不出""1″/px""这一设计意图，也看不出它是 1/3600 而非 1/3600.0 的截断。出现处数 tot=4（lib 2/eng 2）"
min_sep_px,eng/tests/unit/p1001_real_nodes_test.cpp:1851,0.9（断言下限；变量名 min_unbridged_sep_px）,像素,未桥接（0-based 当 1-based）读法与桥接读法的角距离差,缺（0.9 的余量依据未登记）,仅当像素尺度 ≥ 适用域（本用例 1″/px）时有意义,C（文档给的是 ≥1 px，不给 0.9）,"docs/algorithms/GATES_AND_TOLERANCES.md:67（G-P1-WCS-BRIDGE 负对照条款：""移除或错置 +1 桥接必须 ≥1 px 偏差""）；行内推导注释 :1835-1836（""必须相差 ≥0.9 px，否则本 oracle 无鉴别力(恒真)""）",②可由关系导出（名义值 = 1 px 错置 ⇒ 1 px 位移；0.9 为其 90% 余量），但余量比例本身待确认,W4-A1 像素原点判别的判别力自证门,"**三处需登记**：①文档条款写 ≥1 px、测试执行 ≥0.9 px（判据面 10% 松弛，未在任何文档说明为何允许）；②1 px 是名义值，实际分离度经 SIP 项 A=8.0e-5·dx² / B=-8.0e-5·dy²（:1824-1825）扰动后 ≠ 1 px，故 0.9 是""扰动后仍应接近 1""的经验下界，属③需标定而未标；③与本行数字撞车的 `min_scale_arcsec = 0.9″/px`（GATES:67、PHASE3_PROJ_IMPL:255 等，适用域下限，量纲不同）易被误读为同一常数——D4 台账应显式区分。出现处数（模式 min_sep_px|min_unbridged）tot=9（eng 5/实验 4）"
max_recip,eng/tests/unit/p1001_real_nodes_test.cpp:3241,0.0,无量纲（|v·w−1| 的上确界，variance×ivar 互反性偏差）,逐像素 max 归约,不适用（累加器初值）,非负,无（结构性）,无,不适用（结构性常数——累加器初值）,IVAR-002(a) 互反性判据,本行 0.0 无科学语义（max 归约初值，:3246 逐像素取 max）。**但本用例真正的判据容差 5e-3（:3261 CHECK_MSG(max_recip < 5e-3)）机械层完全没有登记**——它值得登记：互反性 |var·ivar−1| 在 float32 表示下量级约 1e-7，5e-3 比之高约 4 个数量级 ⇒ 判别力弱（同文件 :3756-3759 对 1e-5 有逐项推导，此处 5e-3 无任何依据登记）。另 :3063 有同名第二处累加器（另一用例）。出现处数 tot=7（全在 eng/tests）
r_scaled,eng/tests/unit/p1001_real_nodes_test.cpp:3749,−1.0（JSON 缺键哨兵）；被测值来自 mask_radius_p50,像素,逐帧掩膜半径 p50（α 标度面上）,判据 rel≤1e-5（:3763，推导注释 :3756-3759）,≥0 为有效；<0 = 未取到,无（哨兵）；被测判据有推导注释,"半径硬上界 60 px 的唯一源链：docs/science/NOISE_MODEL.md:97/:368（rmax=max(1,r0)·max(1,scale)=60 px，MASK-002 导出链）→ docs/algorithms/NOISE_ESTIMATION.md:144/167 → eng/packaging/config/defaults.json:109-111（source_ref 三段登记）",不适用（结构性常数——读取兜底哨兵）,W3(b) 标度不变性（ADU 面 vs 光标面半径须不变）,"**立案（哨兵方向使判据可静默通过）**：:3749 取 -1.0 兜底后，:3752 的断言是 `CHECK(r_scaled < 60.0)`——缺键时 -1.0 < 60.0 **恒真**，该 red-side 判据在""字段根本不存在""时不红。同簇的 :3763 因要求 `r_scaled > 0.0` 而能红，所以整用例不致全盲，但**第一条门是空门**。同类形态：expect/observed 用负哨兵 + 只判上界。出现处数 tot=9（eng 9）"
frac_scaled,eng/tests/unit/p1001_real_nodes_test.cpp:3750,−1.0（JSON 缺键哨兵）,无量纲（掩膜像素占比）,逐帧 mask_frac,缺（本队列内未见对它的判据）,"[0,1]；-1=未取到",无（结构性）,无,不适用（结构性常数——读取兜底哨兵）,同 W3(b) 的标度不变性对照量,"与 :3749 同形态（.value(key, -1.0) 兜底）；该符号在本用例里只被读、未见被断言（若确无断言则为死读，属""看起来通过""的空槽）。出现处数 tot=5（eng 5）"
gain_e_per_adu,eng/tests/unit/p1001_real_nodes_test.cpp:91,1.5,e⁻/ADU,StarField 夹具逐帧标量,不适用（激励值）,>0,无（激励值）；单位与用途有 A/C 锚,"docs/science/NOISE_MODEL.md:32/:44（gain: e-/ADU）；本文件 :94-97 引 §9.41 负责人裁决要求""真实物理噪声过程（电子域 Poisson + 读出 Gaussian + 增益量化到 ADU）""，1.5/5.0 只是使该过程可算的任意正数",不适用（结构性常数——测试激励）,合成帧噪声生成（Poisson 在 e⁻ 域、量化回 ADU）,"取值链自洽（同一夹具 read_noise_e=5.0，:92），且**注释把""为什么必须有噪声""登记为裁决**，是本队列里少见的""激励值带规范依据""的正例。出现处数 tot=258（lib 42/eng 13/docs 8/实验 195）——跨面同名，非本常数副本数"
scale_deg,eng/tests/unit/p1_hips_writer_test.cpp:153,表达式 (180/π)·√(π/3)/512（机械层记作 180.0;3.0;512.0）,度,HiPS 叶像素角尺度（nside=512）,%.6f 双侧字符串一致（同 oracle O4）,nside>0,A（一手标准）＋ 可导出,IVOA REC-HIPS-1.0 §4.4.1（hips_pixel_scale 单位=度，见 :151-152 注释与 lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1827）；解析式=HEALPix 等面积像素立体角 ⇒ scale=(180/π)√(π/3)/nside,②可由关系导出（代码即按式算，属正例）,产品键 hips_pixel_scale 的期望值复算,**证伪机械结论**：本行不是三个常数（180/3/512 是公式里的 π 与 nside），是**一个导出式的成分**。出现处数（模式 scale_deg）tot=211（lib 95/eng 77/docs 17/实验 22）——同名跨 WCS 比例、图幅尺度等多义，不可当副本数读
hips_pixel_scale,eng/tests/unit/p1_hips_writer_test.cpp:158,字符串字面量 412.258369，出现在 **== npos**（必须不存在）的断言里,角秒（该字面量的原口径，即被否证的错值）,HiPS properties 键,n/a（负例断言）,n/a,"无（该值在此处是""必须消失的旧缺陷指纹""）",412.258369 的正当出处＝nside=512 叶像素**角秒**尺度：3600·(180/π)·√(π/3)/512，登记于 lib/infrastructure/aio/include/aio_hips.h:93-96（用于 SCI-DRZ-001 的 1–2× 过采样帧尺度上界）与 docs/algorithms/HIPS_WRITER.md:222,"不适用（结构性常数——负例锚），并立案""同数值双单位口径""",M2b-B-03 回归锁定（产品键单位）,"**证伪机械结论**：登记为""现行值 412.258369""是误读——该行是 `CHECK(props.find( 字符串 hips_pixel_scale=412.258369 ) == npos)`，即旧角秒口径缺陷的**反例指纹**；现行产品值为 0.114516 度。同族两面夹击已具备（lib/infrastructure/aio/tests/p1hips/p1hips_tests_oracle.cpp:584-598 正例复算＋负例 o4_pixel_scale_neg）。**顺带扫出的一处新问题（非本行）**：lib/infrastructure/hips_browser/healpix_browser_qt/tools/gen_geometry_truth.py:177 写死 `hips_pixel_scale=58.6`，而 58.6323°=nside=1 基面像元尺度（本机按 IVOA 式复算，命令见 md），同文件 :168 的 hips_order 却是 leaf_order=order+SHIFT（SHIFT=9，:35 ⇒ nside≥512 ⇒ 应约 0.114516°）⇒ 该真值文件的尺度与声明阶数差 ≥512×，且无单位注释；生产写出路径（aio_hips_writer.cpp:1890）不受影响 出现处数（hips_pixel_scale 全名）tot=26（lib 12/eng 7/docs 7）"
FX_SIGMA,eng/tests/unit/p1_noise/adapter_test.cpp:261,5.0,ADU（噪声标准差，与 FX_BG=100.0 同域）,逐像素高斯噪声夹具 σ,不适用（激励值）,>0,无（测试激励值）,无,不适用（结构性常数——测试激励）,noise 适配器 f32/f64 影子对拍的输入面,"同族：FX_H=96/FX_W=128（:260）为结构性维度；σ=5 与 docs/science/NOISE_MODEL.md:345 源污染 oracle 的""空背景 N(0,5²)""同值，说明该族夹具**对齐了科学文档的 oracle 标定条件**（可作跨面同值佐证，非硬约束）。出现处数 tot=2（全在 eng/tests）"
gain_variance,eng/tests/unit/p1_noise/adapter_test.cpp:710,506.25,ADU²（方差）,诊断式输出（逐帧标量）,bitwise/==（精确相等）,≥0,A（标准 CCD 噪声方程）＋ ②可导出,公式锚：docs/science/NOISE_MODEL.md:32（§5c 加权方差面输入）与实现 lib/algorithms/noise_snr/cpp/src/noise_model.cpp（snr_noise_gain_variance = s/g + rn²/g²），同文件 :700 注释亦标 SNR-005,②可由关系导出（本行正是按式复算的期望值）,D10 gain_variance 数值语义抽查,"506.25 = 1000.0/2.0 + 5.0²/2.0² = 500 + 6.25（输入见 :682 的 cfg_gv），且在二进制浮点下**精确可表示** ⇒ 用 `==` 而非容差是成立的。这是本队列里""钉值有完整导出链""的最佳正例，可作为 D4 台账的模板。出现处数 tot=84（lib 39/eng 23/docs 17/实验 5）"
