"引用件","链路归属","存在性","关联性","版本","建议引用形态(作者年 编号 全字段)","判定","取证途径"
"arXiv:1401.4169","③加性天光/叠加","确认(Gruen+2014 arXiv v1)","成立(摘要逐字：clipped mean PSF=单帧 PSF 线性组合)","确认","同 DOI 10.1086/675080 形态，arXiv:1401.4169 作并列标识符","确认","export.arxiv.org/api/query?id_list=1401.4169"
"arXiv:1506.00837","②绝对SNR(前向建模)","标识符本身存在但与他文无关：arXiv:1506.00837=P. S. Bhupal Dev, 'TeV Scale Leptogenesis'(hep-ph,2015)","不成立：与 The Tractor 无关；ApJ 821,11=Lohfink+2016 Fairall 9 亦无关；ASCL:1604.008 存在且为 The Tractor","不适用(号即错)","作废 arXiv/ApJ 形态；改：Lang, Hogg & Mykytyn 2016, The Tractor, ASCL:1604.008(软件，非同行评审，单独作 A 级不充分)","标识符错误","export.arxiv.org/api/query?id_list=1506.00837；api.crossref.org/works/10.3847/0004-637X/821/1/11；ascl.net/1604.008"
"arXiv:1510.07567","②绝对SNR(天光时变)","确认(出版版 PASP 128, 094504, 2016；7 作者)","不成立：0.56% 是 ±30/5330 的折算；'100 s–3.5 h' 混并三个量；'原文明确不可外推到宽带' 原文无此明示","版本不符：仓内记 2015 arXiv，正式为 2016 PASP","Nguyen et al. 2016, PASP 128, 094504, DOI 10.1088/1538-3873/128/967/094504 — 改写为'线间窄窗内一夜(07:15-11:15 UTC)涨落 ±30 nW/m2/sr，约 0.56%'，外推限制标为本项目推论","关联不成立","export.arxiv.org/api/query?id_list=1510.07567；ar5iv.labs.arxiv.org/html/1510.07567(§V.1/§V.2 原文)；api.crossref.org/works?query.bibliographic=Nguyen airglow"
"arXiv:1602.08037","③加性天光","确认(Soto+2016 arXiv v1)","成立(同 rank 12，IFS 域限定)","确认","Soto et al. 2016 (arXiv:1602.08037) 与 DOI 10.1093/mnras/stw474 并列","确认","export.arxiv.org/api/query?id_list=1602.08037"
"arXiv:2012.01533","①测光校准","确认","成立(书目用途)","须引 v2(含勘误)；arXiv journal-ref 指向 A&A 650,C3 不可照抄","Gaia Collaboration (Brown et al.) 2021, A&A 649, A1 (arXiv:2012.01533v2) + 勘误 A&A 650, C3","确认","export.arxiv.org/api/query?id_list=2012.01533"
"arXiv:2012.01916","①测光校准(兼②)","确认(A&A 649,A3,2021 + arXiv v1)","成立：G/BP/RP 通带与定标验证；零点数值 25.6874±0.0028 由 ESA DR3 文档 §5.4.1 Table 5.4 独立核实(只作表项)","确认","Riello et al. 2021, A&A 649, A3, DOI 10.1051/0004-6361/202039587 (arXiv:2012.01916)；零点另挂 ESA DR3 文档 §5.4.1 Table 5.4","确认","export.arxiv.org/api/query?id_list=2012.01916(摘要全文)；api.crossref.org/works/10.1051/0004-6361/202039587；gea.esac.esa.int DR3 §5.4.1"
"arXiv:2201.07246","②绝对SNR(结构化背景)","确认(ApJ 933,155,2022；作者 2 人)","成立：摘要逐字(LPI similar to GPR / local covariance predicts background and uncertainty)","确认(题名字符差异仅连字符)","Saydjari & Finkbeiner 2022, ApJ 933, 155, DOI 10.3847/1538-4357/ac6875 (arXiv:2201.07246)","确认","export.arxiv.org/api/query?id_list=2201.07246；api.crossref.org/works/10.3847/1538-4357/ac6875"
"arXiv:2208.00211","①测光校准(负面检索清单)","确认(A&A 674,A1,2023)","成立但为'有界检索声明'：只支撑'我查过它'，不支撑全局否定","arXiv 2022 提交/期刊 2023；以 A&A 674,A1 为准","Gaia Collaboration (Vallenari et al.) 2023, A&A 674, A1, DOI 10.1051/0004-6361/202243940","确认","export.arxiv.org/api/query?id_list=2208.00211；api.crossref.org/works/10.1051/0004-6361/202243940"
"arXiv:2209.12268","基建(稳健尺度，服务②控制点方差)","确认(两号均单作者 Akinshin)","成立且需分角色：MAD 有限样本校正=2207.12005；S_n/Q_n 校正值=2209.12268；'RC193 只给粗糙近似' 由 2209.12268 摘要逐字支撑","两篇均无 journal-ref(未经同行评审)，只能作 preprint/开源代码级","Akinshin 2022a arXiv:2207.12005(MAD)；Akinshin 2022b arXiv:2209.12268(Sn/Qn)，均标 v1 与 preprint","确认","export.arxiv.org/api/query?id_list=2209.12268,2207.12005(题名/作者/摘要)"
"arXiv:2301.05793","②绝对SNR(背景网格尺度)","确认(MNRAS 520,2484-2516,2023；作者 3 人)","一半逐字成立(§3.3.2 'reduces the risk that any individual mesh element becomes severely compromised by source flux')；'mesh 决定噪声' 半句无原文支撑","确认","Kelvin, Hasan & Tyson 2023, MNRAS 520, 2484-2516, DOI 10.1093/mnras/stad180 (arXiv:2301.05793) — pinpoint §3.3.2；删'决定噪声'半句","确认","api.crossref.org/works/10.1093/mnras/stad180；export.arxiv.org/api/query?id_list=2301.05793；arxiv.org/html/2301.05793"
"arXiv:2505.12895","②绝对SNR(天光时变上界)","确认(A&A 698,A212,2025；作者 3 人)","四个数值全部逐字对上(§3.3 5-10%、中位 6.3%、§1 run≤28 min、摘要 [−64%,48%])；须补仪器域=IACT/H.E.S.S. 每 PMT 像素 NSB 率","确认(2025 同年；建议改引期刊版+DOI)","Roellinghoff, Spencer & Funk 2025, A&A 698, A212, DOI 10.1051/0004-6361/202554532 (arXiv:2505.12895)","确认","export.arxiv.org/api/query?id_list=2505.12895(摘要/journal-ref/DOI)；api.crossref.org/works/10.1051/0004-6361/202554532；arxiv.org/html/2505.12895(§1/§3.3)"
"arXiv:2508.15278","②绝对SNR(B-spline 过减)","确认(PASP 138,024503；作者 2 人)","实质引文成立(含 overestimated/LRIS red channel/linear and B-spline)；'§4.3' 与 'knot 数敏感脚注' 未证","版本不符：仓内 2025，正式出版 2026(Crossref online-first 2026-02-10)","Liu & Miller 2026, PASP 138, 024503, DOI 10.1088/1538-3873/ae3cc1 (arXiv:2508.15278) — 暂删 knot 脚注","版本不符","export.arxiv.org/api/query?id_list=2508.15278；api.crossref.org/works/10.1088/1538-3873/ae3cc1；arxiv.org/html/2508.15278"
"arXiv:astro-ph/0101420","②绝对SNR(SDSS 管线)","确认(ASPCS 238, 269-278, 2001；INSPIRE)","成立：仓内对 arXiv journal-ref 'ASP Conf.Ser. 10' 的订正为真(应 238)","会议论文无 DOI，用 bibcode 2001ASPC..238..269L","Lupton et al. 2001, in ADASS X, ASP Conf. Ser. 238, 269-278 (arXiv:astro-ph/0101420)","确认","export.arxiv.org/api/query?id_list=astro-ph/0101420；inspirehep.net/api/literature?q=title ""The SDSS Imaging Pipelines"""
"arXiv:astro-ph/0501460","③加性天光","确认","成立(同 rank 5，光谱域限定)","确认(v1)","Wild & Hewett 2005, MNRAS 358, 1083-1099 (arXiv:astro-ph/0501460)","确认","export.arxiv.org/api/query?id_list=astro-ph/0501460"
"arXiv:astro-ph/9808087v2","④HEALPix 面积/drizzle(兼③)","确认(2 作者；PASP 114,144-152,2002；DOI 10.1086/338393；版本史 v1 1998-08-10 / v2 2001-10-19)","§2 内式号确为 (2)(3)(4)(5)，式(4)(5)=以 W 为分母的加权平均(分子含 a 与 s²) ⇒ 仓内 pinpoint 正确；'§7.2 式(7)'、'§5 面亮度归一' 未证","确认且仓内标 v2 合法必要(v1 为 1998 旧稿)","Fruchter & Hook 2002, PASP 114, 144-152, DOI 10.1086/338393 (arXiv:astro-ph/9808087v2) — pinpoint 止于 §2 式(4)(5)，引用式(5) 时逐项交代 a/w/s²","确认","arxiv.org/abs/astro-ph/9808087(Submission history/journal-ref/related DOI)；ar5iv.labs.arxiv.org/html/astro-ph/9808087"
"DOI 10.1002/9780470316481","②绝对SNR/基建(中位数渐近方差)","确认(Serfling 1980, Wiley, monograph, ISBN 9780471024033/9780470316481)","公式经我独立复算成立(Var=1/(4Nf(m)^2)→πσ²/(2N))；'§2.3.2' 节号未证(Crossref 无 child、Google Books/OpenLibrary 本机不可达)","确认(1980 单版；DOI 指向 Wiley 电子版)","Serfling 1980, Approximation Theorems of Mathematical Statistics, Wiley (ISBN 0-471-02403-1; 电子版 DOI 10.1002/9780470316481) — 先删 §2.3.2","UNPROVEN","api.crossref.org/works/10.1002/9780470316481(含 child 检查)"
"DOI 10.1016/j.ascom.2018.07.001","②绝对SNR(相关噪声)","确认(A&C 24,129-142,2018；7 作者)","两句摘要引文逐字相符；'正确测量' 宜降为 '提供处理推导/适用'","确认","Melchior et al. 2018, Astron. Comput. 24, 129-142, DOI 10.1016/j.ascom.2018.07.001 (arXiv:1802.10157)","确认","api.crossref.org/works/10.1016/j.ascom.2018.07.001；export.arxiv.org/api/query?id_list=1802.10157(摘要全文)"
"DOI 10.1051/0004-6361/202243797","②绝对SNR/①(Gaia 版本引用)","确认(A&A 674,A37,2023；一作 Drimmel)","不成立：A37 实为 'Gaia Data Release 3 – Mapping the asymmetric disc of the Milky Way'(银河系结构应用文)，既非 DR3 内容总括亦非测光验证","确认(问题在角色不在版本)","作废 'Gaia 测光验证/内容总括' 用法：改用 Vallenari+2023 A&A 674,A1(总括) 与 Riello+2021 A&A 649,A3(测光验证)；A37 仅在使用 DR3 做银河系结构时引","关联不成立","api.crossref.org/works/10.1051/0004-6361/202243797；doi.org→aanda.org 落地页读到完整题名"
"DOI 10.1051/0004-6361:20021326","④HEALPix 面积(WCS Paper I)","确认(A&A 395,1061-1075,2002)","成立：§2.1.1 标题 Basic formalism、式(1) q_i=Σm_ij(p_j−r_j)；'参考点可非整数、可在图像外' 为 §2.1.1 原句；'CD' 实为 §2.1.2 引入(轻微节号偏)","确认(另有同文 arXiv:astro-ph/0207407)","Greisen & Calabretta 2002, A&A 395, 1061-1075, DOI 10.1051/0004-6361:20021326 (Paper I) — 式(1)挂 §2.1.1，CD 挂 §2.1.2","确认","api.crossref.org/works/10.1051/0004-6361:20021326；aanda.org 全文页 aah3859.right.html"
"DOI 10.1051/0004-6361:20021327","④HEALPix 面积(WCS Paper II)","确认(A&A 395,1077-1122,2002)","主体成立：§2.2 标题确为 'Reference point of the projection'(含 LONPOLE 默认)、§5.1.3 式(54) R=(180/π)cotθ；'Table 1(TAN…)' 不成立——Table 1 是符号表、Table 2 是 RADESYS 取值","确认","Calabretta & Greisen 2002, A&A 395, 1077-1122, DOI 10.1051/0004-6361:20021327 (Paper II) — 删 Table 1 形态；Euler 旋转改挂 §2.3-§2.4；LONPOLE 现行口径仍引官方勘误件","关联不成立","api.crossref.org/works/10.1051/0004-6361:20021327；aanda.org 全文页 aah3860.right.html(§2/§5 目录、Table 1/2 题注、式 54)"
"DOI 10.1086/117915","①测光校准(光子计数通带)","确认(AJ 111,1748,1996；6 作者)","方向正确(该文即 SDSS 测光系统规范出处)，但 'λ 因子' 的式号未证(IOP 反爬、arXiv 无预印本)；同条 bullet 四篇并列不分工，须一条结论指一篇","确认(无预印本)","Fukugita, Ichikawa, Gunn, Doi, Shimasaku & Schneider 1996, AJ 111, 1748, DOI 10.1086/117915 — 先不写式号；口径定义分工给 Bessell & Murphy 2012","UNPROVEN","api.crossref.org/works/10.1086/117915；export.arxiv.org 题名检索(无命中)"
