编号,符号或键,类别,现行值,支撑类型,出处,适用域,位点(面),第②层已复核,取证分片
OK-031,hips_profile=1 的 support 量化,算法,q = lround(255·S)；area_buf = (q/255)·a_cell（float32）,公式导出,astro_sphere_sink.cpp:186-191（profile=0 直写不量化）/:520-542（profile=1 量化）/:277-285（k=1.0 回退）；aio_hips_writer.cpp:1322-1341/:1212/:1327-1332；astro_sphere_sink.h:36「两末端必须逐字相同，禁止内联第二套分母」,创新点④ 产品发布面精度上限,生产,是（第②层复核改判）,AUD-204-面积交叠核验 AUD204-11；复核-AUD204 W3；复核注记：是（复核-AUD204 W3 确认并补两条更大分支，并把待裁项「profile=0 在 pf<1 偏移」定案为无偏移）
OK-032,k = D_p/N_p（发布因子）,公式,代码 k = sumArea/sumNorm = pixfrac²·(1+⟨δ⟩)；文档写「= pixfrac²」,公式导出,astro_sphere_sink.h:26-52（:39 写 =pixfrac²）、:50-52；drizzle_engine.cpp:1617/:1639-1641/:1644/:1646-1650；docs/science/DRIZZLE.md §5:50/:83,创新点④ 背景口径与发布面,生产,是（第②层独立复核）,AUD-204-面积交叠核验 AUD204-09／AUD204-10；复核注记：是（第②层 W1/W3 复核）
OK-033,kLimit,常数,2500,公式导出,mem_wire_test.cpp:223；同注释 :222 给约束式,线/内存预算测试,测试/实验,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1 §1.2 D4
OK-034,kMoffat4FwhmFactor,常数,1.230310,公式导出,docs/algorithms/STAR_PSF_ALGORITHMS.md:62-64（推导 FWHM=2√2·σ·√(2^{1/4}−1)=1.230307652590102·σ，并登记实现常量 MOFFAT4_FWHM_FACTOR=1.230310（dpsf_psf.cpp:25）与精确值相对差 +1.91e-6）；SCI 侧 docs/science/ASTROMETRY.md:170,PSF 块 FWHM↔sigma 正向换算（禁止反解检测块列）,测试/实验,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1
OK-035,min_sep_px,常数,0.9（断言下限；变量名 min_unbridged_sep_px）,公式导出,"docs/algorithms/GATES_AND_TOLERANCES.md:67（G-P1-WCS-BRIDGE 负对照条款：""移除或错置 +1 桥接必须 ≥1 px 偏差""）；行内推导注释 :1835-1836（""必须相差 ≥0.9 px，否则本 oracle 无鉴别力(恒真)""）",W4-A1 像素原点判别的判别力自证门,测试/实验,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1；G-P1
OK-036,node_spacing_deg（生产）／NODE_SPACING_DEG（实验）,常数,生产 default 0.0（禁默认标定值）；实验单元 NODE_SPACING_DEG=0.0355°,公式导出,sky_plane.cpp:392-447/:454/:499-511；docs/science/PHASE2_UPM.md §7a 规则 1/2 与 :176-178（0.0355°→129.2 px @0.989″/px）,Phase2 平面表示（正例：无标定常数）,生产,是（第②层独立复核）,AUD-203-天光无缝核验 AUD203-08；复核注记：是（成立，改法仅措辞登记）
OK-037,noise.mask_budget_min_patches,常数,8,公式导出,docs/science/NOISE_MODEL.md:98（n_qualified(s) >= 8 且 N_sky >= 9216）；>=4 的来源 = §4 :54 平面场启用条件（3 参数 + 非共线）,Phase1 掩膜天空预算,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-038,noise.mask_k_sigma,常数,0.1,公式导出,docs/science/NOISE_MODEL.md:88 与 :95（k=0.1 ⇒ 残余方差污染 <1%·sigma_bg^2 ⇒ 偏差 <=0.5%；注册件所引 :84 是实现一致性句）,Phase1 逐星掩膜半径,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-039,noise.source_mask_radius_px,常数,10,公式导出,docs/science/NOISE_MODEL.md:97（rmax 式；注册件所引 :86 是 §5a 小节空行，真锚在 :97，另 :52 写 rmax=60）,Phase1 逐星掩膜半径上界,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-040,photometry.tukey_c,常数,4.685,公式导出,"本仓 docs/science/PHOTOMETRY.md:31（符号表 c 4.685）与 :207（u_i 式, c=4.685）；**注册件 source 引 :21（表头行）、source_ref 引 :24，两条都不含 4.685 且互相矛盾**；一手 = Beaton & Tukey 1978 / Tukey 1975（本仓未登记 DOI/公式号）；链路报告侧：docs/science",测光 IRLS 稳健位置,生产,是（第②层独立复核）,AUD-201-测光核验 AUD201-016／AUD201-017；AUD-402-判读-A1；复核注记：判读层已核＋第②层独立复核
OK-041,psf.moffat_beta,容差,4.0,公式导出,真锚 docs/science/PSF.md:23/:78/:92/:152/:178（多处 beta=4）；注册件所引 :94 讲的是 r_win/alpha=2.629 与 f_out=2.02e-3（不含 4.0）；PSF.md:177 引 Moffat 1969 仅作**轮廓形式**来源，:178 明确 beta=4 的通量式与 FWHM 因子为 **Project-defined der,Moffat4 PSF 模型,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-042,rss_growth_mb_per_s,常数,0.0 ｜ 1024.0,公式导出,eng/contracts/resource_gate_v1.json memory.unit 明记『MiB/s（1048576 B/s）；禁止再使用 MB/s（1e6 B/s，口径差 4.858%）』；值：resource_gate_v1.json#memory.growth_limit_mib_per_s=32 与 unit 键「禁止再使用 MB/s（1e6 B/s，口径差 4.858%）」；,alloc_report.json rss_growth_mb_per_s / thresholds.growth_*_mb_per_s；外挂 judge 判定,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；AUD-402-判读-A3；L-03；L13
OK-043,sys_seconds,常数,100.0 ｜ 0.0,公式导出,同 :257 簇（共用一条出处与处置）；同 :68 簇,同 :257,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2
OK-044,user_seconds,常数,100.0 ｜ 0.0,公式导出,反证在同文件内：:204-205（iowait）与 :277-278（read_thread_cpu）**已经**用 sysconf(_SC_CLK_TCK) 并只在返回 <=0 时兜底 100；同一物理量的三处两套口径；同 :68 簇,cpu_seconds → ProcessMonitor::summary() 的 avg/peak_equivalent_cores、avg_cpu_percent → resource 事件字段 cpu_cores_used 与契约判据 ①④⑤⑥⑦,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；L-05；L-10
OK-045,归一化门阈值（绝对→尺度无关）,容差,代码：s > 0.0 ∧ isfinite(s)；文档仍写：s > 1e-12,公式导出,upm.cpp:654-671（FIX-UPMSCALE 注释＋代码）；docs/**/PHASE2_UPM_IMPL.md §F2:179-184 与 §3 符号表滞后；docs/science/PHASE2_UPM.md §7；ASTROCS_DESIGN.md §5.4,Phase2 UPM 权重归一,生产,是（第②层独立复核）,AUD-203-天光无缝核验 AUD203-04；复核注记：是（CONFIRMED，A 级：代码 vs 文档比对）
OK-046,无增益上界解析式 SNR_rep/SNR_true,公式,文档式 √(1 + F/σ_bg²),公式导出,docs/plugins/algorithms_phase1/07_noise_snr.md:121；AUD-202 复算表 1.028…3.717 倍,文档侧误差声明,生产,是（第②层复核改判）,AUD-202-SNR核验 AUD202-006；复核-AUD202-补 V5/V6 改判一览；复核注记：是（复核改判：41%/347% 改判为可复算 = 1/√(1−φ)；「1.03–3.72 倍」归因订正＝主项是缺 ΣP² 而非缺 1/g）
OK-047,1% 幅度检测读数,常数,报告 amp −0.0004 ± 0.038、3σ 检测限 0.069；JSON injected_amp=0.01、detected_at_1pct=false、detection_limit_3sigma=0.069056199,实验标定,实验/additive-sky-seamless/README.md:151/:289-290；results/c2_multiplicative.json,创新点③ 高频成分检测限,测试/实验,是（第②层独立复核）,复核-结果层与收口层 R4 第 2 处；复核注记：是（P2）
OK-048,PSD 峰位与预期（对外验收表行）,常数,报告 1%@24 px／k=4／预期 5.33±2；机器 psd_k_peak=26／psd_k_expected=21.333333／psd_period_peak_px=19.692307／bin=4／injected_period_px=24.0,实验标定,实验/additive-sky-seamless/README.md:369（§9 验收门表）与 :151；results/c2_multiplicative.json:hf_component,创新点③ 验收门对外主张,测试/实验,是（第②层独立复核）,复核-结果层与收口层 R4 第 1 处；复核注记：是（定 P1：一处进对外主张、两处不进）
OK-049,noise.min_patch_samples,常数,64,实验标定,docs/science/NOISE_MODEL.md:52（min_samples 默认 64，只陈述不推导）；派生线索在 lib/algorithms/noise_snr/README.md:117『64=8x8 全格』,Phase1 patch 噪声估计,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-050,noise.saturation_level,常数,0,实验标定,docs/science/NOISE_MODEL.md:52（饱和域 claim SC-008/SAT-001）；SAT-001 读数只在 run/PROJECT-GOVERNANCE-01/SAT-001/…（.gitignore:17 run/* ⇒ 不在跟踪集，无法独立复算）,Phase1 blank-sky 统计与逐像素权重场,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-051,pixfrac 系数表标定前提,算法,"kcorr 系数表列只有 {0.5, 0.8, 1.0}，按 pixfrac=0.8 生产默认做 MC 标定",实验标定,lib/algorithms/coverage/src/sampler.cpp:81-88；AUD-402-判读-A3 L1,创新点④ 权重与 kcorr,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3 §2.1 L1；L1
OK-052,polar 闭合预算最坏值（同页两值）,容差,1.12e-8（T9，49 配置）／2.789e-8（T13-N4，1089 配置极点栅格）,实验标定,实验/healpix-polar/docs/EXP-07-POLAR-摘要.md:37/:43；results/p2_t9.out:3/:5；results/p3_t13.out:65；docs/EXP-07-POLAR.md:615（把 1089 配置的精度与 49 配置的代价拼成同一句）,创新点④ 折线近似预算声明,测试/实验,是（第②层独立复核）,复核-结果层与收口层 R3③；复核注记：是
OK-053,sparse_snr.spacing_px,常数,64,实验标定,负责人 2026-09-19 裁决（GAP_AUDIT §9.45『64 可以了』）；ell 区间见 实验/absolute-snr（跟踪件）；**注册件 source_ref=null，schema 侧 :466 描述仍写 ell=48 px ⇒ Delta/ell=1.33 的近临界采样表述，而 defaults.json:694 已记该单点值经 §9.48 作废**；链路报告侧：eng/pa,Phase1 稀疏 SNR 层,生产,是（第②层独立复核）,AUD-202-SNR核验 AUD202-008②；AUD-402-判读-A1；复核注记：判读层已核＋第②层独立复核
OK-054,upm.k_corr,常数,1.4,实验标定,docs/science/PHASE2_UPM.md:24（锚正确，含定义域与实现锚 sampler.cpp:83）/:116 保守取整/:131 与 :169 MC k_corr≈1.3883；但 defaults.json:649 自证 control_median_mc_test **未注册/MISSING、不可复跑** ⇒ 1.3883 这个标定读数无法独立复算（标准 02 §1 B 级要,Phase2 UPM 控制点方差,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-055,σ_frame（M42 帧级天空 rms）,常数,EXP-06 表 13.792/14.782/13.318；EXP-05 表 16.1558/59.4153/17.5785（同三帧）,实验标定,实验/absolute-snr/results/EXP06_TABLES.md:241-243；EXP05_TABLES.md:33/:35/:40；exp06_e3_real.json:/meta/crop=1024；exp05_e3_real.json:/meta；exp05_e6_mechanism.json；docs/EXP-05-ABSOLUTE-SNR.md:363；docs/EXP-,SCI-B 对外引用面,测试/实验,是（第②层独立复核）,复核-结果层与收口层 R3①；复核注记：是（确认，但可修性优于成稿判断：差异在仓库内可调和，缺的是口径标注）
OK-056,双计偏差头条数 +12.8%/+34.0%,常数,+12.791%（source_flux_e 轴）／+15.922%（read_noise_e 轴，同一物理点）／+33.954%（RN=50）；全证据面最坏 +36.62%,实验标定,实验/absolute-snr/results/b2_noise_terms.json、b1_sky_scan.json:36-38；docs/science/NOISE_MODEL.md:324；docs/science/CONTROL_WEIGHT_SNR.md:201；docs/plugins/algorithms_phase1/07_noise_snr.md:123,创新点② 论文主张与豁免条,测试/实验,是（第②层复核改判）,AUD-202-SNR核验 AUD202-012；复核-AUD202-补 V6 改判一览；复核-结果层与收口层 R3②；复核注记：是（复核改判：成因降级为「引用面选择噪声量」，定 P2；现行正确值 = 最坏 +36.6%）
OK-057,星密度指数（旧 1.3 → 实测 0.2885）,常数,1.3（旧）→ 实测 α 0.243–0.456、中位 0.2885,实验标定,ipv_select.cpp:360-365 注释自证「该偏差尚未在 docs/algorithms 登记为 DISP 条目」,星表引导选星,生产,否（仅链路成稿，未过第②层复核）,AUD-201-测光核验 AUD201-012；复核注记：否（仅成稿）
OK-058,(无名)·lib/infrastructure/cli/resource_gate.h:295,常数,0.0,文献值,—（除零守卫）,allocated_capacity_cores==0 时,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3
OK-059,(无名)·lib/infrastructure/cli/session_commands.h:269,常数,0.0,文献值,docs/plugins/algorithms_phase3/14_projection.md:38（经 schema 描述转引：phase_config_export.schema.json:243-246『默认 0』）,export 模板；键生产消费点未落地（eng/ci/ledgers/dead_config_keys.json 已登记）,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3
OK-060,final_gauge / m_full_frame,算法,生产 1 ／ 结构体默认 0,文献值,module_adapters.cpp:9578/:9579；upm.h:283/:304 默认；upm.cpp:976-977/:1104/:1907-1942,Phase2 加性面 gauge 不变量,生产,是（第②层独立复核）,AUD-203-天光无缝核验 AUD203-10；复核-AUD203 V3；复核注记：是
OK-061,hc（λ 因子闭合用）,常数,1.986445857e−16,文献值,AUD-201-测光核验 AUD201-002 推导过程,量纲闭合论证,生产,是（第②层独立复核）,AUD-201-测光核验 AUD201-002；复核注记：是
OK-062,huber_delta,常数,1.345,文献值,docs/science/PHASE2_UPM.md §5/§7；docs/algorithms/PLATESOLVE.md:193 同值同锚（正例：常数额外登记了「有文献依据——Huber (1964)」）,Phase2 UPM／PlateSolver 稳健拟合,生产,是（第②层独立复核）,AUD-203-天光无缝核验 AUD203-09；AUD-201-测光核验 AUD201-012（对照正例）；复核注记：是
OK-063,kMinFitStars,常数,3,文献值,AUD201-011（frame_photometry_fit.h:89）,测光帧级拟合合格判定,生产,是（第②层独立复核）,AUD-201-测光核验 AUD201-011；复核注记：是（复核-AUD201 V5 同链）
OK-064,m_5 / 极限星等的增益未知侧,算法,缺失 gain/ZP ⇒ m_5 = null（天空受限最优提取）,文献值,AUD202-005（此点证真）,Phase1 报告面降级声明,生产,是（第②层独立复核）,AUD-202-SNR核验 AUD202-005；复核注记：是
OK-065,noise.max_clip_rounds,算法,2,文献值,docs/science/NOISE_MODEL.md:63（<=2 轮；注册件所引 :56 为 gain 行，:126 亦非该陈述）,Phase1 patch 裁剪,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-066,photometry.irls_max_iterations,算法,50,文献值,"docs/science/PHOTOMETRY.md:192（S>0 时 max_iter=50, tol=1e-6；实现锚 star_matcher.cpp:25）与 :53 附近迭代框；锚点正确（本队列少数 source 与 source_ref 一致且命中值的行）",测光 IRLS,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-067,rejection.averaged_sigma.lower_sigma,算法,4.0,文献值,docs/science/REJECTION.md:116,Phase2 排异,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-068,rejection.averaged_sigma.max_iterations,算法,8,文献值,docs/science/REJECTION.md:116,Phase2 排异,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-069,rejection.averaged_sigma.upper_sigma,算法,3.0,文献值,docs/science/REJECTION.md:116,Phase2 排异,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-070,rejection.linear_fit.lower_sigma,算法,5.0,文献值,docs/science/REJECTION.md:117（linear_fit: 5.0/3.5/8）；注册件所引 :59 是空行,Phase2 排异,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-071,rejection.linear_fit.max_iterations,算法,8,文献值,docs/science/REJECTION.md:117,Phase2 排异,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
OK-072,rejection.minmax.min_kept,算法,4,文献值,docs/science/REJECTION.md:120（minmax: reject_low 1 / reject_high 1 / min_kept 4）；注册件 source :60（方法名列表行）与 source_ref :166 都不含 min_kept,Phase2 极值拒,生产,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
