编号,符号或键,类别,现行值,单位,位点(面),位点,来源现状,它声称的出处,缺什么支撑,冲突标记,第②层已复核,取证分片
A1-011,G4c_pred_vs_measured_mc_max_abs_diff,容差,0.070030,绝对相对偏差,测试/实验,实验/absolute-snr/results/b2_noise_terms.json,不适用（记录量，未升为门）,实验/absolute-snr/results/b2_noise_terms.json gates.G4c_pred_vs_measured_mc_max_abs_diff【缺输入：判读层与第②层均未给保守取值方向】,SCI-B 实验门表,红：偏离被算出却无门约束 ⇒ 门卡在不会红的量上,是（第②层独立复核）,AUD-202-SNR核验 AUD202-012；复核-AUD202-补 V6③；复核注记：是
A1-012,P1_PHOT_MAX_SIGMA_DEX,容差,1.0,dex,生产,lib/infrastructure/scheduler/src/module_adapters.cpp:5327；lib/infrastructure/scheduler/src/module_adapters.cpp:5747,无来源（代码具名常量，无文档登记）,module_adapters.cpp:5327 定义、:5747-5748 判定；AUD201-011【缺输入：判读层与第②层均未给保守取值方向】,测光标定退化保护,红：只卡上界 ⇒ 与 sigma_residual=0 的假绿同族（缺下界侧判定）,是（第②层独立复核）,AUD-201-测光核验 AUD201-011；复核注记：是（复核-AUD201 V5）
A1-013,Theil-Sen 不可算时返回 0.0,容差,0.0,斜率,生产,lib/infrastructure/cli/memory_growth.h:55；lib/infrastructure/cli/memory_report.h:330,不适用（哨兵语义缺陷）,memory_growth.h:55、memory_report.h:330/:336/:338；U-02 立案,短 run 内存增长判定,红（判读层立案 A2 §4 U-02）：不可算应改判 InsufficientSamples、字段用 -1,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2 §4 U-02；U-02
A1-014,arc-chord 面积误差预算,容差,1e-6·hp_res（旧 §9/§12 冻结值照抄）,hp_res 倍数,生产,docs/algorithms/DRIZZLE_GEOMETRY.md:313；lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:543；docs/science/DRIZZLE.md:152（补侧·本行出处所列，该侧带值）；docs/KNOWN_LIMITATIONS.md:139（补侧·本行出处所列权威锚）,无来源（「旧 §9/§12 冻结值照抄」＝自我引用，非推导亦非标定）,docs/algorithms/DRIZZLE_GEOMETRY.md:313、:558-562；docs/science/DRIZZLE.md:152；spherical_overlap.cpp:543-617 注释（自称「对所有 NSIDE 统一使用自适应边细分」与调用点相反）【缺输入：判读层与第②层均未给保守取值方向】,创新点④ 逐叶面积精度,红：预算被违反 4–5 个数量级（0.0809 是 1e-6 的 8.1e4 倍），且不随 nside 收缩；文档「统一使用自适应」一句为假；docs/KNOWN_LIMITATIONS.md:139 记同一现象但低估（只说与 1e-6 同阶）,是（第②层复核改判）,AUD-204-面积交叠核验 AUD204-06；复核-AUD204 W2（替换事实并另立 P1）；复核注记：是（复核-AUD204 W2 把成稿的「缝平台 > 1e-6」降级为 P2，同时以更大的一般性违反替换）
A1-015,astrocs_process 的 timeout_s 默认,容差,0.0,秒,生产,lib/infrastructure/cli/astrocs_process.h:36,无来源（禁令只写在注释，签名仍允许省略，无任何门强制）,astrocs_process.h:36 默认、:29 注释,CLI 子进程挂死风险,红（判读层立案 A1 U-21）：默认值与 AGENTS §3「所有外部命令带 timeout」相悖；改法是删默认或取有限值,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1 §3 U-21；U-21
A1-016,closure_rel_tol,容差,0.0（本行，负例探针）；生产默认 1e-6,无量纲（相对闭合残差阈值）,测试/实验,eng/tests/integration/v6_p1/v6_p1_integrate_test.cpp:606；lib/algorithms/drizzle/healpix_drizzle/v6_spherical_overlap.h:73-75；lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:131,无（生产默认 1e-6 亦无档；本行 0.0 有行内注释说明是故意取零制造必败）,语义锚：lib/algorithms/drizzle/healpix_drizzle/v6_spherical_overlap.h:73-75（定义判据形式）；数值 1e-6 唯一源＝代码默认 lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:131，**docs 侧零登记**（closure_rel_tol 在 docs/** 命中 0）【缺输入：判读层与第②层均未给保守取值方向】,"drizzle 几何闭合门（通量守恒 Σ_p F_p = Σ_j x_j，docs/science/DRIZZLE.md:97 称之为""严格不变量""）",红（判读层立案 BD1-N1｜AUD-402-判读-BD1 §1.4 N1）：科学文档称通量守恒为严格不变量，实现用 1e-6 相对容差放行；生产默认唯一源是代码结构体默认（phase1_product.h:131），docs 侧该键零命中 ⇒ 缺 FP64 累加误差包络推导,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1；G-P1
A1-017,control_ivar 零尺度保护量,容差,1e-12,σ 同标度（ADU）,生产,lib/algorithms/coverage/src/sampler.cpp:863；lib/algorithms/coverage/src/sampler.cpp:877；docs/science/PHASE2_UPM.md:85（补侧·本行出处所列，该侧带值）；docs/algorithms/PHASE2_SAMPLER.md（补侧·本行出处所列，该侧带值）；lib/algorithms/coverage/src/sky_plane.cpp（补侧·本行出处所列，该侧带值）,无来源（数值保护量被平方后当成物理方差发布）,sampler.cpp:863-877；docs/science/PHASE2_UPM.md:85 §8「σ_bg_raw=0 ⇒ control_ivar 必须为 0 且标为无尺度信息（非有限）；禁止以数值保护量生成有限方差发布」；docs/algorithms/PHASE2_SAMPLER.md §11.2 DISP-P2SMP-007,Phase2 UPM 加性面求解的逐点权,红：以 1e-12 生成伪有限方差 7.609e-27、伪 civar 1.314e26 进解，绕过下游 rc=2 的 fail-closed 门并独取该 cell 权重；同型第二处在 sky_plane.cpp,是（第②层独立复核）,AUD-203-天光无缝核验 AUD203-03；复核-AUD203 V1；复核注记：是（复核-AUD203 V1 定 P1，修好判据＝常数 patch 上 control_ivar==0 且 control_variance 非有限）
A1-018,cosmetic.bad_column_neighbor_k,常数,3,列数,生产,eng/packaging/config/defaults.json:783；docs/contracts/DATA_SEMANTICS.md:315；lib/infrastructure/scheduler/src/module_adapters.cpp:2783,文献值（合同只规定『由配置键给出』）→ 实为待确认（3 无推导）,docs/contracts/DATA_SEMANTICS.md:315（邻域宽度行：每侧参与统计的列数由配置键给出）⇒ 同样是指针不是出处；3 的取值全仓无任何论证【缺输入：判读层与第②层均未给保守取值方向】,Phase1 列状缺陷检测,红（判读层立案 逐侧并列见本行出处与备注引文）：另代码存在同节点未注册键 bad_column_max_seg_len（:2788 默认 1）⇒ 登记面缺口,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
A1-019,cosmetic.bad_column_sigma,常数,5.0,MAD 倍数,生产,eng/packaging/config/defaults.json:769；docs/contracts/DATA_SEMANTICS.md:313；eng/packaging/config/defaults.json；docs/science/CALIBRATION.md；lib/infrastructure/scheduler/src/module_adapters.cpp:2782；lib/infrastructure/scheduler/src/module_adapters.cpp:2771-2772,待确认（合同只把值委派给配置键，未给数值出处）,docs/contracts/DATA_SEMANTICS.md:313（§10.4 判据行原文：阈值取自列状缺陷的 sigma 配置键）⇒ **合同明文把数值来源指回 defaults.json**，而 defaults.json 又把出处指回合同 ⇒ 循环引用，两侧都不是来源；docs/science/CALIBRATION.md 侧只有缺陷形态可分性论证、无 5.0【缺输入：判读层与第②层均未给保守取值方向】,Phase1 列状缺陷检测,红（判读层立案 F-10）：同族未登记的点状阈值也在代码里：hot_sigma=5.0 与 cold_sigma=5.0（module_adapters.cpp:2771-2772）、max_structure_size=4（:2775）⇒ 同节点 11 个配置读取点只有 6 个进 defaults.json（未登记的 5 个,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1；F-10
A1-020,defaults.json 是否进运行路径,算法,否——生产代码从不读该文件,—,生产,eng/packaging/config/defaults.json:1,不适用（结构性事实）,AUD-402-判读-A1 §1 表；后果句：「按文档改配置」与「按文档判读产品」都无效【缺输入：判读层与第②层均未给保守取值方向】,全部 59 条注册字段,红（判读层立案 A1 §1）：defaults.json 是声明不是行为,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1 §1
A1-021,detection.threshold_sigma,容差,5.0,sigma,生产,eng/packaging/config/defaults.json:48；docs/science/STAR_DETECTION.md:65；lib/algorithms/star_detection/src/sdet_api.cpp:1779；lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:448；lib/algorithms/star_detection/src/sdet_api.cpp:472-473；lib/algorithms/star_detection/src/sdet_api.cpp:1771；docs/algorithms/STAR_DETECTION_ALGORITHMS.md:198；eng/packaging/config/defaults.json,文献值（本仓 SCI 冻结）但一手实为抄外部实现,docs/science/STAR_DETECTION.md:65（threshold = median(img) + 5.0·bgnoise，单位 ADU；**注册件所引 :21 讲的是 sigma_smooth=2.0 px，与本键无关**）【缺输入：判读层与第②层均未给保守取值方向】,star detection 全局阈值,红（判读层立案 X-8/O-6｜AUD-402-判读-A1 §2.3 O-6；X-8）：四处硬编码（sdet_api.cpp:1779/:1827、phase1_product.cpp:448、:472-473 背景 sigma-clip 同数不同义）而 leaf 名在 lib 配置读取面零命中；一手来源是无项目名无版本号的 star_finder.c（SEXtractor 族）⇒ 只到 C 级，与『SCI 冻结』说法并列时来源叙述不唯一,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
A1-022,doc_fact_authority.json 的 facts 覆盖面,算法,facts 仅 1 条（drizzle.pixfrac.default）,条,生产,eng/tools/doccheck/doc_fact_authority.json（补侧·本行出处所列权威锚）,不适用（治理面事实）,eng/tools/doccheck/doc_fact_authority.json；复核-结果层与收口层 R4 末【缺输入：判读层与第②层均未给保守取值方向】,跨件同名量发散检测,红：D4b 对上述发散量零覆盖,是（第②层独立复核）,复核-结果层与收口层 R4；复核注记：是
A1-023,drizzle 面积/闭合冻结门,容差,文档冻结 1e-6（FP64 通量闭合）；逐 leaf 门 FP32/FP64 < 1e-5；可执行门并存 1e-7 与 1e-6 两档,相对偏差,测试/实验,docs/algorithms/DRIZZLE_GEOMETRY.md:303；eng/ci/checks.json:4722；docs/science/DRIZZLE.md:152（补侧·本行出处所列，该侧带值）；lib/algorithms/drizzle/healpix_drizzle/tests/drizzle_freeze_test.cpp:12（补侧·本行出处所列，该侧带值）；lib/algorithms/drizzle/healpix_drizzle/tests/drizzle_acceptance_test.cpp:74（补侧·本行出处所列，该侧带值）,有文献（本仓门表）但门与度量类型错配,docs/algorithms/DRIZZLE_GEOMETRY.md §9:303-304/:312-313；docs/science/DRIZZLE.md:152；eng/ci/checks.json:4722（drizzle_freeze）、:4547（drizzle_acceptance）；drizzle_freeze_test.cpp:12/211/235/256/269/282/487/512；acceptance_drizzle.py:37 与 drizzle_acceptance_test.cpp:74 GATE_CLOSURE=1e-7、:250 仍写 1e-6【缺输入：判读层与第②层均未给保守取值方向】,创新点④ 验收门表,红：文档冻结 1e-6 与可执行门 1e-7/1e-6 两档并存；现无任何逐叶几何门约束「面积落在哪一叶」,是（第②层独立复核）,复核-AUD204 W2（冻结门登记核查）；复核注记：是（第②层只读核查，未跑）
A1-024,dt,常数,0.001,秒,生产,lib/infrastructure/cli/monitor.h:441；ASTROCS_DESIGN.md；lib/infrastructure/cli/memory_report.h:227；lib/infrastructure/cli/resource_recorder.h:265；lib/infrastructure/cli/memory_report.h,无,无——epsilon 未给物理/数值来源（标准 02 §3 要求）；无。反向依据：ASTROCS_DESIGN.md §3.3（:239）明确要求「epsilon 说明物理或数值来源」，本行是该要求的**直接未满足点**【保守方向·回填自判读件】生产不可达（0.5 s×样本数 ≫ 1 ms）⇒ 现时零危害；危害在**未来缩短采样间隔**时：interval 与 0.001 之比即斜率最大失真倍数，而 L-02 已证明 interval 是无登记的 6 处字面量，二者相乘的风险不可从任何文档预见。另注：本行分母是 n×标称（同 :430 口径问题），且结果截断为 int64（:442-444）——B/s 取整对 MiB/s 级斜率无碍，但 ,ProcessMonitor::summary().rss_slope_bytes_per_s（int64）→resource 工件；亦进 memory_report.h:616 同族比较,"红（判读层立案 L-04/L-08｜AUD-402-判读-A2 §3.2／§3.4）：dt = max(0.001, n×interval_) 仍以标称周期为分母；0.001 s 下界无任何说明（ASTROCS_DESIGN.md:239 §3.3 要求 epsilon 给物理或数值来源）",否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；AUD-402-判读-A3；L-02；L-06；L-08
A1-025,fwhmClipSigma,算法,3.0f,σ 倍数（无量纲）,测试/实验,eng/tests/unit/ipv_platform_binding_test.cpp:70；lib/algorithms/star_detection/src/sdet_api.cpp:963-975；README.md:119-123；docs/contracts/PUBLIC_API.md:833；docs/algorithms/STAR_DETECTION_ALGORITHMS.md:252,C（默认 3.0 只有文档/代码镜像，无文献或实验锚）,lib/algorithms/star_detection/src/sdet_api.cpp:963-975（默认 3.0f）＋ README.md:119-123 ＋ docs/contracts/PUBLIC_API.md:833；消费面限定见 docs/algorithms/STAR_DETECTION_ALGORITHMS.md:252（fwhmClipSigma 仅 debug 入口消费，impl 阶段8 已移除全局）【缺输入：判读层与第②层均未给保守取值方向】,SDetParams.fwhmClipSigma,红（判读层立案 逐侧并列见本行出处与备注引文）：本行值与登记默认相等（3.0f），故**不立案多侧不一致**,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1
A1-026,interval_seconds,常数,0.5 ｜ 0.25,秒,生产,lib/infrastructure/cli/monitor.h:336；docs/plugins/infrastructure/21_observability.md；lib/infrastructure/cli/commands.cpp；eng/contracts/resource_gate_v1.json；eng/packaging/config/defaults.json；eng/packaging/config/runtime_resources.json；lib/infrastructure/cli/resource_recorder.h:97；lib/infrastructure/cli/commands.cpp:720；eng/ci/resource_monitor.py:870；eng/tools/monitoring/run_monitored.py:917；21_ob,无（配置面未登记该默认）,docs/plugins/infrastructure/21_observability.md §5 配置项表:37 有一行 `sampling | —— | —— | 资源采样间隔`——**默认列与单位列都是「——」**（即未登记）；语义权威 §8 全节不复述采样间隔；无——既不在契约，也不在 21_observability/defaults.json；出厂模板与 CLI 骨架亦无该键【缺输入：判读层与第②层均未给保守取值方向】,生产实际值：commands.cpp:717 显式传 0.5 ⇒ 本默认值在生产路径**未被使用**（默认值只服务测试与未来调用方）；同时 0.5 以字面量再出现于 commands.cpp:720/744/769/782/979 共 6 处,红（判读层立案 L7/L-02｜AUD-402-判读-A3 §2.1 L7；判读-A2 §3.1 L-02）：资源采样间隔四侧四值且相差 5×：头默认参数 0.25（生产零调用点）／C++ 生产实取 0.5（四处字面量）／外挂 judge 1.0／冻结门 poll 0.2；文档 §5 配置表有 sampling 行但默认列与单位列都填『——』；契约、defaults.json、CLI 骨架均无该键 ∥ 红（判读层立案 L7/L-02｜AUD-402-判读-A3 §2.1 L7；判读-A2 §3.1 L-02）：资源采样间隔四侧四值且相差 5×：头默认参数 0.25（生产零调用点）／C++ 生产实取 0.5（四处字面量）／外挂 judge 1.0／冻结门 poll 0.2；文档 §5 配置表有 sampling 行但默认列与单位列都填『——』；契约、defaults.json、CLI 骨架均无该键 ∥ 红（判读层立案 L7｜AUD-402-判读-A3 §2.1 L7／§5 第 4 条）：interval_seconds=0.25 一侧在生产零调用点 ⇒ 机械层把未使用的默认参数当成生产值；真缺陷是四侧无唯一源,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；AUD-402-判读-A3；L-02；L7
A1-027,io_wait_high_percent,常数,50.0,%（iowait 占区间）,生产,lib/infrastructure/cli/resource_gate.h:207；eng/tools/quality/resource_monitor.py:895；eng/contracts/resource_gate_v1.json（补侧·本行出处所列，该侧带值）,无出处,无——契约无 iowait 键、21_observability §8.3 判据表七项亦无『异常 IO 等待』；lib 内注称『07 §3』文档不在跟踪集（详见 md §5）,CLI 生产面不可达（输入 :182 恒 0.0）,红（判读层立案 L3/L2｜AUD-402-判读-BD1 §1.1 L3；判读-A3 §2.1）：io_wait_high_percent=50.0 唯一源是代码字面量；契约 resource_gate_v1.json 内 iowait/io_wait/bandwidth 键零命中、生成头亦无 ⇒ 该 JSON :7 自述『本文件是唯一数值源，实现侧不得再出现字面量阈值』为假；外挂 judge CLI 另有一份 50.0（可配置）⇒ 同值不同源,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3
A1-028,iterativeClipSigma,算法,5.0f（本行）；登记默认 9.0f,σ 倍数（无量纲）,测试/实验,eng/tests/unit/ipv_platform_binding_test.cpp:65；lib/algorithms/star_detection/src/sdet_api.cpp:996；lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:1569；lib/algorithms/star_detection/README.md:119；docs/contracts/PUBLIC_API.md:833；lib/algorithms/star_detection/test/sdet_fp64_test.cpp:54；lib/algorithms/star_detection/test/sdet_saturation_cursor_test.cpp:114；lib/algorithms/star_detec,C（文档登记默认 9.0，无文献/实验锚）＋ 本行 5.0 无登记,值 9.0 唯一源＝代码 lib/algorithms/star_detection/src/sdet_api.cpp:996 与生产调用 lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:1569；文档镜像 lib/algorithms/star_detection/README.md:119、docs/contracts/PUBLIC_API.md:833。值 5.0 无出处【缺输入：判读层与第②层均未给保守取值方向】,SDetParams 结构图迭代裁剪（当前实现不消费）,红（判读层立案 BD1-L1｜AUD-402-判读-BD1 §1.1 L1）：三套取值并存：9.0f（默认＋orchestrator 生产入口＋测试＋实验）vs 5.0f（**同为生产入口**的 module_adapters.cpp:3959 与 :4846）⇒ 两个生产入口对同一参数取不同值，PUBLIC_API.md:833 只登记一侧；已由仓内台账记为 OPEN（FIX_LEDGER.csv:209 M3b-C-05）,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1
A1-029,kAllocGrowthWarnMbPerS,常数,2.0,名 mb_per_s、实 MiB/s（同 :228）,生产,lib/infrastructure/cli/memory_report.h:54；eng/contracts/resource_gate_v1.json；lib/infrastructure/cli/resource_gate.h:105；docs/plugins/infrastructure/21_observability.md:53-54；lib/infrastructure/cli/resource_gate.h；lib/infrastructure/cli/memory_report.h；lib/infrastructure/cli/resource_gate.h:23,无（唯一数值源无此键、语义权威文档判据表无此条、生成头无此常量）,无。三件反证：① 本文件 :42/:47 自称「G-RES-01 阈值唯一数值源 = eng/contracts/resource_gate_v1.json（CMake 生成）」；② 同目录 resource_gate.h:105「本文件不再出现字面量阈值：改数值只改契约」且其 8 个阈值全部经 resource_gate_contract:: 取；③ docs/plugins/infrastructure/21_observability.md:53-54「实现侧（C++/Python 冻结门/外挂 judge）的阈值一律从该文件取」「改数值只改契约」,alloc_report.json 的 growth_verdict=Growing 与 thresholds.growth_warn_mb_per_s（**印进产品工件**）；外挂建议面,红（判读层立案 L-01｜AUD-402-判读-A2 §3.1）：kAllocGrowthWarnMbPerS=2.0 契约无键、生成头不生成、文档 §8.3 判据表无预警档，却被 :260 印进产品工件 alloc_report.json 的 thresholds 块，与契约真阈值混在一处无 source 标注,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；G-RES；L-01
A1-030,kAllocMinCurveSamples,常数,4,有效样本个数（无量纲计数）,生产,lib/infrastructure/cli/memory_report.h:64；docs/plugins/infrastructure/21_observability.md,无（契约与语义权威文档均无「最少样本数」键）,无。契约 applicability 只声明 min_active_window_seconds_exclusive=10 与 min_effective_cpus=2；21_observability.md §8.1 判定域表也只有这两条【缺输入：判读层与第②层均未给保守取值方向】,alloc_report.json growth_verdict；validate_alloc_report:611 同阈值复算,红（判读层立案 L-01｜AUD-402-判读-A2 §3.1）：kAllocMinCurveSamples=4 使 growth 半边在 2 s run 上就出结论，与契约 10 s 域不符,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；L-01
