类型,符号或键,位点,现行值,机判档,赋值形态,该行原文
具名,AC_COLSTAT_SRC_BIAS,lib/algorithms/calibration/include/astro_calibration.h:193,4u,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_SRC_BIAS    4u   /* 该列在 master_bias 被判坏列 */
具名,AC_COLSTAT_CONF_HIGH,lib/algorithms/calibration/include/astro_calibration.h:195,3u,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_CONF_HIGH   3u   /* dark 与 bias 一致判坏（物理来源双重印证） */
具名,AC_COLSTAT_CONF_MEDIUM,lib/algorithms/calibration/include/astro_calibration.h:196,2u,③未见于条文面,随输入算出（可导出，但须登记导出式）,#define AC_COLSTAT_CONF_MEDIUM 2u   /* 仅一个物理来源判坏，或科学帧+任一母版 */
具名,AC_COLSTAT_CONF_LOW,lib/algorithms/calibration/include/astro_calibration.h:197,1u,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_CONF_LOW    1u   /* 仅科学帧自身判坏（生产上母版不可得时的主路径） */
具名,ASTROCS_CAL_ABI_VERSION,lib/algorithms/calibration/include/astrocs/calibration/types.h:21,1u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_CAL_ABI_VERSION  1u
具名,ASTROCS_CAL_PLAN_VERSION,lib/algorithms/calibration/include/astrocs/calibration/types.h:28,1,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_CAL_PLAN_VERSION       1
具名,ASTROCS_CAL_CONFIG_SCHEMA_VER,lib/algorithms/calibration/include/astrocs/calibration/types.h:29,1,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_CAL_CONFIG_SCHEMA_VER  1
具名,ASTROCS_CAL_ECODE_NONE,lib/algorithms/calibration/include/astrocs/calibration/types.h:96,0u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_CAL_ECODE_NONE             0u
具名,ASTROCS_CAL_ECODE_OP_UNKNOWN,lib/algorithms/calibration/include/astrocs/calibration/types.h:97,100u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_CAL_ECODE_OP_UNKNOWN       100u  /* config.op 不在词表 */
具名,ASTROCS_CAL_ECODE_PARAM_MISSING,lib/algorithms/calibration/include/astrocs/calibration/types.h:98,101u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_CAL_ECODE_PARAM_MISSING    101u  /* 必需 config 键缺失 */
具名,ASTROCS_CAL_ECODE_PARAM_TYPE,lib/algorithms/calibration/include/astrocs/calibration/types.h:99,102u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_CAL_ECODE_PARAM_TYPE       102u  /* 键类型错误 */
具名,ASTROCS_CAL_ECODE_PARAM_RANGE,lib/algorithms/calibration/include/astrocs/calibration/types.h:100,103u,③未见于条文面,随输入算出（可导出，但须登记导出式）,#define ASTROCS_CAL_ECODE_PARAM_RANGE      103u  /* 维度<=0 / 非有限数值 */
具名,ASTROCS_CAL_ECODE_PLAN_FAIL,lib/algorithms/calibration/include/astrocs/calibration/types.h:101,104u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_CAL_ECODE_PLAN_FAIL        104u  /* plan 期元数据不足 */
具名,ASTROCS_CAL_ECODE_EXECUTOR_MISSING,lib/algorithms/calibration/include/astrocs/calibration/types.h:102,105u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_CAL_ECODE_EXECUTOR_MISSING 105u  /* cpu_heavy 无 executor 注入 */
具名,ASTROCS_CAL_ECODE_MANIFEST_MISSING,lib/algorithms/calibration/include/astrocs/calibration/types.h:103,110u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_CAL_ECODE_MANIFEST_MISSING 110u  /* 必需 manifest 字段缺失 */
具名,ASTROCS_CAL_ECODE_MANIFEST_DIMS,lib/algorithms/calibration/include/astrocs/calibration/types.h:104,111u,③未见于条文面,随输入算出（可导出，但须登记导出式）,#define ASTROCS_CAL_ECODE_MANIFEST_DIMS    111u  /* manifest dims/config 不一致 */
具名,ASTROCS_CAL_ECODE_B64_INVALID,lib/algorithms/calibration/include/astrocs/calibration/types.h:105,112u,③未见于条文面,随输入算出（可导出，但须登记导出式）,#define ASTROCS_CAL_ECODE_B64_INVALID      112u  /* base64 非法 / 解码长度不符 */
具名,ASTROCS_CAL_ECODE_LEGACY_REJECT,lib/algorithms/calibration/include/astrocs/calibration/types.h:106,120u,③未见于条文面,随输入算出（可导出，但须登记导出式）,#define ASTROCS_CAL_ECODE_LEGACY_REJECT    120u  /* legacy ac_* 返回非 0 */
具名,ASTROCS_CAL_ECODE_EXCEPTION,lib/algorithms/calibration/include/astrocs/calibration/types.h:107,130u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_CAL_ECODE_EXCEPTION        130u  /* DLL 边界捕获 C++ 异常 */
具名,AC_COLSTAT_OK,lib/algorithms/calibration/src/cosmetic_corrector.cpp:287,0,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_OK                 0
具名,AC_COLSTAT_SCALE_DEGENERATE,lib/algorithms/calibration/src/cosmetic_corrector.cpp:288,1,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_SCALE_DEGENERATE   1   // MAD(dev)==0 ⇒ 检测不可用，不判任何列
具名,AC_COLSTAT_FRAME_TOO_SMALL,lib/algorithms/calibration/src/cosmetic_corrector.cpp:289,2,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_FRAME_TOO_SMALL    2   // 列数不足 ⇒ 无列可判
具名,AC_COLSTAT_EDGE_ONE_SIDED,lib/algorithms/calibration/src/cosmetic_corrector.cpp:290,4,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_EDGE_ONE_SIDED     4   // 坏列段贴边，仅单侧锚点 ⇒ 复制该锚列
具名,AC_COLSTAT_NO_ANCHOR,lib/algorithms/calibration/src/cosmetic_corrector.cpp:291,8,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_NO_ANCHOR          8   // 坏列段无任何好列锚点 ⇒ 不修复，保留原值
具名,AC_COLSTAT_MIN_NEIGHBORS,lib/algorithms/calibration/src/cosmetic_corrector.cpp:294,2,③未见于条文面,声明行未见值（须读初始化处）,#define AC_COLSTAT_MIN_NEIGHBORS 2
具名,inv,lib/algorithms/calibration/src/cosmetic_corrector.cpp:498,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const float inv = 1.0f / static_cast<float>(R - L);
具名,thr,lib/algorithms/calibration/src/dark_optimizer.cpp:138,3.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const float thr = 3.0f * lsigma;
具名,PER_CELL,lib/algorithms/calibration/src/dark_optimizer.cpp:148,1000,③未见于条文面,字面量硬编码·条文面零提及,const int PER_CELL = 1000;
具名,MAX_TOTAL,lib/algorithms/calibration/src/dark_optimizer.cpp:149,50000,③未见于条文面,字面量硬编码·条文面零提及,const int MAX_TOTAL = 50000;
具名,thr,lib/algorithms/calibration/src/dark_optimizer.cpp:285,3.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const float thr = 3.0f * rsigma;
具名,ACS_CAL_MAX_STACK,lib/algorithms/calibration/src/module_entry.cpp:300,64,③未见于条文面,声明行未见值（须读初始化处）,#define ACS_CAL_MAX_STACK 64
具名,kFlatFloor,lib/algorithms/calibration/src/v6_calibration_covariance.cpp:64,0.1,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kFlatFloor = 0.1;
具名,kSharedDetectionEps,lib/algorithms/calibration/src/v6_calibration_covariance.cpp:66,1e-9,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kSharedDetectionEps = 1e-9;
具名,j_r,lib/algorithms/calibration/src/v6_calibration_covariance.cpp:318,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double j_r = 1.0 / denom;
具名,ASTROCS_COS_ABI_VERSION,lib/algorithms/cosmetic/include/astrocs/cosmetic/types.h:23,1u,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_COS_ABI_VERSION  1u
具名,ASTROCS_COS_PLAN_VERSION,lib/algorithms/cosmetic/include/astrocs/cosmetic/types.h:30,1,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_COS_PLAN_VERSION       1
具名,ASTROCS_COS_CONFIG_SCHEMA_VER,lib/algorithms/cosmetic/include/astrocs/cosmetic/types.h:31,1,③未见于条文面,声明行未见值（须读初始化处）,#define ASTROCS_COS_CONFIG_SCHEMA_VER  1
具名,kMinOrder,lib/algorithms/coverage/hips_properties.h:24,0,③未见于条文面,字面量硬编码·条文面零提及,static constexpr int kMinOrder = 0;
具名,kHipsTileWidth,lib/algorithms/coverage/hips_properties.h:25,512,③未见于条文面,字面量硬编码·条文面零提及,static constexpr int kHipsTileWidth = 512;
具名,P2_REJECT_CLASS_COUNT,lib/algorithms/coverage/include/astro/phase2/rejection.h:479,7,③未见于条文面,声明行未见值（须读初始化处）,#define P2_REJECT_CLASS_COUNT 7
具名,P2_REJ_CALIB_BINMIN,lib/algorithms/coverage/include/astro/phase2/rejection.h:497,50u,③未见于条文面,声明行未见值（须读初始化处）,#define P2_REJ_CALIB_BINMIN   50u
具名,P2_REJ_CALIB_ABS,lib/algorithms/coverage/include/astro/phase2/rejection.h:498,0.10,③未见于条文面,声明行未见值（须读初始化处）,#define P2_REJ_CALIB_ABS      0.10
具名,P2_REJ_CALIB_BSS_MIN,lib/algorithms/coverage/include/astro/phase2/rejection.h:499,0.10,③未见于条文面,声明行未见值（须读初始化处）,#define P2_REJ_CALIB_BSS_MIN  0.10
具名,P2_REJ_PROFILE_MOTION_MIN_PX,lib/algorithms/coverage/include/astro/phase2/rejection.h:504,0.5,③未见于条文面,声明行未见值（须读初始化处）,#define P2_REJ_PROFILE_MOTION_MIN_PX  0.5
具名,P2_REJ_PROFILE_PSF_ANOMALY_MIN,lib/algorithms/coverage/include/astro/phase2/rejection.h:505,0.2,③未见于条文面,声明行未见值（须读初始化处）,#define P2_REJ_PROFILE_PSF_ANOMALY_MIN 0.2
具名,P2_REJ_PROFILE_CONTAM_PRIOR,lib/algorithms/coverage/include/astro/phase2/rejection.h:506,0.05,③未见于条文面,声明行未见值（须读初始化处）,#define P2_REJ_PROFILE_CONTAM_PRIOR   0.05
具名,P2_REJ_PROFILE_OUTLIER_KAPPA,lib/algorithms/coverage/include/astro/phase2/rejection.h:507,4.0,③未见于条文面,声明行未见值（须读初始化处）,#define P2_REJ_PROFILE_OUTLIER_KAPPA  4.0
具名,P2_REJ_PROFILE_BIN_COUNT,lib/algorithms/coverage/include/astro/phase2/rejection.h:508,10u,③未见于条文面,声明行未见值（须读初始化处）,#define P2_REJ_PROFILE_BIN_COUNT      10u
具名,P2_SMOOTHING_LAMBDA_AUTO,lib/algorithms/coverage/include/astro/phase2/stage2_common.h:30,0.1,③未见于条文面,字面量硬编码·条文面零提及,constexpr double P2_SMOOTHING_LAMBDA_AUTO = 0.1;
具名,fpmin,lib/algorithms/coverage/src/rejection.cpp:33,1e-300,③未见于条文面,字面量硬编码·条文面零提及,const double fpmin = 1e-300;
具名,m2,lib/algorithms/coverage/src/rejection.cpp:43,2,③未见于条文面,随输入算出（可导出，但须登记导出式）,const int m2 = 2 * m;
具名,mid,lib/algorithms/coverage/src/rejection.cpp:92,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double mid = 0.5 * (lo + hi);
具名,r2,lib/algorithms/coverage/src/rejection.cpp:152,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double r2 = 1.0 + 0.5 * x * u;
具名,kRcrPi,lib/algorithms/coverage/src/rejection.cpp:173,3.1415926535897932384626434,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kRcrPi = 3.1415926535897932384626434;
具名,sigma_new,lib/algorithms/coverage/src/rejection.cpp:1572,1.134,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double sigma_new = 1.134 * wsd;
具名,p,lib/algorithms/coverage/src/rejection.cpp:1776,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double p = 1.0 - alpha / (2.0 * (n_minus_i + 1.0));
具名,w0,lib/algorithms/coverage/src/sampler.cpp:111,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double w0 = 1.0 - fx;
具名,maxn,lib/algorithms/coverage/src/sampler.cpp:406,1,③未见于条文面,随输入算出（可导出，但须登记导出式）,const int maxn = 1 << 20;
具名,leaf_shift,lib/algorithms/coverage/src/sampler.cpp:546,9,③未见于条文面,字面量硬编码·条文面零提及,const int leaf_shift = 9;  // tile 内 512×512 leaf
具名,s1,lib/algorithms/coverage/src/sampler.cpp:859,1.482602218505602,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double s1 = 1.482602218505602 * median_of(std::move(dev2));
具名,S,lib/algorithms/coverage/src/sampler.cpp:1040,1.482602218505602,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double S = 1.482602218505602 * dev[dev.size() / 2];
具名,kPi,lib/algorithms/coverage/src/sky_plane.cpp:50,3.14159265358979323846,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kPi = 3.14159265358979323846;
具名,kMadToSigma,lib/algorithms/coverage/src/sky_plane.cpp:51,1.482602218505602,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kMadToSigma = 1.482602218505602;   // 1/Φ⁻¹(3/4)
具名,c,lib/algorithms/coverage/src/sky_plane.cpp:636,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,if (umax - umin < h) { const double c = 0.5 * (umin + umax); umin = c - 0.5 * h; umax = c + 0.5 * h; }
具名,c,lib/algorithms/coverage/src/sky_plane.cpp:637,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,if (vmax - vmin < h) { const double c = 0.5 * (vmin + vmax); vmin = c - 0.5 * h; vmax = c + 0.5 * h; }
具名,support_floor,lib/algorithms/coverage/src/sky_plane.cpp:715,1e-9,③未见于条文面,随输入算出（可导出，但须登记导出式）,"const double support_floor = 1e-9 * std::max(max_node_weight, 1e-300);"
具名,eps,lib/algorithms/coverage/src/sky_plane.cpp:1553,1e-9,③未见于条文面,字面量硬编码·条文面零提及,const double eps = 1e-9;   // 边界浮点舍入容差（不构成外插）
具名,eps,lib/algorithms/coverage/src/sky_plane.cpp:1620,1e-9,③未见于条文面,字面量硬编码·条文面零提及,const double eps = 1e-9;   // 边界浮点舍入容差（不构成外插）
具名,kRankRtolFrozen,lib/algorithms/coverage/src/upm.cpp:61,1e-10,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kRankRtolFrozen = 1e-10;
具名,kMaPiHalf,lib/algorithms/coverage/src/upm.cpp:2232,1.57079632679489661923132169163975144209858469968755,③未见于条文面,字面量硬编码·条文面零提及,const double kMaPiHalf = 1.57079632679489661923132169163975144209858469968755;
具名,kMaKCcorrFrozenInDomain,lib/algorithms/coverage/src/upm.cpp:2233,1.4,③未见于条文面,字面量硬编码·条文面零提及,const double kMaKCcorrFrozenInDomain = 1.4;   // FZ-PROV-KCORR-VALUE
具名,max_sweeps,lib/algorithms/coverage/src/upm.cpp:2266,200,③未见于条文面,字面量硬编码·条文面零提及,const int max_sweeps = 200;
具名,c,lib/algorithms/coverage/src/upm.cpp:2284,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double c = 1.0 / std::sqrt(t * t + 1.0);
具名,kLeafOrder,lib/algorithms/coverage/tools/calibrated_pair_diag.cpp:42,7,③未见于条文面,字面量硬编码·条文面零提及,constexpr int kLeafOrder = 7;
具名,kSeamBandDeg,lib/algorithms/coverage/tools/calibrated_pair_diag.cpp:43,0.25,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kSeamBandDeg = 0.25;
具名,kSmallFloor,lib/algorithms/coverage/tools/calibrated_pair_diag.cpp:44,1e-5,③未见于条文面,字面量硬编码·条文面零提及,constexpr double kSmallFloor = 1e-5;  // median/lowfreq 允许的小量（固定）
具名,bin_deg,lib/algorithms/coverage/tools/calibrated_pair_diag.cpp:86,0.5,③未见于条文面,字面量硬编码·条文面零提及,"const std::vector<double>& d, double bin_deg = 0.5) {"
具名,kAcrWeightModeIvar,lib/algorithms/coverage/tools/stage2.cpp:67,2,③未见于条文面,字面量硬编码·条文面零提及,constexpr int kAcrWeightModeIvar = 2;
具名,maxn,lib/algorithms/coverage/tools/stage2.cpp:88,1,③未见于条文面,随输入算出（可导出，但须登记导出式）,const int maxn = 1 << 16;
具名,std_parent_count,lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:334,12,③未见于条文面,随输入算出（可导出，但须登记导出式）,const uint64_t std_parent_count = 12ULL * (1ULL << (2 * (leaf_order - 9)));
具名,M_PI,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:28,3.14159265358979323846,③未见于条文面,声明行未见值（须读初始化处）,#define M_PI 3.14159265358979323846
具名,kMaxTraceLeaves,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:163,20000,③未见于条文面,字面量硬编码·条文面零提及,static constexpr size_t kMaxTraceLeaves = 20000;
具名,D2R,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:348,0.017453292519943295769,③未见于条文面,字面量硬编码·条文面零提及,static const double D2R = 0.017453292519943295769;
具名,ADAPTIVE_MAX_DEPTH,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:394,5,③未见于条文面,字面量硬编码·条文面零提及,static const int    ADAPTIVE_MAX_DEPTH    = 5;     // 最大递归深度 (4^5=1024 叶单元)
具名,ADAPTIVE_RATIO_THRESH,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:395,1.25,③未见于条文面,字面量硬编码·条文面零提及,static const double ADAPTIVE_RATIO_THRESH = 1.25;  // 尺度比阈值 (max/min > 1.25 触发细分)
具名,ADAPTIVE_MIN_CELL_PX,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:396,4.0,③未见于条文面,字面量硬编码·条文面零提及,"static const double ADAPTIVE_MIN_CELL_PX  = 4.0;   // 最小单元尺寸 (像素), 避免无限细分"
具名,margin,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:680,0.5,③未见于条文面,字面量硬编码·条文面零提及,"const double margin = 0.5;  // 像素内缩, 避免边界越界"
具名,dh,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:681,0.5,③未见于条文面,字面量硬编码·条文面零提及,"const double dh = 0.5;      // 有限差分半步长 (步长=1px), 平衡精度与效率"
具名,SQRT_SQRT3,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1035,1.3160740129524924,③未见于条文面,字面量硬编码·条文面零提及,static const double SQRT_SQRT3 = 1.3160740129524924;
具名,D_EW_HALF_FACTOR,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1037,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,static const double D_EW_HALF_FACTOR = 1.0 / SQRT_SQRT3;       // ≈ 0.760
具名,kMinRows,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1688,16,③未见于条文面,字面量硬编码·条文面零提及,constexpr int      kMinRows      = 16;   // 每 stripe 最少行数
具名,kMaxStripes,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1689,256,③未见于条文面,字面量硬编码·条文面零提及,constexpr uint32_t kMaxStripes   = 256;  // stripe 数上限 (归约开销有界)
具名,THRESH_60ARCSEC,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1897,60.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double THRESH_60ARCSEC = 60.0 * (M_PI / 180.0) / 3600.0;
具名,tid,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1928,0,③未见于条文面,字面量硬编码·条文面零提及,const int tid = 0;  // 串行退化
具名,t,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:2259,0,③未见于条文面,字面量硬编码·条文面零提及,const int t = 0;
具名,FITS_BLOCK_SIZE,lib/algorithms/drizzle/healpix_drizzle/fits_reader.cpp:21,2880,③未见于条文面,字面量硬编码·条文面零提及,static const size_t FITS_BLOCK_SIZE = 2880;
具名,FITS_CARD_SIZE,lib/algorithms/drizzle/healpix_drizzle/fits_reader.cpp:22,80,③未见于条文面,字面量硬编码·条文面零提及,static const size_t FITS_CARD_SIZE  = 80;
具名,DEG2RAD,lib/algorithms/drizzle/healpix_drizzle/fits_reader.cpp:361,0.017453292519943295769,③未见于条文面,字面量硬编码·条文面零提及,const double DEG2RAD = 0.017453292519943295769;
具名,HP_MAX_SNR_POINTS,lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:37,10000000,③未见于条文面,字面量硬编码·条文面零提及,static const uint32_t HP_MAX_SNR_POINTS = 10000000u;
具名,DEG2RAD,lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:439,0.017453292519943295769,③未见于条文面,字面量硬编码·条文面零提及,const double DEG2RAD = 0.017453292519943295769;
具名,NANOFLANN_NODE_ALIGNMENT,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:129,16,③未见于条文面,声明行未见值（须读初始化处）,#define NANOFLANN_NODE_ALIGNMENT 16
具名,WORDSIZE,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:897,16,③未见于条文面,字面量硬编码·条文面零提及,static constexpr size_t WORDSIZE  = 16;  // WORDSIZE must >= 8
具名,BLOCKSIZE,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:898,8192,③未见于条文面,字面量硬编码·条文面零提及,static constexpr size_t BLOCKSIZE = 8192;
具名,UNROLL,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:1499,4,③未见于条文面,字面量硬编码·条文面零提及,constexpr size_t UNROLL = 4;
具名,SAVE_MAGIC,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:1639,0,③未见于条文面,声明行未见值（须读初始化处）,static constexpr uint32_t SAVE_MAGIC = 0x4E464C4E;
具名,kMinBalanceRebuild,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:2831,4,③未见于条文面,字面量硬编码·条文面零提及,static constexpr Size kMinBalanceRebuild = 4;
具名,kBulkInsertFraction,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:2834,0.5,③未见于条文面,字面量硬编码·条文面零提及,static constexpr double kBulkInsertFraction = 0.5;
具名,rebuild_growth,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:3710,1.3,③未见于条文面,字面量硬编码·条文面零提及,"const KDTreeIncrementalIndexParams& params = {}, double rebuild_growth = 1.3,"
具名,max_leaf,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:3960,10,③未见于条文面,字面量硬编码·条文面零提及,* const int max_leaf = 10;
具名,leaf_max_size,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:3997,10,③未见于条文面,字面量硬编码·条文面零提及,"const int leaf_max_size = 10, const unsigned int n_thread_build = 1)"
具名,M_PI,lib/algorithms/drizzle/healpix_drizzle/poly_clip.cpp:8,3.14159265358979323846,③未见于条文面,声明行未见值（须读初始化处）,#define M_PI 3.14159265358979323846
具名,BIG,lib/algorithms/drizzle/healpix_drizzle/poly_clip.cpp:63,1e6,③未见于条文面,字面量硬编码·条文面零提及,const double BIG = 1e6;
具名,kBound,lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.cpp:198,1e9,③未见于条文面,字面量硬编码·条文面零提及,const double kBound = 1e9;
具名,npix_total,lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.cpp:330,12,③未见于条文面,声明行未见值（须读初始化处）,const int64_t npix_total = 12LL * (int64_t)ns * (int64_t)ns;
