ID,原判据摘要,判定,证据,归属任务,根因,方案,验收门,依据,备注
M8-F-002,io_ownership_test 只 ++failures 恒 return 0，门不可能红,FIXED,"timeout 30 sed -n ""120,140p"" tests/unit/io_ownership_test.cpp (rc=0) -> :131-137 ""return failures == 0 ? 0 : 1;"" + 注释 ""// M8-F-002: 失败必须非零退出(修复前恒 return 0 → 门不可能红)""，:125-128 子进程 --inject-failure 断言 rc!=0；timeout 30 grep -n io_ownership tests/unit/CMakeLists.txt (rc=0) -> :141 add_test(NAME io_ownership ...)",AIO-001,-,-,-,修复证据：main 按 failures 返回 0/1，并新增 failure_sets_nonzero_exit 回归锁（子进程注入断言非零），已注册 ctest,run/scif3001 下旧二进制属过期构建产物，非当前树证据
M8a-C-003,"README 自称""零外部依赖（不依赖 cfitsio）/OpenMP 16 线程""，与同库 vendored cfitsio 60 源矛盾",OPEN,"timeout 30 grep -n 零外部依赖 lib/infrastructure/aio/README.md (rc=0) -> :5/:7/:19/:180；timeout 30 grep -n ""add_library(astrocs_cfitsio"" CMakeLists.txt (rc=0) -> :301 ""add_library(astrocs_cfitsio STATIC "" + chr(36) + ""{ASTROCS_CFITSIO_SOURCES})""；timeout 30 grep -c ""lib/infrastructure/aio/third_party/cfitsio"" cmake/cfitsio_sources.cmake (rc=0) -> 60；README:28/:166/:204 仍写 OpenMP 16 线程",AIO-001,README 停留迁移前快照（依赖/线程/目录树/构建段），与同目录 vendored cfitsio 与现行 src/ 树矛盾,按现行 src/ 树与 vendored cfitsio 重写 README（依赖、线程、构建、版本快照）,README 目录树与 ls src 一致 + 依赖声明与 CMake 一致门,-,-
M9-C-1,"合同声明""路径均为 UTF-8""，Windows 分支用 MoveFileExA 按 ANSI 解释",OPEN,"timeout 30 grep -n ""MoveFileExA|MultiByteToWideChar"" lib/algorithms/drizzle/hips/src/aio_publish.cpp (rc=0) -> :365 ""if (!MoveFileExA(stage_path_utf8, out_dir_utf8, MOVEFILE_REPLACE_EXISTING))""，全文件 MultiByteToWideChar 0 命中；timeout 30 grep -n ""路径均为 UTF-8"" lib/algorithms/drizzle/hips/include/astrocs/hips/publish.h (rc=0) -> :73",AIO-001,同函数一宽一窄自证不变：_mkdir/_unlink/FindFirstFileA/MoveFileExA 按 ANSI 代码页解释 UTF-8 路径,改名/遍历走 widen+MoveFileExW（对齐 hiss_stream_writer 正范式）或复用 aio_fopen_utf8 适配层,非 ASCII 路径写出/发布用例（需 Windows 节点复验）,-,-
M9-F-3,"scale 侧无上界与 isfinite，NaN 被接受，且"">0 才写""存在静默省略分支",FIXED,"timeout 30 sed -n ""1414,1428p"" lib/infrastructure/aio/src/hips/aio_hips_writer.cpp (rc=0) -> !(pixfrac>0&&<=1)→2、!isfinite(scale_arcsec)→2、!(scale_arcsec>0)→2、>824.5167388361774""→2，均 set_error；timeout 30 grep -rn ACS_HIPS_MAX_FRAME_SCALE_ARCSEC lib/infrastructure/aio (rc=0) -> 常量与推导注释在位",AIO-001,-,-,-,修复证据：R-7 §5.5（闭域 + fail-closed + 结构化诊断 + 删除静默省略）+ SCI-FIX-AIO ⑤（negative N1..N11 PASS，含 NaN/Inf/0/负/越界与 all-or-none 键）,序列化仍 %.4f 属另一专项（SCI-FIX-AIO 残余 3）
M9-G-4,路径 ≥511 时 tmp 截断为 target 的原地覆写路径，begin 无长度校验,OPEN,"timeout 30 grep -n ACS_FIO_PATH_MAX lib/infrastructure/aio/io/fits_core.c (rc=0) -> :1077-1078 ""char target[ACS_FIO_PATH_MAX]; char tmp[ACS_FIO_PATH_MAX];""；timeout 30 sed -n ""1225,1230p"" (rc=0) -> snprintf(wr->target,...) 与 fio_writer_make_tmp_name(...) 均不检查返回值；timeout 30 grep -rn ""define ACS_FIO_PATH_MAX"" lib/infrastructure/aio (rc=0) -> fits_stream_v1.h:33 = 512",AIO-001,定长缓冲 + 不查 snprintf 截断，超长路径下 tmp 退化为 target（原地覆写），begin_v1 无长度校验,改用动态/显式长度校验，截断即 fail-closed（返回 PARAM）,≥511 字符路径写出的负例：不得原地覆写、须明确报错,-,-
M9-G-5,提交链只有 fflush→close→rename，文件与父目录均无 durability barrier,OPEN,"timeout 30 grep -c ""fsync|_commit|FlushFileBuffers"" lib/infrastructure/aio/io/fits_core.c (rc=1) -> 0；timeout 30 grep -n ""rename("" 同文件 (rc=0) -> 仅 :1480；timeout 30 grep -n ""PUBLISH_FSYNC_FD|_commit|fsync"" lib/algorithms/drizzle/hips/src/aio_publish.cpp (rc=0) -> :34 _commit / :45 fsync 正对照",AIO-001,IO-001 未继承同仓发布实现的 fsync/父目录 fsync 纪律,提交前 fsync 文件句柄与父目录，再原子 rename,断电/崩溃注入模型下产物完整性门（或显式降级并登记偏差）,-,-
M9-G-6,properties 写出返回 void、错误不传播、直写正式路径无 tmp+rename,FIXED,"timeout 30 sed -n ""408,481p"" lib/infrastructure/aio/src/hips/aio_hips_writer.cpp (rc=0) -> ""bool write_properties(...)""，失败 set_error+return false，落盘经 aio_atomic::write_file_atomic（:476）；timeout 30 grep -n write_properties 同文件 (rc=0) -> :1156/:1375 ""if (!write_properties(dir + 斜杠+properties, kv)) return false;""",AIO-001,-,-,-,修复证据：签名改 bool + 原子原语（临时文件+fsync+rename）+ 错误传播，两处调用点检查返回值（含注入点 ASTROCS_HIPS_PROV_FAULT）,-
M9-H-4,aio_hips_read_snr_catalog 的 max 为 int 且无负值判定，负值可致写超调用方缓冲,OPEN,"timeout 30 grep -n ""int max)"" lib/infrastructure/aio/src/hips/aio_hips_reader.cpp (rc=0) -> :522 ""int max)  {""；timeout 30 grep -n ""max < 0|(size_t)max"" 同文件 (rc=1 无 max<0) -> :526 ""int n = (int)std::min((size_t)max, d->snr.size());""，随后一次写 ra/dec/snr/star_id/quality_flags/photometric_status 六缓冲",AIO-001,负 max 转 size_t 巨数后 min 取产品内点数，n 远超调用方缓冲容量,入口加 if (max < 0) return -2（或 fail-closed 并 set_err）,max=-1 调用不越界写的负例（ASan/边界检测）,-,-
M9-H-5,readSnr/readWeight 按 float 个数 resize 却按 rawData.size() 字节 memcpy，块长非 4 倍数时堆越界写,OPEN,"timeout 30 sed -n ""573,574p;633,635p"" lib/infrastructure/aio/src/ahpx/aio_ahpx_reader.cpp (rc=0) -> ""result.resize(floatCount); std::memcpy(result.data(), rawData.data(), rawData.size());""（readSnr:573-574、readWeight:633-635）；正对照 readPixels:546-551 有 expectedSize 等值校验后返回",AIO-001,漏项：同文件 readPixels 有大小校验，snr/weight 两处无,同 readPixels 补 rawData.size()%4==0 与等值校验，失败即拒绝,非 4 倍数块长的负例（越界检测/ASan）,-,-
M9-H-6,JSON 浮点 double 强转 uint64 作块偏移/长度（UB），(long)offset 在 LLP64 折 32 位，全链无区间校验,OPEN,"timeout 30 grep -n ""(uint64_t)extractNumber|(long)offset|fseek"" lib/infrastructure/aio/src/ahpx/aio_ahpx_reader.cpp (rc=0) -> :350 blk.offset=(uint64_t)extractNumber(...)、:441 std::fseek(m_fp,(long)offset,SEEK_SET)；timeout 30 grep -n ""_fseeki64|fseeko"" 该目录 (rc=1) -> 0；正对照 aio_upm.cpp:26/:30、aio_xisf.cpp:40/:42 有 64 位 seek 宏",AIO-001,越界浮点→整型转换 UB + Windows 长偏移截断，且无 offset+size ≤ 文件长度校验,引入 64 位 seek 包装（_fseeki64/fseeko）+ 有限性与区间校验,>2GiB 与超范围 offset 负例（Windows+Linux 双平台）,-,-
V10-N-04,BSCALE/BZERO 解析失败被 catch(...) 吞成缺省 1.0/0.0，另一读面 parseDouble 显式 D→E 归一,OPEN,"timeout 30 grep -n ""BSCALE|BZERO"" lib/infrastructure/aio/src/aio_fits.cpp (rc=0) -> :161-162 ""else if (key == BSCALE) { try { hdr.bscale = std::stod(kw.value); } catch (...) {} }""；timeout 30 grep -c isfinite 同文件 (rc=1) -> 0；正对照 lib/algorithms/drizzle/healpix_drizzle/fits_reader.cpp:64 parseDouble 逐字符归一 D→E",AIO-001,同一合法头两读面结果不同，解析失败静默退化为缺省（像素量级静默错）,统一 D→E 归一 + 解析失败即诊断/拒绝，与 parseDouble 同口径,含 D 指数 BSCALE 与非法 BSCALE 的正/负例，两读面结果一致,-,-
V10-N-05,坏 SNR 行被计数但无人回读、函数仍返回成功；%lf 无有限性门,OPEN,"timeout 30 grep -rn bad_snr_rows lib/ (rc=0) -> 仅 lib/infrastructure/aio/src/hips/aio_hips_reader.cpp:98 声明 ""// 损坏 TSV 行计数 (G6 robustness)"" + :339 ++d->bad_snr_rows（全仓零消费者）；timeout 30 grep -n sscanf 同文件 (rc=0) -> :332 sscanf(line, ""%lld %lf %lf %lf %u %u"", ...)；timeout 30 grep -c isfinite 同文件 (rc=1) -> 0",AIO-001,坏行计数不外露、无 nan/inf 门，交付 SNR 星表静默少行不可观测,计数经 inspect/诊断外露并在阈值/非有限值上 fail-closed,含坏行与 NaN 的负例：可观测且可拒绝,-,-
V10-N-07,三处自写 JSON 解析器按外部 count 先 malloc 后校验一致性，无 count 上限与元素有限性,CRITERION-WRONG,timeout 30 grep -c isfinite lib/infrastructure/gaia_xpsd_client/src/gaia_client.c → rc=0（2 命中，已加防护）；timeout 30 grep -c isfinite lib/algorithms/drizzle/src/module_entry.cpp → rc=0（10 命中）；timeout 30 grep -c isfinite lib/algorithms/drizzle/hips/src/module_entry.cpp → rc=1（零命中，该 C 解析器仍未加 isfinite/2^53 防护）,AIO-001,-,-,-,R-5 #12（:26）：**别题误挂**——该条被挂在噪声/统计域，实为 JSON 解析器数值健壮性问题（与噪声/统计口径无关）；事实成立但**严重度高估**（生产平台可见行为是 1e999→0，不是内存破坏）。正确口径：三处解析器加 `isfinite` 与 2^53 上限 + 数组 count 上限；归属数据解析器域（AIO-001）。,【人工复核覆盖：原分批复核判 OPEN】台账原判 OPEN/P2/C_ALG_IMPL。
V11-N-01,C 结构 6 字段 vs Python 镜像 4 字段，无 struct_size/abi_version，跨边界静默错位,FIXED,"timeout 30 python3 读 lib/infrastructure/aio/include/aio_hips.h (rc=0) -> typedef struct 首部 ""AIO_HIPS_ABI_HEADER(AioHipsSnrPoint, AIO_HIPS_SNR_POINT_ABI_VERSION)"" + ra_deg/dec_deg/snr/star_id/quality_flags/photometric_status；timeout 30 grep -n ""AioHipsSnrPoint|_fields_"" lib/infrastructure/aio/tests/hips_direct_smoke.py (rc=0) -> :28 ""唯一权威镜像 (禁止在本文件另抄一份 _fields_)""；新增 aio_abi_layout_lock(_selfcheck) ctest",AIO-001,-,-,-,修复证据：R-7 §5.2 方案(c′) 已落——4 结构原位版本化 + 公共入口逐元素 fail-closed(AIO_HIPS_ABI_MISMATCH=-9) + 单一 Python 镜像 aio_abi_mirror.py + 逐字段布局锁,"R-7 记""破坏 ABI 不可承受""前提经实测为假（仓内唯一 Python 消费者因硬编码死路径本就无法加载）"
V21-N-02,HISS 私有错误域（校验和/格式/缺必填键）跨边界全塌成单一 HIO_ERR_FILE,OPEN,"timeout 30 grep -c ""if (ret != 0) return HIO_ERR_FILE"" lib/infrastructure/aio/src/healpix/aio_healpix_io.cpp (rc=0) -> 5；timeout 30 sed -n ""50,64p"" 同文件 (rc=0) -> HIO_ERR_PARAM=-1…HIO_ERR_BOUNDS=-7、HIO_ERR_INTERNAL=-8；timeout 30 grep -n HISS_ERR_ lib/infrastructure/aio/include/astrocs/aio/hiss_format.h (rc=0) -> CHECKSUM=-4/UNSUPPORTED=-6/UNKNOWN_REQUIRED=-7/FORMAT_VIOLATION=-8",AIO-001,"调用方无法区分""文件坏""与""数据坏""（ENGINEERING_SPEC §9 统一状态码+结构化诊断未落实）",把 HISS 语义码映射到统一状态码后再上抛，禁一律 FILE,校验和坏/缺必填键/格式违规三类返回码可区分的用例,-,-
W2-N-09,生产读入面无 PCi_j 支路，CDELT+PC 头丢旋转；注册表仍判 CONFORMANT,OPEN,"timeout 30 grep -n ""CD1_1|PC1_1"" lib/infrastructure/aio/src/aio_fits.cpp (rc=0) -> :410-413 只读 CD1_1/CD001001 等，无 PC 键；timeout 30 grep -rl PC1_1 lib include cli --include=*.c --include=*.cpp --include=*.h (rc=0) -> 仅 third_party/cfitsio 的 wcssub.c/histo.c；timeout 30 grep -n ""pc1_1|cd1_1"" lib/infrastructure/aio/include/astro_image_io.h (rc=0) -> :52 仅 cd1_1…cd2_2，无 PC 字段",AIO-001,读入面缺 PC 支路（AIOWCSKeywords 无 PC 字段），注册表 WCS CONFORMANT 判定失真,补 PCi_j 支路（或 CDELT×PC 合成）并同步注册表偏差登记,CDELT+PC 头读入旋转量与参考实现一致的用例,-,-
W3-R2-001,"先删旧正式文件再重试 rename，第二次失败则新旧同失；注释自称""失败可恢复""",OPEN,"timeout 30 sed -n ""95,115p"" lib/infrastructure/aio/src/aio_upm.cpp (rc=0) -> ""if (std::rename(tmp.c_str(), path) != 0) { // Windows rename 不覆盖已存在目标：删除旧正式模型后重试一次 … if (std::remove(path) == 0 && std::rename(tmp.c_str(), path) == 0) {""；正对照 hiss_stream_writer.cpp 用 MOVEFILE_REPLACE_EXISTING 单步替换",AIO-001,remove→rename 窗口内旧正式文件已失，两次 rename 均失败即数据净损失；注释把该路径写成合规,改用带 REPLACE_EXISTING 的单步原子替换（对齐同库正范式）,注入第二次 rename 失败时不丢旧正式文件（崩溃/失败注入用例）,-,-
W3-R2-009,p1_atomic_publish 兜底仍是 remove 后 rename 且注释自证不违原子性；悬空合同锚未消,OPEN,"timeout 30 sed -n ""1183,1211p"" lib/infrastructure/scheduler/src/module_adapters.cpp (rc=0) -> :1200 ""std::filesystem::remove(std::filesystem::u8path(final_path), ec_rm);"" 后 :1204 rename，:1189-1191 注释""该窗口内目标短暂缺失…不存在半写状态""；timeout 30 grep -n ""不能先删除旧文件再 rename"" lib/infrastructure/aio/src/hiss_stream_writer.cpp (rc=0) -> :174 冻结禁令；timeout 30 find . -name 00_COMMON_CONTRACTS.md (rc=0) -> 全仓不存在",AIO-001,同仓两文一题互相矛盾（冻结禁令 vs 兜底实现+自证注释）；合同锚 00_COMMON_CONTRACTS.md 悬空,改为单步原子替换并清理悬空引用,崩溃注入下任一时刻观察到的都是完整文件（旧或新）,-,module_adapters.cpp 并发线在改：读时 hash=3ac7b6514ae2，复核时=d167008bb60e（行号随移，判据内容逐条复核不变）
W3-R2-010,同函数开文件 CP_UTF8 widen 后 _wfopen，改名仍 MoveFileExA(ACP)，一宽一窄,OPEN,"timeout 30 grep -n ""MultiByteToWideChar|MoveFileExA|MoveFileExW"" lib/infrastructure/aio/src/aio_pipeline.cpp (rc=0) -> :81/:84/:86/:89 CP_UTF8 widen 开文件、:911 ""if (!MoveFileExA(tmp_path.c_str(), path, MOVEFILE_REPLACE_EXISTING))""；正对照 hiss_stream_writer.cpp:183-186 widen+MoveFileExW",AIO-001,非 ASCII 路径下改名静默降级（ACP 解释）,改名改 MoveFileExW（对齐同库正范式）,非 ASCII 路径写出用例（Windows 节点复验）,-,-
W4-R2-01,三处截断守卫只护顶层入口，四处 snprintf(child) 拼接不判截断即递归 rmrf/fsync,OPEN,"timeout 30 grep -n "">= sizeof"" lib/algorithms/drizzle/hips/src/aio_publish.cpp (rc=0) -> 仅 :102/:299/:328（mkdir_parents/stage_create/discard）；timeout 30 grep -n ""snprintf(child"" 同文件 (rc=0) -> :174/:188/:228/:249 四处（Win/POSIX 的 rmrf 与 fsync_tree 遍历）无返回值检查；timeout 30 grep -n PUBLISH_PATH_MAX (rc=0) -> :39/:54 两处 1024 定义",AIO-001,同文件两种截断纪律并存，截断后可命中同名兄弟路径导致整删,child 拼接统一判截断并 fail-closed；PUBLISH_PATH_MAX 单一定义,>1024 深路径下不误删兄弟目录的负例,-,"台账自注"">1024 实删需运行期复现""，本轮同样只判静态结构"
W4-R2-02,stat 随符号链接判目录、无重解析点检查；stage 名可预测且自愈删除先于 EEXIST 防线,OPEN,"timeout 30 grep -n ""publish_stat_exists|stat(p, &st)|lstat"" lib/algorithms/drizzle/hips/src/aio_publish.cpp (rc=0) -> :115/:117 stat（全文件 lstat 仅 :251）；timeout 30 grep -c REPARSE 同文件 (rc=1) -> 0；timeout 30 sed -n ""290,315p"" (rc=0) -> stage 名由 parent+base+固定 ASTROCS_HIPS_STAGE_BASENAME 拼成，publish_rmrf 自愈删除先于 :312 EEXIST 防线",AIO-001,父目录预置同名 symlink/junction 可被自愈 rmrf 整删；两进程并发写同 out_dir 后者删前者在途 staging；promote 无树内容校验,lstat/重解析点检查 + stage 名加 pid/随机 + 先 EEXIST 后删除,symlink 占位与并发同 out_dir 的负例（不误删他人在途物）,-,-
W4-R2-08,临时名 pid+进程内 seq 可预测、无 O_EXCL 独占创建；begin 仅探测一次存在性,OPEN,"timeout 30 grep -n ""overwrite|O_EXCL|tmp.%ld|rename(wr->tmp"" lib/infrastructure/aio/io/fits_core.c (rc=0) -> :1099 ""snprintf(out, cap, 目标.tmp.pid.seq)""、:1215 ""if (!overwrite) { set_err(\""target exists (overwrite=0)\"");""、:1480 rename；timeout 30 grep -rn O_EXCL fits_core.c aio_pipeline.cpp (rc=1) -> 0",AIO-001,三站均无独占创建，POSIX 下后到者可顶掉先完成成品,O_EXCL/随机后缀创建临时文件，end 时再校验目标状态,并发同名写出的独占性用例,-,orchestrator/cache 两站生产不可达系台账在册封顶理由
W5-N-06,file_sha256 读失败返回空串且 ok 出参从不上读，空串被写入 schema 要求 64hex/null 的字段,OPEN,"timeout 30 grep -c ""file_sha256("" lib/infrastructure/cli/commands.cpp (rc=0) -> 19；timeout 30 grep -n ""if (ok)|ok = false|&ok)"" 同文件 (rc=0) -> 全为声明/传参，无读取（:133/:151/:340/:453 等 lambda 内 ok 声明后即弃）；lib/infrastructure/cli/parser.cpp:203-205 ""if (!f) { if (ok) *ok = false; return {}; }""；contracts/schemas/jsonl_event_v1.schema.json:53 sha256 要求 string|null + ^[0-9a-f]{64}$",AIO-001,"失败态未编码（空串既非 null 也不匹配 pattern），provenance/verify 面无从区分""没算""与""算错""",失败写 null 或中止，并读取 ok 出参；口径统一为 null,不可读文件的 sha256 字段仍通过 schema 校验的负例（须红）,-,-
