# 批次 C-06｜生产面·具名·语义筛选后待判符号 102 个（源自 2,592 个待判具名符号，筛掉局部量噪声）
# 每行：符号	风险分	入选理由	位点数	位点样例(路径:行|现行值|单位|来源现状)
# 判据见 DISPATCH-C-PREAMBLE.md；产出必须逐符号给 §4 四选一定档
bias_dark	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/calibration/include/astrocs/calibration/v6_calibration_covariance.h:158|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
clip_high	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/integration/v6/src/weight_chain.cpp:346|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
constraining_scale_deg	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/coverage/src/sky_plane.cpp:1938|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
d_max	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/platesolve/cpp/ipv/include/ipv_kvector.h:35|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
data_max	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/hips_browser/healpix_browser_qt/core/hips_sky_view.h:97|1.0f|未标注|无来源（行内字面量，未见文档/文献锚）
dfwhm	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:47|0.1;4.5|未标注|无来源（行内字面量，未见文档/文献锚）
eff_order	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/platesolve/cpp/ipv/src/ipv_sip.cpp:381|.4f|未标注|无来源（行内字面量，未见文档/文献锚）
factor_down	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/star_detection/src/nls_lm.h:62|2.0|未标注|无来源（行内字面量，未见文档/文献锚）
finest_input_arcsec	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/scheduler/src/module_adapters.cpp:8257|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
fsnr	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/scheduler/src/module_adapters.cpp:11522|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
grid_size	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/star_detection/src/sdet_detector.cpp:381|2|未标注|无来源（代码内字面量，未见文档/文献锚）
kAcrWeightModeIvar	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/coverage/tools/stage2.cpp:67|2|未标注|无来源（代码内字面量，未见文档/文献锚）
kBulkInsertFraction	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:2834|0.5|未标注|无来源（代码内字面量，未见文档/文献锚）
kDefaultMinChunk	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/acr/cost/cost_estimator.hpp:133|1024|未标注|无来源（代码内字面量，未见文档/文献锚）
kDepthMinSpanMag	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/photometry/include/astrocs/v6/psfsw.h:45|1.0|未标注|无来源（代码内字面量，未见文档/文献锚）
kFluxBiasMax	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/photometry/include/astrocs/v6/psfsw.h:54|0.01|未标注|无来源（代码内字面量，未见文档/文献锚）
kLeafOrder	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/coverage/tools/calibrated_pair_diag.cpp:42|7|未标注|无来源（代码内字面量，未见文档/文献锚）
kMaxLambdaIter	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/star_detection/src/nls_lm.cpp:69|50|未标注|无来源（代码内字面量，未见文档/文献锚）
kMedianLimit	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/acr/qualification/focused/focused_benchmark.cpp:341|0.30|未标注|无来源（代码内字面量，未见文档/文献锚）
kNCommonMin	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/photometry/include/astrocs/v6/psfsw.h:47|3|未标注|无来源（代码内字面量，未见文档/文献锚）
kP1FrameMemSafetyFrac	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/scheduler/src/module_adapters.cpp:2236|0.75|未标注|无来源（代码内字面量，未见文档/文献锚）
kPowerLossMax	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/photometry/include/astrocs/v6/psfsw.h:53|0.05|未标注|无来源（代码内字面量，未见文档/文献锚）
kSpectrumCount	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/photometry/cpp/test/gate4_dr3sp_gaiaxpy/fsyn_export.cpp:74|343|未标注|无来源（代码内字面量，未见文档/文献锚）
leaf_max_size	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:3997|10|未标注|无来源（代码内字面量，未见文档/文献锚）
lsigma	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/calibration/src/dark_optimizer.cpp:131|1.482602218505602f|未标注|无来源（行内字面量，未见文档/文献锚）
mag_tolerance	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/photometry/cpp/src/star_matcher.h:72|3.0|未标注|无来源（行内字面量，未见文档/文献锚）
max_abs_cov	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:533|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
max_dc	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/photometry/cpp/src/spatial_gain.cpp:199|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
max_gap	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/projection/p3_proj_v6.cpp:635|360.0|未标注|无来源（行内字面量，未见文档/文献锚）
max_rel_snr	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:89|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
maxdev	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/coverage/src/sampler.cpp:1408|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
moc_area_sr	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:927|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
noise_sigma	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/star_detection/wrapper_phase1/star_detector.h:28|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
omega_min_sr	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/phase3_session/p3_v6_export.h:110|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
owner_signed_threshold	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.h:337|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
per_thread_cpu_max_pct	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/cli/resource_recorder.h:68|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
pixel_scale	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:214|.3f|未标注|无来源（行内字面量，未见文档/文献锚）
prior_sigma	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/coverage/src/rejection.cpp:1265|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
radius_rad	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/shared/healpix/healpix_core.cpp:443|180.0;3600.0|未标注|无来源（行内字面量，未见文档/文献锚）
required_memory_bandwidth_frac	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/cli/resource_gate.h:165|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
s_inside	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/drizzle/healpix_drizzle/poly_clip.cpp:230|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
sigma0	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:277|3.0|未标注|无来源（代码内字面量，未见文档/文献锚）
sigma_eff2	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/integration/v6/include/astrocs/v6/phase2_integrate.h:226|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
sky_plane_node_spacing_deg	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/coverage/include/astro/phase2/stage2_common.h:81|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
source_mask_radius_px	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1250|10.0|未标注|无来源（行内字面量，未见文档/文献锚）
std_parent_count	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:334|12|未标注|无来源（代码内字面量，未见文档/文献锚）
timeout_s	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/cli/astrocs_process.h:36|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
tol_floor_mid	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/platesolve/cpp/ipv/include/ipv_robust_refine.h:64|0.5|未标注|无来源（行内字面量，未见文档/文献锚）
uncertainty_factor	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/pipeline/orchestrator/cpp/include/admission_controller.h:76|1.0|未标注|无来源（行内字面量，未见文档/文献锚）
y_scale	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/photometry/cpp/src/spatial_gain.cpp:319|0.5;1.0|未标注|无来源（行内字面量，未见文档/文献锚）
