源行号,序号,对象,条目,来源成稿,原判级,复核后,判定,问题,证据位点,复核依据,复验命令,缺什么
71,71,common/healpix/healpix_core.cpp,R4-05.md::F-05-02,R4-05.md,S2,S2,确认,`lib/infrastructure/aio/Makefile` 与 `build.ps1` 是与根 CMake 并存的第二套构建，编译闭包按当前树已不可成立,../common/healpix/healpix_core.cpp; ../common/crypto/sha256.cpp; lib/algorithms/shared/healpix/healpix_core.cpp; lib/algorithms/shared/crypto/sha256.cpp; lib/infrastructure/aio/build.ps1:147; shipping,,,
72,72,core/browser_backend.h,R5-18.md::C-02,R5-18.md,S1,S3,降级,"`BrowserBackend::ud_grade` 的头注释说""求均值""，实现是""求和""，二者科学语义相反",core/browser_backend.h; core/browser_backend.cpp; memory.md; lib/healpix_db/archive/healpix_browser_cpp/include/browser_backend.h,"[降级] timeout 60 git grep -n ""求均值\|求和"" -- lib/infrastructure/hips_browser/healpix_browser_qt/core/browser_backend.h lib/infrastructure/hips_browser/healpix_browser_qt/core/browser_backend.cpp","timeout 60 git grep -n ""求均值\|求和"" -- lib/infrastructure/hips_browser/healpix_browser_qt/core/browser_backend.h lib/infrastructure/hips_browser/healpix_browser_qt/core/browser_backend.cpp",
73,73,core/healpix_math.cpp,R5-18.md::C-07,R5-18.md,S1,S2,降级,同一模块内并存两套 LOD 降采样语义：`HealpixMath::ud_grade` 取均值，`BrowserBackend::ud_grade` 取求和,core/healpix_math.cpp; core/browser_backend.cpp; core/gl_renderer.cpp,"[降级] timeout 60 git grep -n ""ud_grade"" -- lib/infrastructure/hips_browser/healpix_browser_qt/core/gl_renderer.cpp` → 仅 `:1356`（注释）与 `:1365`（HealpixMath 调用）；","timeout 60 git grep -n ""ud_grade"" -- lib/infrastructure/hips_browser/healpix_browser_qt/core/gl_renderer.cpp` → 仅 `:1356`（注释）与 `:1365`（HealpixMath 调用）；",
74,74,cpp/.h/.h,C2-01gap-科学算法源码.md::A-C2gap-02,C2-01gap-科学算法源码.md,S2,S2,确认,"本批 29 个测试 TU 属 tracked-but-unbuilt，而 `docs/science/DRIZZLE.md` 以现在时把其中 3 个当作科学门证据；既有的""三合一证据门""因 watched 表手工维护而看不见它们",.cpp/.h/.h; CMakeLists.txt; p1drz_oracle.h; docs/science/DRIZZLE.md:111; docs/science/DRIZZLE.md:112; docs/algorithms/DRIZZLE_GEOMETRY.md:293; drizzle_freeze_test.cpp; eng/tests/quality/test_sci_evide,,,
75,75,cpp/ipv/REPORT.md,R7-04.md::S-R7-04-03,R7-04.md,S1,S2,降级,文档把 `-ffast-math` 写成在册编译面，实际两构建脚本均无该 flag；在册的 `-march=native` 反无人登记,SIRIL_COMPARISON.md:544; build.ps1; cpp/ipv/REPORT.md:884; lib/algorithms/platesolve/cpp/ipv/build.ps1:27; REPORT.md/SIRIL_COMPARISON.md; docs/algorithms/CALIBRATION_ALGORITHMS.md:374; docs/architectu,"[降级] timeout 25 git grep -n ""ffast-math"" -- lib/algorithms/platesolve` → **5 行 / 2 文件**（`REPORT.md` 3 + `SIRIL_COMPARISON.md` 2），构建脚本（`build.ps1`/`Makefile`/`test/CMakeLists.txt`）命中 **0**；`timeout 25 grep ","timeout 25 git grep -n ""ffast-math"" -- lib/algorithms/platesolve` → 5 行 / 2 文件（`REPORT.md` 3 + `SIRIL_COMPARISON.md` 2），构建脚本（`build.ps1`/`Makefile`/`test/CMakeLists.txt`）命中 0；`timeout 25 grep",
76,76,cpp/ipv/test/ipv_dead_params_lock.py,R5-85.md::A-85-19,R5-85.md,S1,S2,降级,"同文件的对比判据拿""收敛后的 IPv""对""Siril 的初始 RMS""判 ✅，并把在册死实现列为 IPV 优势",cpp/ipv/test/ipv_dead_params_lock.py:9-11,"[降级] timeout 25 git grep -n ""solve_flip_mode\|best_mode"" -- 'lib/algorithms/platesolve/cpp/**'` → 8 命中**全在 `REPORT.md`/`SIRIL_COMPARISON.md` 两份文档**，`src/`+`include/` 为 0（`ipv_types.h:133` 反而写「移除 best_mode ","timeout 25 git grep -n ""solve_flip_mode\|best_mode"" -- 'lib/algorithms/platesolve/cpp/'` → 8 命中全在 `REPORT.md`/`SIRIL_COMPARISON.md` 两份文档**，`src/`+`include/` 为 0（`ipv_types.h:133` 反而写「移除 best_mode",
77,77,data/gates_analytic.json,R5-53.md::R553-02,R5-53.md,S1,S2,降级,同一物理不变量在两个门里登记成互逆判据，且都不等于实现口径,data/gates_analytic.json:186-192; data/gates_mc.json:167-173; qa_oracle.py:117,"[降级] timeout 25 grep -n ""G-ANA-03\|G-MC-03"" artifacts/evidence/v6/qa-design/data/gates_*.json` → `gates_analytic.json:153` / `gates_mc.json:134`（原条目锚 186-192/167-173 落在各自 criterion 块内，按内容重锚后成立）；`timeout 25","timeout 25 grep -n ""G-ANA-03\|G-MC-03"" artifacts/evidence/v6/qa-design/data/gates_*.json` → `gates_analytic.json:153` / `gates_mc.json:134`（原条目锚 186-192/167-173 落在各自 criterion 块内，按内容重锚后成立）；`timeout 25",
78,78,docs/TRACEABILITY.c,L6-发布与验收证据链.md::L6-14,L6-发布与验收证据链.md,S1,S1,确认,"追踪表的 `VERIFIED` 由""测试名字符串出现在测试文件里""生成，67/67 行全 VERIFIED，与 §12.5 及发布页互斥",docs/TRACEABILITY.c; eng/tools/quality/v19r3_traceability.py:409-411; eng/tools/quality/check_traceability.py; eng/tools/traceability/check_traceability_matrix.py; docs/traceability/TRACEABILITY_MATRI,"[确认] PYTHONUTF8=1 python -c ""import csv,collections;rows=list(csv.DictReader(open('docs/TRACEABILITY.csv',encoding='utf-8')));print(len(rows),collections.Counter(r['status'] for r in rows))""` → `67 Counter","PYTHONUTF8=1 python -c ""import csv,collections;rows=list(csv.DictReader(open('docs/TRACEABILITY.csv',encoding='utf-8')));print(len(rows),collections.Counter(r['status'] for r in rows))""` → `67 Counter",
79,79,docs/architecture.md,Q2-26.md::Q2-26-01,Q2-26.md,S1,S3,降级,[S1] `orchestrator/docs/architecture.md` 整篇以现在时叙述一套**跟踪内容中不存在的 Python 编排实现**，并与同模块正本对同一对象给出互斥说法,docs/architecture.md:5; docs/modules/astro_image_io.md; lib/infrastructure/aio/include/astro_image_io.h; tests/test_orchestrator_e2e.py; _adapter.py; lib/infrastructure/aio/include/aio_pipeline.h:34-3,"git ls-files | grep -c astro_image_io` → 2；` ` → 0（控制：` ` → `No such file or directory`，磁盘上也不存在）；`git grep -ln """,git ls-files lib/infrastructure/aio/python | wc -l,
80,80,docs/architecture/DEPENDENCY_RULES.md,质量-架构与设计.md::Q-ARCH-17,质量-架构与设计.md,S1,S3,降级,"`DEPENDENCY_RULES.md` 把""从未进构建图的 orchestrator + DllLoader 动态加载""写成现行依赖规则",docs/architecture/DEPENDENCY_RULES.md:13; CMakeLists.txt:441-453; cpp/include/dll_loader.h; cpp/src/dll_loader.cpp; docs/architecture/DEPENDENCY_RULES.md; docs/modules/star_detector.md:23; lib/algorit,"[降级] git grep -ln ""DllLoader\|dll_loader"" | grep -v pipeline/orchestrator` → 仅文档/证据件命中，**无第二个代码消费者**；`git grep -n ""OUTPUT_NAME"" -- CMakeLists.txt eng/cmake lib` → 13 命中，其中 loader 所需 7 个基名只由 tests 桩满足 2 个；`","git grep -ln ""DllLoader\|dll_loader"" | grep -v pipeline/orchestrator` → 仅文档/证据件命中，无第二个代码消费者；`git grep -n ""OUTPUT_NAME"" -- CMakeLists.txt eng/cmake lib` → 13 命中，其中 loader 所需 7 个基名只由 tests 桩满足 2 个；`",
81,81,docs/architecture/ERROR_MODEL.md,R5-57.md::C-57-02,R5-57.md,S1,S2,降级,证据件的 `error_taxonomy_exit_codes` 守护的是 orchestrator 旧码表，而权威已改判 `cli/exit_codes.h` 为唯一源：仓库内现存两套退出码数值表,machine_consistency_before.json:18; docs/architecture/ERROR_MODEL.md:26; lib/infrastructure/cli/exit_codes.h; lib/infrastructure/cli/exit_codes.h:1-19; lib/infrastructure/pipeline/orchestrator/cpp/inc,"[降级] git grep -n ""AstroCsExitCode"" -- docs/architecture/ERROR_MODEL.md` → **0 命中**（控制式 `git grep -n ""AstroCsExitCode"" -- eng/tools/docs_machine_consistency.py` → 3 命中 :199/:337/:340）⇒ 当前 HEAD 该判据首合取项为假，`pa","git grep -n ""AstroCsExitCode"" -- docs/architecture/ERROR_MODEL.md` → 0 命中（控制式 `git grep -n ""AstroCsExitCode"" -- eng/tools/docs_machine_consistency.py` → 3 命中 :199/:337/:340）⇒ 当前 HEAD 该判据首合取项为假，`pa",
82,82,docs/architecture/EXECUTION_MODEL.md,质量-架构与设计.md::Q-ARCH-23,质量-架构与设计.md,S1,S3,降级,`EXECUTION_MODEL.md` 给出与退出码唯一源**互斥**的第二套码值（`CANCELLED=10`/`TIMEOUT=9`）,docs/architecture/EXECUTION_MODEL.md:50; docs/architecture/ERROR_MODEL.md:30; lib/infrastructure/cli/exit_codes.h:16-17; lib/infrastructure/pipeline/orchestrator/cpp/include/orchestrator.h:40; docs/ar,"[降级] git grep -n -E ""CANCELLED=9|CANCELLED=10|TIMEOUT=9"" -- docs/` → **3 命中**（`ERROR_MODEL.md:30` + `EXECUTION_MODEL.md:50/:52`）⇒ 文档与文档在同一文件族内互斥为真；`git grep -n -E ""CANCELLED     = 9|RESOURCE      = 10"" -- ","git grep -n -E ""CANCELLED=9|CANCELLED=10|TIMEOUT=9"" -- docs/` → 3 命中（`ERROR_MODEL.md:30` + `EXECUTION_MODEL.md:50/:52`）⇒ 文档与文档在同一文件族内互斥为真；`git grep -n -E ""CANCELLED = 9|RESOURCE = 10"" --",
83,83,docs/architecture/MODULE_MAP.md,质量-架构与设计.md::Q-ARCH-28,质量-架构与设计.md,S1,S3,降级,"`MODULE_MAP.md` 文首宣布""本表不写状态字段""，四张表却每行都写状态字段",docs/architecture/MODULE_MAP.md:7-9; eng/tools/quality/check_module_map.py; RELEASE_STATUS.md; check_module_map.py; REVIEW_FACETS.md,"[降级] git grep -n ""行锚以该注册表为准"" -- docs/architecture/MODULE_MAP.md` → 1 命中 `:53`（改法 4 的子项成立：自我推脱式锚，不给定位）；`git grep -c ""status"" -- docs/modules/MODULE_MAP.yaml` → 3 命中，逐条读为 `:16` 禁令 + `:34` 词表 + `:35` authorit","git grep -n ""行锚以该注册表为准"" -- docs/architecture/MODULE_MAP.md` → 1 命中 `:53`（改法 4 的子项成立：自我推脱式锚，不给定位）；`git grep -c ""status"" -- docs/modules/MODULE_MAP.yaml` → 3 命中，逐条读为 `:16` 禁令 + `:34` 词表 + `:35` authorit",
84,84,docs/architecture/PERFORMANCE_MODEL.md,质量-架构与设计.md::Q-ARCH-35,质量-架构与设计.md,S1,S2,降级,"`PERFORMANCE_MODEL.md` 用本文件自己标注「数据不可用」的一行算出""内核效率衰减""，并把它列为不可改的物理上限",docs/architecture/PERFORMANCE_MODEL.md:178; THREADING_MODEL.md:91-108,"[降级] git grep -n ""t2_16f_after\|166.0"" -- docs/architecture/PERFORMANCE_MODEL.md` → 命中 `:178`（作废行）与 `:181`（结论行），即 166.0 的唯一来源就是被作废单元格；`git grep -n ""缺一即不成立"" -- docs/architecture/THREADING_MODEL.md` → 1 命中（:","git grep -n ""t2_16f_after\|166.0"" -- docs/architecture/PERFORMANCE_MODEL.md` → 命中 `:178`（作废行）与 `:181`（结论行），即 166.0 的唯一来源就是被作废单元格；`git grep -n ""缺一即不成立"" -- docs/architecture/THREADING_MODEL.md` → 1 命中（:",
85,85,docs/architecture/THREAD_BUDGET_ARCH.md,质量-架构与设计.md::Q-ARCH-30,质量-架构与设计.md,S1,S3,降级,"`THREAD_BUDGET_ARCH.md`：同一行既称""与线程数无关的确定性""又称""由 budget 快照唯一化""，并规定""全仓禁止硬编码线程数""而执行模型表里写着 16",docs/architecture/THREAD_BUDGET_ARCH.md:34; docs/architecture/EXECUTION_MODEL.md:18; eng/tools/arch/check_thread_budget.py; eng/ci/checks.json; THREADING_MODEL.md; ASTROCS_DESIGN.md; docs/owner/SCIENC,"[降级] git grep -n ""THREAD_BUDGET_EXEMPT""` → **2 命中**：仅 `THREAD_BUDGET_ARCH.md:41` 与 `eng/tools/quality/contracts/check_doc_symbols.py:290`（后者把它列进""允许出现在文档里的符号""白名单）⇒ **代码侧不存在该登记表**，执法脚本的真实结构是 `eng/tools/arch/","git grep -n ""THREAD_BUDGET_EXEMPT""` → 2 命中：仅 `THREAD_BUDGET_ARCH.md:41` 与 `eng/tools/quality/contracts/check_doc_symbols.py:290`（后者把它列进""允许出现在文档里的符号""白名单）⇒ 代码侧不存在该登记表，执法脚本的真实结构是 `eng/tools/arch/",
86,86,docs/architecture/production_call_paths_stage2.c,R5-64.md::D64-11,R5-64.md,S1,S2,降级,ACR 在该清单里自称 `production_reachable=yes`，与同行 risk_note、同目录另一清单和最高设计 §8 三处对撞,/stage2_common.h:140; docs/architecture/production_call_paths_stage2.c; docs/architecture/execution_inventory.c,"[降级] PYTHONUTF8=1 timeout 60 python -B -c ""import csv,collections;R=list(csv.DictReader(open('docs/architecture/PRODUCTION_EXECUTION_INVENTORY.csv',encoding='utf-8')));a=[r for r in R if r['category']=='ac","PYTHONUTF8=1 timeout 60 python -B -c ""import csv,collections;R=list(csv.DictReader(open('docs/architecture/PRODUCTION_EXECUTION_INVENTORY.csv',encoding='utf-8')));a=[r for r in R if r['category']=='ac",
87,87,docs/ci/03_GATES.md,质量-标准CI与验证.md::Q-D5-06,质量-标准CI与验证.md,S1,S2,降级,"[S1] `03_GATES.md §2` 整表复制 `ASTROCS_DESIGN.md §12.5`，复制时把 `VERIFIED` 的适用平台写窄为「Windows x64」——下级副本比""唯一口径""正本更严，Linux amd64 真实数据终验从此词消失",ASTROCS_DESIGN.md:746; AGENTS.md; docs/ci/03_GATES.md:13-19; docs/ci/02_PIPELINE.md:69,"[降级] timeout 25 git grep -n ""正式平台（Windows x64）"" -- '*.md'` → rc=0，4 命中（上列 4 文件）；`timeout 25 git grep -n ""^| VERIFIED"" -- ASTROCS_DESIGN.md docs/ci/03_GATES.md` → rc=0，正本无括号 / 副本有括号，差异现场可见。","timeout 25 git grep -n ""正式平台（Windows x64）"" -- '*.md'` → rc=0，4 命中（上列 4 文件）；`timeout 25 git grep -n ""^| VERIFIED"" -- ASTROCS_DESIGN.md docs/ci/03_GATES.md` → rc=0，正本无括号 / 副本有括号，差异现场可见。",
88,88,docs/interfaces/data/DATA-002_PHASE_PRODUCT_EXCHANGE.md,质量-合同与接口.md::Q-合同与接口-09,质量-合同与接口.md,S1,S2,降级,"[S1] DATA-002 的 NaN/无效处置：同一条规则内""不合格样本""有三种范围，强制计数出现四个字段名且""权重非正""这一类无承载面",docs/interfaces/data/DATA-002_PHASE_PRODUCT_EXCHANGE.md,"[降级] timeout 25 git grep -o ""n_rejected[a-z_]*"" -- docs/interfaces/data/DATA-002_PHASE_PRODUCT_EXCHANGE.md | sort | uniq -c` → rc=0：`6×n_rejected`、`4×n_rejected_nonfinite`、`2×n_rejected_nonfinite_variance`","timeout 25 git grep -o ""n_rejected[a-z_]*"" -- docs/interfaces/data/DATA-002_PHASE_PRODUCT_EXCHANGE.md | sort | uniq -c` → rc=0：`6×n_rejected`、`4×n_rejected_nonfinite`、`2×n_rejected_nonfinite_variance`",
89,89,docs/interfaces/io/IO_002_HIPS_INPUT_INTERFACE.md,质量-合同与接口.md::Q-合同与接口-07,质量-合同与接口.md,S1,S2,降级,"[S1] IO-002 用同一个词""回退""表达两件相反的事，并留下""M2b-B-01 前""的历史句 ⇒ 读者可据合同判出""允许父 order 回退""",docs/interfaces/io/IO_002_HIPS_INPUT_INTERFACE.md:100-102,"[降级] timeout 25 git grep -n ""只读回退\|静默回退"" -- docs/interfaces/io/IO_002_HIPS_INPUT_INTERFACE.md` → rc=0，5 命中；`timeout 25 git grep -c ""M2b-B-01"" -- '*.md'` → rc=0：`docs/interfaces/io/IO_002…:1` + `docs/contra","timeout 25 git grep -n ""只读回退\|静默回退"" -- docs/interfaces/io/IO_002_HIPS_INPUT_INTERFACE.md` → rc=0，5 命中；`timeout 25 git grep -c ""M2b-B-01"" -- '*.md'` → rc=0：`docs/interfaces/io/IO_002…:1` + `docs/contra",
90,90,docs/modules/hips_p2.md,质量-模块与插件.md::Q-D4-11,质量-模块与插件.md,S1,S1,确认,"`hips_p2.md` 用 §12.5 交付状态词 `VERIFIED` 描述""登记面""，同页两次，且同句承认可执行测试 MISSING",docs/modules/hips_p2.md:28-29,"[确认] timeout 25 git grep -rn ""TEST-P2-HIPS-001"" | head` → rc=0，12 命中，**全部是文档/矩阵行，无一条在 `eng/tests/**` 或 `lib/**/tests/**` 的可执行测试里**（`git ls-files` 亦无该 ID 的测试文件）；配套权威自述 `docs/algorithms/PHASE2_MOSAIC_WRITE.m","timeout 25 git grep -rn ""TEST-P2-HIPS-001"" | head` → rc=0，12 命中，全部是文档/矩阵行，无一条在 `eng/tests/` 或 `lib//tests/` 的可执行测试里**（`git ls-files` 亦无该 ID 的测试文件）；配套权威自述 `docs/algorithms/PHASE2_MOSAIC_WRITE.m",
