来源成稿,行,条目,短标题,被点名对象,全部对象,对象数,定级,置信,原文
AUD-101-D1残余.md,54,,| 与上位冲突 | **1. 源码行号锚系统性漂到无关代码**（与本份 §3 标题「与源码逐一锚定」及索引 duty「逐,docs/science/CALIBRATION.md,docs/science/CALIBRATION.md,1,,,"| 与上位冲突 | **1. 源码行号锚系统性漂到无关代码**（与本份 §3 标题「与源码逐一锚定」及索引 duty「逐符号实现锚定」直接冲突）：<br>`CMakeLists.txt:503-523`（三处：L21、L275、L326 均称""astrocs_calibration 静态库唯一构建清单""）→ 实测 `add_library(astrocs_calibration STATIC` 在 **589**（`target_link_libraries` 604、OpenMP 607–608）；**503–523 是 zlib 的 `find_library(ACS_ZLIB_LIBRARY …)` 与 `ACS_ZLIB_ROOT` 块 ⇒ 锚落在完全无关的代码上**。<br>`astro_calibration.h:21-24`（错误码 AC_OK/AC_ERR_PARAM/…）"
AUD-101-D1残余.md,55,,| 处置建议 | **保留（校准算法层正本）+ 就地整改三项**：①`CMakeLists.txt`/`astro_ca,docs/algorithms/anchors/anchor_contract.json,docs/algorithms/anchors/anchor_contract.json,1,,,| 处置建议 | **保留（校准算法层正本）+ 就地整改三项**：①`CMakeLists.txt`/`astro_calibration.h`/`module_adapters.cpp`/`p1_session.cpp` 的行号锚整体重锚，或改由 `docs/algorithms/anchors/anchor_contract.json` 机器门生成、正文只留符号名（标准 01 §3「双向索引可追溯」：追溯不到的登记即缺陷）；②L255/L281/L512 的 `02_FROZEN_STAGE1_HISS_SPEC` 删除或改指现存正本，同时把 ALG-CAL-005/006「无现行 SCI 依据」如实写明（标准 01 §1「下位与上位冲突时以上位为准，冲突本身是缺陷」）；③删 L5–9 元信息块与「部分关闭/已按现行语义落地/已订正/已退役/补齐/原有条款全部保留」历史叙事，改写为现行
AUD-101-D1残余.md,66,,- **正确项**：`lines=636`、`unregistered_index=False`（确在 `docs/DO,docs/DOCUMENT_INDEX.yaml,docs/DOCUMENT_INDEX.yaml,1,,,- **正确项**：`lines=636`、`unregistered_index=False`（确在 `docs/DOCUMENT_INDEX.yaml:127` 登记）与本机实测一致。
AUD-101-D1残余.md,70,,### 1.2 `docs/algorithms/COSMETIC_ALGORITHMS.md`,docs/algorithms/COSMETIC_ALGORITHMS.md,docs/algorithms/COSMETIC_ALGORITHMS.md,1,,,### 1.2 `docs/algorithms/COSMETIC_ALGORITHMS.md`
AUD-101-D1残余.md,74,,| 路径 | `docs/algorithms/COSMETIC_ALGORITHMS.md` |,docs/algorithms/COSMETIC_ALGORITHMS.md,docs/algorithms/COSMETIC_ALGORITHMS.md,1,,,| 路径 | `docs/algorithms/COSMETIC_ALGORITHMS.md` |
AUD-101-D1残余.md,80,,"| 下游 | 分片外 **24 个跟踪文件**（`git grep -c -e ""COSMETIC_ALGORITHMS",docs/algorithms,"docs/algorithms docs/modules/calibration.md docs/modules/registry/astrocs.phase1.cosmetic.md lib/algorithms/cosmetic/{module.yaml,README.md,memory.md} lib/algorithms/cosmetic/tests/p1cos/ lib/phase1_session/{module.yaml,README.md} eng/tools/check_traceability_matrix.py artifacts/evidence/governance-",8,,,"| 下游 | 分片外 **24 个跟踪文件**（`git grep -c -e ""COSMETIC_ALGORITHMS.md"" -- ':!docs/algorithms'`）。含 `docs/modules/calibration.md`、`docs/modules/registry/astrocs.phase1.cosmetic.md`、`lib/algorithms/cosmetic/{module.yaml,README.md,memory.md}`、`lib/algorithms/cosmetic/tests/p1cos/*`（5 份）、`lib/phase1_session/{module.yaml,README.md}`、`eng/tools/check_traceability_matrix.py`、`artifacts/evidence/governance-01/re"
AUD-101-D1残余.md,82,,| 重复或重叠对象 | `docs/algorithms/CALIBRATION_ALGORITHMS.md` §3.4,docs/algorithms/CALIBRATION_ALGORITHMS.md,docs/algorithms/CALIBRATION_ALGORITHMS.md,1,,,| 重复或重叠对象 | `docs/algorithms/CALIBRATION_ALGORITHMS.md` §3.4 —— **同一实现的两份逐公式登记（实质重复，非下钻）**。<br>本份 L22–24 `逐公式锚定 **现行唯一生产实现** ac::detect_hot_pixels/detect_cold_pixels/filter_by_structure_size/interpolate_pixels/correct_frame（cosmetic_corrector.cpp:61-265，经 ac_correct_frame/ac_correct_frame_f64 导出）`<br>↔ `docs/algorithms/CALIBRATION_ALGORITHMS.md:222` `### 3.4 ALG-CAL-004 坏点检测/修复 ac::detect_hot_pixe
AUD-101-D1残余.md,85,,| 悬空引用 | 1. **符号级悬空（指向已退役实现）**：L19–20「SCI-CAL-001 §12 将坏点检测/,lib/algorithms/calibration/cpp/cosmetic_corrector.cpp,"lib/algorithms/calibration/cpp/cosmetic_corrector.cpp docs/contracts/DATA_SEMANTICS.md docs/contracts/PUBLIC_API.md docs/api/PHASE1_API_V1.md lib/algorithms/cosmetic/{module.yaml,README.md} lib/algorithms/calibration/CMakeLists.txt lib/algorithms/calibration/python/ lib/algorithms/calibration/python",8,,确认,| 悬空引用 | 1. **符号级悬空（指向已退役实现）**：L19–20「SCI-CAL-001 §12 将坏点检测/修复登记为 `ALG-CAL-004`（引用 cc_* 通道符号 `cc_detect_hot/cold + cc_correct_median`）」——被引符号仍在跟踪集（`lib/algorithms/calibration/cpp/cosmetic_corrector.cpp`，`git ls-files --error-unmatch` → TRACKED），但该通道本份自己判为已退役且「**无资格**解释或复算本模块行为」（L37–38）⇒ 与科学正本的绑定相反，见「与上位冲突」4。<br>2. 文件级：L404–410 引用的 `docs/contracts/DATA_SEMANTICS.md §10`（实测 `:304` = §10.4，§10 在）、`do
AUD-101-D1残余.md,86,,"| 与上位冲突 | **1. 全文核心""生产现状""结论在 HEAD 已失效（本批最高价值单条）**：L209–222「关",docs/science/CALIBRATION.md,docs/science/CALIBRATION.md lib/algorithms/calibration/CMakeLists.txt docs/contracts/DATA_SEMANTICS.md eng/packaging/config/defaults.json lib/algorithms/cosmetic/tests/p1cos/p1cos_tests_badcol.cpp,5,,成立,"| 与上位冲突 | **1. 全文核心""生产现状""结论在 HEAD 已失效（本批最高价值单条）**：L209–222「关键编排语义（生产事实，一律如实登记）」→「**现网生产调用点（两处，均传 NULL 检测源）**」→「⇒ 两条生产路径的 `hot_sigma/cold_sigma` 都 >0 而检测源为 NULL，**故热/冷检测全部关闭**，`out_hot=out_cold=0`，**模块退化为恒等 pass**」，并以 DISP-COS-009（L395）成条目。<br>实测 HEAD：① 调度器路径 `module_adapters.cpp:2748` 注释「op: cosmetic_correct（唯一真实入口 ac_correct_frame…）」、函数体 `:2749`、`ac_correct_frame(` 调用在 **`:2930-2933`**（传 `fixed.d"
AUD-101-D1残余.md,87,,| 处置建议 | **保留（cosmetic 算法层正本）+ 立即订正四项**：①**作废并改写 L209–222 与 ,docs/science/CALIBRATION.md,docs/science/CALIBRATION.md,1,,,"| 处置建议 | **保留（cosmetic 算法层正本）+ 立即订正四项**：①**作废并改写 L209–222 与 DISP-COS-009 的""生产传 NULL/恒等 pass""结论**（HEAD 已接线母版），并把 §9 的非退化伴随断言的立论从""现状""改为""正向条款""（标准 01 §4「只写现行设计要怎样」）；②L19–20 与 `docs/science/CALIBRATION.md:420/:314` 的 `ALG-CAL-004` 符号绑定冲突走 SCI 变更流程统一（§1「下位与上位冲突以上位为准，冲突本身是缺陷」）；③跨文件锚（`ac_api.cpp`/`astro_calibration.h`/`p1_session.cpp`/`module_adapters.cpp`）整体重锚或改由 anchor_contract 生成（§3 双向可追溯）；④补坏列定位算法条目进本"
AUD-101-D1残余.md,97,,- **正确项**：`lines=435`、`sha256=False`（本份确无 sha256）、`unregiste,docs/DOCUMENT_INDEX.yaml,docs/DOCUMENT_INDEX.yaml,1,P1,,- **正确项**：`lines=435`、`sha256=False`（本份确无 sha256）、`unregistered_index=False`（确在 `docs/DOCUMENT_INDEX.yaml:132` 登记，且 `notes` 字段自称「P1-COS-DOC 冻结」）。
AUD-101-D1残余.md,99,,### 1.3 `docs/algorithms/PHASE2_SAMPLER.md`,docs/algorithms/PHASE2_SAMPLER.md,docs/algorithms/PHASE2_SAMPLER.md,1,,,### 1.3 `docs/algorithms/PHASE2_SAMPLER.md`
AUD-101-D1残余.md,103,,| 路径 | `docs/algorithms/PHASE2_SAMPLER.md` |,docs/algorithms/PHASE2_SAMPLER.md,docs/algorithms/PHASE2_SAMPLER.md,1,,,| 路径 | `docs/algorithms/PHASE2_SAMPLER.md` |
AUD-101-D1残余.md,109,,"| 下游 | 分片外 **26 个跟踪文件**（`git grep -c -e ""PHASE2_SAMPLER.md"" ",docs/algorithms,"docs/algorithms docs/science/UNCERTAINTY_AND_COVARIANCE.md docs/contracts/{DATA_SEMANTICS,PUBLIC_API}.md docs/modules/{phase2_samp.md,registry/astrocs.phase2.sample.md} lib/algorithms/coverage/{src/sampler.cpp,include/astro/phase2/sampler.h} lib/algorithms/coverage/tests/{kcorr_lookup,sampler_parall",7,,,"| 下游 | 分片外 **26 个跟踪文件**（`git grep -c -e ""PHASE2_SAMPLER.md"" -- ':!docs/algorithms'`）。含 `docs/science/UNCERTAINTY_AND_COVARIANCE.md`、`docs/contracts/{DATA_SEMANTICS,PUBLIC_API}.md`、`docs/modules/{phase2_samp.md,registry/astrocs.phase2.sample.md}`、`lib/algorithms/coverage/{src/sampler.cpp,include/astro/phase2/sampler.h}`、`lib/algorithms/coverage/tests/{kcorr_lookup,sampler_parallel_consistency}_test"
AUD-101-D1残余.md,111,,| 重复或重叠对象 | `docs/science/PHASE2_UPM.md`（SCI-UPM-001，含 SCI-U,docs/science/PHASE2_UPM.md,docs/science/PHASE2_UPM.md docs/science/ docs/algorithms/UPM_SOLVER.md,3,,,| 重复或重叠对象 | `docs/science/PHASE2_UPM.md`（SCI-UPM-001，含 SCI-UPM-WEIGHT-001）。**两处原文**：本份 L248 `control_variance = k_corr × (π/2) × σ_bg² / N_retained    # :875` ↔ `docs/science/PHASE2_UPM.md:5` 页头「范围: SCI-UPM-001..010 + **SCI-UPM-WEIGHT-001** + … 模块: phase2 (upm/**sampler**)」（本份 L7-10 与 §5.4 L245 明指该 SCI 为公式权威，§11.4 L598-600 并钉死方向「两处冲突时以 docs/science/ 为准并回改本文档」）。<br>重叠范围：控制点几何与方差公式两处各写一遍；差异：本份给**离散实
AUD-101-D1残余.md,114,,| 悬空引用 | 1. **10 处 `evidence/*.json` + 6 处 `run/…` 证据指针全部落在不,artifacts/evidence/,"artifacts/evidence/ docs/science/PHASE2_UPM.md docs/contracts/DATA_SEMANTICS.md docs/science/SCIENCE_SCOPE.md lib/algorithms/coverage/{src/sampler.cpp,include/astro/phase2/sampler.h,src/upm.cpp,tools/stage2.cpp(2015 lib/algorithms/sampling/",6,,确认,| 悬空引用 | 1. **10 处 `evidence/*.json` + 6 处 `run/…` 证据指针全部落在不入库区**：L76-77 `run/SCI-FIX-PHASE2-01/real/r2_m42_rawframe.py`、`run/SCI-FIX-PHASE2-01/evidence/r2_m42_raw.json:R2e_unit_closure`；L222 `run/SCI-FIX-PHASE2-01/exp/e1e2_domain_calibration.py`；L278 `run/…/exp/e3e4_floor_and_structure.py`；L332 `run/VARIANCE-SEMANTICS-01/probe/out_probe_orig_m42_1024_1024/hips/signal/properties`；另有裸 `evidence/e3c
AUD-101-D1残余.md,115,,| 与上位冲突 | **1. 同一文档内对同一测试给出互斥结论（自相矛盾 + 与工程事实三方不合）**：<br>§5.4,lib/algorithms/drizzle/healpix_drizzle/tests/CMakeLists.txt,lib/algorithms/drizzle/healpix_drizzle/tests/CMakeLists.txt eng/ci/checks.json eng/tests/unit/CMakeLists.txt lib/algorithms/coverage/src/sampler.cpp,4,,,| 与上位冲突 | **1. 同一文档内对同一测试给出互斥结论（自相矛盾 + 与工程事实三方不合）**：<br>§5.4 L312–313 「当前生产取值 1.4 的来源是项目自产 MC（`control_median_mc_test`…），而**该测试未注册/不在任何 CMake/ctest/CI 面（构建孤儿）**⇒ 该常数在仓内**不可复跑**」<br>↔ §7 表第 6 行 L463 「k_corr MC 校准非猜测（sampler.h:50-51）…**MC 证据源 `control_median_mc_test` 已注册 ⇒ 可复跑**」。<br>实测三方：`lib/algorithms/drizzle/healpix_drizzle/tests/CMakeLists.txt:110 add_executable(control_median_mc_test …)`（在 CMa
AUD-101-D1残余.md,116,,| 处置建议 | **保留（采样算法层正本）+ 就地整改四项**：①消解 §5.4 与 §7 对 `control_me,eng/tests/unit/CMakeLists.txt,eng/tests/unit/CMakeLists.txt artifacts/evidence/,2,,,| 处置建议 | **保留（采样算法层正本）+ 就地整改四项**：①消解 §5.4 与 §7 对 `control_median_mc_test` 的互斥结论，与 `eng/tests/unit/CMakeLists.txt:1540` 的 tracked-but-unbuilt 现行事实三方合并为一句可核口径（标准 01 §4「自洽」、§1「冲突本身是缺陷」）；②规模数字按 `wc -l` 实测更正（1503/273），`upm.cpp:565`、`upm.cpp:2766-2790`、`sampler_parallel_consistency_test.cpp:29` 三处错锚重锚，kcorr 表区间三处统一（§3 双向索引可追溯）；③10 处 `evidence/*.json` 与 6 处 `run/…` 证据迁入 `artifacts/evidence/` 并由本份引用（标准 01
AUD-101-D1残余.md,127,,- **正确项**：`lines=650`、`unregistered_index=False`（`docs/DOCUM,docs/DOCUMENT_INDEX.yaml,docs/DOCUMENT_INDEX.yaml,1,,,- **正确项**：`lines=650`、`unregistered_index=False`（`docs/DOCUMENT_INDEX.yaml:200` 已登记，`upstream` 字段与正文一致）。
AUD-101-D1残余.md,129,,## 1.4–1.13 十份 `工程控制/RELEASE-05/tasks/` 任务书（先共用判定，再逐份登记）,工程控制/RELEASE-05/tasks/,工程控制/RELEASE-05/tasks/,1,,,## 1.4–1.13 十份 `工程控制/RELEASE-05/tasks/` 任务书（先共用判定，再逐份登记）
AUD-101-D1残余.md,143,,1. **角色** = 操作与运营（控制包任务书）。实际目录 `工程控制/RELEASE-05/tasks/` 不在标准,工程控制/RELEASE-05/tasks/,工程控制/RELEASE-05/tasks/ docs/ docs/operations/,3,,,"1. **角色** = 操作与运营（控制包任务书）。实际目录 `工程控制/RELEASE-05/tasks/` 不在标准 01 §2 的任何目标目录内，但**本批不判""角色错放→迁往 docs/""**：§2 的目录表管的是**正式文档层**，控制包按 `CONTROL_PACK_SPEC §9` 是**临时设施**（收口即从仓库移除）；把任务书迁进 `docs/operations/` 反而会把它变成长期文档层里的过程台账，正撞标准 01 §2 末条「历史档案、过程台账…不放在正式文档层」。**正确处置 = 随包移除**（未收口前原地保留）。"
AUD-101-D1残余.md,144,,"2. **是否正本** = 否（十份皆是""产出指令""，其主题正本在 `docs/**`，逐份给出该正本路径）。",docs/,docs/,1,,,"2. **是否正本** = 否（十份皆是""产出指令""，其主题正本在 `docs/**`，逐份给出该正本路径）。"
AUD-101-D1残余.md,145,,3. **索引登记** = 十份均未登记，且**不构成标准 01 §3 缺陷**：`docs/DOCUMENT_INDE,docs/DOCUMENT_INDEX.yaml,docs/DOCUMENT_INDEX.yaml docs/ 工程控制/,3,,,"3. **索引登记** = 十份均未登记，且**不构成标准 01 §3 缺陷**：`docs/DOCUMENT_INDEX.yaml:40` 的 `coverage` 自定范围为「docs/** + 仓库根治理文档」，`:30` 扫描口径明列排除「实验/、工程控制/、logs/ 等过程与证据目录」。⇒ 此处**与 `AUD-101-DB-19.md` §3.2 的判定不同**：它把""控制包不在索引""升格为需负责人裁决的规范冲突，本批复判为**索引自洽、无冲突**；真实风险面是""若收口后不移除，则该目录既不在索引也不在正式文档层""，而那由 §9 的移除义务兜住。"
AUD-101-D1残余.md,152,,| ACCEPT-501 | 18 | `artifacts/evidence/release-05/AUDIT_PAC,artifacts/evidence/release-05/AUDIT_PACKAGE.md,"artifacts/evidence/release-05/AUDIT_PACKAGE.md eng/tests/unit/{calibration,cosmetic}_integration_test.cpp",2,,,"| ACCEPT-501 | 18 | `artifacts/evidence/release-05/AUDIT_PACKAGE.md`、`eng/tests/unit/{calibration,cosmetic}_integration_test.cpp`、包内 ACCEPTANCE/SUMMARY/TASK_LIST |"
AUD-101-D1残余.md,153,ARCH-501,| ARCH-501 | 16 | **`CMakeLists.txt`**、`eng/ci/ID_MIGRATION_,eng/ci/ID_MIGRATION_MAP.md,eng/ci/ID_MIGRATION_MAP.md docs/contracts/…,2,,,| ARCH-501 | 16 | **`CMakeLists.txt`**、`eng/ci/ID_MIGRATION_MAP.md`（`:88 CHK-ARCH501-BLOCK-FRAME`、`:264 CTEST-CORE-BLOCK-FRAME`）、`docs/contracts/…` |
AUD-101-D1残余.md,154,ARCH-502,| ARCH-502 | 20 | `CMakeLists.txt`、`eng/ci/ID_MIGRATION_MAP.,eng/ci/ID_MIGRATION_MAP.md,eng/ci/ID_MIGRATION_MAP.md eng/tests/runtime/integration/…,2,,,| ARCH-502 | 20 | `CMakeLists.txt`、`eng/ci/ID_MIGRATION_MAP.md`、`eng/tests/runtime/integration/…` |
AUD-101-D1残余.md,155,ARCH-503,| ARCH-503 | 14 | `CMakeLists.txt`、`docs/contracts/PIPELINE_,docs/contracts/PIPELINE_BLOCK_CONTRACT.md,docs/contracts/PIPELINE_BLOCK_CONTRACT.md eng/ci/ID_MIGRATION_MAP.md,2,,,| ARCH-503 | 14 | `CMakeLists.txt`、`docs/contracts/PIPELINE_BLOCK_CONTRACT.md`、`eng/ci/ID_MIGRATION_MAP.md` |
AUD-101-D1残余.md,156,ARCH-504,| ARCH-504 | 18 | `CMakeLists.txt`、`eng/tests/unit/export_st,eng/tests/unit/export_stream_test.cpp,eng/tests/unit/export_stream_test.cpp eng/ci/ID_MIGRATION_MAP.md,2,,,| ARCH-504 | 18 | `CMakeLists.txt`、`eng/tests/unit/export_stream_test.cpp`、`eng/ci/ID_MIGRATION_MAP.md` |
AUD-101-D1残余.md,157,ARCH-505,| ARCH-505 | 31 | `CMakeLists.txt`、`docs/contracts/DUAL_LINE,docs/contracts/DUAL_LINE_CONTRACT.md,docs/contracts/DUAL_LINE_CONTRACT.md artifacts/evidence/known-limitations-ledger/LEDGER.md eng/ci/ID_MIGRATION_MAP.md,3,,,| ARCH-505 | 31 | `CMakeLists.txt`、`docs/contracts/DUAL_LINE_CONTRACT.md`、`artifacts/evidence/known-limitations-ledger/LEDGER.md`、`eng/ci/ID_MIGRATION_MAP.md`（`:98/:151/:153/:262`） |
AUD-101-D1残余.md,158,BLD-501,| BLD-501 | 11 | `lib/infrastructure/scheduler/src/module_ad,lib/infrastructure/scheduler/src/module_adapters.cpp,lib/infrastructure/scheduler/src/module_adapters.cpp artifacts/evidence/release-05/AUDIT_PACKAGE.md reports/v19r2/…,3,,,| BLD-501 | 11 | `lib/infrastructure/scheduler/src/module_adapters.cpp`、`artifacts/evidence/release-05/AUDIT_PACKAGE.md`、`reports/v19r2/…` |
AUD-101-D1残余.md,159,,| CLEAN-501 | 15 | `docs/modules/MODULE_MAP.yaml`、`eng/contr,docs/modules/MODULE_MAP.yaml,docs/modules/MODULE_MAP.yaml eng/contracts/data/v6_clause_registry_v1.json reports/v19r2/…,3,,,| CLEAN-501 | 15 | `docs/modules/MODULE_MAP.yaml`、`eng/contracts/data/v6_clause_registry_v1.json`、`reports/v19r2/…` |
AUD-101-D1残余.md,160,,| CONTRACT-501 | **42** | `CMakeLists.txt`、`docs/DOCUMENT_IN,docs/DOCUMENT_INDEX.yaml,docs/DOCUMENT_INDEX.yaml docs/contracts/DUAL_LINE_CONTRACT.md docs/contracts/PERF…,3,,,| CONTRACT-501 | **42** | `CMakeLists.txt`、`docs/DOCUMENT_INDEX.yaml`、`docs/contracts/DUAL_LINE_CONTRACT.md`、`docs/contracts/PERF…` |
AUD-101-D1残余.md,161,DOC-501,| DOC-501 | 8 | 包内 `00_README/ACCEPTANCE/…`、`reports/v19r2/…,reports/v19r2/…,reports/v19r2/…,1,,,| DOC-501 | 8 | 包内 `00_README/ACCEPTANCE/…`、`reports/v19r2/…` |
AUD-101-D1残余.md,163,,命令的已知应命中正例（前言 §5.2 要求）：`git grep -l -w 'CHK-RETIRED-CODE' --,eng/ci/check_retired_code.py,eng/ci/check_retired_code.py eng/ci/checks.json eng/ci/ID_MIGRATION_MAP.md,3,,,命令的已知应命中正例（前言 §5.2 要求）：`git grep -l -w 'CHK-RETIRED-CODE' -- eng` → `eng/ci/check_retired_code.py`、`eng/ci/checks.json`、`eng/ci/ID_MIGRATION_MAP.md` ✓ 命中。
AUD-101-D1残余.md,165,,7. **收口动作的可执行性（本批新判据，非 DB-19 覆盖的轴）**：`CONTROL_PACK_SPEC §9` ,eng/ci/checks.json,eng/ci/checks.json eng/ci/ID_MIGRATION_MAP.md eng/ci,3,,,"7. **收口动作的可执行性（本批新判据，非 DB-19 覆盖的轴）**：`CONTROL_PACK_SPEC §9` 要求""把本控制包目录从仓库移除""，但 `eng/ci/checks.json` 与 `eng/ci/ID_MIGRATION_MAP.md` 里的门名以任务 ID 为词根（实测 `CHK-ARCH501-BLOCK-FRAME`、`CHK-ARCH505-BLOCK-FLOW`、`CTEST-CORE-BLOCK-FRAME`、`CTEST-BLOCK-FLOW`，另 `ID_MIGRATION_MAP.md:5` 自称由 `gen_id_migration_map_doc.py` 生成、`--check` 判绿）。⇒ **直接删目录会让机器门 ID 指向工作区里不再存在的任务书**，其含义只剩 git 历史可查。收口前置动作 = 先把 `CHK-<任务 ID>-*` 门"
AUD-101-D1残余.md,169,,### 1.4 `工程控制/RELEASE-05/tasks/ACCEPT-501.md`,工程控制/RELEASE-05/tasks/ACCEPT-501.md,工程控制/RELEASE-05/tasks/ACCEPT-501.md,1,,,### 1.4 `工程控制/RELEASE-05/tasks/ACCEPT-501.md`
AUD-101-D1残余.md,173,,| 路径 | `工程控制/RELEASE-05/tasks/ACCEPT-501.md` |,工程控制/RELEASE-05/tasks/ACCEPT-501.md,工程控制/RELEASE-05/tasks/ACCEPT-501.md,1,,,| 路径 | `工程控制/RELEASE-05/tasks/ACCEPT-501.md` |
AUD-101-D1残余.md,180,,| 是否正本 | 否（产出物是验收报告；科学判据正本在 `ACCEPTANCE_SPEC.md` 与 `docs/sci,docs/science/,docs/science/,1,,,| 是否正本 | 否（产出物是验收报告；科学判据正本在 `ACCEPTANCE_SPEC.md` 与 `docs/science/**`） |
