# 批次 C-05｜生产面·具名·语义筛选后待判符号 102 个（源自 2,592 个待判具名符号，筛掉局部量噪声）
# 每行：符号	风险分	入选理由	位点数	位点样例(路径:行|现行值|单位|来源现状)
# 判据见 DISPATCH-C-PREAMBLE.md；产出必须逐符号给 §4 四选一定档
out_scale_factor	4	名含科学/阈值语素、登记了单位（即被判为物理量）	14	lib/algorithms/photometry/cpp/src/pc_api.cpp:90|1.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/photometry/cpp/src/pc_api.cpp:103|1.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/photometry/cpp/src/pc_api.cpp:275|1.0|未标注|无来源（行内字面量，未见文档/文献锚）
px_scale	4	名含科学/阈值语素、登记了单位（即被判为物理量）	5	lib/infrastructure/scheduler/src/module_adapters.cpp:9893|0.0|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/tools/stage2.cpp:502|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/tools/stage2.cpp:503|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
upper_sigma	4	名含科学/阈值语素、登记了单位（即被判为物理量）	4	lib/algorithms/coverage/tools/rejection_cli.cpp:208|3.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/tools/rejection_cli.cpp:211|3.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/tools/rejection_cli.cpp:214|3.0|未标注|无来源（行内字面量，未见文档/文献锚）
clip_sigma	4	名含科学/阈值语素、登记了单位（即被判为物理量）	3	lib/algorithms/coverage/src/sky_plane.cpp:230|3.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/sky_plane.cpp:251|0.0;3.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/noise_snr/cpp/src/noise_model.cpp:815|1.0|未标注|无来源（行内字面量，未见文档/文献锚）
fwhm_med	4	名含科学/阈值语素、登记了单位（即被判为物理量）	3	lib/algorithms/star_detection/src/sdet_api.cpp:1197|0.0f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/star_detection/src/sdet_api.cpp:1495|0.0f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/star_detection/src/sdet_api.cpp:2256|0.0f|未标注|无来源（行内字面量，未见文档/文献锚）
min_error	4	名含科学/阈值语素、登记了单位（即被判为物理量）	3	lib/algorithms/coverage/src/rejection.cpp:465|999999.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/rejection.cpp:514|999999.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/acr/utilization/actual_tracker.hpp:54|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
scale_obs	4	名含科学/阈值语素、登记了单位（即被判为物理量）	3	lib/algorithms/coverage/src/upm.cpp:115|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/upm.cpp:729|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/upm.cpp:1565|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
support_threshold	4	名含科学/阈值语素、登记了单位（即被判为物理量）	3	lib/algorithms/coverage/src/acr_kernels.cpp:128|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/tools/stage2.cpp:1350|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/tools/stage2.cpp:1602|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
FITS_BLOCK_SIZE	4	名含科学/阈值语素、登记了单位（即被判为物理量）	2	lib/algorithms/drizzle/healpix_drizzle/fits_reader.cpp:21|2880|未标注|无来源（代码内字面量，未见文档/文献锚） ;; lib/infrastructure/aio/src/aio_fits.cpp:28|2880|未标注|无来源（代码内字面量，未见文档/文献锚）
active_window_seconds	4	名含科学/阈值语素、登记了单位（即被判为物理量）	2	lib/infrastructure/cli/resource_gate.h:200|-1.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/cli/v6_runtime_contract.h:321|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
clip_thresh	4	名含科学/阈值语素、登记了单位（即被判为物理量）	2	lib/algorithms/platesolve/cpp/ipv/src/ipv_itertrans.cpp:874|3.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/platesolve/cpp/ipv/src/ipv_ransac.cpp:1128|.1f;.4f|未标注|无来源（行内字面量，未见文档/文献锚）
data_min	4	名含科学/阈值语素、登记了单位（即被判为物理量）	2	lib/infrastructure/hips_browser/healpix_browser_qt/core/browser_backend.h:128|0.0f;1.0f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/hips_browser/healpix_browser_qt/core/hips_sky_view.h:96|0.0f|未标注|无来源（行内字面量，未见文档/文献锚）
filter_wl_min_nm	4	名含科学/阈值语素、登记了单位（即被判为物理量）	2	lib/algorithms/photometry/cpp/src/frame_photometry_fit.h:156|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/scheduler/src/module_adapters.cpp:5366|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
img_area	4	名含科学/阈值语素、登记了单位（即被判为物理量）	2	lib/algorithms/platesolve/cpp/ipv/src/ipv_select.cpp:325|.2f;.5f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/scheduler/src/module_adapters.cpp:3596|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
lambda_max	4	名含科学/阈值语素、登记了单位（即被判为物理量）	2	lib/algorithms/coverage/src/identifiability.cpp:204|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/coverage/src/sky_plane.cpp:1900|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
max_coeff	4	名含科学/阈值语素、登记了单位（即被判为物理量）	2	lib/algorithms/platesolve/cpp/ipv/src/ipv_sip.cpp:432|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/platesolve/cpp/ipv/src/ipv_sip.cpp:439|.3f|未标注|无来源（行内字面量，未见文档/文献锚）
max_rt	4	名含科学/阈值语素、登记了单位（即被判为物理量）	2	lib/infrastructure/scheduler/src/module_adapters.cpp:4666|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/scheduler/src/module_adapters.cpp:4998|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
nside_ideal	4	名含科学/阈值语素、登记了单位（即被判为物理量）	2	lib/infrastructure/hips_browser/healpix_browser_qt/core/browser_backend.cpp:452|58.6|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/infrastructure/hips_browser/healpix_browser_qt/core/browser_backend.cpp:475|.1f|未标注|无来源（行内字面量，未见文档/文献锚）
power_loss	4	名含科学/阈值语素、登记了单位（即被判为物理量）	2	lib/algorithms/integration/v6/src/phase2_integrate.cpp:1441|0.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/photometry/include/astrocs/v6/psfsw.h:382|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
scale_max	4	名含科学/阈值语素、登记了单位（即被判为物理量）	2	lib/algorithms/platesolve/cpp/ipv/src/ipv_triangle.cpp:278|-1.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/platesolve/cpp/ipv/src/ipv_triangle.cpp:573|0.8|未标注|无来源（行内字面量，未见文档/文献锚）
snr_psf	4	名含科学/阈值语素、登记了单位（即被判为物理量）	2	lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:690|.2f;.4f|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:387|.6f|未标注|无来源（行内字面量，未见文档/文献锚）
valid_area_fraction	4	名含科学/阈值语素、登记了单位（即被判为物理量）	2	lib/algorithms/photometry/cpp/src/psfsw.cpp:162|1.0|未标注|无来源（行内字面量，未见文档/文献锚） ;; lib/algorithms/photometry/include/astrocs/v6/psfsw.h:106|1.0|未标注|无来源（行内字面量，未见文档/文献锚）
ACS_CPU_AVX2_MAX_IN_SLOTS	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/benchmark/cpu/avx2/include/astrocs/cpu/avx2_provider_v1.h:64|4u|未标注|不适用（结构性常数，非科学量）
ACS_FIO_BUNIT_MAX	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/aio/io/include/astrocs/io/fits_stream_v1.h:32|32|未标注|无来源（代码内字面量，未见文档/文献锚）
ACS_HIPS_ERR_TEXT_MAX	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:37|96|未标注|无来源（代码内字面量，未见文档/文献锚）
ACS_HIPS_TILE_WIDTH_MAX	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/aio/io/include/astrocs/io/hips_input_v1.h:33|16384|未标注|无来源（代码内字面量，未见文档/文献锚）
AIO_BLOCK_NAME_MAX	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/aio/include/aio_pipeline.h:67|63|未标注|无来源（代码内字面量，未见文档/文献锚）
AIO_FILTER_MAX	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/aio/include/astro_image_io.h:23|64|未标注|无来源（代码内字面量，未见文档/文献锚）
AIO_PATH_MAX	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/aio/include/astro_image_io.h:20|512|未标注|无来源（代码内字面量，未见文档/文献锚）
AT_MATCH_MINVOTES	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/platesolve/cpp/ipv/include/ipv_triangle.h:28|2|未标注|无来源（代码内字面量，未见文档/文献锚）
DENSITY_THRESHOLD	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/star_detection/src/sdet_api.cpp:1811|0.001|未标注|无来源（代码内字面量，未见文档/文献锚）
HEADER_FIXED_SIZE	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/aio/include/aio_ahpx_format.h:16|18|未标注|无来源（代码内字面量，未见文档/文献锚）
HP_ADAPTIVE_MAX_DEPTH	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:558|8|未标注|无来源（代码内字面量，未见文档/文献锚）
LM_MAX_ITER_ANGLE	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/star_detection/src/sdet_api.cpp:48|20|未标注|无来源（代码内字面量，未见文档/文献锚）
MAX_DIST	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/platesolve/cpp/ipv/src/ipv_ransac.cpp:1017|100.0|未标注|无来源（代码内字面量，未见文档/文献锚）
MIN_FOV	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/hips_browser/healpix_browser_qt/widgets/sphere_view.h:102|0.01|未标注|无来源（代码内字面量，未见文档/文献锚）
P2_REJECT_CLASS_COUNT	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/coverage/include/astro/phase2/rejection.h:479|7|未标注|无来源（代码内字面量，未见文档/文献锚）
PUBLISH_PATH_MAX	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/drizzle/hips/src/aio_publish.cpp:38|1024|未标注|无来源（代码内字面量，未见文档/文献锚）
SEX_QUANTIF_NSIGMA	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/star_detection/src/sdet_background.cpp:21|5|未标注|无来源（代码内字面量，未见文档/文献锚）
SNR_SIGMA_SKY_UNSPECIFIED	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/noise_snr/cpp/include/snr_estimator.h:318|0|未标注|无来源（代码内字面量，未见文档/文献锚）
WORDSIZE	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:897|16|未标注|无来源（代码内字面量，未见文档/文献锚）
alphaDel_	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:2829|0.5f|未标注|无来源（行内字面量，未见文档/文献锚）
b_max	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/photometry/cpp/test/test_spectrum_integrator.cpp:78|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
chunk_size	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/acr/examples/legacy_chunk_adapter.cpp:36|1024|未标注|无来源（代码内字面量，未见文档/文献锚）
const_margin	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/scheduler/src/plan_estimator.cpp:534|2|未标注|无来源（代码内字面量，未见文档/文献锚）
covered_area_sr	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:928|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
darkscl	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/aio/include/hiss_format.h:311|1.0|未标注|无来源（行内字面量，未见文档/文献锚）
detection_sigma	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/star_detection/wrapper_phase1/star_detector.h:38|5.0|未标注|无来源（行内字面量，未见文档/文献锚）
e_inside	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/drizzle/healpix_drizzle/poly_clip.cpp:231|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
exposure_tol	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:962|0.5|未标注|无来源（行内字面量，未见文档/文献锚）
finest_arcsec	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:109|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
frame_depth_m5_mag	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.h:78|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
good_rms_threshold	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/platesolve/cpp/ipv/include/ipv_types.h:241|1.5|未标注|无来源（行内字面量，未见文档/文献锚）
j_b_dark	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/calibration/src/v6_calibration_covariance.cpp:321|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
kBdrCacheMax	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/acr/scheduler/dispatcher.cpp:216|128|未标注|无来源（代码内字面量，未见文档/文献锚）
kCorrRatioMin	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/integration/v6/include/astrocs/v6/phase2_integrate.h:68|1.05|未标注|无来源（代码内字面量，未见文档/文献锚）
kDepthMinScanPoints	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/photometry/include/astrocs/v6/psfsw.h:44|5|未标注|无来源（代码内字面量，未见文档/文献锚）
kFlatFloor	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/calibration/src/v6_calibration_covariance.cpp:64|0.1|未标注|无来源（代码内字面量，未见文档/文献锚）
kLambdaSeedTau	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/star_detection/src/nls_lm.cpp:70|1e-3|未标注|无来源（代码内字面量，未见文档/文献锚）
kMaxInvalidAreaHits	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/drizzle/healpix_drizzle/v6_spherical_overlap.h:62|0|未标注|无来源（代码内字面量，未见文档/文献锚）
kMaxUsefulWorkers	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/scheduler/src/plan_estimator.cpp:30|1024|未标注|无来源（代码内字面量，未见文档/文献锚）
kMinWindow	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/hips_browser/healpix_browser_qt/app/stf_bar.h:68|0.05|未标注|无来源（代码内字面量，未见文档/文献锚）
kP1FitsPixelOrigin	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/scheduler/src/module_adapters.cpp:470|1.0|未标注|无来源（代码内字面量，未见文档/文献锚）
kPad	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/hips_browser/healpix_browser_qt/app/stf_bar.h:67|10|未标注|无来源（代码内字面量，未见文档/文献锚）
kSpatialTrendMax	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/photometry/include/astrocs/v6/psfsw.h:52|0.10|未标注|无来源（代码内字面量，未见文档/文献锚）
lambda_s	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/coverage/src/upm.cpp:565|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
lowe_abs_threshold	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/platesolve/cpp/ipv/include/ipv_robust_refine.h:70|0.5|未标注|无来源（行内字面量，未见文档/文献锚）
mag_max_arr	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/photometry/module.yaml:129|.16|未标注|无来源（行内字面量，未见文档/文献锚）
max_abs_closure_rel	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/drizzle/healpix_drizzle/v6_spherical_overlap.h:69|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
max_dM	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/coverage/src/upm.cpp:786|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
max_error_ratio	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/acr/routing/route_profile_v2.hpp:151|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
max_rel_dev	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/photometry/include/astrocs/v6/psfsw.h:249|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
max_vote_after	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/platesolve/cpp/ipv/test/test_synthetic.cpp:239|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
minhigh	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/star_detection/wrapper_phase1/star_detector.cpp:248|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
node_reproduction_max_abs	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/integration/v6/include/astrocs/v6/weight_chain.h:167|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
omega_max_sr	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/phase3_session/p3_v6_export.h:111|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
out_sigma_col_dark	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/calibration/src/cosmetic_corrector.cpp:609|0.0f|未标注|无来源（行内字面量，未见文档/文献锚）
pct_low_fraction	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/coverage/include/astro/phase2/stage2_common.h:141|0.2|未标注|无来源（行内字面量，未见文档/文献锚）
pixel_deg	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/coverage/src/sky_plane.cpp:420|3600.0|未标注|无来源（行内字面量，未见文档/文献锚）
power_loss_max	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/integration/v6/src/phase2_integrate.cpp:1436|0.05|未标注|无来源（行内字面量，未见文档/文献锚）
radius_p50	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/noise_snr/cpp/src/noise_model.cpp:737|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
representable_scale_px	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/coverage/src/sky_plane.cpp:442|2.0|未标注|无来源（行内字面量，未见文档/文献锚）
route_replay_max_slowdown_ratio	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/acr/routing/route_profile_v2.hpp:199|1.0|未标注|无来源（行内字面量，未见文档/文献锚）
seed	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/star_detection/src/nls_lm.cpp:174|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
sigma_d_default	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/platesolve/cpp/ipv/src/ipv_polygon.cpp:647|3.0|未标注|无来源（行内字面量，未见文档/文献锚）
sky_annulus_outer	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/photometry/wrapper_phase1/photometer.h:28|10.0|未标注|无来源（行内字面量，未见文档/文献锚）
snr_points	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:259|.3f|未标注|无来源（行内字面量，未见文档/文献锚）
star_amp_scale	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/noise_snr/cpp/test/noise_model_science_test.cpp:47|1.0|未标注|无来源（行内字面量，未见文档/文献锚）
tile_covered	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1305|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
tol_floor_init	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/platesolve/cpp/ipv/include/ipv_robust_refine.h:63|1.0|未标注|无来源（行内字面量，未见文档/文献锚）
u_min	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/coverage/src/sky_plane.cpp:199|0.0|未标注|无来源（行内字面量，未见文档/文献锚）
xtol_abs	4	名含科学/阈值语素、登记了单位（即被判为物理量）	1	lib/algorithms/star_detection/src/nls_lm.h:60|3.1|未标注|无来源（行内字面量，未见文档/文献锚）
