id,category,priority,producer,release_blocker,owner_decision,title,fix_state,verified_state,evidence_file_field,n_headings,file,line,files_all
M3b-A-03,A_SCI_DEF,P0,M3b,Y,,每像元截尾残差被合同命名为 flux_uncertainty，DISP-PSF-005 自认无协方差,OPEN,,问题扫描/findings/A_SCI_DEF/p0/M3b_L06.md,1,问题扫描/findings/A_SCI_DEF/p0/M3b_L06.md,44,问题扫描/findings/A_SCI_DEF/p0/M3b_L06.md
M4-A-01,A_SCI_DEF,P0,M4,Y,,N≤4 全拒像素被静默全接受为 UNDERDETERMINED，FROZEN SCI 未订正且零测试,OPEN,,问题扫描/findings/A_SCI_DEF/p0/M4_L08_L09.md,1,问题扫描/findings/A_SCI_DEF/p0/M4_L08_L09.md,5,问题扫描/findings/A_SCI_DEF/p0/M4_L08_L09.md
M4-A-02,A_SCI_DEF,P0,M4,Y,,冻结 SCI 内 support reducer 两口径互斥：代码取 accepted 口径并有门，§5 公式未订正、旧 ALG 仍称现状=W>0,OPEN,,问题扫描/findings/A_SCI_DEF/p0/M4_L08_L09.md,1,问题扫描/findings/A_SCI_DEF/p0/M4_L08_L09.md,29,问题扫描/findings/A_SCI_DEF/p0/M4_L08_L09.md
M7-A-001,A_SCI_DEF,P0,M7,Y,A-20,「科学权重」唯一性被三处不同对象宣称，且 SCI-UPM §5 两式在实现侧被证明不等价（Σ 域裁决 = 单 control 内跨帧）,OPEN,,问题扫描/findings/A_SCI_DEF/p0/M7_A_SCI_DEF_p0.md,1,问题扫描/findings/A_SCI_DEF/p0/M7_A_SCI_DEF_p0.md,11,问题扫描/findings/A_SCI_DEF/p0/M7_A_SCI_DEF_p0.md
M7-A-002,A_SCI_DEF,P0,M7,Y,,ALG 权威层把「ivar 缺失时回退 support」写成 weight_mode=2 的唯一语义（L21-001，维持 P0）,OPEN,,问题扫描/findings/A_SCI_DEF/p0/M7_A_SCI_DEF_p0.md,1,问题扫描/findings/A_SCI_DEF/p0/M7_A_SCI_DEF_p0.md,39,问题扫描/findings/A_SCI_DEF/p0/M7_A_SCI_DEF_p0.md
M1a-A-004,A_SCI_DEF,P1,M1a,Y,,cd_inv 在 SCI 符号表被定义为 CD⁻¹ 却注单位 pixel/arcsec，与同文 §5 及实现 inv(trans.linear) 相差 3600 倍,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md,1,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md,3,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md
M1a-A-005,A_SCI_DEF,P1,M1a,Y,,"容差族口径断裂：0.2% 各向异性被挪用为""CD 元素相对误差 ≤2%""（十倍），尺度窗四套并存，多数生效阈值无 SCI 出处",OPEN,,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md,1,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md,19,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md
M1a-A-006,A_SCI_DEF,P1,M1a,Y,,"历元/自行/视差传播全缺：参考历元 J2016.0 与""ICRS/J2000（Gaia DR3 同系）""混用，pm/parallax 被契约置 0，求解器无观测历元入参",OPEN,,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md,1,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md,35,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md
M1a-A-007,A_SCI_DEF,P1,M1a,Y,,ALG 施工伪代码两处公式级错误：极点排除条件方向反转、像素→天球方向误用 CD⁻¹,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md,1,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md,51,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md
M1a-A-008,A_SCI_DEF,P1,M1a,Y,,"coverage 不变量定义""足迹内存在有限像素""与同文""NaN→C=1""字面冲突（SCI 与 DATA 双处）",OPEN,,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md,1,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md,65,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md
M1a-A-009,A_SCI_DEF,P1,M1a,Y,,§30.4 对 ivar==0 给出双强制行为（NaN 传播态 vs 产品损坏显式错误），实现自行裁决其一,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md,1,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md,79,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md
M1a-A-010,A_SCI_DEF,P1,M1a,Y,,"TAN 半球界推导错误：""r≥π/2 与 denom>0 数学等价""不成立，正反映射有效域不对称（真边界 ≈57.5° 而非 90°）",OPEN,,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md,1,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md,92,问题扫描/findings/A_SCI_DEF/p1/M1a_L01_L02.md
M2a-A-2,A_SCI_DEF,P1,M2a,Y,,面积/方差/信号单位声明链 px²↔sr 混用，variance 单位与公式维度不符，HiPS tile FITS 无 BUNIT,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M2a_L04_L10.md,1,问题扫描/findings/A_SCI_DEF/p1/M2a_L04_L10.md,5,问题扫描/findings/A_SCI_DEF/p1/M2a_L04_L10.md
M2a-A-3,A_SCI_DEF,P1,M2a,Y,,by_coords 的最近邻/平手/重复命中/半径域界判据在 SCI/ALG/DATA 全无定义，仅存在实现事实，且平手判定依赖遍历序,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M2a_L04_L10.md,1,问题扫描/findings/A_SCI_DEF/p1/M2a_L04_L10.md,24,问题扫描/findings/A_SCI_DEF/p1/M2a_L04_L10.md
M3-A-003,A_SCI_DEF,P1,M3,Y,,SCI-CAL 把 `flat_norm` 定义写进校准公式，但生产 `calibrate` 只做 floor；median≈1 前置条件既不在 SCI 也无人校验,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M3_L05_L07.md,1,问题扫描/findings/A_SCI_DEF/p1/M3_L05_L07.md,7,问题扫描/findings/A_SCI_DEF/p1/M3_L05_L07.md
M3-A-004,A_SCI_DEF,P1,M3,Y,,SCI-NOISE 符号表把 `ivar` 单位写成 `pixel⁻²·ADU⁻²`，与同文 §3/§7 及 DATA/GLOSSARY 冲突,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M3_L05_L07.md,1,问题扫描/findings/A_SCI_DEF/p1/M3_L05_L07.md,41,问题扫描/findings/A_SCI_DEF/p1/M3_L05_L07.md
M3-A-005,A_SCI_DEF,P1,M3,Y,,平面 LS 退化判据 `|det|>1e-24` 无出处、量纲不闭合，退化求解仍报 `has_spatial_field=1`,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M3_L05_L07.md,1,问题扫描/findings/A_SCI_DEF/p1/M3_L05_L07.md,60,问题扫描/findings/A_SCI_DEF/p1/M3_L05_L07.md
M3-A-006,A_SCI_DEF,P1,M3,Y,,测光/噪声诊断公式在注释与单测中以相反增益方向书写，且与 SCI §5 诊断式量纲不符,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M3_L05_L07.md,1,问题扫描/findings/A_SCI_DEF/p1/M3_L05_L07.md,83,问题扫描/findings/A_SCI_DEF/p1/M3_L05_L07.md
M3b-A-04,A_SCI_DEF,P1,M3b,Y,,5σ 检测阈的 σ 取自原图、判决作用于 σ=2 平滑图，虚警预算不自洽,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M3b_L06.md,1,问题扫描/findings/A_SCI_DEF/p1/M3b_L06.md,3,问题扫描/findings/A_SCI_DEF/p1/M3b_L06.md
M3b-A-05,A_SCI_DEF,P1,M3b,Y,,θ 消歧候选集不是 Moffat4 的对称群，SCI「旋转简并不变量」恒真不可证伪,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M3b_L06.md,1,问题扫描/findings/A_SCI_DEF/p1/M3b_L06.md,21,问题扫描/findings/A_SCI_DEF/p1/M3b_L06.md
M3b-A-06,A_SCI_DEF,P1,M3b,Y,,有效域缺最小源间距/密度条件；SCI-PSF「块状共享假设」与实现方向相反,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M3b_L06.md,1,问题扫描/findings/A_SCI_DEF/p1/M3b_L06.md,38,问题扫描/findings/A_SCI_DEF/p1/M3b_L06.md
M3b-A-07,A_SCI_DEF,P1,M3b,Y,,mag 实现统一为 box_sum，文档与偏差登记仍描述已消失的饱和星公式；零点/误差全未定义,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M3b_L06.md,1,问题扫描/findings/A_SCI_DEF/p1/M3b_L06.md,57,问题扫描/findings/A_SCI_DEF/p1/M3b_L06.md
M4-A-03,A_SCI_DEF,P1,M4,Y,,MAD=0 patch 的 σ→1e-12 floor 与 SCI §8「不计 control」直接冲突，未登记偏差,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M4_L08_L09.md,1,问题扫描/findings/A_SCI_DEF/p1/M4_L08_L09.md,4,问题扫描/findings/A_SCI_DEF/p1/M4_L08_L09.md
M4-A-04,A_SCI_DEF,P1,M4,Y,,SCI-REJ 宣称 7 方法，实现暴露 10 方法且 median_sigma 无科学定义，三份文档计数互斥,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M4_L08_L09.md,1,问题扫描/findings/A_SCI_DEF/p1/M4_L08_L09.md,21,问题扫描/findings/A_SCI_DEF/p1/M4_L08_L09.md
M4-A-05,A_SCI_DEF,P1,M4,Y,,宪章接缝四项验收缺二（法向梯度跳变、support/weight 连续性全仓无定义），既有门槛容差冻结于测试文件内无 SCI 出处,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M4_L08_L09.md,1,问题扫描/findings/A_SCI_DEF/p1/M4_L08_L09.md,41,问题扫描/findings/A_SCI_DEF/p1/M4_L08_L09.md
M5a-A-001,A_SCI_DEF,P1,M5a,Y,,ACR 等价容差 1e-6 的推导量纲不成立且自身乘积已超其宣称包络,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M5a_L11.md,1,问题扫描/findings/A_SCI_DEF/p1/M5a_L11.md,5,问题扫描/findings/A_SCI_DEF/p1/M5a_L11.md
M7-A-101,A_SCI_DEF,P1,M7,Y,,SCI-WCS §5 前向式把 SIP 写成世界坐标加数，与本文 §2/§3 声明的像素域单位及实现互斥（L19-001 改判：P0→P1）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,7,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md
M7-A-102,A_SCI_DEF,P1,M7,Y,,SCI-CW:42 断言 snr²≡x²·ivar，在 x=0 与 B≠0 两族像元上为假（L19-002）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,17,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md
M7-A-103,A_SCI_DEF,P1,M7,Y,,SCI-NOISE 对 variance=0/饱和/无合格 patch 同文三套互斥强制，「全帧饱和」分支在其自身输入域内不可判定（L19-006）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,24,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md
M7-A-104,A_SCI_DEF,P1,M7,Y,,SCI-NOISE 5 样本控制点的 MAD² 方差与满 patch 同权进无权重平面 LS（L19-008）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,30,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md
M7-A-105,A_SCI_DEF,P1,M7,Y,,SCI-PHOT 合成注入门的参考量 F_instr=k·F_syn 未给 k 的定义与真值生成式 ⇒ 门的残差不可计算（L19-009，原类别 F_TEST_GAP，本代理改归 A_SCI_DEF 并在此说明）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,36,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md
M7-A-106,A_SCI_DEF,P1,M7,Y,,SCI-PHOT sigma_cal_rel = ln10·sigma_residual 把回归散布当均值标准误，1/√n 因子全链缺失（L19-010）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,42,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md
M7-A-108,A_SCI_DEF,P1,M7,Y,,SCI-REJ 对 auto 主用方法 percentile 未定义参考分布／经验分位口径／tie 规则，确定性门不可证伪（L19-012）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,48,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md
M7-A-109,A_SCI_DEF,P1,M7,Y,,SCI-REJ winsorized 的 1.134 被声明「流量中性」，实测为幅度中性（L19-013）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,54,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md
M7-A-110,A_SCI_DEF,P1,M7,Y,,SCI-REJ percentile 的 scale=|median| 在 UPM 加性归零后的空背景主用例上退化（L19-014）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,60,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md
M7-A-112,A_SCI_DEF,P1,M7,Y,A-05,NOISE_ESTIMATION 的 k_corr 查表缺维：只给 pixfrac×scale 六值，未声明其覆盖 `::§5 式` 的 N 与 σ_k 两维，表值与冻结 1.4 无界对照（L20-013 的 SCI 侧另一半；本条与 L2,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,66,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md
M7-A-113,A_SCI_DEF,P1,M7,Y,,SCI-UNC 的 Var(median)≈πσ²/2N 无适用域声明，却被用于 N=10 的帧级不确定度（L19-016）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,72,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md
M7-A-114,A_SCI_DEF,P1,M7,Y,,SCI-UNC 的 Phase3 bilinear 方差传播式丢相邻协方差项，与同文档自家 ρ̄≈0.19 实测相抵（L19-018）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,78,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md
M7-A-115,A_SCI_DEF,P1,M7,Y,,SCI-UNC 的 V19R3 括注把 k_corr 写成 N_eff，与同节 k_corr=N/N_eff≈1.4 相差约 130 倍（L19-019）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,84,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md
M7-A-116,A_SCI_DEF,P1,M7,Y,,SCI-CAL 的「median≤0 平场保持原样不归一」分支令 flat_norm 回到 ADU 量纲，cal 被 ~1/10³ 静默缩且无状态码（L19-020）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,90,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md
M7-A-117,A_SCI_DEF,P1,M7,Y,,SCI-P3 跨 tile bilinear 未定义 NESTED 面邻接的轴翻转/镜像映射；leaf_order=+9 与 hips_tile_width∈{2^k} 值域冲突（L19-023）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md,96,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_a.md
M7-A-118,A_SCI_DEF,P1,M7,Y,,SCI-PSF 的 FWHM 冻结常数 1.230310 与解析值 1.2303076 在第 6 位分歧，三条合同语句不能同真（L19-025）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,7,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md
M7-A-119,A_SCI_DEF,P1,M7,Y,,星点通量维度链 PSI→PHOT 三套标签互斥（ADU·px² / ADU·px / ADU），px² 在 ∫I dA=Σpixel 处被默默抵消（L19-026）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,13,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md
M7-A-120,A_SCI_DEF,P1,M7,Y,,GLOSSARY 自称唯一术语权威，却缺宪章 §4.1 十量中 6/10 条（L21-002）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,19,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md
M7-A-121,A_SCI_DEF,P1,M7,Y,,"「quality」在两份 FROZEN SCI 中类型互斥（[0,1] 浮点因子 vs uint32 位掩码），flags→因子映射无定义（L21-005）",OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,25,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md
M7-A-122,A_SCI_DEF,P1,M7,Y,,NOISE_MODEL 符号表给 ivar 记「pixel⁻²·ADU⁻²」，同篇 §3 与全部合同记 ADU⁻²（L21-006）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,31,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md
M7-A-123,A_SCI_DEF,P1,M7,Y,,交换合同要求三 Phase 最小平面集含「mask」，而 mask 在三个 DATA 节都被判「非产品输出」且语义三方不一（L21-007）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,37,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md
M7-A-124,A_SCI_DEF,P1,M7,Y,,GLOSSARY variance/ivar 条目未随 DATA-UNC-001 双值消解同步，仍写单值口径（L21-010）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,43,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md
M7-A-125,A_SCI_DEF,P1,M7,Y,,ALG 层把 ivar 缺失回退 support 写成 weight_mode=2 的唯一语义（L21-001 的 ALG 侧独立事实）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,49,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md
M7-A-126,A_SCI_DEF,P1,M7,Y,,ALG 中的 σ 未逐法定义：linear_fit 以平均绝对残差充当 σ 且未乘 √(π/2)（L20-016）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,53,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md
M7-A-127,A_SCI_DEF,P1,M7,Y,,Generalized ESD 的 α=0.05 被当冻结统计判据引用，却未纳入 NIST 自述的近似有效性域（n≥15/25）（L20-017）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,59,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md
M7-A-128,A_SCI_DEF,P1,M7,Y,,冻结完备性门「SNR≥10 召回≥99%」在本文阈值统计下数学不可达（L20-008 的 SCI/ALG 侧定档；家族成员）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,65,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md
M7-A-129,A_SCI_DEF,P1,M7,Y,,bilinear「Σw=1 精确成立」在跳象限、FP64 舍入、bitpix=−64 三处不成立，而它是「常数场 max_abs=0」的唯一依据（L20-007）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,69,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md
M7-A-130,A_SCI_DEF,P1,M7,Y,,FWHM=1.230310·sx/sy 是量纲错误式（乘/除轴向宽度），自反于本文 F2 与 SCI-PSF 不变量（L20-010）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,75,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md
M7-A-131,A_SCI_DEF,P1,M7,Y,,MAD=0 时热/冷检测阈值退化为「高于中位即热、低于中位即冷」，文档两次判为良性（L20-011）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,81,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md
M7-A-134,A_SCI_DEF,P1,M7,Y,,ALG 对同一代码给出互斥的冷/热分支符号描述（L20-012）,OPEN,,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,1,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md,87,问题扫描/findings/A_SCI_DEF/p1/M7_A_SCI_DEF_p1_b.md
