task_id,phase,title,dependencies,gate,status,evidence_dir
P13-001,P13,建立Stage1全TestData批处理与恢复入口,P12-006,G12,DONE,evidence/P13-001
P13-002,P13,运行全部TestData Stage1,P13-001;P10-005,G12,IN_PROGRESS,evidence/P13-002
P13-003,P13,Stage1负面恢复与资源验证,P13-002,G12,TODO,evidence/P13-003
P13-004,P13,Stage1科学链独立Gate,P13-002;P13-003,G12,TODO,evidence/P13-004
P14-001,P14,冻结银心三片Red 32帧数据集,P10-002;P10-004;P09-003,G13,TODO,evidence/P14-001
P14-002,P14,生成并验证银心32份正式HISS,P14-001;P12-005,G13,TODO,evidence/P14-002
P14-003,P14,建立重叠图与无梯度基线HCSD,P14-002,G13,TODO,evidence/P14-003
P14-004,P14,已知非零球面梯度注入恢复测试,P14-003,G13,TODO,evidence/P14-004
P14-005,P14,真实银心球面梯度校正,P14-004,G13,TODO,evidence/P14-005
P14-006,P14,真实SNR²稳健叠加验证,P14-005,G13,TODO,evidence/P14-006
P14-007,P14,HCSD质量、索引和provenance独立读取,P14-006,G13,TODO,evidence/P14-007
P14-008,P14,银心马赛克科学独立Gate,P14-003;P14-004;P14-005;P14-006;P14-007,G13,TODO,evidence/P14-008
P15-001,P15,浏览器性能插桩与可重复基线,P09-003,G14,TODO,evidence/P15-001
P15-002,P15,HCSD元数据索引专用持久读句柄,P15-001,G14,TODO,evidence/P15-002
P15-003,P15,批量叶读取与I/O合并,P15-002,G14,TODO,evidence/P15-003
P15-004,P15,异步I/O解码队列与过期请求取消,P15-003,G14,TODO,evidence/P15-004
P15-005,P15,HEALPix层级可见叶查询,P15-001,G14,TODO,evidence/P15-005
P15-006,P15,CPU/GPU LRU缓存与周边预取,P15-004;P15-005,G14,TODO,evidence/P15-006
P15-007,P15,交互LOD、事件合并与渐进细化,P15-006,G14,TODO,evidence/P15-007
P15-008,P15,浏览器异步I/O性能Gate,P15-002;P15-003;P15-004;P15-005;P15-006;P15-007,G14,TODO,evidence/P15-008
P16-001,P16,冻结Tile数据模型与渲染接口,P15-008,G15,TODO,evidence/P16-001
P16-002,P16,实现R32F GPU Tile Renderer,P16-001,G15,TODO,evidence/P16-002
P16-003,P16,STF着色器与科学数值一致性,P16-002,G15,TODO,evidence/P16-003
P16-004,P16,GPU缓存上传/驱逐生命周期,P16-002;P15-006,G15,TODO,evidence/P16-004
P16-005,P16,真实银心浏览器视觉和性能Gate,P16-003;P16-004;P14-008,G15,TODO,evidence/P16-005
P16-006,P16,条件性HCSD LOD ADR与原型,P16-005,G15,TODO,evidence/P16-006
P17-001,P17,建立并运行统一全量回归入口,P13-004;P14-008;P16-005,G16,TODO,evidence/P17-001
P17-002,P17,生成用户可见银心结果包,P17-001,G16,TODO,evidence/P17-002
P17-003,P17,最终独立复核、发布候选与交接,P17-002,G16,TODO,evidence/P17-003
QA-V19R7-A1-01,QA,机器一致性初扫,QA-V19R7-A0,G-QA,DONE,evidence/QA-V19R7-A1-01
QA-V19R7-A1-02,QA,文件审计与标准扫描,QA-V19R7-A1-01,G-QA,DONE,evidence/QA-V19R7-A1-02
QA-V19R7-A2-01,QA,science域人工审计,QA-V19R7-A1-02,G-QA,DONE,evidence/QA-V19R7-A2-01
QA-V19R7-A2-02,QA,noise域审计,QA-V19R7-A1-02,G-QA,DONE,evidence/QA-V19R7-A2-02
QA-V19R7-A2-03,QA,drizzle域审计,QA-V19R7-A1-02,G-QA,DONE,evidence/QA-V19R7-A2-03
QA-V19R7-A2-04,QA,phase2域审计,QA-V19R7-A1-02,G-QA,DONE,evidence/QA-V19R7-A2-04
QA-V19R7-A2-05,QA,io域审计,QA-V19R7-A1-02,G-QA,DONE,evidence/QA-V19R7-A2-05
QA-V19R7-A2-06,QA,architecture域审计,QA-V19R7-A1-02,G-QA,DONE,evidence/QA-V19R7-A2-06
QA-V19R7-A2-07,QA,standards域审计,QA-V19R7-A1-02,G-QA,DONE,evidence/QA-V19R7-A2-07
QA-V19R7-A2-08,QA,审计总表汇总,QA-V19R7-A2-01;QA-V19R7-A2-02;QA-V19R7-A2-03;QA-V19R7-A2-04;QA-V19R7-A2-05;QA-V19R7-A2-06;QA-V19R7-A2-07,G-QA,DONE,evidence/QA-V19R7-A2-08
QA-V19R7-B1-01,QA,SCIENCE_SCOPE对齐,QA-V19R7-A2-08,G-QA,DONE,evidence/QA-V19R7-B1-01
QA-V19R7-B1-02,QA,CALIBRATION对齐,QA-V19R7-A2-08,G-QA,DONE,evidence/QA-V19R7-B1-02
QA-V19R7-B1-03,QA,ASTROMETRY+PSF对齐,QA-V19R7-A2-08,G-QA,DONE,evidence/QA-V19R7-B1-03
QA-V19R7-B1-04,QA,PHOTOMETRY对齐,QA-V19R7-A2-08,G-QA,DONE,evidence/QA-V19R7-B1-04
QA-V19R7-B1-05,QA,NOISE_MODEL对齐,QA-V19R7-A2-08,G-QA,DONE,evidence/QA-V19R7-B1-05
QA-V19R7-B1-06,QA,UNCERTAINTY_AND_COVARIANCE对齐,QA-V19R7-A2-08,G-QA,DONE,evidence/QA-V19R7-B1-06
QA-V19R7-B1-07,QA,DRIZZLE对齐,QA-V19R7-A2-08,G-QA,DONE,evidence/QA-V19R7-B1-07
QA-V19R7-B1-08,QA,PHASE2_UPM对齐,QA-V19R7-A2-08,G-QA,DONE,evidence/QA-V19R7-B1-08
QA-V19R7-B1-09,QA,INTEGRATION对齐,QA-V19R7-A2-08,G-QA,TODO,evidence/QA-V19R7-B1-09
QA-V19R7-B1-10,QA,REJECTION对齐,QA-V19R7-A2-08,G-QA,TODO,evidence/QA-V19R7-B1-10
QA-V19R7-B2-01,QA,CALIBRATION_ALGORITHMS对齐,QA-V19R7-B1-10,G-QA,TODO,evidence/QA-V19R7-B2-01
QA-V19R7-B2-02,QA,PLATESOLVE对齐,QA-V19R7-B1-10,G-QA,TODO,evidence/QA-V19R7-B2-02
QA-V19R7-B2-03,QA,STAR_PSF_ALGORITHMS对齐,QA-V19R7-B1-10,G-QA,TODO,evidence/QA-V19R7-B2-03
QA-V19R7-B2-04,QA,PHOTOMETRIC_FIT对齐,QA-V19R7-B1-10,G-QA,TODO,evidence/QA-V19R7-B2-04
QA-V19R7-B2-05,QA,NOISE_ESTIMATION对齐,QA-V19R7-B1-10,G-QA,TODO,evidence/QA-V19R7-B2-05
QA-V19R7-B2-06,QA,GAIA_QUERY对齐,QA-V19R7-B1-10,G-QA,TODO,evidence/QA-V19R7-B2-06
QA-V19R7-B2-07,QA,DRIZZLE_GEOMETRY对齐,QA-V19R7-B1-10,G-QA,TODO,evidence/QA-V19R7-B2-07
QA-V19R7-B2-08,QA,HEALPIX_MAPPING对齐,QA-V19R7-B1-10,G-QA,TODO,evidence/QA-V19R7-B2-08
QA-V19R7-B2-09,QA,PHASE2_SAMPLER对齐,QA-V19R7-B1-10,G-QA,TODO,evidence/QA-V19R7-B2-09
QA-V19R7-B2-10,QA,UPM_SOLVER对齐,QA-V19R7-B1-10,G-QA,TODO,evidence/QA-V19R7-B2-10
QA-V19R7-B2-11,QA,REJECTION_ALGORITHMS对齐,QA-V19R7-B1-10,G-QA,TODO,evidence/QA-V19R7-B2-11
QA-V19R7-B2-12,QA,INTEGRATION_ALGORITHMS对齐,QA-V19R7-B1-10,G-QA,TODO,evidence/QA-V19R7-B2-12
QA-V19R7-B3-01,QA,ARCHITECTURE对齐,QA-V19R7-B2-12,G-QA,TODO,evidence/QA-V19R7-B3-01
QA-V19R7-B3-02,QA,MODULE_MAP对齐,QA-V19R7-B2-12,G-QA,TODO,evidence/QA-V19R7-B3-02
QA-V19R7-B3-03,QA,DEPENDENCY_RULES对齐,QA-V19R7-B2-12,G-QA,TODO,evidence/QA-V19R7-B3-03
QA-V19R7-B3-04,QA,DATA_FLOW+PIPELINE对齐,QA-V19R7-B2-12,G-QA,TODO,evidence/QA-V19R7-B3-04
QA-V19R7-B3-05,QA,OWNERSHIP_AND_LIFETIME对齐,QA-V19R7-B2-12,G-QA,TODO,evidence/QA-V19R7-B3-05
QA-V19R7-B3-06,QA,THREADING_MODEL对齐,QA-V19R7-B2-12,G-QA,TODO,evidence/QA-V19R7-B3-06
QA-V19R7-B3-07,QA,ERROR_MODEL对齐,QA-V19R7-B2-12,G-QA,TODO,evidence/QA-V19R7-B3-07
QA-V19R7-B3-08,QA,IO_AND_ATOMICITY+CACHE_POLICY对齐,QA-V19R7-B2-12,G-QA,TODO,evidence/QA-V19R7-B3-08
QA-V19R7-B3-09,QA,COMPATIBILITY_POLICY对齐,QA-V19R7-B2-12,G-QA,TODO,evidence/QA-V19R7-B3-09
QA-V19R7-B3-10,QA,PERFORMANCE_MODEL对齐,QA-V19R7-B2-12,G-QA,TODO,evidence/QA-V19R7-B3-10
QA-V19R7-B4-01,QA,common HEALPix去重,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-01
QA-V19R7-B4-02,QA,common crypto去重,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-02
QA-V19R7-B4-03,QA,astro_image_io HiPS读写,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-03
QA-V19R7-B4-04,QA,astro_image_io FP64,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-04
QA-V19R7-B4-05,QA,astro_image_io PipelineFrame,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-05
QA-V19R7-B4-06,QA,astro_image_io AIO UPM,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-06
QA-V19R7-B4-07,QA,calibration CAL窗口,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-07
QA-V19R7-B4-08,QA,calibration master生成,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-08
QA-V19R7-B4-09,QA,plate_solve WCS/SIP,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-09
QA-V19R7-B4-10,QA,plate_solve数值,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-10
QA-V19R7-B4-11,QA,plate_solve坐标契约,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-11
QA-V19R7-B4-12,QA,gaia RA环绕,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-12
QA-V19R7-B4-13,QA,gaia缓存并发,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-13
QA-V19R7-B4-14,QA,dynamic_psf数值,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-14
QA-V19R7-B4-15,QA,star_detector阈值,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-15
QA-V19R7-B4-16,QA,photometric_calib C ABI,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-16
QA-V19R7-B4-17,QA,photometric_calib spectrum,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-17
QA-V19R7-B4-18,QA,snr_estimator合同,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-18
QA-V19R7-B4-19,QA,snr_estimator SIP variance,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-19
QA-V19R7-B4-20,QA,drizzle geometry cache,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-20
QA-V19R7-B4-21,QA,drizzle方差,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-21
QA-V19R7-B4-22,QA,drizzle原子run-gen,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-22
QA-V19R7-B4-23,QA,orchestrator错误表,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-23
QA-V19R7-B4-24,QA,orchestrator C++17,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-24
QA-V19R7-B4-25,QA,phase2 UPM持久化,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-25
QA-V19R7-B4-26,QA,phase2 ivar状态机,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-26
QA-V19R7-B4-27,QA,phase2排异,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-27
QA-V19R7-B4-28,QA,phase2 ACR边界,QA-V19R7-B3-10,G-QA,TODO,evidence/QA-V19R7-B4-28
QA-V19R7-B5-01,QA,PROJECT_STATE迁移,QA-V19R7-B4-28,G-QA,TODO,evidence/QA-V19R7-B5-01
QA-V19R7-B5-02,QA,CURRENT_TASK同步,QA-V19R7-B4-28,G-QA,TODO,evidence/QA-V19R7-B5-02
QA-V19R7-B5-03,QA,DECISION_REGISTER追加,QA-V19R7-B4-28,G-QA,TODO,evidence/QA-V19R7-B5-03
QA-V19R7-B5-04,QA,RISK_REGISTER更新,QA-V19R7-B4-28,G-QA,TODO,evidence/QA-V19R7-B5-04
QA-V19R7-B5-05,QA,MASTER_TASK_REGISTER追加QA段,QA-V19R7-B4-28,G-QA,TODO,evidence/QA-V19R7-B5-05
QA-V19R7-B5-06,QA,TRACEABILITY补齐,QA-V19R7-B4-28,G-QA,TODO,evidence/QA-V19R7-B5-06
QA-V19R7-B5-07,QA,RELEASE_STATUS+KNOWN_LIMITATIONS同步,QA-V19R7-B4-28,G-QA,TODO,evidence/QA-V19R7-B5-07
QA-V19R7-B5-08,QA,CHANGELOG+DEVELOPER_GUIDE同步,QA-V19R7-B4-28,G-QA,TODO,evidence/QA-V19R7-B5-08
QA-V19R7-C-01,QA,增量ctest,QA-V19R7-B5-08,G-QA,TODO,evidence/QA-V19R7-C-01
QA-V19R7-C-02,QA,noise_model_science_test,QA-V19R7-B5-08,G-QA,TODO,evidence/QA-V19R7-C-02
QA-V19R7-C-03,QA,variance_propagation_test,QA-V19R7-B5-08,G-QA,TODO,evidence/QA-V19R7-C-03
QA-V19R7-C-04,QA,phase2_synthetic_gate,QA-V19R7-B5-08,G-QA,TODO,evidence/QA-V19R7-C-04
QA-V19R7-C-05,QA,pipeline_frame契约,QA-V19R7-B5-08,G-QA,TODO,evidence/QA-V19R7-C-05
QA-V19R7-C-06,QA,编译告警矩阵,QA-V19R7-B5-08,G-QA,TODO,evidence/QA-V19R7-C-06
QA-V19R7-C-07,QA,comment hygiene+file_audit,QA-V19R7-B5-08,G-QA,TODO,evidence/QA-V19R7-C-07
QA-V19R7-C-08,QA,machine_consistency 0 broken,QA-V19R7-B5-08,G-QA,TODO,evidence/QA-V19R7-C-08
QA-V19R7-C-09,QA,WSL ASan/UBSan矩阵,QA-V19R7-B5-08,G-QA,TODO,evidence/QA-V19R7-C-09
QA-V19R7-C-10,QA,代表帧冒烟,QA-V19R7-B5-08,G-QA,TODO,evidence/QA-V19R7-C-10
QA-V19R7-C-11,QA,性能快照,QA-V19R7-B5-08,G-QA,TODO,evidence/QA-V19R7-C-11
QA-V19R7-D-01,QA,Fresh Reviewer复核,QA-V19R7-C-11,G-QA,TODO,evidence/QA-V19R7-D-01
QA-V19R7-D-02,QA,Repository Auditor抽样,QA-V19R7-C-11,G-QA,TODO,evidence/QA-V19R7-D-02
QA-V19R7-D-03,QA,self_review round,QA-V19R7-C-11,G-QA,TODO,evidence/QA-V19R7-D-03
QA-V19R7-D-04,QA,证据包+SHA256SUMS,QA-V19R7-C-11,G-QA,TODO,evidence/QA-V19R7-D-04
QA-V19R7-D-05,QA,干净HEAD校验,QA-V19R7-C-11,G-QA,TODO,evidence/QA-V19R7-D-05
QA-V19R7-D-06,QA,发布口径更新,QA-V19R7-C-11,G-QA,TODO,evidence/QA-V19R7-D-06
