dataset,device_id,sensor_size,filter_raw,filter_canonical,exposure_s,n_lights,bias_master,bias_reason,dark_master,dark_reason,flat_master,flat_reason,resolution_status,resolution_note
NGC1727_T2,T2,4096x4096,Blue,Blue,600,,T2/masterBias_BIN-1_4096x4096.xisf,exact,T2/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,exact,T2/masterFlat_BIN-1_4096x4096_FILTER-Blue_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC1727_T2,T2,4096x4096,Green,Green,600,,T2/masterBias_BIN-1_4096x4096.xisf,exact,T2/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,exact,T2/masterFlat_BIN-1_4096x4096_FILTER-Green_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC1727_T2,T2,4096x4096,H-alpha,H-alpha,1200,,T2/masterBias_BIN-1_4096x4096.xisf,exact,T2/masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,exact,T2/masterFlat_BIN-1_4096x4096_FILTER-H-alpha_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC1727_T2,T2,4096x4096,OIII,OIII,1800,,T2/masterBias_BIN-1_4096x4096.xisf,exact,T2/masterDark_BIN-1_4096x4096_EXPOSURE-1800.00s.xisf,exact,T2/masterFlat_BIN-1_4096x4096_FILTER-OIII_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC1727_T2,T2,4096x4096,Red,Red,600,,T2/masterBias_BIN-1_4096x4096.xisf,exact,T2/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,exact,T2/masterFlat_BIN-1_4096x4096_FILTER-Red_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC247_T2,T2,4096x4096,Blue,Blue,600,,T2/masterBias_BIN-1_4096x4096.xisf,exact,T2/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,exact,T2/masterFlat_BIN-1_4096x4096_FILTER-Blue_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC247_T2,T2,4096x4096,Green,Green,600,,T2/masterBias_BIN-1_4096x4096.xisf,exact,T2/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,exact,T2/masterFlat_BIN-1_4096x4096_FILTER-Green_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC247_T2,T2,4096x4096,H-alpha,H-alpha,1200,,T2/masterBias_BIN-1_4096x4096.xisf,exact,T2/masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,exact,T2/masterFlat_BIN-1_4096x4096_FILTER-H-alpha_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC247_T2,T2,4096x4096,Lum,Lum,600,,T2/masterBias_BIN-1_4096x4096.xisf,exact,T2/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,exact,,not_found,UNRESOLVED,缺失: Flat
NGC247_T2,T2,4096x4096,OIII,OIII,1200,,T2/masterBias_BIN-1_4096x4096.xisf,exact,T2/masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,exact,T2/masterFlat_BIN-1_4096x4096_FILTER-OIII_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC247_T2,T2,4096x4096,Red,Red,600,,T2/masterBias_BIN-1_4096x4096.xisf,exact,T2/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,exact,T2/masterFlat_BIN-1_4096x4096_FILTER-Red_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC55_T3,T3,4096x4096,Blue,Blue,600,,T3/masterBias_BIN-1_4096x4096.xisf,exact,T3/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,exact,T3/masterFlat_BIN-1_4096x4096_FILTER-Blue_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC55_T3,T3,4096x4096,Green,Green,600,,T3/masterBias_BIN-1_4096x4096.xisf,exact,T3/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,exact,T3/masterFlat_BIN-1_4096x4096_FILTER-Green_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC55_T3,T3,4096x4096,H-alpha,H-alpha,1200,,T3/masterBias_BIN-1_4096x4096.xisf,exact,T3/masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,exact,T3/masterFlat_BIN-1_4096x4096_FILTER-H-alpha_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC55_T3,T3,4096x4096,Lum,Lum,600,,T3/masterBias_BIN-1_4096x4096.xisf,exact,T3/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,exact,T3/masterFlat_BIN-1_4096x4096_FILTER-Lum_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC55_T3,T3,4096x4096,Oiii,OIII,1200,,T3/masterBias_BIN-1_4096x4096.xisf,exact,T3/masterDark_BIN-1_4096x4096_EXPOSURE-1200.00s.xisf,exact,T3/masterFlat_BIN-1_4096x4096_FILTER-Oiii_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC55_T3,T3,4096x4096,Red,Red,600,,T3/masterBias_BIN-1_4096x4096.xisf,exact,T3/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,exact,T3/masterFlat_BIN-1_4096x4096_FILTER-Red_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC83_T3,T3,4096x4096,Blue,Blue,600,,T3/masterBias_BIN-1_4096x4096.xisf,exact,T3/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,exact,T3/masterFlat_BIN-1_4096x4096_FILTER-Blue_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC83_T3,T3,4096x4096,Green,Green,600,,T3/masterBias_BIN-1_4096x4096.xisf,exact,T3/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,exact,T3/masterFlat_BIN-1_4096x4096_FILTER-Green_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC83_T3,T3,4096x4096,Lum,Lum,600,,T3/masterBias_BIN-1_4096x4096.xisf,exact,T3/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,exact,T3/masterFlat_BIN-1_4096x4096_FILTER-Lum_mono.xisf,exact,RESOLVED,全部校准帧匹配
NGC83_T3,T3,4096x4096,Red,Red,600,,T3/masterBias_BIN-1_4096x4096.xisf,exact,T3/masterDark_BIN-1_4096x4096_EXPOSURE-600.00s.xisf,exact,T3/masterFlat_BIN-1_4096x4096_FILTER-Red_mono.xisf,exact,RESOLVED,全部校准帧匹配
Victory_T4,T4,4500x3600,Blue,Blue,180,,T4/masterBias_BIN-1_4500x3600.xisf,exact,T4/masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,exact,T4/masterFlat_BIN-1_4500x3600_FILTER-Blue_mono.xisf,exact,RESOLVED,全部校准帧匹配
Victory_T4,T4,4500x3600,Green,Green,180,,T4/masterBias_BIN-1_4500x3600.xisf,exact,T4/masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,exact,T4/masterFlat_BIN-1_4500x3600_FILTER-Green_mono.xisf,exact,RESOLVED,全部校准帧匹配
Victory_T4,T4,4500x3600,Lum,Lum,180,,T4/masterBias_BIN-1_4500x3600.xisf,exact,T4/masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,exact,,not_found,UNRESOLVED,缺失: Flat
Victory_T4,T4,4500x3600,Red,Red,180,,T4/masterBias_BIN-1_4500x3600.xisf,exact,T4/masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,exact,T4/masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,exact,RESOLVED,全部校准帧匹配
