x	y
940	11
940	667
940	1019
941	618
942	1
942	961
943	1016
945	1014
947	492
951	888
952	191
953	126
953	486
954	253
957	90
960	79
962	741
963	500
966	185
968	383
969	382
971	148
971	540
972	11
974	153
976	7
976	791
976	895
979	244
979	476
980	251
980	811
983	992
984	839
986	29
987	100
987	452
987	868
989	90
989	154
990	257
990	1009
993	414
993	990
994	669
995	364
996	331
996	627
997	522
997	722
998	401
998	433
998	633
1000	71
1001	710
1005	2
1006	225
1006	369
1007	104
1007	336
1008	783
1009	382
1009	958
1010	61
1010	397
1010	525
1011	204
1011	460
1011	916
1012	355
1012	547
1013	458
1013	618
1013	882
1014	897
1015	328
1016	439
1017	1022
1018	869
1019	132
1021	482
1022	801
