contract_id,title,authority_doc,module,status
TEST-PR-UPM-008,PR#1 frame-binding 测试 #8,docs/science/PHASE2_UPM.md,phase2,VERIFIED
SCI-UPM-009,UPM 科学门 #9（PHASE2_UPM 语义集）,docs/science/PHASE2_UPM.md,phase2,VERIFIED
TEST-PR-UPM-009,PR#1 frame-binding 测试 #9,docs/science/PHASE2_UPM.md,phase2,VERIFIED
SCI-UPM-010,UPM 科学门 #10（PHASE2_UPM 语义集）,docs/science/PHASE2_UPM.md,phase2,VERIFIED
TEST-PR-UPM-010,PR#1 frame-binding 测试 #10,docs/science/PHASE2_UPM.md,phase2,VERIFIED
TEST-UPMW-001,UPM 权重门 UPMW-001（V19R3）,docs/science/PHASE2_UPM.md,phase2,VERIFIED
TEST-UPMW-002,UPM 权重门 UPMW-002（V19R3）,docs/science/PHASE2_UPM.md,phase2,VERIFIED
TEST-UPMW-003,UPM 权重门 UPMW-003（V19R3）,docs/science/PHASE2_UPM.md,phase2,VERIFIED
TEST-UPMW-004,UPM 权重门 UPMW-004（V19R3）,docs/science/PHASE2_UPM.md,phase2,VERIFIED
TEST-UPMW-005,UPM 权重门 UPMW-005（V19R3）,docs/science/PHASE2_UPM.md,phase2,VERIFIED
TEST-UPMW-006,UPM 权重门 UPMW-006（V19R3）,docs/science/PHASE2_UPM.md,phase2,VERIFIED
TEST-UPMW-007,UPM 权重门 UPMW-007（V19R3）,docs/science/PHASE2_UPM.md,phase2,VERIFIED
