task_id,wave,owner_id,kind,depends_on,mutex_lock,resource_class,commit_subject,spec_ref,acceptance,alias_of
DOC-001,W1,SA-QA-29,implementation,GOV-004,traceability,LINUX_LIGHT,feat(DOC-001): 完成DOC-001任务：Create traceability schemas,tasks/01_W0_GOVERNANCE_TASKS.md,schema validates,
TST-001,W1,SA-QA-29,implementation,GOV-004,test-contract,LINUX_LIGHT,feat(TST-001): 完成TST-001任务：Create reusable test/report contract,tasks/01_W0_GOVERNANCE_TASKS.md,testkit contract,
ARC-001,W1,SA-ABI-03,implementation,GOV-001,architecture,LINUX_LIGHT,feat(ARC-001): 完成ARC-001任务：Freeze product/DLL boundaries,tasks/02_ABI_BUILD_CLI_TASKS.md,architecture contract,
BLD-001,W1,SA-BLD-02,implementation,GOV-001,toolchain,LINUX_LIGHT,feat(BLD-001): 完成BLD-001任务：Freeze CMake/MSVC presets,tasks/02_ABI_BUILD_CLI_TASKS.md,preset contract,
BLD-002,W2,SA-BLD-02,implementation,BLD-001,cmake,LINUX_LIGHT,feat(BLD-002): 完成BLD-002任务：Create one root CMake graph,tasks/02_ABI_BUILD_CLI_TASKS.md,one project(),
BLD-003,W2,SA-BLD-02,implementation,BLD-002,cmake,LINUX_LIGHT,feat(BLD-003): 完成BLD-003任务：Create DLL targets/install tree,tasks/02_ABI_BUILD_CLI_TASKS.md,DLL skeleton,
BLD-004,W2,SA-BLD-02,implementation,BLD-003,deps,LINUX_LIGHT,feat(BLD-004): 完成BLD-004任务：Lock dependencies/repro build,tasks/02_ABI_BUILD_CLI_TASKS.md,dependency lock,
ABI-001,W1,SA-ABI-03,implementation,ARC-001,abi,LINUX_LIGHT,feat(ABI-001): 完成ABI-001任务：Define versioned C ABI,tasks/02_ABI_BUILD_CLI_TASKS.md,ABI header,
ABI-002,W1,SA-ABI-03,implementation,ABI-001,abi,LINUX_LIGHT,feat(ABI-002): 完成ABI-002任务：Define lifecycle/errors/cancel,tasks/02_ABI_BUILD_CLI_TASKS.md,lifecycle contract,
ABI-003,W2,SA-ABI-03,implementation,ABI-002;BLD-003,loader,LINUX_LIGHT,feat(ABI-003): 完成ABI-003任务：Implement safe loader,tasks/02_ABI_BUILD_CLI_TASKS.md,loader negative tests,
ABI-004,W2,SA-ABI-03,implementation,ABI-003,registry,LINUX_LIGHT,feat(ABI-004): 完成ABI-004任务：Implement dynamic registry/manifest,tasks/02_ABI_BUILD_CLI_TASKS.md,registry tests,
ABI-005,W2,SA-ABI-03,implementation,ABI-004,conformance,LINUX_LIGHT,feat(ABI-005): 完成ABI-005任务：Implement noop/echo module,tasks/02_ABI_BUILD_CLI_TASKS.md,conformance module,
ABI-006,W2,SA-AUD-99,audit,ABI-005,audit-read,STATIC_READ,no-commit,tasks/02_ABI_BUILD_CLI_TASKS.md,ABI 独立发现报告；不修改源码,
CLI-001,W2,SA-CLI-04,implementation,ABI-005,cli,LINUX_LIGHT,feat(CLI-001): 完成CLI-001任务：Stable commands/JSON/exit codes,tasks/02_ABI_BUILD_CLI_TASKS.md,CLI contract,
CLI-002,W2,SA-CLI-04,implementation,CLI-001,cli-phase,LINUX_LIGHT,feat(CLI-002): 完成CLI-002任务：Implement phase process isolation,tasks/02_ABI_BUILD_CLI_TASKS.md,no continuous phases,
CLI-003,W2,SA-CLI-04,implementation,CLI-002;RT-002,cli,LINUX_LIGHT,feat(CLI-003): 完成CLI-003任务：Implement validate/plan/run/inspect,tasks/02_ABI_BUILD_CLI_TASKS.md,command semantics,
CLI-004,W2,SA-CLI-04,implementation,CLI-003,cli-protocol,LINUX_LIGHT,feat(CLI-004): 完成CLI-004任务：Define GUI process protocol,tasks/02_ABI_BUILD_CLI_TASKS.md,JSON stream protocol,
DATA-001,W1,SA-DATA-06,implementation,GOV-001,data-contract,LINUX_LIGHT,feat(DATA-001): 完成DATA-001任务：Define typed Artifact schema,tasks/03_RUNTIME_DATA_IO_TASKS.md,schema tests,
DATA-002,W1,SA-DATA-06,implementation,DATA-001,data-contract,LINUX_LIGHT,feat(DATA-002): 完成DATA-002任务：Define phase product manifests,tasks/03_RUNTIME_DATA_IO_TASKS.md,product schemas,
DATA-003,W2,SA-DATA-06,implementation,DATA-002;BLD-002,artifact-store,LINUX_LIGHT,feat(DATA-003): 完成DATA-003任务：Wire production ArtifactStore,tasks/03_RUNTIME_DATA_IO_TASKS.md,store integration,
DATA-004,W2,SA-DATA-06,implementation,DATA-003,provenance,LINUX_LIGHT,feat(DATA-004): 完成DATA-004任务：Define provenance/version semantics,tasks/03_RUNTIME_DATA_IO_TASKS.md,provenance evidence,
IO-001,W2,SA-IO-07,implementation,DATA-001,io,LINUX_LIGHT,feat(IO-001): 完成IO-001任务：Implement streaming FITS API,tasks/03_RUNTIME_DATA_IO_TASKS.md,FITS conformance,
IO-002,W2,SA-IO-07,implementation,DATA-002,io,LINUX_LIGHT,feat(IO-002): 完成IO-002任务：Implement HiPS tile reader,tasks/03_RUNTIME_DATA_IO_TASKS.md,tile semantics,
IO-003,W2,SA-IO-07,implementation,DATA-004;IO-001;IO-002,io-publish,LINUX_LIGHT,feat(IO-003): 完成IO-003任务：Implement atomic output/publish,tasks/03_RUNTIME_DATA_IO_TASKS.md,rollback tests,
RT-001,W2,SA-RT-05,implementation,ARC-001;DATA-001,runtime-dag,LINUX_LIGHT,feat(RT-001): 完成RT-001任务：Implement typed DAG node,tasks/03_RUNTIME_DATA_IO_TASKS.md,graph validation,
RT-002,W2,SA-RT-05,implementation,RT-001,runtime-phase,LINUX_LIGHT,feat(RT-002): 完成RT-002任务：Implement phase-isolated runtime,tasks/03_RUNTIME_DATA_IO_TASKS.md,independent sessions,
RT-003,W2,SA-RT-05,implementation,RT-002,thread-budget,LINUX_LIGHT,feat(RT-003): 完成RT-003任务：Implement real shared ThreadBudget,tasks/03_RUNTIME_DATA_IO_TASKS.md,lease tests,
RT-004,W2,SA-RT-05,implementation,RT-003,executor,LINUX_LIGHT,feat(RT-004): 完成RT-004任务：Implement shared CPU executor,tasks/03_RUNTIME_DATA_IO_TASKS.md,no private pool,
RT-005,W2,SA-RT-05,implementation,RT-004;DATA-004,plan,LINUX_LIGHT,feat(RT-005): 完成RT-005任务：Implement resource estimates,tasks/03_RUNTIME_DATA_IO_TASKS.md,plan fields,
RT-006,W2,SA-RT-05,implementation,RT-005,trace,LINUX_LIGHT,feat(RT-006): 完成RT-006任务：Implement real trace/call counts,tasks/03_RUNTIME_DATA_IO_TASKS.md,runtime evidence,
RT-007,W2,SA-RT-05,implementation,RT-006,cancel,LINUX_LIGHT,feat(RT-007): 完成RT-007任务：Implement cancel/error/checkpoint,tasks/03_RUNTIME_DATA_IO_TASKS.md,negative tests,
LOG-001,W1,SA-LOG-08,implementation,GOV-001,logging,LINUX_LIGHT,feat(LOG-001): 完成LOG-001任务：Define structured logging,tasks/03_RUNTIME_DATA_IO_TASKS.md,log schema,
LOG-002,W2,SA-LOG-08,implementation,LOG-001;RT-006,monitor,LINUX_LIGHT,feat(LOG-002): 完成LOG-002任务：Implement resource monitor,tasks/03_RUNTIME_DATA_IO_TASKS.md,time series,
LOG-003,W2,SA-LOG-08,implementation,RT-006,graph,LINUX_LIGHT,feat(LOG-003): 完成LOG-003任务：Generate static/runtime graphs,tasks/03_RUNTIME_DATA_IO_TASKS.md,Graphviz evidence,
CPU-001,W2,SA-CPU-09,implementation,BLD-003,cpu-capability,LINUX_LIGHT,feat(CPU-001): 完成CPU-001任务：Capability detection/safety matrix,tasks/04_CPU_RESOURCE_TASKS.md,capability evidence,
CPU-002,W2,SA-CPU-B10,implementation,CPU-001,cpu-baseline,LINUX_LIGHT,feat(CPU-002): 完成CPU-002任务：Implement baseline provider,tasks/04_CPU_RESOURCE_TASKS.md,baseline tests,
CPU-003,W2,SA-CPU-A11,implementation,CPU-002,cpu-avx2,LINUX_LIGHT,feat(CPU-003): 完成CPU-003任务：Implement AVX2/FMA provider,tasks/04_CPU_RESOURCE_TASKS.md,AVX2 tests,
CPU-004,W2,SA-CPU-X12,implementation,CPU-002,cpu-avx512,LINUX_LIGHT,feat(CPU-004): 完成CPU-004任务：Implement AVX-512 provider,tasks/04_CPU_RESOURCE_TASKS.md,AVX512 tests,
CPU-005,W2,SA-CPU-09,implementation,CPU-002;CPU-003;CPU-004;RT-004,cpu-route,LINUX_LIGHT,feat(CPU-005): 完成CPU-005任务：Provider self-test/routing,tasks/04_CPU_RESOURCE_TASKS.md,route table,
CPU-006,W3,SA-CPU-09,implementation,CPU-005;LOG-002,benchmark,LINUX_LIGHT,feat(CPU-006): 完成CPU-006任务：Implement cpu benchmark command,tasks/04_CPU_RESOURCE_TASKS.md,benchmark report,
CPU-007,W3,SA-CPU-09,implementation,CPU-006,profile,LINUX_LIGHT,feat(CPU-007): 完成CPU-007任务：Profile persistence/invalidation,tasks/04_CPU_RESOURCE_TASKS.md,profile schema,
CPU-008,W3,SA-CPU-09,implementation,CPU-007;RT-003,thread-profile,LINUX_LIGHT,feat(CPU-008): 完成CPU-008任务：Adaptive thread recommendation,tasks/04_CPU_RESOURCE_TASKS.md,no fixed cores,
MON-001,W3,SA-LOG-08,implementation,LOG-002;CPU-006,resource-gate,LINUX_LIGHT,feat(MON-001): 完成MON-001任务：Resource threshold judgement,tasks/04_CPU_RESOURCE_TASKS.md,utilization gate,
MON-002,W3,SA-LOG-08,implementation,MON-001,leak,LINUX_LIGHT,feat(MON-002): 完成MON-002任务：Leak/growth detection,tasks/04_CPU_RESOURCE_TASKS.md,RSS/allocation report,
ACR-001,W2,SA-ACR-13,implementation,BLD-002,acr-guard,LINUX_LIGHT,feat(ACR-001): 完成ACR-001任务：Keep ACR dormant/off,tasks/04_CPU_RESOURCE_TASKS.md,ACR_OFF,
P1-SEAM-001,W3,SA-P1-D18,implementation,P1-DRZ-INT;P1-HIPS-INT,p1-seam,LINUX_LIGHT,feat(P1-SEAM-001): 完成P1-SEAM-001任务：Synthetic seam/gradient acceptance,tasks/05_PHASE1_TASKS.md,seam report,
P1-REAL-SAMPLE,W6,SA-WIN-30,evidence,P1-SEAM-001,windows-heavy,STATIC_READ,evidence-only,tasks/05_PHASE1_TASKS.md,引用 WIN-009 唯一 Phase1 真实样本证据，不得重复运行,WIN-009
P1-LEGACY-RETIRE,W4,SA-P1-R19,implementation,P1-SEAM-001,legacy-p1,LINUX_LIGHT,feat(P1-LEGACY-RETIRE): 完成P1-LEGACY-RETIRE任务：Retire old Phase1 route,tasks/05_PHASE1_TASKS.md,no old caller,
P2-NODE-CALL-001,W3,SA-P2-X24,implementation,P2-HIPS-INT;RT-006,p2-callcount,LINUX_LIGHT,feat(P2-NODE-CALL-001): 完成P2-NODE-CALL-001任务：Verify real node calls,tasks/06_PHASE2_TASKS.md,call counts,
P2-IMPL-COMPLETE-001,W3,SA-P2-X24,implementation,P2-NODE-CALL-001,p2-complete,LINUX_LIGHT,feat(P2-IMPL-COMPLETE-001): 完成P2-IMPL-COMPLETE-001任务：Complete Phase2 semantics,tasks/06_PHASE2_TASKS.md,all nodes,
P2-SEAM-001,W3,SA-P2-R22,implementation,P2-IMPL-COMPLETE-001,p2-seam,LINUX_LIGHT,feat(P2-SEAM-001): 完成P2-SEAM-001任务：Fix Phase2 seam regression,tasks/06_PHASE2_TASKS.md,seam oracle,
P2-REAL-032R,W6,SA-WIN-30,evidence,P2-ASSEMBLY-ACCEPT,windows-heavy,STATIC_READ,evidence-only,tasks/06_PHASE2_TASKS.md,引用 WIN-010 唯一 32R 证据，不得重复运行,WIN-010
P2-LEGACY-RETIRE,W4,SA-P2-X24,implementation,P2-ASSEMBLY-ACCEPT,legacy-p2,LINUX_LIGHT,feat(P2-LEGACY-RETIRE): 完成P2-LEGACY-RETIRE任务：Retire old Phase2 route,tasks/06_PHASE2_TASKS.md,no old caller,
P2-PERF-001,W6,SA-WIN-30,implementation,P2-PERF-DESIGN;WIN-010;MON-001,windows-heavy,WINDOWS_HEAVY,feat(P2-PERF-001): 完成P2-PERF-001任务：Phase2 resource qualification,tasks/06_PHASE2_TASKS.md,复用 WIN-010 同一次 32R monitor；不得另跑真实数据,
P3-SESSION,W3,SA-P3-X28,implementation,P3-FITS-INT;RT-002,p3-session,LINUX_LIGHT,feat(P3-SESSION): 完成P3-SESSION任务：Independent Phase3 session,tasks/07_PHASE3_TASKS.md,phase3 CLI,
P3-REAL-SAMPLE,W6,SA-WIN-30,evidence,P3-SESSION,windows-heavy,STATIC_READ,evidence-only,tasks/07_PHASE3_TASKS.md,引用 WIN-011 唯一 Phase3 真实样本证据，不得重复运行,WIN-011
QA-001,W5,SA-QA-29,evidence,GOV-004;BLD-002,quality,LINUX_LIGHT,evidence-only,tasks/08_QA_LINUX_TASKS.md,AST index,
QA-002,W5,SA-QA-29,evidence,QA-001;ABI-004,quality,LINUX_LIGHT,evidence-only,tasks/08_QA_LINUX_TASKS.md,module contract report,
QA-003,W5,SA-QA-29,evidence,DOC-001;QA-001,traceability,LINUX_LIGHT,evidence-only,tasks/08_QA_LINUX_TASKS.md,traceability report,
QA-004,W5,SA-QA-29,evidence,RT-004;QA-001,quality,LINUX_LIGHT,evidence-only,tasks/08_QA_LINUX_TASKS.md,static findings,
QA-005,W5,SA-QA-29,evidence,GOV-005,docs-scan,LINUX_LIGHT,evidence-only,tasks/08_QA_LINUX_TASKS.md,stale report,
QA-006,W5,SA-QA-29,evidence,LOG-003;QA-001,graph,LINUX_LIGHT,evidence-only,tasks/08_QA_LINUX_TASKS.md,graph artifacts,
QA-007,W5,SA-QA-29,evidence,QA-002;QA-003,comment,LINUX_LIGHT,evidence-only,tasks/08_QA_LINUX_TASKS.md,comment report,
QA-008,W5,SA-QA-29,evidence,BLD-002;TST-001,sanitizer,LINUX_LIGHT,evidence-only,tasks/08_QA_LINUX_TASKS.md,sanitizer evidence,
LNX-001,W5,FG-000,evidence,ID-002,linux-host,LINUX_LIGHT,evidence-only,tasks/08_QA_LINUX_TASKS.md,Linux host evidence,
LNX-002,W5,SA-BLD-02,evidence,BLD-002;LNX-001,linux-build,LINUX_LIGHT,evidence-only,tasks/08_QA_LINUX_TASKS.md,Linux build,
LNX-003,W5,SA-QA-29,evidence,QA-001;QA-005,linux-structure,LINUX_LIGHT,evidence-only,tasks/08_QA_LINUX_TASKS.md,machine PASS,
LNX-004,W5,SA-QA-29,evidence,QA-003;CPU-005,linux-synthetic,LINUX_LIGHT,evidence-only,tasks/08_QA_LINUX_TASKS.md,synthetic report,
LNX-005,W5,SA-LOG-08,evidence,LOG-002;LNX-004,linux-monitor,LINUX_LIGHT,evidence-only,tasks/08_QA_LINUX_TASKS.md,monitor report,
LNX-006,W5,SA-PKG-31,evidence,LNX-003;LNX-004,linux-package,LINUX_LIGHT,evidence-only,tasks/08_QA_LINUX_TASKS.md,package precheck,
WIN-001,W6,SA-WIN-30,evidence,ID-001,windows-heavy,WINDOWS_HEAVY,evidence-only,tasks/09_WINDOWS_RELEASE_TASKS.md,windows identity,
WIN-002,W6,SA-WIN-30,evidence,WIN-001;BLD-001,windows-heavy,WINDOWS_HEAVY,evidence-only,tasks/09_WINDOWS_RELEASE_TASKS.md,toolchain manifest,
WIN-003,W6,SA-WIN-30,evidence,WIN-002;BLD-004,windows-heavy,WINDOWS_HEAVY,evidence-only,tasks/09_WINDOWS_RELEASE_TASKS.md,build evidence,
WIN-004,W6,SA-WIN-30,evidence,WIN-003;ABI-004,windows-heavy,WINDOWS_HEAVY,evidence-only,tasks/09_WINDOWS_RELEASE_TASKS.md,loader evidence,
WIN-005,W6,SA-WIN-30,evidence,WIN-003;TST-001,windows-heavy,WINDOWS_HEAVY,evidence-only,tasks/09_WINDOWS_RELEASE_TASKS.md,CTest evidence,
WIN-006,W6,SA-WIN-30,evidence,WIN-003;CPU-007,windows-heavy,WINDOWS_HEAVY,evidence-only,tasks/09_WINDOWS_RELEASE_TASKS.md,profile evidence,
WIN-007,W6,SA-WIN-30,evidence,WIN-003;MON-001;CPU-008,windows-heavy,WINDOWS_HEAVY,evidence-only,tasks/09_WINDOWS_RELEASE_TASKS.md,utilization evidence,
WIN-008,W6,SA-WIN-30,evidence,WIN-004;CLI-003,windows-heavy,WINDOWS_HEAVY,evidence-only,tasks/09_WINDOWS_RELEASE_TASKS.md,phase evidence,
WIN-009,W6,SA-WIN-30,evidence,WIN-008;P1-SEAM-001,windows-heavy,WINDOWS_HEAVY,evidence-only,tasks/09_WINDOWS_RELEASE_TASKS.md,P1 real evidence,
WIN-010,W6,SA-WIN-30,evidence,WIN-008;P2-SEAM-001,windows-heavy,WINDOWS_HEAVY,evidence-only,tasks/09_WINDOWS_RELEASE_TASKS.md,P2 32R evidence,
WIN-011,W6,SA-WIN-30,evidence,WIN-008;P3-SESSION,windows-heavy,WINDOWS_HEAVY,evidence-only,tasks/09_WINDOWS_RELEASE_TASKS.md,P3 evidence,
WIN-012,W6,SA-WIN-30,evidence,WIN-003,windows-heavy,WINDOWS_HEAVY,evidence-only,tasks/09_WINDOWS_RELEASE_TASKS.md,Win10 evidence,
WIN-013,W6,SA-WIN-30,evidence,WIN-003;WIN-005;WIN-007;WIN-008,windows-heavy,WINDOWS_HEAVY,evidence-only,tasks/09_WINDOWS_RELEASE_TASKS.md,Win11 evidence,
WIN-014,W6,SA-WIN-30,evidence,WIN-009;WIN-010;WIN-011;WIN-012;WIN-013,windows-heavy,WINDOWS_HEAVY,evidence-only,tasks/09_WINDOWS_RELEASE_TASKS.md,release evidence,
AUD-002,W5,SA-AUD-99,audit,LNX-006,audit-read,STATIC_READ,no-commit,tasks/10_AUDIT_PACKAGING_TASKS.md,review 2,
AUD-003,W6,SA-AUD-99,audit,WIN-014,audit-read,WINDOWS_HEAVY,no-commit,tasks/10_AUDIT_PACKAGING_TASKS.md,review 3,
AUD-004,W7,SA-AUD-99,audit,QA-007;QA-008,audit-read,STATIC_READ,no-commit,tasks/10_AUDIT_PACKAGING_TASKS.md,review 4,
AUD-005,W8,SA-AUD-99,audit,WIN-014;AUD-004,audit-read,STATIC_READ,no-commit,tasks/10_AUDIT_PACKAGING_TASKS.md,final report,
FG-VERIFY-001,W8,FG-000,gate,AUD-005,final-verify,LINUX_LIGHT,no-commit,tasks/10_AUDIT_PACKAGING_TASKS.md,no-commit,
PKG-001,W8,SA-PKG-31,gate,AUD-004;WIN-014,package,LINUX_LIGHT,no-commit,tasks/10_AUDIT_PACKAGING_TASKS.md,package tool,
PKG-002,W8,SA-PKG-31,gate,AUD-005;FG-VERIFY-001,package,LINUX_LIGHT,no-commit,tasks/10_AUDIT_PACKAGING_TASKS.md,summary,
PKG-003,W8,SA-PKG-31,gate,PKG-002,package-verify,LINUX_LIGHT,no-commit,tasks/10_AUDIT_PACKAGING_TASKS.md,package PASS,
GATE-OWNER-001,W8,FG-000,gate,PKG-003,owner-review,LINUX_LIGHT,no-commit,tasks/10_AUDIT_PACKAGING_TASKS.md,no-commit,
CAT-GAIA-DOC,W1,SA-P1-W16,module-doc,GOV-001;ARC-001;DATA-001;DOC-001,lock-CAT-GAIA,LINUX_LIGHT,docs(CAT-GAIA): 完成CAT-GAIA-DOC任务：freeze module contract,tasks/MODULE_MIGRATION_TEMPLATE.md,co-located README/module.yaml/SCI-ALG-DATA-API links; no root science formula change,
CAT-GAIA-TEST,W3,SA-P1-W16,module-test,CAT-GAIA-DOC;TST-001,lock-CAT-GAIA,LINUX_LIGHT,test(CAT-GAIA): 完成CAT-GAIA-TEST任务：add reusable module tests,tasks/MODULE_MIGRATION_TEMPLATE.md,unit/property/oracle/negative/performance,
CAT-GAIA-IMPL,W3,SA-P1-W16,module-impl,CAT-GAIA-TEST;ABI-005;RT-004;DATA-003,lock-CAT-GAIA,LINUX_LIGHT,feat(CAT-GAIA): 完成CAT-GAIA-IMPL任务：migrate isolated DLL,tasks/MODULE_MIGRATION_TEMPLATE.md,DLL builds;scope scientific_change=false,
CAT-GAIA-INT,W3,SA-P1-W16,module-integration,CAT-GAIA-IMPL;ABI-005;DATA-004;IO-003,lock-CAT-GAIA,LINUX_LIGHT,feat(CAT-GAIA): 完成CAT-GAIA-INT任务：register module in phase DAG,tasks/MODULE_MIGRATION_TEMPLATE.md,module integration descriptor + typed ports + local integration test; global DAG registration delegated to SA-RT-05 assembly task,
P1-CAL-DOC,W1,SA-P1-C14,module-doc,GOV-001;ARC-001;DATA-001;DOC-001,lock-P1-CAL,LINUX_LIGHT,docs(P1-CAL): 完成P1-CAL-DOC任务：freeze module contract,tasks/MODULE_MIGRATION_TEMPLATE.md,co-located README/module.yaml/SCI-ALG-DATA-API links; no root science formula change,
P1-CAL-TEST,W3,SA-P1-C14,module-test,P1-CAL-DOC;TST-001,lock-P1-CAL,LINUX_LIGHT,test(P1-CAL): 完成P1-CAL-TEST任务：add reusable module tests,tasks/MODULE_MIGRATION_TEMPLATE.md,unit/property/oracle/negative/performance,
P1-CAL-IMPL,W3,SA-P1-C14,module-impl,P1-CAL-TEST;ABI-005;RT-004;DATA-003,lock-P1-CAL,LINUX_LIGHT,feat(P1-CAL): 完成P1-CAL-IMPL任务：migrate isolated DLL,tasks/MODULE_MIGRATION_TEMPLATE.md,DLL builds;scope scientific_change=false,
P1-CAL-INT,W3,SA-P1-C14,module-integration,P1-CAL-IMPL;IO-003;DATA-004;RT-006;CPU-005,lock-P1-CAL,LINUX_LIGHT,feat(P1-CAL): 完成P1-CAL-INT任务：register module in phase DAG,tasks/MODULE_MIGRATION_TEMPLATE.md,module integration descriptor + typed ports + local integration test; global DAG registration delegated to SA-RT-05 assembly task,
P1-COS-DOC,W1,SA-P1-C14,module-doc,GOV-001;ARC-001;DATA-001;DOC-001,lock-P1-COS,LINUX_LIGHT,docs(P1-COS): 完成P1-COS-DOC任务：freeze module contract,tasks/MODULE_MIGRATION_TEMPLATE.md,co-located README/module.yaml/SCI-ALG-DATA-API links; no root science formula change,
P1-COS-TEST,W3,SA-P1-C14,module-test,P1-COS-DOC;TST-001,lock-P1-COS,LINUX_LIGHT,test(P1-COS): 完成P1-COS-TEST任务：add reusable module tests,tasks/MODULE_MIGRATION_TEMPLATE.md,unit/property/oracle/negative/performance,
P1-COS-IMPL,W3,SA-P1-C14,module-impl,P1-COS-TEST;ABI-005;RT-004;DATA-003,lock-P1-COS,LINUX_LIGHT,feat(P1-COS): 完成P1-COS-IMPL任务：migrate isolated DLL,tasks/MODULE_MIGRATION_TEMPLATE.md,DLL builds;scope scientific_change=false,
P1-COS-INT,W3,SA-P1-C14,module-integration,P1-COS-IMPL;P1-CAL-INT,lock-P1-COS,LINUX_LIGHT,feat(P1-COS): 完成P1-COS-INT任务：register module in phase DAG,tasks/MODULE_MIGRATION_TEMPLATE.md,module integration descriptor + typed ports + local integration test; global DAG registration delegated to SA-RT-05 assembly task,
P1-STAR-DOC,W1,SA-P1-S15,module-doc,GOV-001;ARC-001;DATA-001;DOC-001,lock-P1-STAR,LINUX_LIGHT,docs(P1-STAR): 完成P1-STAR-DOC任务：freeze module contract,tasks/MODULE_MIGRATION_TEMPLATE.md,co-located README/module.yaml/SCI-ALG-DATA-API links; no root science formula change,
P1-STAR-TEST,W3,SA-P1-S15,module-test,P1-STAR-DOC;TST-001,lock-P1-STAR,LINUX_LIGHT,test(P1-STAR): 完成P1-STAR-TEST任务：add reusable module tests,tasks/MODULE_MIGRATION_TEMPLATE.md,unit/property/oracle/negative/performance,
P1-STAR-IMPL,W3,SA-P1-S15,module-impl,P1-STAR-TEST;ABI-005;RT-004;DATA-003,lock-P1-STAR,LINUX_LIGHT,feat(P1-STAR): 完成P1-STAR-IMPL任务：migrate isolated DLL,tasks/MODULE_MIGRATION_TEMPLATE.md,DLL builds;scope scientific_change=false,
P1-STAR-INT,W3,SA-P1-S15,module-integration,P1-STAR-IMPL;IO-003;DATA-004;RT-006,lock-P1-STAR,LINUX_LIGHT,feat(P1-STAR): 完成P1-STAR-INT任务：register module in phase DAG,tasks/MODULE_MIGRATION_TEMPLATE.md,module integration descriptor + typed ports + local integration test; global DAG registration delegated to SA-RT-05 assembly task,
P1-PSF-DOC,W1,SA-P1-S15,module-doc,GOV-001;ARC-001;DATA-001;DOC-001,lock-P1-PSF,LINUX_LIGHT,docs(P1-PSF): 完成P1-PSF-DOC任务：freeze module contract,tasks/MODULE_MIGRATION_TEMPLATE.md,co-located README/module.yaml/SCI-ALG-DATA-API links; no root science formula change,
P1-PSF-TEST,W3,SA-P1-S15,module-test,P1-PSF-DOC;TST-001,lock-P1-PSF,LINUX_LIGHT,test(P1-PSF): 完成P1-PSF-TEST任务：add reusable module tests,tasks/MODULE_MIGRATION_TEMPLATE.md,unit/property/oracle/negative/performance,
P1-PSF-IMPL,W3,SA-P1-S15,module-impl,P1-PSF-TEST;ABI-005;RT-004;DATA-003,lock-P1-PSF,LINUX_LIGHT,feat(P1-PSF): 完成P1-PSF-IMPL任务：migrate isolated DLL,tasks/MODULE_MIGRATION_TEMPLATE.md,DLL builds;scope scientific_change=false,
P1-PSF-INT,W3,SA-P1-S15,module-integration,P1-PSF-IMPL;P1-STAR-INT,lock-P1-PSF,LINUX_LIGHT,feat(P1-PSF): 完成P1-PSF-INT任务：register module in phase DAG,tasks/MODULE_MIGRATION_TEMPLATE.md,module integration descriptor + typed ports + local integration test; global DAG registration delegated to SA-RT-05 assembly task,
P1-WCS-DOC,W1,SA-P1-W16,module-doc,GOV-001;ARC-001;DATA-001;DOC-001,lock-P1-WCS,LINUX_LIGHT,docs(P1-WCS): 完成P1-WCS-DOC任务：freeze module contract,tasks/MODULE_MIGRATION_TEMPLATE.md,co-located README/module.yaml/SCI-ALG-DATA-API links; no root science formula change,
