task_id,wave,status,owner_id,depends_on,integrated_main_sha,commit,closed_utc
P1-COS-DOC,W1,NOT_STARTED,SA-P1-C14,GOV-001;ARC-001;DATA-001;DOC-001,,,
P1-COS-IMPL,W3,NOT_STARTED,SA-P1-C14,P1-COS-TEST;ABI-005;RT-004;DATA-003,,,
P1-COS-INT,W3,NOT_STARTED,SA-P1-C14,P1-COS-IMPL;P1-CAL-INT,,,
P1-COS-TEST,W3,NOT_STARTED,SA-P1-C14,P1-COS-DOC;TST-001,,,
P1-DRZ-DOC,W1,NOT_STARTED,SA-P1-D18,GOV-001;ARC-001;DATA-001;DOC-001,,,
P1-DRZ-IMPL,W3,NOT_STARTED,SA-P1-D18,P1-DRZ-TEST;ABI-005;RT-004;DATA-003,,,
P1-DRZ-INT,W3,NOT_STARTED,SA-P1-D18,P1-DRZ-IMPL;P1-WCS-INT;P1-NOISE-INT;CPU-005,,,
P1-DRZ-TEST,W3,NOT_STARTED,SA-P1-D18,P1-DRZ-DOC;TST-001,,,
P1-HIPS-DOC,W1,NOT_STARTED,SA-P1-D18,GOV-001;ARC-001;DATA-001;DOC-001,,,
P1-HIPS-IMPL,W3,NOT_STARTED,SA-P1-D18,P1-HIPS-TEST;ABI-005;RT-004;DATA-003,,,
P1-HIPS-INT,W3,NOT_STARTED,SA-P1-D18,P1-HIPS-IMPL;P1-DRZ-INT;IO-003,,,
P1-HIPS-TEST,W3,NOT_STARTED,SA-P1-D18,P1-HIPS-DOC;TST-001,,,
P1-LEGACY-RETIRE,W4,NOT_STARTED,SA-P1-R19,P1-SEAM-001,,,
P1-NOISE-DOC,W1,NOT_STARTED,SA-P1-N17,GOV-001;ARC-001;DATA-001;DOC-001,,,
P1-NOISE-IMPL,W3,NOT_STARTED,SA-P1-N17,P1-NOISE-TEST;ABI-005;RT-004;DATA-003,,,
P1-NOISE-INT,W3,NOT_STARTED,SA-P1-N17,P1-NOISE-IMPL;P1-CAL-INT;P1-PHOT-INT,,,
P1-NOISE-TEST,W3,NOT_STARTED,SA-P1-N17,P1-NOISE-DOC;TST-001,,,
P1-PHOT-DOC,W1,NOT_STARTED,SA-P1-N17,GOV-001;ARC-001;DATA-001;DOC-001,,,
P1-PHOT-IMPL,W3,NOT_STARTED,SA-P1-N17,P1-PHOT-TEST;ABI-005;RT-004;DATA-003,,,
P1-PHOT-INT,W3,NOT_STARTED,SA-P1-N17,P1-PHOT-IMPL;P1-PSF-INT;P1-WCS-INT,,,
P1-PHOT-TEST,W3,NOT_STARTED,SA-P1-N17,P1-PHOT-DOC;TST-001,,,
P1-PSF-DOC,W1,NOT_STARTED,SA-P1-S15,GOV-001;ARC-001;DATA-001;DOC-001,,,
P1-PSF-IMPL,W3,NOT_STARTED,SA-P1-S15,P1-PSF-TEST;ABI-005;RT-004;DATA-003,,,
P1-PSF-INT,W3,NOT_STARTED,SA-P1-S15,P1-PSF-IMPL;P1-STAR-INT,,,
P1-PSF-TEST,W3,NOT_STARTED,SA-P1-S15,P1-PSF-DOC;TST-001,,,
P1-REAL-SAMPLE,W6,NOT_STARTED,SA-WIN-30,P1-SEAM-001,,,
P1-SEAM-001,W3,NOT_STARTED,SA-P1-D18,P1-DRZ-INT;P1-HIPS-INT,,,
P1-SESSION-DOC,W1,NOT_STARTED,SA-P1-R19,GOV-001;ARC-001;DATA-001;DOC-001,,,
P1-SESSION-IMPL,W3,NOT_STARTED,SA-P1-R19,P1-SESSION-TEST;RT-004;DATA-003,,,
P1-SESSION-INT,W3,NOT_STARTED,SA-P1-R19,P1-SESSION-IMPL;P1-HIPS-INT,,,
P1-SESSION-TEST,W3,NOT_STARTED,SA-P1-R19,P1-SESSION-DOC;TST-001,,,
P1-STAR-DOC,W1,NOT_STARTED,SA-P1-S15,GOV-001;ARC-001;DATA-001;DOC-001,,,
P1-STAR-IMPL,W3,NOT_STARTED,SA-P1-S15,P1-STAR-TEST;ABI-005;RT-004;DATA-003,,,
P1-STAR-INT,W3,NOT_STARTED,SA-P1-S15,P1-STAR-IMPL;IO-003;DATA-004;RT-006,,,
P1-STAR-TEST,W3,NOT_STARTED,SA-P1-S15,P1-STAR-DOC;TST-001,,,
P1-WCS-DOC,W1,NOT_STARTED,SA-P1-W16,GOV-001;ARC-001;DATA-001;DOC-001,,,
P1-WCS-IMPL,W3,NOT_STARTED,SA-P1-W16,P1-WCS-TEST;ABI-005;RT-004;DATA-003,,,
P1-WCS-INT,W3,NOT_STARTED,SA-P1-W16,P1-WCS-IMPL;CAT-GAIA-INT;P1-STAR-INT,,,
P1-WCS-TEST,W3,NOT_STARTED,SA-P1-W16,P1-WCS-DOC;TST-001,,,
P2-ASSEMBLY-ACCEPT,W3,NOT_STARTED,SA-P2-X24,P2-SESSION-INT;P2-REJ-ACCEPT;P2-INT-ACCEPT,,,
P2-COV-DOC,W1,NOT_STARTED,SA-P2-S20,GOV-001;ARC-001;DATA-001;DOC-001,,,
P2-COV-IMPL,W3,NOT_STARTED,SA-P2-S20,P2-COV-TEST;ABI-005;RT-004;DATA-003,,,
P2-COV-INT,W3,NOT_STARTED,SA-P2-S20,P2-COV-IMPL;IO-003;DATA-004;RT-006,,,
P2-COV-TEST,W3,NOT_STARTED,SA-P2-S20,P2-COV-DOC;TST-001,,,
P2-HIPS-DOC,W1,NOT_STARTED,SA-P2-I23,GOV-001;ARC-001;DATA-001;DOC-001,,,
P2-HIPS-IMPL,W3,NOT_STARTED,SA-P2-I23,P2-HIPS-TEST;ABI-005;RT-004;DATA-003,,,
P2-HIPS-INT,W3,NOT_STARTED,SA-P2-I23,P2-HIPS-IMPL;P2-INT-INT;IO-003,,,
P2-HIPS-TEST,W3,NOT_STARTED,SA-P2-I23,P2-HIPS-DOC;TST-001,,,
P2-IMPL-COMPLETE-001,W3,NOT_STARTED,SA-P2-X24,P2-NODE-CALL-001,,,
P2-INT-ACCEPT,W3,NOT_STARTED,SA-P2-I23,P2-INT-INT;P2-REJ-INT,,,
P2-INT-DOC,W1,NOT_STARTED,SA-P2-I23,GOV-001;ARC-001;DATA-001;DOC-001,,,
P2-INT-IMPL,W3,NOT_STARTED,SA-P2-I23,P2-INT-TEST;ABI-005;RT-004;DATA-003,,,
P2-INT-INT,W3,NOT_STARTED,SA-P2-I23,P2-INT-IMPL;P2-REJ-INT;P1-NOISE-INT;CPU-005,,,
P2-INT-TEST,W3,NOT_STARTED,SA-P2-I23,P2-INT-DOC;TST-001,,,
P2-LEGACY-RETIRE,W4,NOT_STARTED,SA-P2-X24,P2-ASSEMBLY-ACCEPT,,,
P2-NODE-CALL-001,W3,NOT_STARTED,SA-P2-X24,P2-HIPS-INT;RT-006,,,
P2-PERF-001,W6,NOT_STARTED,SA-WIN-30,P2-PERF-DESIGN;WIN-010;MON-001,,,
P2-PERF-DESIGN,W3,NOT_STARTED,SA-QA-29,P2-IMPL-COMPLETE-001;MON-001,,,
P2-REAL-032R,W6,NOT_STARTED,SA-WIN-30,P2-ASSEMBLY-ACCEPT,,,
P2-REJ-ACCEPT,W3,NOT_STARTED,SA-P2-R22,P2-REJ-INT,,,
P2-REJ-DOC,W1,NOT_STARTED,SA-P2-R22,GOV-001;ARC-001;DATA-001;DOC-001,,,
P2-REJ-IMPL,W3,NOT_STARTED,SA-P2-R22,P2-REJ-TEST;ABI-005;RT-004;DATA-003,,,
P2-REJ-INT,W3,NOT_STARTED,SA-P2-R22,P2-REJ-IMPL;P2-UPM-INT;CPU-005,,,
P2-REJ-TEST,W3,NOT_STARTED,SA-P2-R22,P2-REJ-DOC;TST-001,,,
P2-SAMP-DOC,W1,NOT_STARTED,SA-P2-S20,GOV-001;ARC-001;DATA-001;DOC-001,,,
P2-SAMP-IMPL,W3,NOT_STARTED,SA-P2-S20,P2-SAMP-TEST;ABI-005;RT-004;DATA-003,,,
P2-SAMP-INT,W3,NOT_STARTED,SA-P2-S20,P2-SAMP-IMPL;P2-COV-INT;CPU-005,,,
P2-SAMP-TEST,W3,NOT_STARTED,SA-P2-S20,P2-SAMP-DOC;TST-001,,,
P2-SEAM-001,W3,NOT_STARTED,SA-P2-R22,P2-IMPL-COMPLETE-001,,,
P2-SESSION-DOC,W1,NOT_STARTED,SA-P2-X24,GOV-001;ARC-001;DATA-001;DOC-001,,,
P2-SESSION-IMPL,W3,NOT_STARTED,SA-P2-X24,P2-SESSION-TEST;RT-004;DATA-003,,,
P2-SESSION-INT,W3,NOT_STARTED,SA-P2-X24,P2-SESSION-IMPL;P2-HIPS-INT,,,
P2-SESSION-TEST,W3,NOT_STARTED,SA-P2-X24,P2-SESSION-DOC;TST-001,,,
P2-UPM-DOC,W1,NOT_STARTED,SA-P2-U21,GOV-001;ARC-001;DATA-001;DOC-001,,,
P2-UPM-IMPL,W3,NOT_STARTED,SA-P2-U21,P2-UPM-TEST;ABI-005;RT-004;DATA-003,,,
P2-UPM-INT,W3,NOT_STARTED,SA-P2-U21,P2-UPM-IMPL;P2-SAMP-INT;CPU-005,,,
P2-UPM-TEST,W3,NOT_STARTED,SA-P2-U21,P2-UPM-DOC;TST-001,,,
P3-FITS-DOC,W1,NOT_STARTED,SA-P3-F27,GOV-001;ARC-001;DATA-001;DOC-001,,,
P3-FITS-IMPL,W3,NOT_STARTED,SA-P3-F27,P3-FITS-TEST;ABI-005;RT-004;DATA-003,,,
P3-FITS-INT,W3,NOT_STARTED,SA-P3-F27,P3-FITS-IMPL;P3-RSMP-INT;IO-003,,,
P3-FITS-TEST,W3,NOT_STARTED,SA-P3-F27,P3-FITS-DOC;TST-001,,,
P3-PROJ-DOC,W1,NOT_STARTED,SA-P3-P25,GOV-001;ARC-001;DATA-001;DOC-001,,,
P3-PROJ-IMPL,W3,NOT_STARTED,SA-P3-P25,P3-PROJ-TEST;ABI-005;RT-004;DATA-003,,,
P3-PROJ-INT,W3,NOT_STARTED,SA-P3-P25,P3-PROJ-IMPL;ABI-005;DATA-004;RT-006,,,
P3-PROJ-TEST,W3,NOT_STARTED,SA-P3-P25,P3-PROJ-DOC;TST-001,,,
P3-REAL-SAMPLE,W6,NOT_STARTED,SA-WIN-30,P3-SESSION,,,
P3-RSMP-DOC,W1,NOT_STARTED,SA-P3-S26,GOV-001;ARC-001;DATA-001;DOC-001,,,
P3-RSMP-IMPL,W3,NOT_STARTED,SA-P3-S26,P3-RSMP-TEST;ABI-005;RT-004;DATA-003,,,
P3-RSMP-INT,W3,NOT_STARTED,SA-P3-S26,P3-RSMP-IMPL;P3-PROJ-INT;IO-003;CPU-005,,,
P3-RSMP-TEST,W3,NOT_STARTED,SA-P3-S26,P3-RSMP-DOC;TST-001,,,
P3-SESSION,W3,NOT_STARTED,SA-P3-X28,P3-FITS-INT;RT-002,,,
PKG-001,W8,NOT_STARTED,SA-PKG-31,AUD-004;WIN-014,,,
PKG-002,W8,NOT_STARTED,SA-PKG-31,AUD-005;FG-VERIFY-001,,,
PKG-003,W8,NOT_STARTED,SA-PKG-31,PKG-002,,,
QA-001,W5,NOT_STARTED,SA-QA-29,GOV-004;BLD-002,,,
QA-002,W5,NOT_STARTED,SA-QA-29,QA-001;ABI-004,,,
QA-003,W5,NOT_STARTED,SA-QA-29,DOC-001;QA-001,,,
QA-004,W5,NOT_STARTED,SA-QA-29,RT-004;QA-001,,,
QA-005,W5,NOT_STARTED,SA-QA-29,GOV-005,,,
QA-006,W5,NOT_STARTED,SA-QA-29,LOG-003;QA-001,,,
QA-007,W5,NOT_STARTED,SA-QA-29,QA-002;QA-003,,,
QA-008,W5,NOT_STARTED,SA-QA-29,BLD-002;TST-001,,,
RT-001,W2,CLOSED,SA-RT-05,ARC-001;DATA-001,5d38ebd,,
RT-002,W2,CLOSED,SA-RT-05,RT-001,56ab85b,,
RT-003,W2,CLOSED,SA-RT-05,RT-002,a0e118e,,
RT-004,W2,CLOSED,SA-RT-05,RT-003,deef06d,,
RT-005,W2,CLOSED,SA-RT-05,RT-004;DATA-004,4bb34b680950e25d30aaff1205313d522e2f9b53,,
RT-006,W2,CLOSED,SA-RT-05,RT-005,b2e3b0af087e3d754a3895f960771b645413e9c0,,
RT-007,W2,CLOSED,SA-RT-05,RT-006,e78dac6aee3f6794af2484562c20b78c30a170f7,,2026-09-04T10:53:12Z
TST-001,W1,CLOSED,SA-QA-29,GOV-004,b09e4b2,,
WIN-001,W6,CLOSED,SA-WIN-30,ID-001,2df77af,,
WIN-002,W6,WAITING_RESOURCE,SA-WIN-30,WIN-001;BLD-001,,,
WIN-003,W6,NOT_STARTED,SA-WIN-30,WIN-002;BLD-004,,,
WIN-004,W6,NOT_STARTED,SA-WIN-30,WIN-003;ABI-004,,,
WIN-005,W6,NOT_STARTED,SA-WIN-30,WIN-003;TST-001,,,
WIN-006,W6,NOT_STARTED,SA-WIN-30,WIN-003;CPU-007,,,
WIN-007,W6,NOT_STARTED,SA-WIN-30,WIN-003;MON-001;CPU-008,,,
WIN-008,W6,NOT_STARTED,SA-WIN-30,WIN-004;CLI-003,,,
WIN-009,W6,NOT_STARTED,SA-WIN-30,WIN-008;P1-SEAM-001,,,
WIN-010,W6,NOT_STARTED,SA-WIN-30,WIN-008;P2-SEAM-001,,,
WIN-011,W6,NOT_STARTED,SA-WIN-30,WIN-008;P3-SESSION,,,
WIN-012,W6,NOT_STARTED,SA-WIN-30,WIN-003,,,
WIN-013,W6,NOT_STARTED,SA-WIN-30,WIN-003;WIN-005;WIN-007;WIN-008,,,
WIN-014,W6,NOT_STARTED,SA-WIN-30,WIN-009;WIN-010;WIN-011;WIN-012;WIN-013,,,
