docs/algorithms/UPM_SOLVER.md	lines=113	verdict=FINDING:W3-D1-b001-1	evidence=[recheck@15:38Z] 修订版仍存 5 处行锚失实：§2:29 宣称 upm.cpp:942=p2_upm_build 实测 :945、:1323=raw_weight 实测 :1328、:1356=归一化实测 :1361；§5:56 kChunk=16 宣称 :1407 实测 :1443；§11:93 SIZE_MAX 宣称 :224 实测 :428；本行修订核实为真者：p2_upm_convergence 实存 :1262、p2_upm_control_variance :2432、huber_rho@205/huber_w@211 落宣称区 203-213、p2_session.cpp:195 逐字命中、#pragma omp 计数 0、cvar 行在宣称窗 sampler.cpp:855-859 内(civar 实测 :860 越窗上沿 1 行)	
docs/algorithms/v6/phase2-point/ALG-P2-POINT-001_GATES.md	lines=85	verdict=OK	evidence=13 门表与主规格 §8 十三 clause 一一对应（GATE-UNIT-01 unit_algebra_inconsistent…GATE-EPSF-11 normalization_undeclared）；M01-M15+OM1-OM3 与 §10 表逐行相同；required_freeze_ids 17 条(FZ-UNIT-Q…FZ-BUNIT-SEMANTICS)全部见于门冻结册矩阵	
docs/algorithms/v6/phase2-point/ALG-P2-POINT-001_SPEC.md	lines=300	verdict=OK	evidence=§7 机器判据 独立帧相对容差 1e-9 与 correlated_detection_ratio_min=1.05 两处被冻结数值册:46-47 作为来源绑定回收核对一致；§2 Q_k=a_k P^T C^-1 d 式与其验证工具 FZ-FORMULA-WINFO 门复算同构；Horne 1986 DOI:10.1086/131801/Zackay&Ofek arXiv:1512.06872 文献锚真实	
docs/algorithms/v6/phase2-point/README.md	lines=41	verdict=OK	evidence=文件表 3 项=目录实况（SPEC/GATES/README 无多无少）；机器证据表 7 产物全指 run/v6/alg-p2-point/（gitignore 工作区，符合豁免 kind 纪律不可复测）；『建议状态 PASS 由控制器验收』与其后 frozen/01 未签字 PENDING 登记不矛盾	
docs/algorithms/v6/phase2-psfsw/PSFSW_ALGORITHM_SPEC.md	lines=415	verdict=FINDING:W3-D1-b001-4	evidence=见 b001-4：§6.3:270 effective PSF 门标注『mutation m12』、§8.3:334 median-SNR 回退门标注『mutation m11』，与门册 §3 权威映射相反（m12=n_common=2→G10、m11=删 effective_psf→G07、median-SNR 回退实为 m09→G12）；其余核对为真：§1.4 单位表与 schema pattern 一致、§12 摘要 11 数值与阈值册逐项一致、§8.1 五因白名单=门册 §2	
docs/algorithms/v6/phase2-psfsw/PSFSW_BASELINE_COMPARISON.md	lines=57	verdict=OK	evidence=§5 声明门 CI下界>0(better_than)/>−0.02(non_inferior_to)+bootstrap≥200/95% 与冻结数值册:22-23,32 三行数值同源一致；§4 门 PSFSW-G24 calibration_sample_id!=acceptance_sample_id 在门册:36 存在；§1 exposure 基线『比较协议标识非 weight_mode 枚举值』与 C-004.3 禁扩枚举口径一致	
docs/algorithms/v6/phase2-psfsw/PSFSW_FROZEN_THRESHOLDS.md	lines=81	verdict=OK	evidence=§1 总表 16 行与冻结数值册:9-24 的 PSFSW-T-* 16 条款逐值一致（含 -DEPTH-RHO 0.8、-NU 0.30、-BOOT 200、-EPSFTOL 1e-9）；§5 复合常数 alpha=2/beta=1/gamma=2/delta=1/C_norm=1.0/floors=1e-12 与册:26-31 绑定核对命中；§2 深度门程序 max_rel_dev≤0.05 且 |rho_s|≤0.8 自洽	
docs/algorithms/v6/phase2-psfsw/PSFSW_GATES_AND_MUTATIONS.md	lines=112	verdict=OK	evidence=门清单 G01..G25 连续无缺号（25 行）；§2 unavailable 原因白名单 5 项与主规格 §8.1 逐字相同；§4 正向控制 PC1_nominal…PC5 五条；小出入登记：§3.1 机器 ID 含 m26_unjustified_fail_closed 而 §3 人读表仅 m01-m25（V11 判据写 ≥24 不矛盾）	
docs/algorithms/v6/phase2-psfsw/README.md	lines=53	verdict=OK	evidence=§0 文件索引 5 项=目录 5 文件；宣称『PSFSW-G01..G25』与门册标题域一致；§1 权威链第 1 项 ASTROCS_PROJECT_CONSTITUTION.md 已随 ROOT-007 删除、横幅豁免仅覆盖控制包路径（同源 b001-3）；一键复跑入口指 run/v6/alg-p2-psfsw/tools/run_all.sh（gitignore 件不可复测）	
docs/algorithms/v6/phase2-surface/ALG-P2-SURF-COVARIANCE-EPSF.md	lines=123	verdict=OK	evidence=§5 Oracle 三容差 FZ-AP2S-IDENT-RTOL<1e-9/MC rel<3%/FZ-AP2S-EPSF-RTOL<1e-12 与冻结数值册:38-40 来源绑定逐条命中；§1.1 恒等式 R C_in R^T==(A^T C^-1 A)^-1 与 GLS 件 §2 同式；§3 REJECT 条件表 7 行；末行指向的 ALG-P2-SURF-VERIFICATION.md 实存	
docs/algorithms/v6/phase2-surface/ALG-P2-SURF-GLS.md	lines=120	verdict=OK	evidence=§2 权威式 x_hat=(A^T C^-1 A)^-1 A^T C^-1 d 与门冻结册 FZ-FORMULA-GLS 行『G C G^T == (A^T C^-1 A)^-1』互证一致；§5 REJECT 条件表含 rank_rtol=FZ-AP2S-RANK-RTOL、kappa>FZ-AP2S-KAPPA-MAX 两键（冻结数值册:35-36 来源锚恰指向本件 §5，回收核对通过）；§2.1 A[(k,i),p] 定义与 psfsw 组合系数口径相容	
docs/algorithms/v6/phase2-surface/ALG-P2-SURF-PIXIVAR-GATE.md	lines=75	verdict=OK	evidence=§3 冻结表 FZ-AP2S-EPS-PIXIVAR=0.05(rho_p95≤1.05) 与 -SUP=0.20(=4ε) 与冻结数值册:33-34 逐字一致；算术复核 sqrt(1.05)-1=2.47%、2.5·log10(√1.2)≈0.10 mag 与文内宣称相符；§7 与父级 deficit 门(FZ-GATE-PARENT-VAR)的度量区分与规格 §6.5 定义方向一致	
