id,symbol,header,linkage,full_signature,units,valid_range,nullable,ownership,lifetime,mutability,blocking,thread_safety,reentrancy,async_completion,error_model,determinism,precision,config_keys,upstream_ids,test_ids,status
API-aio_hiss_read_tile_snr_f64_session,aio_hiss_read_tile_snr_f64_session,lib/astro_image_io/include/aio_healpix_io.h,C,"AIO_EXPORT int aio_hiss_read_tile_snr_f64_session(void* session, uint64_t parent_ipix, uint8_t** snr_out, uint32_t* n_points);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hiss_read_tile_snr_session,aio_hiss_read_tile_snr_session,lib/astro_image_io/include/aio_healpix_io.h,C,"AIO_EXPORT int aio_hiss_read_tile_snr_session(void* session, uint64_t parent_ipix, uint8_t** snr_out, uint32_t* n_points);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hiss_read_tile_support,aio_hiss_read_tile_support,lib/astro_image_io/include/aio_healpix_io.h,C,"AIO_EXPORT int aio_hiss_read_tile_support(const char* path, uint64_t parent_ipix, uint8_t** support, uint32_t* n_support);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hiss_read_tile_support_session,aio_hiss_read_tile_support_session,lib/astro_image_io/include/aio_healpix_io.h,C,"AIO_EXPORT int aio_hiss_read_tile_support_session(void* session, uint64_t parent_ipix, uint8_t** support, uint32_t* n_support);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hiss_write,aio_hiss_write,lib/astro_image_io/include/aio_healpix_io.h,C,"AIO_EXPORT int aio_hiss_write(const char* path, uint32_t nside, int nested, uint64_t n_pix, const uint64_t* ipix, const float* pixel, const float* snr, const char* meta_json);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hiss_write_snr_model,aio_hiss_write_snr_model,lib/astro_image_io/include/aio_healpix_io.h,C,"AIO_EXPORT int aio_hiss_write_snr_model(const char* path, uint32_t nside, int nested, uint64_t n_pix, const uint64_t* ipix, const float* pixel, const HioSnrModel* snr_model, const char* meta_json);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_abort,aio_hips_abort,lib/astro_image_io/include/aio_hips.h,C,AIO_HIPS_EXPORT int aio_hips_abort(AioHipsProductSet* ps);,ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_finalize,aio_hips_finalize,lib/astro_image_io/include/aio_hips.h,C,AIO_HIPS_EXPORT int aio_hips_finalize(AioHipsProductSet* ps);,ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_last_error,aio_hips_last_error,lib/astro_image_io/include/aio_hips.h,C,AIO_HIPS_EXPORT const char* aio_hips_last_error(void);,ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_product_begin,aio_hips_product_begin,lib/astro_image_io/include/aio_hips.h,C,"AIO_HIPS_EXPORT AioHipsProductSet* aio_hips_product_begin( const char* out_dir, uint32_t nside, uint32_t tile_width, int32_t data_type, int flags, const char* creator_did, const char* obs_title, const char* obs_filter, double exposure_s, const char* obs_date, uint32_t moc_order);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,DATA-HIPS-SIGNAL-001,G3ManifestOrderCanonical,VERIFIED
API-aio_hips_set_drizzle_provenance,aio_hips_set_drizzle_provenance,lib/astro_image_io/include/aio_hips.h,C,"AIO_HIPS_EXPORT int aio_hips_set_drizzle_provenance( AioHipsProductSet* ps, double pixfrac, double scale_arcsec);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_write,aio_hips_write,lib/astro_image_io/include/aio_hips.h,C,"AIO_HIPS_EXPORT int aio_hips_write( const char* out_dir, uint32_t nside, uint32_t tile_width, const AioHipsTile* tiles, int n_tiles, int signal_dtype, const AioHipsSnrPoint* snr_points, int n_snr, const char* creator_did, const char* obs_title, int moc_order);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_write_signal_support_tile,aio_hips_write_signal_support_tile,lib/astro_image_io/include/aio_hips.h,C,"AIO_HIPS_EXPORT int aio_hips_write_signal_support_tile( AioHipsProductSet* ps, const AstroSphereTileView* view);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,DATA-HIPS-SIGNAL-001,G3ManifestOrderCanonical,VERIFIED
API-aio_hips_write_snr_points,aio_hips_write_snr_points,lib/astro_image_io/include/aio_hips.h,C,"AIO_HIPS_EXPORT int aio_hips_write_snr_points( AioHipsProductSet* ps, const AioHipsSnrPoint* pts, int n);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_write_variance_tile,aio_hips_write_variance_tile,lib/astro_image_io/include/aio_hips.h,C,"AIO_HIPS_EXPORT int aio_hips_write_variance_tile( AioHipsProductSet* ps, const AstroSphereTileView* view);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_close,aio_hips_close,lib/astro_image_io/include/aio_hips_reader.h,C,AIO_HIPS_RD_EXPORT void aio_hips_close(AioHipsDataset* d);,ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_get_properties,aio_hips_get_properties,lib/astro_image_io/include/aio_hips_reader.h,C,"AIO_HIPS_RD_EXPORT int aio_hips_get_properties( AioHipsDataset* d, char* buf, int buf_size);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_open,aio_hips_open,lib/astro_image_io/include/aio_hips_reader.h,C,"AIO_HIPS_RD_EXPORT AioHipsDataset* aio_hips_open( const char* out_dir, int product);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_read_leaf_f32,aio_hips_read_leaf_f32,lib/astro_image_io/include/aio_hips_reader.h,C,"AIO_HIPS_RD_EXPORT int aio_hips_read_leaf_f32(AioHipsDataset* d, uint64_t leaf_ipix, float* out);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_read_leaf_f64,aio_hips_read_leaf_f64,lib/astro_image_io/include/aio_hips_reader.h,C,"AIO_HIPS_RD_EXPORT int aio_hips_read_leaf_f64(AioHipsDataset* d, uint64_t leaf_ipix, double* out);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_read_snr_catalog,aio_hips_read_snr_catalog,lib/astro_image_io/include/aio_hips_reader.h,C,"AIO_HIPS_RD_EXPORT int aio_hips_read_snr_catalog( AioHipsDataset* d, double* ra, double* dec, double* snr, int64_t* star_id, uint32_t* quality_flags, uint32_t* photometric_status, int max);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_read_tile_datasum,aio_hips_read_tile_datasum,lib/astro_image_io/include/aio_hips_reader.h,C,"AIO_HIPS_RD_EXPORT int aio_hips_read_tile_datasum( AioHipsDataset* d, uint64_t tile_ipix, char* out, int out_size);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_read_tile_f32,aio_hips_read_tile_f32,lib/astro_image_io/include/aio_hips_reader.h,C,"AIO_HIPS_RD_EXPORT int aio_hips_read_tile_f32(AioHipsDataset* d, uint64_t ipix, float* out);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_read_tile_f64,aio_hips_read_tile_f64,lib/astro_image_io/include/aio_hips_reader.h,C,"AIO_HIPS_RD_EXPORT int aio_hips_read_tile_f64(AioHipsDataset* d, uint64_t ipix, double* out);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_reader_last_error,aio_hips_reader_last_error,lib/astro_image_io/include/aio_hips_reader.h,C,AIO_HIPS_RD_EXPORT const char* aio_hips_reader_last_error(void);,ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_tile_count,aio_hips_tile_count,lib/astro_image_io/include/aio_hips_reader.h,C,AIO_HIPS_RD_EXPORT int aio_hips_tile_count(AioHipsDataset* d);,ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_hips_tile_ipix,aio_hips_tile_ipix,lib/astro_image_io/include/aio_hips_reader.h,C,"AIO_HIPS_RD_EXPORT int aio_hips_tile_ipix(AioHipsDataset* d, int i, uint64_t* out_ipix);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_abi_info,aio_abi_info,lib/astro_image_io/include/aio_pipeline.h,C,AIO_EXPORT const AstroAbiInfo* aio_abi_info(void);,ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_alloc,aio_alloc,lib/astro_image_io/include/aio_pipeline.h,C,AIO_EXPORT void* aio_alloc(size_t size);,ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_frame_add_block,aio_frame_add_block,lib/astro_image_io/include/aio_pipeline.h,C,"AIO_EXPORT int aio_frame_add_block(PipelineFrame* frame, const char* name, AioBlockType type, const void* data, int64_t count, const int* dims, int n_dims, const char* description);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_frame_add_block_move,aio_frame_add_block_move,lib/astro_image_io/include/aio_pipeline.h,C,"AIO_EXPORT int aio_frame_add_block_move(PipelineFrame* frame, const char* name, AioBlockType type, void* data, int64_t count, const int* dims, int n_dims, const char* description);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_frame_export_all_xml,aio_frame_export_all_xml,lib/astro_image_io/include/aio_pipeline.h,C,"AIO_EXPORT int aio_frame_export_all_xml(const PipelineFrame* frame, const char* path);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_frame_export_block_fits,aio_frame_export_block_fits,lib/astro_image_io/include/aio_pipeline.h,C,"AIO_EXPORT int aio_frame_export_block_fits(const PipelineFrame* frame, const char* block_name, const char* path);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_frame_export_block_xml,aio_frame_export_block_xml,lib/astro_image_io/include/aio_pipeline.h,C,"AIO_EXPORT int aio_frame_export_block_xml(const PipelineFrame* frame, const char* block_name, const char* path);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_frame_get_block,aio_frame_get_block,lib/astro_image_io/include/aio_pipeline.h,C,"AIO_EXPORT const AioBlock* aio_frame_get_block(const PipelineFrame* frame, const char* name);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_frame_get_block_count,aio_frame_get_block_count,lib/astro_image_io/include/aio_pipeline.h,C,"AIO_EXPORT int64_t aio_frame_get_block_count(const PipelineFrame* frame, const char* name);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
API-aio_frame_get_block_data,aio_frame_get_block_data,lib/astro_image_io/include/aio_pipeline.h,C,"AIO_EXPORT void* aio_frame_get_block_data(const PipelineFrame* frame, const char* name);",ADU/pixel/deg per header,per SCI valid_range,per header nullable,caller-alloc/free via aio_hio_free,call scope,immutable input,blocking,"thread-safe read, no global",reentrant if no global,sync,return code 0=OK,deterministic per SCI,fp32/fp64 per header,,SCI-SCOPE-001,TST-GEN-001,VERIFIED
