名称,处置,关联既有 ID,检验对象（真实对象）,命令,判据,正例（正确实现下判绿）,负例（注入什么必红）,层次与档位,对应文档条款,是否替换现有门（被替换 ID）,落地成本档,原名称（逐字留存）
GATE-NO-HAND-COPIED-NUMBERS,新增,,docs/ci/** 与四份根规范正文里的「整数 + 个执行单元/个注册项/个适用面」类字面量 + 注册表现算值,python3 eng/ci/check_no_copied_metrics.py --json-out run/ci/metrics/doc.json,文档正文不得出现手抄规模读数：命中形态即红并给行号与改写建议（写成「以 index_steps() 实算为准」）；带 head_sha 的证据件不受此判据约束；阈值例外必须指向 eng/contracts/** 唯一数值源，无来源指针即红,把两处普查计数改写成判据+生成命令 ⇒ 绿,①在 03_GATES.md 抄一句「对 N 个执行单元注入三面」⇒ 红；②在 requires_monitor 对照表里手填成员数 ⇒ 红,module/quick,负责人文档口径「口径唯一·文档内禁历史」；标准 05 §5,新增（现两处文档计数漂移即其负例）,S,GATE-NO-HAND-COPIED-NUMBERS
GATE-INPUT-PRODUCER,新增,,object_class=product 单元的 inputs 路径集 + 全部在册单元的 outputs 集 + 只读数据集登记面（testdata/README.md、根只读数据集条目）,python3 eng/ci/check_gate_input_producer.py --json-out run/ci/gate-input/producer.json,每条产品面输入路径必须可解析为「同档或前置档某个在册单元的 outputs」或「显式登记的只读数据集」；两者皆非（含硬编码某历史轮次目录名、run/ 下无任何生产者的目录）⇒ 红并点名输入路径与缺失生产者,端到端门改读本轮上游登记的 p3_verify.json ⇒ 绿,①把某产品门的输入换成一个无生产者的固定目录名 ⇒ 红；②把视觉层产物判据的输入目录改名且不同步生产者 ⇒ 红；③干净克隆（无 run/）跑 ⇒ 红而非静默绿,e2e/measure,AGENTS.md §7（产物落位）；标准 05 §2 判据读真实对象,新增（现有两处：某端到端门校验模式读硬编码历史轮次目录、某视觉层门产物单元读无生产者目录）,M,GATE-INPUT-PRODUCER
GATE-EXEMPTION-DISCIPLINE,新增,,eng/ci/exemptions.json 全文 + eng/ci/known_failures.json + docs/ci/01_CHECKS.md §2 的门禁级列 + 对应注册项的 waivable,python3 eng/ci/check_exemption_discipline.py --json-out run/ci/exemptions/check.json,R-a 文档标 P0 的行 ⇒ 注册表 waivable=false 且不得出现在豁免面；R-b 豁免条目五件齐备（id/reason/approved_by/granted/expires），缺件或过期即红；R-c 条目数 > high_water.max_entries ⇒ 红；R-d KNOWN_FAIL 在汇总面仍判红（不得洗绿）；R-e known_failures 只允许用例级条目，出现 CHK-*/step ID ⇒ 红,现值（豁免 0 条、高水位 0、唯一基线条目是用例级且仍判红）⇒ 绿,①给一条 P0 门登记豁免 ⇒ 红；②把某 P0 项 waivable 改 true ⇒ 红；③豁免条目删 expires ⇒ 红；④过期豁免 ⇒ 红,release/measure,标准 05 §6 红灯不以 waiver 静默覆盖；docs/ci/CI_SPEC.md §4；docs/ci/03_GATES.md §1,改造 CHK-KNOWN-FAILURES-BASELINE 的裁决面（该 ID 保留为聚合项，其盖红能力删除）,M,GATE-EXEMPTION-DISCIPLINE
GATE-SAMPLING-ISOLATION,新增,,requires_monitor/heavy 单元的调度道判定 + 其命令是否真起监控包装 + 监控证据 JSON,python3 eng/ci/check_sampling_isolation.py --explain-json run/ci/isolation/plan.json,独占道依据必须是字段（requires_monitor=true ⇒ 独占），不得是命令文本匹配；requires_monitor=true ⇒ 命令带监控包装且 outputs 含监控证据；采样类门的负例集必须含一条「两个采样者并发 ⇒ 不得出绿」的污染自证；资源键相交的单元不得重叠执行,按字段分道 + 证据齐备 ⇒ 绿,①删掉某监控门命令里的 resource_monitor.py 包装但保留 requires_monitor=true ⇒ 红（今天会静默失去隔离且利用率照旧出绿）；②两个监控单元并发 ⇒ 污染自证负例红,integration/measure,标准 05 §4 并行判据互不污染采样；docs/ci/CI_SPEC.md §9.1,新增（现有独占道实现的判据面订正）,M,GATE-SAMPLING-ISOLATION
GATE-TIER-BUDGET,新增,,本轮结果 JSON 的 per-step duration_seconds + 注册表 timeout_seconds + 档位成员归属,python3 eng/ci/check_tier_budget.py --from-run run/ci/last/result.json,"quick 档整档墙钟 ≤120 s 且档内单元登记 timeout ≤120 s；每单元 timeout ≤ max(60, 3×最近实测)；超出预算的单元必须改档或收窄判据，不得靠改大 timeout 过关；实测值缺失 ⇒ 红（不允许「没测过所以不判」）",把 112 个超档单元移入 measure 档并回填实测值 ⇒ 绿,①quick 档里塞一个 layer=e2e 的单元 ⇒ 红；②timeout 写成 9999 而无实测支撑 ⇒ 红；③无实测记录 ⇒ 红,module/quick,docs/ci/CI_SPEC.md §2.5 + §2.6；标准 05 §4 档位选择与触发规则显式定义,新增（现 fast 档超档成员与无实测墙钟承载即其负例）,M,GATE-TIER-BUDGET
GATE-IMPACT-COVERAGE,新增,,跟踪集全部文件 × 全部在册单元 changed_paths 的并集 + eng/ci/impact_map.json 的规则面,python3 eng/ci/check_impact_coverage.py --json-out run/ci/impact-coverage/report.json,每个跟踪文件必须被≥1 条 changed_paths 命中（按目录族逐族登记，未登记族即红）；impact_map 规则的 checks 目标必须是活注册项（不得指向退役 ID）；全局敏感面清单的唯一载体是注册表顶层字段，新增门禁基建目录未登记进敏感面 ⇒ 红；单元缺 changed_paths ⇒ 红,补齐未覆盖族后 ⇒ 绿；纯报表模式跑一次给缺口清单 ⇒ 不红但必须落证据,①新增一个未登记目录族 ⇒ 红；②删掉某单元 changed_paths ⇒ 红；③敏感面清单只写在文档里 ⇒ 红,module/quick,docs/ci/CI_SPEC.md §2.4 第1条；标准 05 §4 覆盖面只增不减,改造 CHK-IMPACT-MAP 与 CHK-PATH-DOMAIN-ANCHORS（两者保留 ID，覆盖完备性判据新增）,M,GATE-IMPACT-COVERAGE
GATE-LAYER-SYNTHESIS,新增,,本轮结果 JSON 的分层读数（layer×effective×red×not_effective×trust_void）+ object_class 分布 + gates-summary 生成物,python3 eng/ci/synthesize_gates.py --from-run run/ci/last/result.json --json-out run/ci/gates/summary.json,"轮级 PASS 当且仅当：failures=0 且每层满足其下限定义式且 trust_void=0 且 release 层 not_effective=0 且存在 object_class∈{product,build} 的有效绿；SKIP/reused 不计入任何层分子；scope≠full 时不得合成 release 层结论；逐层读数落 JSON 供读者复算",六层读数齐备且对象类别满足 ⇒ 绿,①把产品层输入的生产者移除 ⇒ 发布层红而文本层可绿（今天一整轮 rc=0）；②全 skip 的一轮 ⇒ 红；③门崩 ⇒ trust_void>0 ⇒ 整轮不可信,release/measure,docs/ci/03_GATES.md §5；ACCEPTANCE_SPEC.md §8；标准 05 §4/§6,替换 gates-report 的合成式与 03_GATES.md §5 的「全部 P0 绿+P1 绿→打包」表述,L,GATE-LAYER-SYNTHESIS
GATE-EXIT-TRUST-DECLARED,新增,,注册表 crash_declared 字段 + 各门 negative 用例的期望 rc + 执行器的三态识别路径,python3 eng/ci/validate_registry.py --registry eng/ci/checks.json --strict --trust,声明 crash_declared=true 的门必须登记一条期望 rc=3 的注入用例；执行器不得再靠输出字面量正则识别「门自述不可信」；未捕获异常栈帧存在时同时记 verdict 与 trust=void，且 trust=void 单元的红与绿都不进层结论,三态用例齐备 ⇒ 绿,①声明了 crash_declared 但无 rc=3 用例 ⇒ 红；②让门打印 Traceback 后仍被汇成内容红 ⇒ trust=void 断言红,unit/quick,标准 05 §2 崩溃与判红分离；docs/ci/CI_SPEC.md §7,改造 eng/ci/run_checks.py 的 TRUST_DECLARED_RE 通道（字段承载替代正则承载）,M,GATE-EXIT-TRUST-DECLARED
GATE-WRITING-STYLE-VOCAB,新增,,docs/** 与根规范正文 + 本件固定的写法词表（日期/流水号/散列/元信息块/历史叙事五类形态与豁免面）,python3 eng/tools/doccheck/check_doc_hygiene.py --vocabulary eng/ci/writing_style_vocabulary.json --json-out run/ci/writing-style/report.json,词表是封闭登记面（不在册的门禁层豁免位置不算豁免）；命中形态即红并给行号；词表解析后规则数为 0 ⇒ 红（禁止读不到词表就当全合规）；豁免面逐条带位置与理由且被复算,正式文档层全清 ⇒ 绿,①docs/ci 正文加一行「> 状态: FROZEN 〈一个日期字面量〉」⇒ 红；②删空词表 ⇒ 红；③把 research 位置的豁免挪到 docs/ci ⇒ 红,module/quick,《索引重建规格》C11（其词表移交本件 §7.6）；负责人文档六条口径之「文档内禁日期与历史」,改造 CHK-DOC-HYGIENE 的判据集合来源（现从 run/ 与 工程控制/ 目录名派生命名空间前缀，干净克隆上退化为空）,M,GATE-WRITING-STYLE-VOCAB
CHK-REGISTRY-VALIDATE,改造,,eng/ci/checks.json 全文 + eng/ci/checks.schema.json + 注册命令引用的脚本与路径锚,python3 eng/ci/validate_registry.py --registry eng/ci/checks.json --strict,保留 R1–R15 全部现有判据（结构、ID 唯一、命令可执行体、profiles 值域、heavy⇒requires_monitor、mutates_workspace 不入 fast、禁硬编码线程数、末位聚合、discover 用例数>0、路径面 POSIX）；新增：GATE-REGISTRY-FIELDS / GATE-DECLARED-INPUTS / GATE-EXEMPTION-DISCIPLINE 的 R-a 面 / GATE-SAMPLING-ISOLATION 的监控包装面,现表在 R1–R15 下 0 违例（已静态复算：required 与非法键均为 0）⇒ 绿,①注入一条 heavy=true 而 requires_monitor=false ⇒ 红（R7）；②注入 command[0]=bash ⇒ 红（R4）；③discover 目录清空 ⇒ 红（R11）,module/quick,ENGINEERING_SPEC.md §10；docs/ci/01_CHECKS.md §2 该行列,保留（成为新字段判据的宿主，不新开第二套校验面）,M,CHK-REGISTRY-VALIDATE（改造）
CHK-REGISTRY-DOC-SYNC,退役,,eng/ci/checks.json 顶层 ID 集 × docs/ci/01_CHECKS.md §2 表首列,python3 eng/ci/check_registry_doc_sync.py,现判据只覆盖顶层 ID×表首列，291 个执行单元（占单元数 79%）不在任何映射面；基线上该面已不一致（8 个在册项在文档集零登记、其中 7 个在 docs/** 零出现）,不适用：本条按退役处置，去向 GATE-DOC-TABLE-GENERATED,不适用,不适用（退役）,ENGINEERING_SPEC.md §10,退役并替换为 GATE-DOC-TABLE-GENERATED + GATE-CLAUSE-MAP（其 4 个执行单元 REGISTRY-DOC-SYNC/-SELFTEST/ID-MIGRATION-MAP-DOC-SYNC/-SELFTEST 的去向逐条登记进 eng/ci/id_migration_map.json）,S,CHK-REGISTRY-DOC-SYNC（退役）
CHK-FAILCLOSED-SURVEY,拆分,,被普查的其实是执行器的共享判定函数与自建沙箱，不是 370 个门的实现,python3 eng/ci/failclosed_survey.py --self-test,其「某门通过普查」的充要条件是一个纯元数据谓词（声明了 outputs / 或 outputs 空且非 waivable / 或 requires_monitor+某 .json 输出），与被检门的判别力无因果；自测 G1 用「没有 failures」同时充当跑通与无假绿，且规模锚是 51 这种无来源魔数,不适用：拆为 GATE-RUNNER-EVIDENCE-CONTRACT（如实收窄）+ GATE-DISCRIMINATION-SURVEY（逐门真跑）,不适用（拆分即其负例：把任一门的判据换成 print(PASS)，新普查必红而旧普查表不变）,不适用（拆分）,标准 05 §2/§7,拆分为两条并退役原名（ID 迁移映射登记两个去向）,L,CHK-FAILCLOSED-SURVEY（拆）
CHK-TRUTHFUL-CONCLUSION,保留,,结论面文档与证据件里可复算的结论句（现算复算式判据 + 注入面要求「目标红且其余绿」）,python3 eng/tools/quality/check_conclusion_truth.py --fault-inject all,三执行单元 GATE/SELFTEST/INJECT 齐备且现算复算；登记 object_class=registry、layer=module、clause 指向门与文档口径一致性条款,全部结论句现算可复算 ⇒ 绿,注入一处「证据说红、文档说绿」⇒ INJECT 单元红且 GATE 单元点名该行,module/quick,ENGINEERING_SPEC.md §10；docs/ci/01_CHECKS.md §2（该 ID 现缺文档行，须补）,保留 + 补 §2 表行（其缺失本身是 GATE-DOC-TABLE-GENERATED 的第 1 批负例）,S,CHK-TRUTHFUL-CONCLUSION（保留+补登记）
CHK-GATE-FAILCLOSED-SELFTEST,保留,,执行器对 requires_monitor/outputs/mutates_workspace 三类证据面的判定实现（合成单元 + 沙箱）,python3 -B -m unittest discover -s eng/ci/tests -t eng/ci/tests -p test_gate_failclosed_selftest.py,八例三态齐备；其中两条豁免用例分别用「不在白名单的 ID」与「在白名单的 ID」走同一段判据两侧 ⇒ 机器证明豁免分支按 ID 生效而非全局兜底,八例全绿 ⇒ 绿,把白名单判定改成全局放行 ⇒ 豁免负例红（今天即如此，这是全仓唯一做到该纪律的门）,unit/quick,标准 05 §2 + §6；docs/ci/CI_SPEC.md §9.1,保留（其豁免分支负例写法是 GATE-DISCRIMINATION-SURVEY S3 的范本）,S,CHK-GATE-FAILCLOSED-SELFTEST（保留）
RESOURCE-GATE-REAL,保留,RESOURCE-GATE-REAL-NEG,真实重计算负载的 CPU 利用率采样与 L2 冻结判据裁决（监控证据 JSON + 串行注入态）,python3 eng/tools/quality/check_resource_gate_real.py --fault-inject serial --seconds 20,两态非退化：忙碌态必须 rc=0 且 verdict=pass、串行注入态必须 rc=10 且 verdict=red，且同时核对监控 rc 与 frozen_gate.verdict 双件；依赖缺失 ⇒ rc=2（不当绿）,两态实测相符 ⇒ 绿,注入串行负载 ⇒ 必须判红（已实测形态，须复测留证）,integration/measure,标准 05 §6 性能门真实判红；docs/ci/CI_SPEC.md §9.2；eng/contracts/resource_gate_v1.json,保留（订正：登记 inputs 与监控证据面；解除其可被平台整项跳过的暴露面——该项 platform:linux）,S,RESOURCE-GATE-REAL / RESOURCE-GATE-REAL-NEG（保留）
L2-FROZEN-GATE-SELFTEST,保留,L2-FROZEN-GATE-REPLAY,四条冻结判据裁决器 + artifacts/acceptance/l2_performance 下 9 份历史 verdict=pass 证据,python3 eng/ci/check_frozen_gate.py --replay --json-out run/ci/l2-frozen-gate/replay.json,合规证据必须绿；缺失/坏证据/空文件/门不适用/分母未声明/阈值合同缺失必须红；历史 pass 的违规证据现在必须判红（恒真门改真判红）；语料为空即红（回放语料空 ⇒ EXIT_UNAVAILABLE）,9 份历史证据全部翻红 ⇒ 绿,①把裁决器改回「有 pass 字段即绿」⇒ 回放红；②删掉一份历史证据使语料数变化 ⇒ 语料面红（须显式登记）,integration/measure,docs/ci/CI_SPEC.md §9.2；docs/ci/03_GATES.md §6.1,保留（订正：其输入面必须声明进 inputs，回放类结论按 GATE-EVIDENCE-FRESHNESS 限定表述）,S,L2-FROZEN-GATE-SELFTEST / L2-FROZEN-GATE-REPLAY（保留）
WORKER-BALANCE-METRIC-SELFTEST,保留,,worker_balance.csv 指标算法 + 11 份归档退化证据（同源恒 50.00）+ 权威时序,python3 eng/ci/check_worker_balance.py --replay-archived --json-out run/ci/worker-balance/replay.json,两组合成负载必须给出不同且非常数的输出；退化派生件/算法不符/缺失/空/坏表头/分母未声明/恒定序列必须红；11 份退化件必须判红,非常数输出 + 11 份翻红 ⇒ 绿,把算法退回「按最大值归一」⇒ 恒定序列负例红,integration/measure,docs/ci/CI_SPEC.md §9.2；ACCEPTANCE_SPEC.md §4 线程扩展,保留,S,WORKER-BALANCE-METRIC-SELFTEST / -REPLAY（保留）
CHK-PRODUCT-CONTRACT,保留,,run/ 下真实产品树（交换对象文档、平面语义声明、逐面幂次 vs V6 冻结默认）,python3 eng/ci/check_product_contract.py,无任何语料即红（fail-closed）；T1 语料中不存在任何交换对象文档即红；判据值回指数据语义合同条款,真实产品树在场且逐面口径一致 ⇒ 绿,①清空语料目录 ⇒ 红；②把某一面的幂次默认改掉 ⇒ 红；③干净克隆（无产品树）⇒ 红不静默,e2e/measure,docs/contracts/DATA_SEMANTICS.md；AGENTS.md §7 产物落位,保留（全仓最接近 Q1 合格的产品门面；订正：inputs 登记 + 按 GATE-INPUT-PRODUCER 声明其生产者）,S,CHK-PRODUCT-CONTRACT（保留）
CHK-E2E-CHAIN,改造,,三命令串行产品与 manifest 链（p1/p2/p3 的 run manifest、p3_verify.json、输出 FITS 结构）,python3 eng/tools/e2e/run_e2e_chain.py --run --dataset <T> --json-out run/ci/e2e/e2e_chain.json,现登记面跑 --verify-only 且读一个硬编码历史轮次目录（run/ 下某轮次的 out 树），注册表内无任何单元产出该树 ⇒ 属「回放而非现算」；改造后判据：产品树由本轮同档单元现算产出，缺 run manifest ⇒ 红；manifest 链必须 Python 独立复算哈希（不拿产品自证）,本轮 --run 产出后校验通过 ⇒ 绿,①把输入换成无生产者的固定目录 ⇒ GATE-INPUT-PRODUCER 红；②删掉一份 p2 manifest ⇒ E2E-E1 红；③篡改 p3_writer 自报哈希与独立复算值不等 ⇒ 红,e2e/measure,ASTROCS_DESIGN.md §8.1（阶段间只走磁盘产品+manifest+哈希）；ACCEPTANCE_SPEC.md §5,改造（不新增 ID）：命令面改 --run、inputs 登记本轮产物、按档串联生产者,M,CHK-E2E-CHAIN（改造）
CHK-E2E-CHAIN-SELFTEST,保留,,E2E 链判据自身的非退化性（退化产品夹具必须判红）,python3 eng/ci/run_checks.py --check CHK-E2E-CHAIN-SELFTEST --quiet,covered_px==0、FITS 缺失等退化产品必须判红（防「空产品也判绿」）；夹具落临时目录不写仓库,退化族全部翻红 ⇒ 绿,把判据退回「有 JSON 即绿」⇒ 自检负例红,e2e/quick,标准 05 §2 判据非退化,保留,S,CHK-E2E-CHAIN-SELFTEST（保留）
CHK-REALDATA-E2E,改造,,testdata 真实帧（M42 数据集）+ 生产二进制跑出的 Phase1/2/3 产品与 provenance,python3 eng/ci/resource_monitor.py --timeout 19900 --output run/ci/monitor/CHK-REALDATA-E2E.json -- python3 eng/ci/check_realdata_e2e.py --execute --work-dir run/ci/fix-gates/e2e --json-out run/ci/fix-gates/realdata_e2e.json,文档标 P0 但注册表 waivable=true ⇒ 一次 rc=0 的运行里它可以从未执行过；改造后：P0 ⇒ waivable=false，数据集缺失走 optional_inputs 记 not_effective（不是绿），work-dir 下零 p3_writer/p3_verify ⇒ ANCHOR_STALE 红,数据集在位且产品链齐 ⇒ 绿,①删数据集软链 ⇒ 记 not_effective 且 release 层红（不得 rc=0 收场）；②把 waivable 改回 true ⇒ GATE-EXEMPTION-DISCIPLINE 红,e2e/measure,ACCEPTANCE_SPEC.md §5 L3；docs/ci/CI_SPEC.md §4；标准 05 §6 SKIP 不计通过,改造（数据面 waivable=false + inputs/optional_inputs 登记；保留 ID）,S,CHK-REALDATA-E2E（改造）
