路径,层级,当前存在,现存文件数,被提交触及次数,累计增行,累计删行,引入_seq,引入_sha8,引入日期,引入消息,最后改动_seq,最后改动_sha8,最后改动日期
cli/runtime_client.cpp,目录或文件,否,,12,506,79,1379,84191084,2026-08-31,"RT-008: CLI 接入唯一 Runtime (main 拆分, run/phase 走 runtime_client, cfitsio 并行 I/O 串行",1930,adfdda7e,2026-09-14
lib/phase1,目录,是,18,12,1184,75,1300,d3af6ffa,2026-08-31,P1-003: StarDetector 5 场景 + catalog 质量字段,1977,57c04256,2026-09-14
ci/run.py,目录或文件,否,,11,1321,20,1528,459da629,2026-09-06,feat(ci): V8-CI-002 统一确定性 CI 执行器、结果 schema 与 29 项单测 [V8-CI-002],1822,778fe98e,2026-09-12
reports/final_status.md,已不在树中,否,,11,195,175,626,1f94e9f9,2026-08-13,docs(phase2-v14): final status + technical debt + performance reports; V14 audit,980,e1604f14,2026-08-27
reports/v19r7_quality,目录,是,29,10,2496,58,737,86ec26c1,2026-08-22,chore(qa): fix machine_consistency linux path + before scan [QA-V19R7-A1-01/02],806,03368585,2026-08-22
tests/quality,目录,是,12,10,1113,13,1182,ea1145fb,2026-08-29,(DOCCHK-001) 机器核对文档函数名/签名/schema/命令/退出码 PASS,1950,adaeb531,2026-09-14
tools/check_version_consistency.py,目录或文件,否,,10,202,19,1044,9fe142e0,2026-08-28,(VER-001) alpha单一版本源与机器化同步检查 — VERSION=0.9.0-alpha.1唯一源+gen_version生成接口+version.,1836,19bdf1ab,2026-09-12
docs/review,目录,是,5,9,551,56,1267,7b43ed1c,2026-08-30,SCI-001: 冻结 Phase1 科学定义(确认冻结+owner摘要),1826,327b6c30,2026-09-12
tests/abi,目录,是,17,9,2715,22,1487,5de08133,2026-09-03,test(abi): ABI-002 冻结ABI生命周期语义,1950,adaeb531,2026-09-14
reports/stage2_fix_report.md,已不在树中,否,,8,302,47,944,b8d215d0,2026-08-22,fix(phase2): sampler parallel+streaming+frame_id cache 14min→~90s [P0] 4/4 PASS,980,e1604f14,2026-08-27
reports/v19r2,目录,是,31,8,4472,719,698,729bc3b9,2026-08-15,chore(v19r2-s0): full-repo inventory on merged HEAD,1455,c99babad,2026-09-02
reports/v19r3,目录,是,35,8,9439,729,715,23c11c19,2026-08-16,quality(v19r3-s7): direct static analysis 100% coverage + fix findings,980,e1604f14,2026-08-27
tests/runtime,目录,是,23,8,2993,3,1483,5d38ebd7,2026-09-02,feat(runtime): RT-001 实现类型化运行图,1585,0d548519,2026-09-06
tests/version,目录,是,8,8,547,11,1044,9fe142e0,2026-08-28,(VER-001) alpha单一版本源与机器化同步检查 — VERSION=0.9.0-alpha.1唯一源+gen_version生成接口+version.,1836,19bdf1ab,2026-09-12
ci/validate_registry.py,目录或文件,否,,7,312,7,1527,0acfb514,2026-09-05,feat(ci): V8-CI-001 检查器与测试资产盘点注册 70 项 [V8-CI-001],1950,adaeb531,2026-09-14
cli/monitor.h,目录或文件,否,,7,378,23,1140,db85028a,2026-08-29,(MON-001) 进程/系统资源监控模块 — /proc采集(CPU/RSS/IO/thread/ctxsw)+sysinfo+单调时钟+采样开销测量; 修正,1923,48ceee59,2026-09-14
cli/resource_gate.h,目录或文件,否,,7,510,50,1144,ea97cc71,2026-08-29,"(MON-003) 资源门禁 — 07分类(compute/memory/io/mixed)+公式(0.80*min(workers,cpus))+first-",1950,adaeb531,2026-09-14
cli/resource_recorder.h,目录或文件,否,,7,297,8,1386,5b13e214,2026-09-01,MON-001: 资源监测接入每个 heavy node (resource_samples.csv/resource_summary.json/worker_,1950,adaeb531,2026-09-14
docs/TRACEABILITY.csv,目录或文件,否,,7,110,46,697,9c415bc1,2026-08-15,feat(phase2): UPM frame binding + persistence with synthetic gate coverage,1953,c3452d48,2026-09-14
docs/interfaces,目录,是,6,7,1140,1,1484,c1ee791a,2026-09-02,feat(data): DATA-002 定义三阶段产品交换合同,1526,b4f923cc,2026-09-05
docs/refactor,已不在树中,否,,7,133,1,1298,fe92b6e5,2026-08-31,P1-001: Phase1 old-symbol 映射表 + 无 blocker,1480,b7b2dea7,2026-09-02
tests/arch,目录,是,23,7,502,0,1068,bc0ccfe9,2026-08-28,(ARCH-001) 生产执行清单 — 符号检索七类原语217行(exe46/OpenMP25文件/线程创建62/锁46/队列1/ACR24配置守卫/IO写13,1843,da74dcad,2026-09-12
tests/cpu,目录,是,21,7,4433,2,1495,0d32c07d,2026-09-03,feat(cpu): CPU-001 实现ISA与OS安全探测,1599,c4cbafd6,2026-09-07
tools/arch,目录,是,4,7,255,22,1068,bc0ccfe9,2026-08-28,(ARCH-001) 生产执行清单 — 符号检索七类原语217行(exe46/OpenMP25文件/线程创建62/锁46/队列1/ACR24配置守卫/IO写13,1843,da74dcad,2026-09-12
tools/docs_machine_consistency.py,目录或文件,否,,7,202,20,695,c0753e33,2026-08-15,docs(v19-round6): machine consistency PASS - config/error/stage/SNR/product/driz,737,86ec26c1,2026-08-22
ci/toolchain.policy.json,目录或文件,否,,6,85,8,1524,becc85a0,2026-09-05,chore(ci): V81-ADOPT-004 Agent 主机工具链盘点与锁存 [V81-ADOPT-004],1574,e4f77ccb,2026-09-06
docs/ARCHITECTURE.md,目录或文件,否,,6,418,235,112,d411565e,2026-07-24,"docs: integrate root documentation, specs, and gitignore into main repo",940,d792056d,2026-08-22
docs/development,目录,是,3,6,143,21,624,5a9eadcf,2026-08-13,docs(phase2-v14): finalization docs + config consistency tool - DATA_SEMANTICS/P,940,d792056d,2026-08-22
engineering/contracts,已不在树中,否,,6,1537,1537,128,ba4f0d34,2026-07-25,P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API,203,036a3bb5,2026-07-29
engineering/tools,已不在树中,否,,6,5689,4631,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,203,036a3bb5,2026-07-29
lib/phase2_session,目录,是,5,6,644,5,1115,0a448f67,2026-08-29,"(CLI-005) Phase2进程内接入 — p2_session生产路由(coverage→sampler→UPM→persist, API-P2-001冻",1951,dce8abd4,2026-09-14
reports/browser_performance.md,已不在树中,否,,6,72,6,626,1f94e9f9,2026-08-13,docs(phase2-v14): final status + technical debt + performance reports; V14 audit,980,e1604f14,2026-08-27
tests/monitoring,目录,是,13,6,1387,2,1476,bbe2e59e,2026-09-02,feat(logging): LOG-001 统一结构化日志接口,1809,91440c16,2026-09-11
tools/assemble_audit.py,目录或文件,否,,6,292,26,1232,ef0858c5,2026-08-30,"(审核包) 按当前现状汇总最终审核包(AUDIT_REVIEW whitelist)+如实 FINAL_REPORT/SUMMARY: 87 PASS, 2 B",1256,fd4e11ed,2026-08-30
tools/astro_toolkit.py,目录或文件,否,,6,1017,500,151,5ec98660,2026-07-27,tools: 新增 astro_toolkit.py Python 工具集（跳过沙箱确认）,1701,6c5f5fc9,2026-09-08
tools/config_consistency_check.py,目录或文件,否,,6,330,69,624,5a9eadcf,2026-08-13,docs(phase2-v14): finalization docs + config consistency tool - DATA_SEMANTICS/P,1701,6c5f5fc9,2026-09-08
tools/doccheck,目录,是,4,6,741,17,1475,065c81de,2026-09-02,docs(governance): GOV-001 冻结Alpha工程约束,1701,6c5f5fc9,2026-09-08
ci/impact_map.json,目录或文件,否,,5,2062,1373,1527,0acfb514,2026-09-05,feat(ci): V8-CI-001 检查器与测试资产盘点注册 70 项 [V8-CI-001],1841,4f11d965,2026-09-12
cli/cli_common.h,目录或文件,否,,5,113,2,1380,90cad495,2026-08-31,"RT-009: 真实静态与observed运行图 (NodeTrace, static/observed/L0+sidecar, graph命令, 路径脱敏; ",1719,47ac0d40,2026-09-08
contracts/config,目录,是,4,5,427,3,1477,1c3d1dc9,2026-09-02,docs(architecture): ARC-001 冻结DLL产品边界,1586,f896d1bb,2026-09-06
contracts/data,目录,是,11,5,1069,4,1479,2df77afe,2026-09-02,feat(data): DATA-001 冻结类型化产物合同,1854,1012fa41,2026-09-13
docs/browser,目录,是,1,5,49,3,624,5a9eadcf,2026-08-13,docs(phase2-v14): finalization docs + config consistency tool - DATA_SEMANTICS/P,651,f2d7f5a1,2026-08-14
docs/validation,目录,是,1,5,110,33,624,5a9eadcf,2026-08-13,docs(phase2-v14): finalization docs + config consistency tool - DATA_SEMANTICS/P,669,c9b8dfc3,2026-08-14
lib/cosmetic,目录,是,17,5,3505,16,1605,4b87aef6,2026-09-07,docs(P1-COS-DOC): cosmetic 模块合同冻结——ALG-COS-001..005/DATA-P1-COS/API-COS-001/trac,1810,59fdeab3,2026-09-11
lib/data_pipeline,已不在树中,否,,5,5279,2652,45,e27ff13d,2026-07-12,feat: initial Astro-Data-Pipline - memory pipeline C++ implementation,680,25a6479b,2026-08-15
lib/drizzle,目录,是,8,5,1915,5,1607,e53ac984,2026-09-07,docs(P1-DRZ-DOC): drizzle 模块合同冻结——ALG-DRZ-001/DATA-P1-DRZ/API-DRZ-001/trace（控制包 ,1943,f849860a,2026-09-14
lib/hips,目录,是,10,5,2635,37,1609,943b023a,2026-09-07,docs(P1-HIPS-DOC): HiPS writer 模块合同冻结——ALG-HIPS-001..005/DATA-P1-HIPS/API-HIPS-0,1872,c21eec50,2026-09-13
providers/cpu,目录,是,10,5,2541,1,1495,0d32c07d,2026-09-03,feat(cpu): CPU-001 实现ISA与OS安全探测,1588,1938b7aa,2026-09-07
reports/phase1_performance.md,已不在树中,否,,5,90,16,626,1f94e9f9,2026-08-13,docs(phase2-v14): final status + technical debt + performance reports; V14 audit,980,e1604f14,2026-08-27
runtime/artifact_store,目录,是,9,5,2886,11,1479,2df77afe,2026-09-02,feat(data): DATA-001 冻结类型化产物合同,1507,1df9a7ee,2026-09-03
tests/artifact,目录,是,12,5,1615,5,1479,2df77afe,2026-09-02,feat(data): DATA-001 冻结类型化产物合同,1585,0d548519,2026-09-06
tools/gen_audit_pack.py,目录或文件,否,,5,381,184,161,ed145a70,2026-07-27,docs: 补充项目 README + 生成 v1.1 审计包,738,d22a3ff6,2026-08-22
tools/monitoring,目录,是,8,5,1572,15,1476,bbe2e59e,2026-09-02,feat(logging): LOG-001 统一结构化日志接口,1812,e9b82ea4,2026-09-11
ci/bootstrap.py,目录或文件,否,,4,407,12,1538,a032c0cc,2026-09-06,feat(ci): V8-CI-007 双平台 workflow、action 锁与 CI 辅助链 [V8-CI-007],1584,efd15baa,2026-09-06
ci/checks.schema.json,目录或文件,否,,4,138,15,1528,459da629,2026-09-06,feat(ci): V8-CI-002 统一确定性 CI 执行器、结果 schema 与 29 项单测 [V8-CI-002],1819,d3097319,2026-09-12
ci/reconcile_state.py,目录或文件,否,,4,299,35,1523,98c2354f,2026-09-05,chore(evidence): V81-ADOPT-003 任务证据对账重建 TASK_STATE 191 项 [V81-ADOPT-003],1788,d1ac4dfc,2026-09-10
cli/jsonl.h,目录或文件,否,,4,126,3,1090,d484f7c5,2026-08-28,(CLI-002) 统一parser+JSONL协议+cancel+crash boundary — 命令树白名单14拒绝面+config init/valid,1731,692a4216,2026-09-09
cli/runtime_client.h,目录或文件,否,,4,52,1,1379,84191084,2026-08-31,"RT-008: CLI 接入唯一 Runtime (main 拆分, run/phase 走 runtime_client, cfitsio 并行 I/O 串行",1712,f7fa3160,2026-09-08
docs/KNOWN_LIMITATIONS.md,目录或文件,否,,4,24,5,691,1d3a34c2,2026-08-15,docs(v19): diagnostics tool + full pre-release developer/science documentation,921,d793f39e,2026-08-22
docs/RELEASE_STATUS.md,目录或文件,否,,4,19,3,700,8ab2efbd,2026-08-15,docs(v19r2-s2): authoritative L0-L5 doc hierarchy + 64 contract IDs,933,af3ee37b,2026-08-22
docs/VERSIONING.md,目录或文件,否,,4,40,3,1044,9fe142e0,2026-08-28,(VER-001) alpha单一版本源与机器化同步检查 — VERSION=0.9.0-alpha.1唯一源+gen_version生成接口+version.,1526,b4f923cc,2026-09-05
reports/api_inventory.md,已不在树中,否,,4,160,59,624,5a9eadcf,2026-08-13,docs(phase2-v14): finalization docs + config consistency tool - DATA_SEMANTICS/P,980,e1604f14,2026-08-27
reports/performance.md,已不在树中,否,,4,81,3,651,f2d7f5a1,2026-08-14,fix(phase2-v15): ACR-path underdetermined counting uses resolved plan; docs+repo,980,e1604f14,2026-08-27
reports/phase2_performance.md,已不在树中,否,,4,68,18,626,1f94e9f9,2026-08-13,docs(phase2-v14): final status + technical debt + performance reports; V14 audit,980,e1604f14,2026-08-27
reports/rejection_semantics.md,已不在树中,否,,4,127,7,651,f2d7f5a1,2026-08-14,fix(phase2-v15): ACR-path underdetermined counting uses resolved plan; docs+repo,980,e1604f14,2026-08-27
reports/semantic_path_inventory.csv,已不在树中,否,,4,47,22,651,f2d7f5a1,2026-08-14,fix(phase2-v15): ACR-path underdetermined counting uses resolved plan; docs+repo,980,e1604f14,2026-08-27
reports/wbpp_policy.md,已不在树中,否,,4,114,32,651,f2d7f5a1,2026-08-14,fix(phase2-v15): ACR-path underdetermined counting uses resolved plan; docs+repo,980,e1604f14,2026-08-27
runtime/io,目录,是,8,4,3784,0,1486,caee3e67,2026-09-03,feat(io): IO-001 实现流式FITS读写API并修复F32字节序,1590,6825cb53,2026-09-07
tests/traceability,目录,是,14,4,417,2,1045,45e64640,2026-08-28,(TRACE-001) 六层追溯schema与检查器 — claim_id格式+R1-R7链规则+引用存在(路径/符号级)+VER域6claim种子+5测试含删,1782,009ee419,2026-09-09
tools/check_warning_suppression.py,目录或文件,否,,4,138,25,1348,41943d42,2026-08-31,QA-001: 生产警告抑制清零 (P2/P3 去 -w),1701,6c5f5fc9,2026-09-08
tools/validate_cpu_profile.py,目录或文件,否,,4,160,30,1109,e8767daf,2026-08-29,(BENCH-004) profile生命周期 — cpu_profile生成器(schema同构+指纹)+validate三态(schema/stale: I,1782,009ee419,2026-09-09
ci/prepare_linux_fixtures.py,目录或文件,否,,3,287,1,1620,09a7a95f,2026-09-08,fix(ci): V8.1 CI 双平台收敛——parser session-mode/Windows junit 落点/linux fixture+构建树步,1679,b80404eb,2026-09-08
ci/select_candidate.py,目录或文件,否,,3,573,2,1540,9b3fe93e,2026-09-06,feat(ci): V8-CI-008 Fatduck 三 job workflow 与候选选择器 [V8-CI-008],1613,47a1ec4f,2026-09-07
ci/steps,目录,是,4,3,161,0,1823,a67bbc83,2026-09-12,feat(CI/CI-001B): workflow与注册表联动核死(workflow只调run.py + 候选缺失fail-closed + actions锁,1950,adaeb531,2026-09-14
cli/process.cpp,目录或文件,否,,3,219,4,1681,dd89e530,2026-09-08,fix(p1-batchG): cli P1×2+bench verdict——std::system 拼接族×2 改跨平台进程API(argv零shell解析,1719,47ac0d40,2026-09-08
docs/API_REFERENCE.md,目录或文件,否,,3,160,2,938,a6c88115,2026-08-22,docs(architecture): stage C engineering anchor — ARCHITECTURE + API_REFERENCE + ,1853,01eaba36,2026-09-13
docs/CONFIG_REFERENCE.md,已不在树中,否,,3,46,1,691,1d3a34c2,2026-08-15,docs(v19): diagnostics tool + full pre-release developer/science documentation,700,8ab2efbd,2026-08-15
docs/DEVELOPER_GUIDE.md,目录或文件,否,,3,49,4,691,1d3a34c2,2026-08-15,docs(v19): diagnostics tool + full pre-release developer/science documentation,883,323bb339,2026-08-22
docs/DRIZZLE.md,已不在树中,否,,3,60,1,691,1d3a34c2,2026-08-15,docs(v19): diagnostics tool + full pre-release developer/science documentation,700,8ab2efbd,2026-08-15
docs/README-DOCS.md,目录或文件,否,,3,24,2,700,8ab2efbd,2026-08-15,docs(v19r2-s2): authoritative L0-L5 doc hierarchy + 64 contract IDs,941,9a426040,2026-08-22
docs/history,已不在树中,否,,3,21,1,700,8ab2efbd,2026-08-15,docs(v19r2-s2): authoritative L0-L5 doc hierarchy + 64 contract IDs,1480,b7b2dea7,2026-09-02
docs/owner,目录,是,5,3,890,176,1489,6affe300,2026-09-03,docs(owner): GOV-004 建立负责人审查入口,1826,327b6c30,2026-09-12
docs/standards,目录,是,15,3,1003,3,700,8ab2efbd,2026-08-15,docs(v19r2-s2): authoritative L0-L5 doc hierarchy + 64 contract IDs,1845,8069d85d,2026-09-12
engineering/MANIFEST.md,已不在树中,否,,3,47,47,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,203,036a3bb5,2026-07-29
engineering/agent,已不在树中,否,,3,423,62,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,203,036a3bb5,2026-07-29
engineering/checklists,已不在树中,否,,3,197,78,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,203,036a3bb5,2026-07-29
engineering/tasks,已不在树中,否,,3,1440,1222,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,203,036a3bb5,2026-07-29
engineering/templates,已不在树中,否,,3,294,195,118,1ac74251,2026-07-24,P00-001: 冻结并复核主仓库基线,203,036a3bb5,2026-07-29
evidence/ciqa,目录,是,1,3,631,315,1569,58d91a4c,2026-09-06,fix(ci): deep 防线测试合同同步 + CIQA 独立攻击审查报告入档 [V8-CI-012 后续],1613,47a1ec4f,2026-09-07
lib/hips_p2,目录,是,3,3,391,2,1665,c0b464cf,2026-09-08,docs(P2-HIPS-DOC): hips_writer 模块合同冻结——ALG-P2-HIPS-001..004/DATA-P2-HIPS/API-P2-,1844,e89ce10e,2026-09-12
lib/io,目录,是,1,3,218,11,1285,2f39880c,2026-08-31,IO-001: 实现 I/O adapter 接口与 Artifact 事务,1716,90680db9,2026-09-08
modules/conformance,目录,是,12,3,2218,7,1492,46b0d8e1,2026-09-03,build(layout): BLD-003 建立模块化安装骨架,1586,f896d1bb,2026-09-06
packaging/README.md,目录或文件,否,,3,43,4,1492,46b0d8e1,2026-09-03,build(layout): BLD-003 建立模块化安装骨架,1817,e6254d4d,2026-09-12
packaging/astrocs.product.json,目录或文件,否,,3,27,8,1492,46b0d8e1,2026-09-03,build(layout): BLD-003 建立模块化安装骨架,1817,e6254d4d,2026-09-12
packaging/install-tree.contract.json,目录或文件,否,,3,26,1,1492,46b0d8e1,2026-09-03,build(layout): BLD-003 建立模块化安装骨架,1817,e6254d4d,2026-09-12
packaging/schemas,目录,是,4,3,191,0,1478,f260b804,2026-09-02,build(msvc): BLD-001 冻结Windows发布工具链,1493,64a2f996,2026-09-03
reports/duplicate_cleanup.md,已不在树中,否,,3,42,35,651,f2d7f5a1,2026-08-14,fix(phase2-v15): ACR-path underdetermined counting uses resolved plan; docs+repo,980,e1604f14,2026-08-27
reports/full_e2e.md,已不在树中,否,,3,50,2,658,1145a28f,2026-08-14,reports+v16: final status / feature matrix / normalization / satellite v2 / full,980,e1604f14,2026-08-27
reports/rejection_normalization.md,已不在树中,否,,3,58,3,658,1145a28f,2026-08-14,reports+v16: final status / feature matrix / normalization / satellite v2 / full,980,e1604f14,2026-08-27
reports/satellite_rejection.md,已不在树中,否,,3,67,5,651,f2d7f5a1,2026-08-14,fix(phase2-v15): ACR-path underdetermined counting uses resolved plan; docs+repo,980,e1604f14,2026-08-27
reports/satellite_v2.md,已不在树中,否,,3,101,17,658,1145a28f,2026-08-14,reports+v16: final status / feature matrix / normalization / satellite v2 / full,980,e1604f14,2026-08-27
