seq,sha8,date,kind,count,detail,subject
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
118,1ac74251,2026-07-24,NEWDIR_BATCH,25,"首次出现 25 个目录，例: engineering/00_START_HERE.md, engineering/01_PROJECT_CHARTER.md, engineering/02_BASELINE_AUDIT.md, engineering/03_TARGET_SYSTEM_ARCHITECTURE.md, engineering/04_ENGINEERING_CONTROL_MODEL.md, engineering/05_",P00-001: 冻结并复核主仓库基线
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,NEWDIR_BATCH,39,"首次出现 39 个目录，例: AstroCS_CLI_Core_Development_Pack_2026-07-24_v1.1.zip, _commit_msg_p02.txt, _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack, bootstrap.ps1, build.ps1, engineering/AUTONOMOUS_ENTRY.md",P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,RENAME50,59,改名或移动 59 文件（目录重构）,P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,PACKNEW,1,新增包文件 _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack/AUTONOMOUS_ENTRY.md,P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
128,ba4f0d34,2026-07-25,PACKNEW,1,新增包文件 _new_pack_v1.1/AstroCS_CLI_Core_Development_Pack/START_PROMPT.txt,P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
