目录,月份,提交数,增行,删行
_toolkit_configs/validate_pack.err,2026-07,2,0,0
_toolkit_configs/validate_pack.out,2026-07,2,1,1
_v2_pack/AstroCS_Authoritative_Development_Pack_v2.0,2026-07,2,3338,3305
_wiki_freeze/AstroCS_Stage1_Wiki_Freeze_2026-07-30,2026-07,2,1897,1897
artifacts/prerelease_v5,2026-08,145,3804,159
artifacts/prerelease_v5,2026-09,1,18,18
audit/AstroCS-v1.1-audit-pack,2026-07,2,13718,13718
bootstrap.ps1,2026-07,2,202,202
build.ps1,2026-07,2,344,344
build.sh,2026-08,1,54,0
ci/INVENTORY_REPORT.md,2026-09,1,79,0
ci/WORKFLOW_BINDING_AUDIT.md,2026-09,1,93,0
ci/actions.lock.json,2026-09,2,41,2
ci/bootstrap.py,2026-09,4,407,12
ci/check_version.py,2026-09,1,274,0
ci/checks.json,2026-09,22,3726,65
ci/checks.schema.json,2026-09,4,138,15
ci/ci_repair_round.py,2026-09,2,734,5
ci/ci_result.schema.json,2026-09,1,15,0
ci/ctest_baseline.json,2026-09,1,184,0
ci/impact_map.json,2026-09,5,2062,1373
ci/known_failures.json,2026-09,2,106,23
ci/prepare_linux_fixtures.py,2026-09,3,287,1
ci/reconcile_state.py,2026-09,4,299,35
ci/resource_monitor.py,2026-09,2,82,0
ci/run.py,2026-09,11,1321,20
ci/select_candidate.py,2026-09,3,573,2
ci/select_profile.py,2026-09,1,103,0
ci/steps,2026-09,3,161,0
ci/tests,2026-09,27,7767,203
ci/toolchain.lock.json,2026-09,2,191,47
ci/toolchain.policy.json,2026-09,6,85,8
ci/validate_candidate.py,2026-09,2,312,3
ci/validate_registry.py,2026-09,7,312,7
ci/validate_workflow_binding.py,2026-09,1,587,0
ci/verify_actions_lock.py,2026-09,1,319,0
ci/verify_ciqa_report.py,2026-09,1,126,0
ci/verify_remote_run.py,2026-09,2,473,3
ci/verify_toolchain.py,2026-09,1,208,0
ci/verify_workspace_adoption.py,2026-09,2,257,7
ci/wf_step.py,2026-09,1,247,0
ci/workflow_binding.json,2026-09,2,229,2
cli/CMakeLists.txt,2026-08,23,267,50
cli/CMakeLists.txt,2026-09,10,71,21
cli/astrocs_process.h,2026-09,1,0,0
cli/cancel_token.h,2026-08,1,41,0
cli/cli_common.h,2026-08,1,75,0
cli/cli_common.h,2026-09,4,38,2
cli/commands.cpp,2026-08,2,1226,0
cli/commands.cpp,2026-09,31,1787,492
cli/exit_codes.h,2026-08,1,21,0
cli/jsonl.h,2026-08,3,97,1
cli/jsonl.h,2026-09,1,29,2
cli/main.cpp,2026-08,20,1745,1674
cli/main.cpp,2026-09,1,10,3
cli/memory_growth.h,2026-08,1,136,0
cli/memory_report.h,2026-09,2,671,57
cli/monitor.h,2026-08,1,257,0
cli/monitor.h,2026-09,6,121,23
cli/parser.cpp,2026-08,2,318,1
cli/parser.cpp,2026-09,13,227,78
cli/process.cpp,2026-09,3,219,4
cli/process.h,2026-09,1,45,0
cli/protocol.h,2026-09,1,97,0
cli/resource_events.h,2026-08,1,135,0
cli/resource_events.h,2026-09,1,1,1
cli/resource_gate.h,2026-08,1,189,0
cli/resource_gate.h,2026-09,6,321,50
cli/resource_recorder.h,2026-09,7,297,8
cli/runtime_client.cpp,2026-08,2,244,0
cli/runtime_client.cpp,2026-09,10,262,79
cli/runtime_client.h,2026-08,2,40,0
cli/runtime_client.h,2026-09,2,12,1
cli/version_generated.h.in,2026-08,1,3,0
cmake/astrocs.product.windows.json.in,2026-09,3,23,4
cmake/cfitsio_sources.cmake,2026-08,1,63,0
cmake/install_layout.cmake,2026-09,4,153,13
cmake/qa_coverage_report.sh,2026-09,2,38,2
cmake/toolchain,2026-09,2,371,7
cmake/win32_pthread_shim,2026-09,7,156,55
contracts/config,2026-09,5,427,3
contracts/data,2026-09,5,1069,4
contracts/schemas,2026-09,1,0,0
contracts/schemas_tmp,2026-09,1,0,0
docs/API_REFERENCE.md,2026-08,2,159,1
docs/API_REFERENCE.md,2026-09,1,1,1
docs/ARCHITECTURE.md,2026-07,2,234,234
docs/ARCHITECTURE.md,2026-08,3,184,1
docs/BUILD_RELEASE.md,2026-08,1,32,0
docs/CONFIG_REFERENCE.md,2026-08,2,46,1
docs/DATA_CONTRACTS.md,2026-08,1,44,0
docs/DESIGN_IMPL_GAP.md,2026-07,2,687,687
docs/DEVELOPER_GUIDE.md,2026-08,3,49,4
docs/DIAGNOSTICS.md,2026-08,1,47,0
docs/DOCUMENT_INDEX.yaml,2026-09,35,643,34
docs/DRIZZLE.md,2026-08,2,60,1
docs/ERROR_TAXONOMY.md,2026-08,1,57,0
docs/GLOSSARY.md,2026-08,1,25,0
docs/KNOWN_LIMITATIONS.md,2026-08,4,24,5
docs/MODULE_INDEX.md,2026-08,1,17,0
docs/PERFORMANCE.md,2026-08,1,28,0
docs/PHASE2.md,2026-08,1,49,0
docs/PIPELINE_OVERVIEW.md,2026-07,2,59,59
docs/PROJECT_OVERVIEW.md,2026-07,2,217,217
docs/README-DOCS.md,2026-08,3,24,2
docs/RELEASE_STATUS.md,2026-08,4,19,3
docs/SCIENTIFIC_ALGORITHMS.md,2026-08,1,17,0
docs/SNR_NOISE_MODEL.md,2026-08,1,120,0
docs/TESTING_AND_ACCEPTANCE.md,2026-08,1,33,0
docs/TRACEABILITY.csv,2026-08,6,110,42
docs/TRACEABILITY.csv,2026-09,1,0,4
docs/TROUBLESHOOTING.md,2026-08,1,40,0
docs/VERSIONING.md,2026-08,3,37,2
docs/VERSIONING.md,2026-09,1,3,1
docs/algorithms,2026-08,34,1579,415
docs/algorithms,2026-09,40,7970,649
docs/api,2026-08,8,353,8
docs/api,2026-09,6,50,5
docs/architecture,2026-08,34,1720,132
docs/architecture,2026-09,18,1087,71
docs/archive,2026-09,2,2275,2
docs/audit,2026-08,1,118,0
docs/backlog,2026-08,1,9,0
docs/browser,2026-08,5,49,3
docs/contracts,2026-08,17,1229,16
docs/contracts,2026-09,41,5204,179
docs/development,2026-08,6,143,21
docs/diagnostics,2026-08,1,31,0
docs/governance,2026-09,2,108,9
docs/history,2026-08,2,21,1
docs/interfaces,2026-09,7,1140,1
docs/modules,2026-08,11,761,11
docs/modules,2026-09,26,4455,462
docs/operations,2026-09,1,61,0
docs/owner,2026-09,3,890,176
docs/performance,2026-08,2,42,0
docs/phase2,2026-08,1,89,0
docs/quality,2026-09,1,65,0
docs/refactor,2026-08,6,133,1
docs/release,2026-08,1,47,0
docs/review,2026-08,6,200,22
docs/review,2026-09,2,351,34
docs/science,2026-08,29,2164,435
docs/science,2026-09,10,237,33
docs/stage1_fix,2026-07,1,1057,0
docs/stage1_fix,2026-08,1,0,1057
docs/standards,2026-08,1,256,0
docs/standards,2026-09,2,747,3
docs/superpowers,2026-07,2,9564,9564
docs/traceability,2026-09,24,2690,1689
docs/validation,2026-08,5,110,33
engineering/00_START_HERE.md,2026-07,1,54,0
engineering/01_PROJECT_CHARTER.md,2026-07,1,73,0
engineering/02_BASELINE_AUDIT.md,2026-07,1,106,0
engineering/03_TARGET_SYSTEM_ARCHITECTURE.md,2026-07,1,123,0
engineering/04_ENGINEERING_CONTROL_MODEL.md,2026-07,1,92,0
engineering/05_REPOSITORY_AND_DEPENDENCY_MANAGEMENT.md,2026-07,1,97,0
engineering/06_DATA_MANAGEMENT_SPEC.md,2026-07,1,146,0
engineering/07_INTERFACE_MANAGEMENT_SPEC.md,2026-07,1,100,0
engineering/08_CONFIGURATION_AND_BUILD_SPEC.md,2026-07,1,74,0
engineering/09_TEST_AND_VERIFICATION_STRATEGY.md,2026-07,1,109,0
engineering/10_REFERENCE_DATASET_SPEC.md,2026-07,1,66,0
engineering/11_STAGE1_VALIDATION_SPEC.md,2026-07,1,107,0
engineering/12_STAGE2_STACKING_VALIDATION_SPEC.md,2026-07,1,127,0
engineering/13_OBSERVABILITY_AND_DIAGNOSTICS_SPEC.md,2026-07,1,64,0
engineering/14_RELEASE_AND_VERSIONING_SPEC.md,2026-07,1,48,0
engineering/15_ROADMAP_AND_GATES.md,2026-07,1,61,0
engineering/AUTONOMOUS_ENTRY.md,2026-07,2,30,30
engineering/MANIFEST.md,2026-07,3,47,47
engineering/PACKAGE_SHA256.txt,2026-07,1,68,0
engineering/PACKAGE_VERSION.txt,2026-07,2,1,1
engineering/README.md,2026-07,2,28,28
engineering/SHA256SUMS.txt,2026-07,2,91,91
engineering/START_PROMPT.txt,2026-07,2,1,1
engineering/agent,2026-07,3,423,62
engineering/checklists,2026-07,3,197,78
engineering/contracts,2026-07,6,1537,1537
engineering/control,2026-07,28,975,752
engineering/control,2026-09,3,2751,7
engineering/docs,2026-07,2,1063,1063
engineering/engineering,2026-07,2,62,62
engineering/evidence,2026-07,40,1290251,995063
engineering/reference,2026-07,2,88,88
engineering/tasks,2026-07,3,1440,1222
engineering/templates,2026-07,3,294,195
engineering/tools,2026-07,6,5689,4631
engineering_archive_v1.0/00_START_HERE.md,2026-07,2,0,54
engineering_archive_v1.0/01_PROJECT_CHARTER.md,2026-07,2,0,73
engineering_archive_v1.0/02_BASELINE_AUDIT.md,2026-07,2,0,106
engineering_archive_v1.0/03_TARGET_SYSTEM_ARCHITECTURE.md,2026-07,2,0,123
engineering_archive_v1.0/04_ENGINEERING_CONTROL_MODEL.md,2026-07,2,0,92
engineering_archive_v1.0/05_REPOSITORY_AND_DEPENDENCY_MANAGEMENT.md,2026-07,2,0,97
engineering_archive_v1.0/06_DATA_MANAGEMENT_SPEC.md,2026-07,2,0,146
engineering_archive_v1.0/07_INTERFACE_MANAGEMENT_SPEC.md,2026-07,2,0,100
engineering_archive_v1.0/08_CONFIGURATION_AND_BUILD_SPEC.md,2026-07,2,0,74
engineering_archive_v1.0/09_TEST_AND_VERIFICATION_STRATEGY.md,2026-07,2,0,109
engineering_archive_v1.0/10_REFERENCE_DATASET_SPEC.md,2026-07,2,0,66
engineering_archive_v1.0/11_STAGE1_VALIDATION_SPEC.md,2026-07,2,0,107
engineering_archive_v1.0/12_STAGE2_STACKING_VALIDATION_SPEC.md,2026-07,2,0,127
engineering_archive_v1.0/13_OBSERVABILITY_AND_DIAGNOSTICS_SPEC.md,2026-07,2,0,64
engineering_archive_v1.0/14_RELEASE_AND_VERSIONING_SPEC.md,2026-07,2,0,48
engineering_archive_v1.0/15_ROADMAP_AND_GATES.md,2026-07,2,0,61
engineering_archive_v1.0/MANIFEST.md,2026-07,2,31,31
engineering_archive_v1.0/PACKAGE_SHA256.txt,2026-07,2,0,68
engineering_archive_v1.0/agent,2026-07,2,0,361
engineering_archive_v1.0/checklists,2026-07,2,0,119
engineering_archive_v1.0/control,2026-07,2,118,341
engineering_archive_v1.0/evidence,2026-07,2,12411,12414
engineering_archive_v1.0/tasks,2026-07,2,0,218
engineering_archive_v1.0/templates,2026-07,2,112,211
engineering_archive_v1.0/tools,2026-07,2,0,445
engineering_authoritative/agent,2026-07,2,28,28
engineering_authoritative/checklists,2026-07,4,90,90
engineering_authoritative/contracts,2026-07,4,1302,1302
engineering_authoritative/control,2026-07,16,198,198
engineering_authoritative/docs,2026-07,2,148,148
engineering_authoritative/evidence,2026-07,18,18663,18663
engineering_authoritative/migration,2026-07,2,40,33
engineering_authoritative/tasks,2026-07,4,1026,1026
engineering_authoritative/templates,2026-07,2,34,34
engineering_authoritative/tools,2026-07,2,50,50
engineering_v1.2/AUTONOMOUS_ENTRY.md,2026-07,2,57,57
engineering_v1.2/MANIFEST.md,2026-07,2,134,134
engineering_v1.2/PACKAGE_VERSION.txt,2026-07,2,2,2
engineering_v1.2/README.md,2026-07,2,23,23
engineering_v1.2/SHA256SUMS.txt,2026-07,2,120,120
engineering_v1.2/START_PROMPT.txt,2026-07,2,1,1
engineering_v1.2/agent,2026-07,2,105,38
engineering_v1.2/checklists,2026-07,1,88,0
engineering_v1.2/contracts,2026-07,1,351,0
engineering_v1.2/control,2026-07,14,1344,896
engineering_v1.2/docs,2026-07,2,938,37
engineering_v1.2/evidence,2026-07,13,407533,32862
engineering_v1.2/tasks,2026-07,2,2000,80
engineering_v1.2/templates,2026-07,1,143,0
engineering_v1.2/tools,2026-07,2,62,26
engineering_v1.3/AUDIT_PACK.md,2026-07,1,225,0
engineering_v1.3/AUTONOMOUS_ENTRY.md,2026-07,1,47,0
engineering_v1.3/MANIFEST.md,2026-07,1,149,0
engineering_v1.3/PACKAGE_VERSION.txt,2026-07,1,1,0
engineering_v1.3/README.md,2026-07,1,22,0
engineering_v1.3/SHA256SUMS.txt,2026-07,1,132,0
engineering_v1.3/START_PROMPT.txt,2026-07,1,1,0
engineering_v1.3/agent,2026-07,2,114,67
engineering_v1.3/checklists,2026-07,2,101,88
engineering_v1.3/contracts,2026-07,3,517,351
engineering_v1.3/control,2026-07,12,985,664
engineering_v1.3/docs,2026-07,2,1130,901
engineering_v1.3/evidence,2026-07,13,579071,552370
engineering_v1.3/tasks,2026-07,2,1987,1920
engineering_v1.3/templates,2026-07,2,155,143
engineering_v1.3/tools,2026-07,2,127,36
evidence/QA-V19R7-A2-01,2026-08,1,37,0
evidence/QA-V19R7-A2-02,2026-08,1,40,0
evidence/QA-V19R7-A2-03,2026-08,1,43,0
evidence/QA-V19R7-A2-04,2026-08,1,44,0
evidence/QA-V19R7-A2-05,2026-08,1,40,0
evidence/QA-V19R7-A2-06,2026-08,1,43,0
evidence/QA-V19R7-A2-07,2026-08,1,45,0
evidence/QA-V19R7-A2-08,2026-08,1,68,0
evidence/ciqa,2026-09,3,631,315
evidence/refactor,2026-08,94,6448,164
evidence/refactor,2026-09,2,597,302
evidence/v6_1_rework,2026-08,21,9163,52
evidence/v6_1_rework,2026-09,89,56734,1635
evidence/v8_1_ci_control,2026-09,189,49884,6665
include/astrocs,2026-08,20,1423,77
include/astrocs,2026-09,17,1786,9
launch/demo_gc.json,2026-08,2,56,9
launch/start_browser.ps1,2026-08,1,143,0
lib/acr,2026-08,134,111151,13445
lib/acr,2026-09,3,655,56
lib/astro_image_io,2026-05,2,4461,126
lib/astro_image_io,2026-07,28,48118,1561
lib/astro_image_io,2026-08,77,275991,16127
lib/astro_image_io,2026-09,16,10247,2639
lib/backend_host,2026-08,19,2131,157
lib/backend_host,2026-09,12,3239,101
lib/calibration,2026-07,12,16691,220
lib/calibration,2026-08,14,395,4990
lib/calibration,2026-09,9,3777,180
lib/common,2026-08,12,1579,126
lib/common,2026-09,3,433,126
lib/core,2026-08,16,2192,260
lib/core,2026-09,39,8111,368
lib/cosmetic,2026-09,5,3505,16
lib/data_pipeline,2026-07,4,5279,25
lib/data_pipeline,2026-08,1,0,2627
lib/drizzle,2026-09,5,1915,5
lib/dynamic_psf,2026-05,1,1556,0
lib/dynamic_psf,2026-07,8,1955,19
lib/dynamic_psf,2026-08,12,490,368
lib/dynamic_psf,2026-09,7,3192,443
lib/gaia_xpsd_client,2026-05,4,1405,14
lib/gaia_xpsd_client,2026-06,2,852,206
lib/gaia_xpsd_client,2026-07,9,5500,92
lib/gaia_xpsd_client,2026-08,13,603,1457
lib/gaia_xpsd_client,2026-09,12,3027,533
lib/healpix_db,2026-07,25,61965,21234
lib/healpix_db,2026-08,120,35649,10880
lib/healpix_db,2026-09,12,2615,147
lib/hips,2026-09,5,2635,37
lib/hips_p2,2026-09,3,391,2
lib/io,2026-08,1,160,0
lib/io,2026-09,2,58,11
lib/orchestrator,2026-07,37,41807,11279
lib/orchestrator,2026-08,64,11774,10225
lib/orchestrator,2026-09,4,731,95
lib/phase1,2026-08,4,551,0
lib/phase1,2026-09,8,633,75
lib/phase1_session,2026-08,5,438,26
lib/phase1_session,2026-09,11,2711,75
lib/phase2,2026-08,130,24654,4682
lib/phase2,2026-09,14,1154,301
lib/phase2_int,2026-09,1,256,0
lib/phase2_rej,2026-09,1,309,0
lib/phase2_samp,2026-09,1,321,0
lib/phase2_session,2026-08,1,320,0
lib/phase2_session,2026-09,5,324,5
lib/phase2_upm,2026-09,1,451,0
lib/phase3_fits,2026-09,1,397,0
lib/phase3_proj,2026-09,2,911,8
lib/phase3_rsmp,2026-09,1,363,0
lib/phase3_session,2026-08,13,1373,8
lib/phase3_session,2026-09,15,917,151
lib/photometric_calib,2026-07,21,102544,44638
lib/photometric_calib,2026-08,23,5749,3017
lib/photometric_calib,2026-09,5,4866,420
lib/plate_solve,2026-07,8,40344,23
lib/plate_solve,2026-08,18,1974,5936
lib/plate_solve,2026-09,10,2319,577
lib/snr_estimator,2026-07,4,2310,5
lib/snr_estimator,2026-08,23,2033,387
lib/snr_estimator,2026-09,5,3259,115
lib/star_detector,2026-05,7,3733,35
lib/star_detector,2026-06,2,2622,994
lib/star_detector,2026-07,4,8320,640
lib/star_detector,2026-08,17,650,2005
lib/star_detector,2026-09,7,2871,255
memory.md,2026-07,22,1689,24
memory.md,2026-08,31,613,22
memory.md,2026-09,6,139,2283
modules/conformance,2026-09,3,2218,7
modules/services,2026-09,2,1147,0
packaging/README.md,2026-09,3,43,4
packaging/astrocs.product.json,2026-09,3,27,8
packaging/dependency-lock.json,2026-09,1,149,0
packaging/gen_sbom_input.py,2026-09,1,168,0
packaging/install-tree.contract.json,2026-09,3,26,1
packaging/launch,2026-09,1,0,0
packaging/licenses,2026-09,1,57,0
packaging/schemas,2026-09,3,191,0
packaging/verify_install_tree.py,2026-09,1,118,0
packaging/windows,2026-09,1,46,0
providers/cpu,2026-09,5,2541,1
reports/P1-COS-IMPL-module-impl-report.md,2026-09,1,100,0
reports/P1-HIPS-IMPL-module-impl-report.md,2026-09,1,80,0
reports/README.md,2026-08,1,16,0
reports/REAUDIT_V3,2026-08,41,986,115
reports/algorithm_doc_review.md,2026-08,1,124,0
reports/api_inventory.md,2026-08,3,160,59
reports/archive,2026-08,1,0,0
reports/bottleneck_classification.md,2026-08,1,8,0
reports/browser_performance.md,2026-08,5,72,6
reports/browser_stf.md,2026-08,1,46,0
reports/code_quality.md,2026-08,1,5,0
reports/controlled_rejection_truth.md,2026-08,1,41,0
reports/docs_consistency.md,2026-08,1,32,0
reports/drizzle_optimization.md,2026-08,1,47,0
reports/duplicate_cleanup.md,2026-08,2,42,35
reports/engineering_doc_review.md,2026-08,1,98,0
reports/evidence,2026-08,50,2002,39
reports/final_status.md,2026-08,10,195,175
reports/full_e2e.md,2026-08,2,50,2
reports/hips_io_optimization.md,2026-08,1,5,0
reports/hotpath_complexity.csv,2026-08,1,13,0
reports/integration_contract.md,2026-08,1,66,0
reports/large_scale_rejection.md,2026-08,1,62,0
reports/legacy_removal.md,2026-08,1,56,0
reports/performance.md,2026-08,3,81,3
reports/phase1_final_performance.md,2026-08,1,6,0
reports/phase1_performance.md,2026-08,4,90,16
reports/phase1_source_audit.md,2026-08,1,77,0
reports/phase2_performance.md,2026-08,3,68,18
reports/phase2_regression.md,2026-08,1,5,0
reports/phase2_wbpp_stf_fix.md,2026-08,1,64,0
reports/pipeline_audit.md,2026-08,1,45,0
reports/rejection_normalization.md,2026-08,2,58,3
reports/rejection_semantics.md,2026-08,3,127,7
reports/repeated_work.md,2026-08,1,36,0
reports/resource_timeline.md,2026-08,1,50,0
reports/satellite_rejection.md,2026-08,2,67,5
reports/satellite_v2.md,2026-08,2,101,17
reports/science_doc_review.md,2026-08,1,127,0
reports/self_review,2026-08,1,283,0
reports/self_review_round1.md,2026-08,1,99,0
reports/self_review_round2.md,2026-08,1,89,0
reports/semantic_path_inventory.csv,2026-08,3,47,22
reports/stage2_fix_report.md,2026-08,7,302,47
reports/technical_debt_closed.md,2026-08,1,18,0
reports/v14,2026-08,1,0,0
reports/v15,2026-08,1,0,0
reports/v16,2026-08,1,0,0
reports/v17,2026-08,1,0,0
reports/v18r2,2026-08,1,0,0
reports/v19r2,2026-08,7,4470,717
reports/v19r2,2026-09,1,2,2
reports/v19r3,2026-08,8,9439,729
reports/v19r7_quality,2026-08,10,2496,58
reports/v19r8,2026-08,1,0,0
reports/v19r8_quality,2026-08,31,2168,400
reports/wbpp_feature_matrix.md,2026-08,2,56,6
reports/wbpp_final.md,2026-08,1,41,0
reports/wbpp_policy.md,2026-08,3,114,32
runtime/artifact_store,2026-09,5,2886,11
runtime/core,2026-09,1,329,0
runtime/io,2026-09,4,3784,0
runtime/logging,2026-09,1,424,0
runtime/module_loader,2026-09,1,953,0
runtime/monitoring,2026-09,2,1364,1
runtime/pipeline,2026-09,3,1418,0
runtime/registry,2026-09,1,1165,0
schemas/contract_index.schema.json,2026-08,1,31,0
schemas/cpu_profile.schema.json,2026-09,1,68,0
schemas/hardware_inspect.schema.json,2026-08,1,43,0
schemas/hardware_inspect.schema.json,2026-09,1,141,34
schemas/jsonl_event_v1.schema.json,2026-09,1,97,0
schemas/task_result.schema.json,2026-09,1,41,0
schemas/traceability_matrix.schema.json,2026-09,1,61,0
schemas/version.schema.json,2026-08,1,20,0
scripts/package_audit.py,2026-08,1,67,0
scripts/validate_audit.py,2026-08,1,33,0
self_review/round0_contract.md,2026-08,5,234,234
self_review/round1_implementation_findings.json,2026-08,5,190,190
self_review/round2_semantic.md,2026-08,5,139,139
self_review/round3_adversarial.json,2026-08,5,129,129
self_review/round3_science.md,2026-08,5,144,144
self_review/round4_performance.md,2026-08,6,140,140
self_review/round5_redteam.md,2026-08,5,92,92
self_review/round6_final_verification.md,2026-08,6,168,168
smoke_test.py,2026-07,2,255,255
tests/__init__.py,2026-08,1,0,0
tests/abi,2026-09,9,2715,22
tests/api,2026-08,11,898,1
tests/api,2026-09,3,32,5
tests/arch,2026-08,6,316,0
tests/arch,2026-09,1,186,0
tests/artifact,2026-09,5,1615,5
tests/backend,2026-08,29,4909,150
tests/backend,2026-09,34,4615,324
tests/cli,2026-08,20,2356,21
tests/cli,2026-09,28,2717,386
tests/contracts,2026-08,2,107,0
tests/cpu,2026-09,7,4433,2
tests/glossary,2026-08,1,50,0
tests/io,2026-09,3,1610,0
tests/monitoring,2026-09,6,1387,2
tests/oracle,2026-09,1,170,0
tests/pipeline,2026-09,1,171,0
tests/quality,2026-08,4,326,1
tests/quality,2026-09,6,787,12
tests/realdata,2026-09,1,509,0
tests/runtime,2026-09,8,2993,3
tests/sciencelint,2026-08,2,54,0
tests/test_index.csv,2026-09,1,23,0
tests/testkit,2026-09,1,562,0
tests/traceability,2026-08,2,89,1
tests/traceability,2026-09,2,328,1
tests/unit,2026-08,54,6035,28
tests/unit,2026-09,96,28122,278
tests/version,2026-08,4,96,7
tests/version,2026-09,4,451,4
toolchain.ps1,2026-08,1,214,0
tools/README.md,2026-07,1,83,0
tools/README.md,2026-08,2,83,83
tools/_commit_audit.json,2026-07,2,8,8
tools/_commit_audit_msg.txt,2026-07,2,12,12
tools/_p06_002_commit_msg.txt,2026-07,2,28,28
tools/_p06_002_run_snr_debug.json,2026-07,2,38,38
tools/_p06_002_run_snr_debug.log,2026-07,2,83,83
tools/_p06_002_run_tests.json,2026-07,2,158,158
tools/_p06_002_run_tests.log,2026-07,2,352,352
tools/_p06_003_commit_msg.txt,2026-07,2,12,12
tools/_p07_001_git.json,2026-07,2,52,52
tools/_p07_001_git.log,2026-07,2,126,126
tools/_p07_001_git2.json,2026-07,2,5,5
tools/_p07_001_git2.log,2026-07,2,51,51
tools/_p07_002_commit_msg2.txt,2026-07,2,8,8
tools/_p07_002_git.json,2026-07,2,70,70
tools/_p07_002_git.log,2026-07,2,144,144
tools/_p07_002_git2.json,2026-07,2,5,5
tools/_p07_002_git2.log,2026-07,2,51,51
tools/_p07_002_setup.json,2026-07,2,9,9
tools/_p07_002_setup.log,2026-07,2,108,108
tools/_p08_001_commit_msg.txt,2026-07,2,18,18
tools/_p08_001_release.json,2026-07,2,55,55
tools/_p08_001_release.log,2026-07,2,93,93
tools/_p08_dll_deps.txt,2026-07,2,1,1
tools/_r05_fast_experiment_commit_msg.txt,2026-08,1,16,0
tools/_r05_photapply_commit_msg.txt,2026-08,1,6,0
tools/_r05_precise_acceptance_commit_msg.txt,2026-08,1,11,0
tools/_r05_rebuild_photapply.json,2026-08,1,38,0
tools/_r06_analyze_fast.py,2026-08,1,75,0
tools/_r06_make_delivery.py,2026-08,1,616,0
tools/_r06_wiki_hashes.py,2026-08,1,24,0
tools/_r07_fast_msg.txt,2026-08,1,15,0
tools/_r07_ref_msg.txt,2026-08,1,15,0
tools/api_doc_consistency.py,2026-08,2,176,1
tools/api_doc_consistency.py,2026-09,1,81,22
tools/arch,2026-08,4,176,4
tools/arch,2026-09,3,79,18
tools/assemble_audit.py,2026-08,6,292,26
tools/assemble_v17_review_pkg.py,2026-08,3,355,12
tools/astro_toolkit.py,2026-07,2,493,5
