seq,sha8,日期,作者,分级,文件数,增行,删行,编号,主题
25,ce62842f,2026-07-10,fujiaze,M,4,565,0,,feat: batch processing + README + UTF-8 path support + FITS write optimization
26,0107e3d7,2026-07-10,fujiaze,S,4,70,13,,feat: UTF-8 path support + FITS write optimization
27,c4b5333b,2026-07-11,fujiaze,M,4,397,0,,feat: add batch coordinate spectrum query API (OpenMP parallel)
28,0349b723,2026-07-11,fujiaze,S,1,2,4,,fix: Moffat4 PSF flux使用解析积分替代窗口累加
29,3b39d126,2026-07-11,fujiaze,L,18,4314,0,,feat: calibration module with C++ OpenMP cosmetic corrector (C++)
30,4c7f5df9,2026-07-11,fujiaze,L,11,2043,8,,feat: calibration module with C++ OpenMP cosmetic corrector (C++)
31,0c08aeb5,2026-07-11,fujiaze,L,51,14892,0,,feat: HEALpix Database - 球面存储与可视化系统
32,9d0da974,2026-07-12,fujiaze,S,1,4,1,,update astro_image_io.py
33,07795923,2026-07-12,fujiaze,S,2,3,3,,update Makefile and dpsf_psf.cpp
34,e53c8865,2026-07-12,fujiaze,S,1,4,4,,update gaia_client.c
35,f75ae3f0,2026-07-12,fujiaze,L,34,64269,0,,v1.0: 鲁棒流量校准 Python 开发原型
36,787679bb,2026-07-12,fujiaze,M,14,37,260,,refactor: 重命名 gradient_estimator 为 flux_calibrator 并封存天光校正
37,ebc8197a,2026-07-12,fujiaze,S,1,80,20,,docs: 更新 README 为 Flux Calibration 并添加 45 帧性能数据
38,51b8c7b6,2026-07-12,fujiaze,L,13,3047,1,,"feat: add ahpx I/O, compressor, and pipeline framework"
39,55d69dd0,2026-07-12,fujiaze,L,33,115,7149,,refactor: split ahpx_io/stack/drizzle into independent repos
40,e3f0f782,2026-07-12,fujiaze,M,6,1057,7,,feat: add pipeline orchestration engine with OpenMP parallel batch execution
41,c0073c9f,2026-07-12,fujiaze,L,6,2179,625,,refactor: migrate PipelineFrame to named-block container model with KV/cache/export
42,bc894de2,2026-07-12,fujiaze,L,17,2500,1246,,feat: rewrite photometric_calib as C++ DLL with simplified algorithm
43,9fcd406b,2026-07-12,fujiaze,M,6,1546,5,,"feat: C++ migration complete - fix FITS export, add memory pipeline"
44,ddf17ca3,2026-07-12,fujiaze,M,5,448,16,,﻿feat: switch calibrate_data to C++ DLL path
45,e27ff13d,2026-07-12,fujiaze,L,7,2524,0,,feat: initial Astro-Data-Pipline - memory pipeline C++ implementation
46,2767c66b,2026-07-12,fujiaze,M,4,0,1470,,refactor: archive residual Python photometric files
47,312dd8ad,2026-07-12,fujiaze,S,2,12,8,,"perf: fix PSF performance regression (9.26s -> 0.26s, -97.1%)"
48,9d6b200a,2026-07-12,fujiaze,S,3,40,13,,fix: dynamic buffer for .ahpx header JSON reading
49,9de3fa88,2026-07-13,fujiaze,M,2,221,145,,docs: update memory.md and README to v2.0 C++ DLL version
50,9e366aed,2026-07-13,fujiaze,S,2,39,2,,docs: add module memory.md and update README with performance fix
51,675d351d,2026-07-13,fujiaze,S,2,39,0,,docs: add module memory.md and update README with GitHub repo info
52,5c2a5e7f,2026-07-13,fujiaze,S,2,49,4,,docs: update memory.md and README with C++ DLL switch status
53,39498757,2026-07-13,fujiaze,S,2,35,0,,docs: add module memory.md and update README with GitHub repo info
54,65a52de3,2026-07-13,fujiaze,S,2,123,25,,docs: add module memory.md and update README with usage examples
55,75c6ab30,2026-07-13,fujiaze,S,2,41,0,,docs: add module memory.md and update README with GitHub repo info
56,e72ffb9c,2026-07-13,fujiaze,S,1,77,0,,docs: add missing memory.md with version history and algorithm details
57,c3664ea7,2026-07-13,fujiaze,S,1,5,0,,docs: refresh memory.md with repo restructure record
58,037c1b26,2026-07-13,fujiaze,S,1,5,0,,docs: refresh memory.md with repo restructure record
59,f63e922b,2026-07-13,fujiaze,S,1,5,0,,docs: refresh memory.md with repo restructure record
60,81b0ec5f,2026-07-13,fujiaze,S,1,6,0,,docs: refresh memory.md with repo restructure record
61,95f7ba9c,2026-07-13,fujiaze,S,1,5,0,,docs: refresh memory.md with repo restructure record
62,2a6a4d37,2026-07-13,fujiaze,S,1,5,0,,docs: refresh memory.md with repo restructure record
63,557a4d12,2026-07-13,fujiaze,S,1,9,2,,docs: refresh memory.md with repo restructure and updated links
64,bd7da16c,2026-07-13,fujiaze,S,1,1,1,,docs: update version to V5.0 in README
65,6a6cc8c5,2026-07-13,fujiaze,S,1,1,0,,chore: ignore python/tests/output directory
66,3fc4bfe4,2026-07-14,fujiaze,L,50,10485,2,,fix: STF预设单位重构 + .hiss改球面渲染消除摩尔纹
67,6cea0691,2026-07-14,fujiaze,M,8,835,192,,fix: 重写视角控制为赤道仪相机 + 修复 look_at_matrix 矩阵存储 bug + 菱形像素几何修正
68,dbb9ed05,2026-07-14,fujiaze,S,2,8,8,,"﻿fix(browser): 同步 drizzle pixfrac=1.0 修复, 外扩系数 1.25 → 1.02"
69,86047733,2026-07-15,fujiaze,M,13,1053,187,,feat(browser): LOD动态网格+uint8降采样+双击启动部署
70,cc6ad0e5,2026-07-15,fujiaze,M,11,1492,35,,feat(photometric): P0/P1/P2 性能优化 + 能量守恒测试
71,f78d3b7d,2026-07-15,fujiaze,S,1,6,2,,"feat(psf): extend psf block from [N,6] to [N,9] (add A/mad/eccentricity for SNR module)"
72,8ef816bb,2026-07-15,fujiaze,S,1,2,2,,"docs(psf): update psf block format comment [N,6] to [N,9]"
73,5ebb2f7f,2026-07-15,fujiaze,S,6,138,30,,feat(photometric): expose sigma_residual out-param for SNR module §14
74,ec7aebcc,2026-07-15,fujiaze,S,5,164,41,,feat(io): .hiss 格式扩展 snr 通道 + Python 绑定 (断层2+3)
75,8399f940,2026-07-15,fujiaze,M,8,873,0,,feat: SNR 估算模块初始版本 (乘法模型)
76,127c4a96,2026-07-15,fujiaze,L,53,19620,0,,feat: 管线编排引擎初始版本 (9节点管线 + SNR集成)
77,caf89974,2026-07-16,fujiaze,L,13,4198,3,,feat(aio): merge healpix_io into aio + selective build system (spec G1+G2)
78,484bc610,2026-07-16,fujiaze,L,19,0,9981,,refactor: archive scripts/ + add configs/ (spec G3 Phase 2)
79,d3e1a9ed,2026-07-16,fujiaze,L,19,113,39138,,refactor: merge subdirs into python/ (spec G5 Phase 3)
80,53bad25e,2026-07-16,fujiaze,S,1,4,4,,refactor: update photometric_adapter import path (spec G5 Phase 3)
81,5a37322a,2026-07-16,fujiaze,L,12,2057,0,,feat(gradient_2d): step4 C++化为独立 stage (STAGE_GRADIENT_2D)
82,7c7df79f,2026-07-16,fujiaze,M,8,756,71,,Phase 5: C++ pipeline design - two-stage 10-node pipeline (spec section 2.3)
83,03cbf2b8,2026-07-16,fujiaze,M,2,180,97,,"Phase 6: documentation sync (spec section 2.3, G8)"
84,fbc2361f,2026-07-16,fujiaze,S,2,115,3,,fix(dll_loader): resolve DLL code=126 loading failures for all 10 modules
85,978f48d8,2026-07-16,fujiaze,M,3,591,88,,feat(stage_handlers): implement actual DLL calls for 10 stage handlers
86,7aa763b5,2026-07-16,fujiaze,M,3,577,14,,feat(platesolve): implement stage 2 PLATESOLVE with ipv_solve_from_memory
87,78257227,2026-07-16,fujiaze,S,1,49,1,,docs: update memory.md with PLATESOLVE implementation details
88,1fc051a0,2026-07-16,fujiaze,M,1,859,17,,feat(stage_handlers): implement PSF/PHOTOMETRIC/GRADIENT_2D stage handlers
89,31e467bd,2026-07-16,fujiaze,S,1,35,1,,docs: update memory.md with PSF/PHOTOMETRIC/GRADIENT_2D implementation
90,b1068137,2026-07-16,fujiaze,S,2,25,2,,fix(stage2): assign hiss_files to member variables to enable GRADIENT_SPHERE
91,99211b99,2026-07-16,fujiaze,S,1,9,1,,docs: record stage2 multi-frame (2 frames) validation results
92,5817eecf,2026-07-16,fujiaze,S,1,5,0,,整理: 根目录 run_healpix.bat 移入 healpix_browser_qt/（2026-07-16）
93,1fce1248,2026-07-16,fujiaze,S,1,227,0,,整理: 根目录调试脚本归档 + 高价值工具保留（2026-07-16）
94,75835599,2026-07-16,fujiaze,L,55,19183,0,,重构: 根目录调试文件整理 + 模块内部冗余清理（2026-07-16）
95,7604fdca,2026-07-16,fujiaze,L,57,271,13083,,"归档: 遗留浏览器+healpix_lod+healpix_io 源码归档, 依赖迁移至 astro_image_io, SingleFrameView 废弃（2026-07-16）"
96,cd86827c,2026-07-16,fujiaze,S,2,18,1,,fix(psf): 修正 Moffat4 FWHM 因子 0.87 → 1.2303 + memory 迁入 PSF 性能优化记录（2026-07-16）
97,a0ff3dd5,2026-07-16,fujiaze,S,2,240,0,,feat(snr): 新增 snr_extract_model 稀疏控制点模型提取 API（2026-07-16）
98,ee8e5437,2026-07-18,fujiaze,M,7,593,472,,"refactor(stage1): 归档 GRADIENT_2D 节点, stage1 由 8 节点缩减为 7 节点"
99,875f01a9,2026-07-18,fujiaze,L,13,63,2057,,refactor: 归档 gradient_2d 模块到 archive/ (stage1 不再做曲面拟合)
100,c384de17,2026-07-24,fujiaze,S,0,0,0,,chore: initialize main repository
101,b684ab25,2026-07-24,fujiaze,L,58,15883,0,,Merge remote-tracking branch 'astro_image_io/main'
102,58daf22c,2026-07-24,fujiaze,L,31,6831,0,,Merge remote-tracking branch 'calibration/main'
103,b92fefe3,2026-07-24,fujiaze,L,8,2627,0,,Merge remote-tracking branch 'data_pipeline/main'
104,2325bae9,2026-07-24,fujiaze,M,12,1617,0,,Merge remote-tracking branch 'dynamic_psf/main'
105,f727ab83,2026-07-24,fujiaze,L,12,3711,0,,Merge remote-tracking branch 'gaia_xpsd_client/main'
106,8c03d08e,2026-07-24,fujiaze,L,35,7214,0,,Merge remote-tracking branch 'healpix_db/main'
107,6a2ce3d3,2026-07-24,fujiaze,L,37,12661,0,,Merge remote-tracking branch 'orchestrator/main'
108,3746a61f,2026-07-24,fujiaze,L,32,26956,0,,Merge remote-tracking branch 'photometric_calib/main'
109,dabf35e1,2026-07-24,fujiaze,L,55,19183,0,,Merge remote-tracking branch 'plate_solve/main'
110,98ec469c,2026-07-24,fujiaze,M,8,1113,0,,Merge remote-tracking branch 'snr_estimator/main'
111,1181b8d0,2026-07-24,fujiaze,L,22,6503,0,,Merge remote-tracking branch 'star_detector/main'
112,d411565e,2026-07-24,fujiaze,L,36,11946,0,,"docs: integrate root documentation, specs, and gitignore into main repo"
113,d459bb4f,2026-07-24,fujiaze,S,2,48,1,,chore: 添加 .gitattributes 强制 LF + 扩充 .gitignore 规则
114,f822bebf,2026-07-24,fujiaze,M,6,477,169,,feat(photometric_calib): 提交 star_matcher/spectrum_integrator 本地代码修改
115,705b89b6,2026-07-24,fujiaze,M,4,401,0,,docs: 纳入项目核心文档 + 更新 memory.md 仓库整合记录
116,9f10c72c,2026-07-24,fujiaze,S,1,6,3,,docs(memory): 补充主仓库迁移与 PlateSolve-IPV-Cpp 封存记录
117,eb44f655,2026-07-24,fujiaze,S,1,2,0,,docs(memory): 补充 Gaia-DR3-DR3SP-Client-C 与 Dynamic-PSF-Cpp 封存记录
118,1ac74251,2026-07-24,fujiaze,L,79,4863,1,P00-001,P00-001: 冻结并复核主仓库基线
119,a5fc8dd9,2026-07-24,fujiaze,L,25,4577,5,P00-002,P00-002: 恢复并固定 healpix_drizzle 源码
120,dde66ba1,2026-07-24,fujiaze,L,44,13649,0,P00-003,P00-003: 恢复并固定 healpix_stack 源码
121,61c3b056,2026-07-24,fujiaze,L,13,2283,34,P00-004;P00-005,P00-004: 建立完整模块与依赖图
122,39e049bb,2026-07-24,fujiaze,M,10,494,25,P00-005;P00-006;SHA-256,P00-005: 采集工具链与本机环境
123,bb853b5c,2026-07-24,fujiaze,L,17,2897,26,P00-006;P00-007,P00-006: 复核旧审计 163 项当前状态
124,7dfc183d,2026-07-24,fujiaze,M,11,1442,22,ADR-002;ADR-003;GAP-011;P00-006;P00-007;P00-008,P00-007: 建立文档冲突登记
125,a063d416,2026-07-24,fujiaze,M,11,1042,42,ADR-001;P00-001;P00-007;P00-008;P01-001;P01-002;P01-007;SHA-256,P00-008: 冻结 baseline tag (G0 gate)
126,bfc1bb1a,2026-07-24,fujiaze,M,11,1100,7,ADR-004;P00-004;P00-005;P01-001;P01-002,P01-001: 确定根级构建策略 ADR-004
127,7b85ff3f,2026-07-24,fujiaze,M,10,1309,2,ADR-002;P00-004;P00-005;P01-002;P01-003;P01-005,P01-002: 建立依赖锁定清单
128,ba4f0d34,2026-07-25,fujiaze,L,1215,338413,1070,ADR-005;P00-001;P00-002;P00-003;P01-001;P01-002;P01-003;P02-001,P02-002/P02-005: v1.1包部署+P00-P02证据+候选路径API
129,55e6d6d2,2026-07-25,fujiaze,L,743,295902,99,P02-001;P02-003,P02-003: PlateSolve 全量 A/B 与路径决策 (路径B callback 导出)
130,f8097dfc,2026-07-25,fujiaze,L,743,295902,99,P02-003,Merge path-b-callback-export: P02-003 路径B (callback 导出) 合并到 main
131,c960dcc1,2026-07-25,fujiaze,L,740,281601,4,P02-005;P02-007,P02-007: PlateSolve 无退化与单次检测专项 Gate 验证 (CONDITIONAL_PASS)
132,8b4ba311,2026-07-25,fujiaze,M,10,636,68,P02-006,P02-006: 删除无消费者gaia_cat二次查询+GaiaClient进程内缓存
133,7cd71c03,2026-07-25,fujiaze,L,21,2955,27,P00-003;P03-001;P03-002;P03-003,P03-001: 真实校准输入接线 (VERDICT: PASS)
134,448a568e,2026-07-25,fujiaze,L,15,2796,33,DEF-01;DEF-02;DEF-03;DEF-04;DEF-05;P03-002,P03-002: 配置参数端到端追踪 (VERDICT: PASS)
135,a4290d8e,2026-07-25,fujiaze,M,15,1727,101,P03-003;P03-004,P03-004: SNR 稀疏模型与 SIP 一致性
136,0610c001,2026-07-25,fujiaze,M,7,692,0,P03-003;P03-004,P03-003: 严格失败与禁止静默跳过 (v1.1 开发包) - 证据交付
137,8861cce8,2026-07-25,fujiaze,S,3,41,0,P03-003,P03-003: 更新 memory 记录严格失败与禁止静默跳过完成
138,eb6eeb44,2026-07-25,fujiaze,S,1,2,2,,P03阶段完成: G3 gate通过(校准+配置+严格失败+SNR)
139,9ab211ed,2026-07-25,fujiaze,L,20,3345,24,P03-003;P04-001;SHA-256,P04-001: CLI request 与 effective config (v1.1 开发包) - VERDICT: PASS
140,df2058bd,2026-07-25,fujiaze,M,24,1567,59,P03-003;P04-001;P04-002,feat(orchestrator): P04-002 JSONL 事件与稳定错误码 (v1.1 开发包)
141,74c44b91,2026-07-25,fujiaze,S,3,22,18,P04-002;P04-003,chore(control): P04-002 完成后更新任务注册表与项目状态
142,83b0b9cc,2026-07-25,fujiaze,L,24,3357,39,P04-003;P04-004,feat(orchestrator): P04-003 capabilities 与 inspect 命令 (v1.1 开发包)
143,4c8a2f73,2026-07-25,fujiaze,M,24,1441,3,P04-002;P04-003;P04-004,feat(orchestrator): P04-004 取消、超时与 partial 输出 (v1.1 开发包)
144,f98de03b,2026-07-25,fujiaze,S,1,2,2,,P04阶段完成: G4 gate通过(CLI request+JSONL+capabilities+取消超时)
145,7c4c1ae4,2026-07-25,fujiaze,L,10,2054,0,P02-001;P05-001;SHA-256,feat(engineering): P05-001 真实参考数据集登记 (v1.1 开发包)
146,e7dccd92,2026-07-25,fujiaze,L,53,5422,0,P03-004;P05-001;P05-002;SHA-256,feat(engineering): P05-002 Stage1 真实数据端到端验证 (v1.1 开发包)
147,ad1f1d37,2026-07-26,fujiaze,L,36,4815,0,P05-003,P05-003 Stage1 负面与恢复测试
148,54826760,2026-07-26,fujiaze,L,46,2678,0,P05-003,P05-003
149,a3534171,2026-07-26,fujiaze,S,1,3,3,P05-001;P05-002;P05-003,chore(control): P05-003 完成 - 同步 MASTER_TASK_REGISTER 状态
150,62226ec7,2026-07-26,fujiaze,L,39,2041,23,P00-003;P06-001;P06-002;SHA-256,P06-001 Stage2 真实输入兼容检查完成 (VERDICT: PASS)
151,5ec98660,2026-07-27,fujiaze,M,3,441,1,,tools: 新增 astro_toolkit.py Python 工具集（跳过沙箱确认）
152,4ccb507b,2026-07-27,fujiaze,L,70,3686,21,P00-003;P03-004;P06-002;P06-003;SHA-256,P06-002 球面梯度与稳健叠加证据 (v1.1 开发包) - VERDICT: PASS
153,50310948,2026-07-27,fujiaze,L,16,2264,22,P00-003;P04-003;P06-001;P06-003;SHA-256,P06-003 HCSD 输出与独立读取 (VERDICT: PASS)
154,4c1f546e,2026-07-27,fujiaze,M,13,1423,26,P00-003;P07-001;P07-002;SHA-256,P07-001 性能与峰值内存基线 (VERDICT: PASS)
155,8440e190,2026-07-27,fujiaze,L,29,24511,0,P07-001;SHA-256,P07-001 补充证据: logs/ + HISS 输出文件
156,c3865eb6,2026-07-27,fujiaze,L,15,2224,22,P00-003;P07-001;P07-002;P08-001;SHA-256,P07-002 长批次与故障稳定性 (VERDICT: PASS)
157,29cb2912,2026-07-27,fujiaze,L,44,26557,0,P07-001;P07-002;SHA-256,P07-002 补充证据: logs/ + HISS 输出文件
158,889944ad,2026-07-27,fujiaze,M,15,997,23,P08-001;P08-002;SHA-256,P08-001 CLI Core v1 发布包 (VERDICT: PASS)
159,dc774c6d,2026-07-27,fujiaze,M,14,1407,22,P08-001;P08-002;SHA-256,P08-002 最终独立复核与交接: v1.1 开发包交付完成 (VERDICT: PASS)
160,a3b468dd,2026-07-27,fujiaze,M,4,334,0,P08-002;SHA-256,"P08-002 补充提交: logs/ 证据文件 (被 .gitignore logs/ 规则忽略, 用 -f 强制添加)"
161,ed145a70,2026-07-27,fujiaze,L,81,15944,0,SHA-256,docs: 补充项目 README + 生成 v1.1 审计包
162,0d1857de,2026-07-27,fujiaze,L,146,5153,26,CORR-001;P09-001;P09-002;SHA-256,P09-001 冻结 v1.1 事实基线并建立 v1.2 证据 (VERDICT: PASS)
163,06df865b,2026-07-27,fujiaze,M,15,923,35,P02-003;P02-007;P09-002;P09-003;SHA-256,P09-002: 统一共享检测命名为 INTERNAL_DETECTION_SHARED_EXPORT
164,73a33b79,2026-07-27,fujiaze,L,21,3381,11,P02-003;P02-007;P05-001;P05-002;P07-001;P07-002;P08-002;P09-002,P09-003: 冻结测光失败帧与浏览器性能基线数据
165,bb6963b4,2026-07-27,fujiaze,L,17,3180,11,P10-001;P10-002;P10-005,P10-001: 读取全部 TestData 子目录说明文档
166,fb1ad490,2026-07-27,fujiaze,L,24,2988,3,P10-001;P10-002;P10-003;P10-004;P10-005,P10-002: 建立 T1-T4 设备档案 (DONE)
167,2005b3c1,2026-07-27,fujiaze,M,16,1694,56,P10-002;P10-003;P10-004;P10-005;SHA-256,P10-003: 盘点全部主校准帧 (DONE)
168,3919ebc7,2026-07-27,fujiaze,L,16,2419,22,P10-001;P10-002;P10-003;P10-004;P10-005,P10-004: 冻结滤镜规范名和别名 (DONE)
169,d0e87144,2026-07-27,fujiaze,L,19,3007,26,P10-002;P10-003;P10-005;P10-006,P10-005: implement Light-to-Master resolver with 587/710 resolved
170,f0708761,2026-07-27,fujiaze,S,4,45,32,P10-001;P10-006,feat(P10-006): complete T1-T4 representative frame calibration validation
171,411b406d,2026-07-27,fujiaze,M,10,1158,30,P11-001;P11-002;P11-005,feat(P11-001): freeze coordinate conventions (FROZEN)
172,222d5ce8,2026-07-27,fujiaze,L,35,34471,36,P10-006;P11-002,P11-002: establish standard WCS real star pair closure diagnostic tool
173,5784ce74,2026-07-28,fujiaze,L,52,320536,43,P11-002;P11-003;P11-004,"P11-003: reproduce WCS closure defects on T1-T4 representative frames (16/16 diagnosed, 8/16 gate PASS, VERDIC"
174,93ee0258,2026-07-28,fujiaze,L,26,34651,42,P11-004,"P11-004: export review bundle and defer (DEFERRED, awaiting review feedback)"
175,f4ec8b24,2026-07-28,fujiaze,L,452,426454,13,P11-004;P11-005,P11-004: 完成 WCS Gate v2 双层闭环验证与 SIP 序列化修复
176,33e070a6,2026-07-28,fujiaze,L,3,131256,0,P11-005,P11-005: add PlateSolve 710-frame regression evidence (709/710 success)
177,fe65e9e6,2026-07-28,fujiaze,S,4,17,26,P11-005;P11-006,"P11-005: mark DONE (IPV_SOLVER_VERIFIED_BY_USER), prepare P11-006"
178,81fc276f,2026-07-28,fujiaze,S,1,8,0,P11-005,"memory: record P11-005 completion (710-frame regression, ipv verified by user)"
179,d4b73320,2026-07-28,fujiaze,S,1,3,2,P11-001;P11-006,P11-006: fix CRPIX conflict in ipv_wcs.cpp (unify to width/2.0+0.5 per P11-001 frozen value)
180,785d7404,2026-07-28,fujiaze,S,1,2,2,P11-006,P11-006: update CLI capabilities with WCS schema versions and authoritative pairs export
181,96b527e3,2026-07-28,fujiaze,M,3,498,0,P11-006,P11-006: add coordinate convention v2 and task evidence
182,36cf2e59,2026-07-28,fujiaze,S,1,57,0,P11-006,P11-006: extend wcs_authoritative_pairs schema with provenance fields
183,bd7b9fa8,2026-07-28,fujiaze,S,4,19,8,P11-006,"P11-006: mark DONE, update control files (coordinate convention v2 + CLI capabilities + provenance)"
184,d2593f54,2026-07-28,fujiaze,S,1,17,6,P11-005;P11-006,P11-005: update task report with P11-006 offset_px removal correction
185,f4816192,2026-07-28,fujiaze,S,1,15,1,P11-006,"memory: record P11-006 completion (coordinate convention v2, CRPIX fix, CLI capabilities, provenance)"
186,b6d19e56,2026-07-28,fujiaze,M,5,351,22,P12-001,P12-001: add PhotometricDiag struct with 17 stage counters to photometric DLL
187,cc53c006,2026-07-28,fujiaze,S,2,149,3,P12-001,P12-001: integrate PhotometricDiag into orchestrator (photo_stats KV + photometry_report.json + quality_metric
188,9b4f2f78,2026-07-28,fujiaze,S,1,158,11,P12-001,P12-001: sync Python ctypes wrapper with PhotometricDiag output parameter
189,8ccdf362,2026-07-28,fujiaze,M,11,1456,0,P12-001,"P12-001: add task evidence (spec, task report, test report, contract test)"
190,b69b09cb,2026-07-28,fujiaze,S,4,34,8,P12-001,"P12-001: mark DONE, update control files (photometric diagnostic struct + CLI quality_metric event)"
191,a6d1040a,2026-07-28,fujiaze,M,12,1127,46,P12-002;P12-003,P12-002: fix KdTree2D direction bug and add bidirectional unique matching
192,b7b18794,2026-07-28,fujiaze,L,15,6113,31,P12-003,P12-003: 验证光谱积分与响应曲线无回归
193,67161dc3,2026-07-28,fujiaze,S,1,18,0,P12-002;P12-003,memory: 记录 P12-003 完成（验证光谱积分与响应曲线无回归）
194,b854d9a7,2026-07-28,fujiaze,L,32,6665,33,P12-002;P12-004;P12-005,P12-004: T1-T4 与滤镜类别测光矩阵验证
195,60ce5032,2026-07-28,fujiaze,L,52,10198,2888,P11-006;P12-001;P12-004;P12-005;P12-006,P12-005: 修复 SNR 模型与 HISS 持久化 (16/16 Gate PASS)
196,38470d2b,2026-07-28,fujiaze,S,1,47,0,P12-004;P12-005,memory: 记录 P12-004/P12-005 完成（initDiag 修复、scale_factor 误判、HA/OIII 滤光片、中文路径绕过，16/16 Gate PASS）
197,5fc85c25,2026-07-29,fujiaze,M,13,1567,53,P12-005;P12-006,P12-006: 生成 Stage1 代表矩阵正式 HISS (16/16 PASS)
198,c755334b,2026-07-29,fujiaze,L,12,2456,36,P13-001,feat(P13-001): 建立 Stage1 全 TestData 批处理与恢复入口
199,61d49fa9,2026-07-29,fujiaze,S,2,7,4,P13-002,P13-002 修复 snr_evaluator 栈溢出 (0xC00000FD)
200,e5aeaacb,2026-07-29,fujiaze,M,3,481,1,,新增浏览器 CLI 后台调试工具 + 修复浏览器打不开
201,04226a9a,2026-07-29,fujiaze,S,1,4,1,P13-002,P13-002 修复 snr_evaluator 栈溢出 (根因修正)
202,977f1381,2026-07-29,fujiaze,M,11,834,31,P13-002,docs(v1.3): 生成 P13-002 审计交付包 + 根目录整理
203,036a3bb5,2026-07-29,fujiaze,L,4261,11699,1635701,P10-006;P11-003;P11-004;P11-005,chore: 根目录整理 + 工程控制包重命名
204,75b05f72,2026-07-30,fujiaze,L,145,6479,159,A-001;A-002;SHA-256,feat(A-001): 安装权威开发包 v2.0，完成 README 迁移
205,3950ddb5,2026-07-30,fujiaze,L,9,3322,0,A-002,feat(A-002): 整理T1-T4设备档案与说明文档
206,853e6a55,2026-07-30,fujiaze,M,11,1297,10,A-003;A-004,"feat(A-003,A-004): 滤镜别名清单 + Light到Master严格解析器"
207,3c219af8,2026-07-30,fujiaze,S,3,66,4,A-001;A-004,feat(Gate A): Gate A 全部通过 + 进入 Gate B
208,4e7fa494,2026-07-30,fujiaze,M,11,684,3,A-004,feat(B-001): 选择3个代表帧+配置，全部RESOLVED
209,a7e61746,2026-07-30,fujiaze,M,7,1785,2,,feat(B-002): 3帧Stage1全部成功，科学统计良好
210,2d32460c,2026-07-30,fujiaze,M,12,1471,4,,feat(Gate B): Gate B 全部通过 + 进入 Gate C
211,51d89849,2026-07-30,fujiaze,L,25,5829,17,,"feat(C-001,H-001~H-003): HISS v2契约冻结 + H链资源监测完成"
212,38b05b0e,2026-07-30,fujiaze,M,7,1637,3,,"feat(C-002): HISS v2读写器实现完成, 37/37测试PASS"
213,af38cf1e,2026-07-30,fujiaze,L,16,2948,5,,feat(Gate C): Gate C 全部通过 + 进入 Gate D
