符号或键,类别,位置集合（全部侧，规范化全路径:行）,现行值,单位,坐标系或归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,是否已复核,冲突标记,来源成稿与条目,多侧默认值预筛（预筛已回：raw/D4-多侧默认值全表.csv）
noise.mask_r_min_px,常数,eng/packaging/config/defaults.json:233；docs/science/NOISE_MODEL.md:96；lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1259,1.5,px,"逐星半径下界 r_min=max(1.5 px, 0.75·FWHM_i) 的绝对项",无精度陈述,"注册 constraint 写 >=1 而取值 1.5（两数不同源）；schema :281-285 minimum=**0** maximum=1e4；解析层 [0,1e4]",文献值（本仓 SCI §5a 同式，无外部一手）,"docs/science/NOISE_MODEL.md:96（r_min = max(1.5 px, 0.75·FWHM_i)；符号表 :38 同）；注册件所引 :85 是空行",文献值,Phase1 逐星掩膜半径下界,否（判读层逐行已判，未过第②层复核）,"红（判读层立案 逐侧并列见本行出处与备注引文）：值域两侧不等立案：注册面 >=1、权威式取 max(1.5,·)，但 schema 与解析层都放行 0 ⇒ 填 0 时 schema/代码判合法、使用层 :827 静默改取 1.5 而 noise_cfg_applied 回执记 0（第四侧隐藏默认）",AUD-402-判读-A1,预筛已回：全表命中键 mask_r_min_px｜有值侧 3（S1 defaults、S4 合同schema、S5 代码兜底）
noise.patch_grid,常数,eng/packaging/config/defaults.json:90；docs/science/NOISE_MODEL.md:61；lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1248-1249；lib/algorithms/noise_snr/cpp/include/snr_estimator.h:131；lib/algorithms/noise_snr/README.md；eng/packaging/config/defaults.json,"[8, 8]",patch 格数,"噪声估计 patch 网格行列数 [gx, gy]",整数；实现侧下限钳位 2（NOISE_ESTIMATION.md:180 差异登记）,"注册 >=2x2；schema :254-259 array[2] items integer minimum=2 maximum=4096 default=[8,8]；解析层 [2,4096]（module_adapters.cpp:6454-6455）",文献值（本仓 SCI 冻结定义）,真锚 docs/science/NOISE_MODEL.md:61（§5『patch grid 8x8』）与 :48（§3a 像素域 8x8）；**注册件 source 与 source_ref 都引 :54，该行讲的是平面场启用条件（enable_spatial_field/n_control_points），不含 8x8**,文献值,Phase1 patch 噪声估计,否（判读层逐行已判，未过第②层复核）,红（判读层立案 逐侧并列见本行出处与备注引文）：**耦合未登记立案**：8x8 与 noise.min_patch_samples=64 是同一几何量的两侧（README:117 明写 64=8x8 全格），而两键在 defaults.json 各自独立、代码各自兜底 ⇒ 改 patch_grid 不会联动 min_patch_samples，会,AUD-402-判读-A1,预筛已回：全表命中键 patch_grid｜有值侧 2（S1 defaults、S4 合同schema）
noise.spatial_field_enabled,常数,eng/packaging/config/defaults.json:191；docs/science/NOISE_MODEL.md:54；lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1255,1,bool(0/1),1 且 n_ctrl>=4 且控制点几何张成二维（lambda_lo/lambda_hi>=1/16）走 LS 平面，否则全局中位数兜底,不适用（开关）,"注册 {0,1}；schema :269-272 type=**boolean** default=true；解析层 flag() 同时接受 bool 与整数 0/1",文献值（本仓 SCI 启用条件）,docs/science/NOISE_MODEL.md:54（enable_spatial_field==1 && n_control_points>=4 且几何张成二维；注册件所引 :47 是空行）,文献值,Phase1 空间噪声场,否（判读层逐行已判，未过第②层复核）,红（判读层立案 F-5｜AUD-402-判读-A1 §2.1 F-5）：跨侧类型不一致：注册值是整数 1、schema 声明 type=boolean、实现是 int flag ⇒ 注册值原样写进 phase_config 会判型失败,AUD-402-判读-A1,预筛已回：全表命中键 spatial_field_enabled｜有值侧 2（S1 defaults、S4 合同schema）｜候选档 ⑤仅跨侧异值（含同名异义嫌疑）
paths.gaia_root,算法,eng/packaging/config/defaults.json:744；eng/packaging/config/defaults.json:748；ASTROCS_DESIGN.md；AGENTS.md；lib/infrastructure/cli/session_commands.h:188；lib/infrastructure/scheduler/src/module_adapters.cpp；eng/packaging/config/config_registry.json:446,gaia,path,Gaia 外部只读星表根目录（相对仓库根解析；可用 eng/packaging/config/local.paths.json 覆盖，该文件 .gitignore:172 不入库）,不适用（路径）,注册：存在且可读；无 schema/模板/CLI 以该名承载,文献值（负责人直接指令 2026-09-21）,defaults.json:748 记负责人指令原文（无文档条款号，source_ref=null）；ASTROCS_DESIGN.md 与 AGENTS.md §7 记 gaia/ 为根级只读数据集目录（跟踪数 0，gitignore）⇒ 路径本身有授权，值的语义（相对谁解析）靠 constraint 自述,文献值,Gaia 客户端与星表引导检测,否（判读层逐行已判，未过第②层复核）,红（判读层立案 F-8｜AUD-402-判读-A1 §2.1 F-8）：三处 gaia 两种语义：注册 leaf 在生产零命中，生产键是 wcs.gaia_data_dir / star_detection.gaia_data_dir；registry 里 declared_default=gaia 的 field 名是 catalog（星表标识）⇒ 注册键无消费点,AUD-402-判读-A1,预筛已回：全表命中键 gaia_root｜有值侧 1（S1 defaults）
photometry.mag_tolerance,容差,lib/algorithms/photometry/cpp/src/pc_api.cpp:145；lib/algorithms/photometry/cpp/src/pc_api.cpp:435；eng/packaging/config/defaults.json:541（补侧·抄自判读件按侧登记的位置列）；docs/science/PHOTOMETRY.md:34（补侧·本行出处所列，该侧带值）,3.0,mag,|delta_i − median(delta)| 预过滤阈,未标注,测光星等一致性预过滤；实测 sigma_residual≈0.045 mag ⇒ 3.0 mag=15.85 倍亮度，几乎不滤,有文献（本仓 SCI §5/:191/:202）；登记面为死键（生产无读取点）,docs/science/PHOTOMETRY.md:34（真陈述行，注册件引 :30 偏 +4）；pc_api.cpp:145/:435 字面量 3.0；defaults.json 标 dead_config_key,文献值,测光预过滤,是（第②层独立复核）,红：注册键死＋真值在代码字面量两处；正本 :218 指代码、:220 指配置键，同文档互相指认,AUD-201-测光核验 AUD201-008／AUD201-013／AUD201-017；复核-AUD201 V4/V5；AUD-402-判读-A1 F-15；复核注记：是（复核-AUD201 V4 定 P1：溯源验证机制空转）；F-15,预筛已回：全表命中键 mag_tolerance｜有值侧 2（S1 defaults、S5 代码兜底）
photometry.min_inlier_stars,常数,lib/algorithms/photometry/cpp/src/star_matcher.cpp:616；eng/packaging/config/defaults.json:611（补侧·抄自判读件按侧登记的位置列）；docs/science/PHOTOMETRY.md:191（补侧·本行出处所列，该侧带值）,2,星数,估计 sigma_residual 的最少 inlier,整数,|r_inliers| ≥ 2 才估 sigma_residual，否则置 0,有文献（SCI §4/:191）,docs/science/PHOTOMETRY.md:191（注册件引 :44 偏 +147）；star_matcher.cpp:616 字面量,文献值,测光残差尺度估计,是（第②层独立复核）,红：n=2 时 MAD 无统计意义（判读层判「下限应随稳健尺度估计自由度提高」）＋注册键死,AUD-201-测光核验 AUD201-008；复核-AUD201 V4；AUD-402-判读-A1；复核注记：是,预筛已回：全表命中键 min_inlier_stars｜有值侧 1（S1 defaults）
photometry.min_reference_stars,常数,lib/algorithms/photometry/cpp/src/star_matcher.cpp:518；eng/packaging/config/defaults.json:597（补侧·抄自判读件按侧登记的位置列）；docs/science/PHOTOMETRY.md:191（补侧·本行出处所列，该侧带值）,3,星数,r_consistent 进 IRLS 的最少参考星,整数，无精度,|r_consistent| ≥ 3 才进 IRLS，否则 NO_DATA,有文献（SCI §4/:191）,docs/science/PHOTOMETRY.md:191（真行，注册件引 :44 偏 +147）；star_matcher.cpp:518 字面量,文献值,测光定标入口判据,是（第②层独立复核）,红：注册键死＋日志文案另写一次 3（star_matcher.cpp:519-521）；同为「最少星数」语义的 min_stars_order1=50 无登记侧,AUD-201-测光核验 AUD201-008；复核-AUD201 V4；AUD-402-判读-A1 F-15；复核注记：是；F-15,预筛已回：全表命中键 min_reference_stars｜有值侧 1（S1 defaults）
psf.default_model,算法,eng/packaging/config/defaults.json:62；docs/science/PSF.md:9；docs/science/PSF.md:177；eng/packaging/config/config_registry.json:380,moffat4,枚举 id,点源响应模型标识（椭圆 Moffat4 七参数）,不适用（枚举）,schema :474-479 enum=[moffat4] 单值且**不声明 default**；defaults.json 侧值域『唯一实现值』,文献值（本仓 SCI；模型本身有外部一手 Moffat 1969）,"docs/science/PSF.md:9（点源响应=椭圆 Moffat4，锚正确）；一手 = Moffat 1969 A&A 3,455（PSF.md:177 登记 bibcode，自注『文章级，未逐式核验』）",文献值,PSF 拟合路径,否（判读层逐行已判，未过第②层复核）,红（判读层立案 逐侧并列见本行出处与备注引文）：六侧核对：defaults.json:62=moffat4｜schema :475 enum=[moffat4]（无 default）｜config_registry.json:380 declared_default=moffat4（第三侧同值）｜模板/CLI 骨架无该键｜lib 生产面对 lea,AUD-402-判读-A1,预筛已回：全表命中键 default_model｜有值侧 2（S1 defaults、S6 登记册）
rejection.large_scale.enabled,算法,eng/packaging/config/defaults.json:527；docs/science/REJECTION.md:121；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1261-1263；eng/packaging/config/defaults.json；docs/science/REJECTION.md:231；lib/infrastructure/scheduler/src/module_adapters.cpp:1260（补侧·本行出处所列，该侧带值）,false,bool,空间邻域生长仅 large_scale 结构半径（pixel 域），默认关闭,不适用（开关）,"注册 {0,1}；无 schema 承载",文献值（本仓冻结表）,"docs/science/REJECTION.md:121（large_scale 默认关闭: enabled=0, min_structure=8, low/high grow radius=2）；注册件 source :61（空行）与 source_ref :24（P2RejectionLargeScaleConfig 符号表行）均不含『默认关闭』",文献值,Phase2 空间邻域排异,否（判读层逐行已判，未过第②层复核）,红（判读层立案 F-5｜AUD-402-判读-A1 §2.1 F-5）：注册值是布尔 false、实现是 int flag（module_adapters.cpp:1260）、类型面两侧不等,AUD-402-判读-A1,预筛已回：全表命中键 enabled｜有值侧 1（S5 代码兜底）
rejection.linear_fit.upper_sigma,算法,eng/packaging/config/defaults.json:429；docs/science/REJECTION.md:117；docs/science/REJECTION.md:94,3.5,sigma,linear_fit 高侧阈值,未标注,注册 >0；无 schema 承载,文献值（同族）,docs/science/REJECTION.md:117,文献值,Phase2 排异,否（判读层逐行已判，未过第②层复核）,红（判读层立案 O-4｜AUD-402-判读-A1 §2.3 O-4）：名义值与有效值偏离 1.5–1.9 倍：唯一数值源 REJECTION.md:117 与代码同值 3.5，而 REJECTION.md:94 另记该档有效阈 ≈2.1–2.4·σ_robust、过拒 12.200%,AUD-402-判读-A1,预筛已回：全表命中键 upper_sigma｜有值侧 2（S1 defaults、S5 代码兜底）｜候选档 ⑤仅跨侧异值（含同名异义嫌疑）
snr.path,算法,eng/packaging/config/defaults.json:703；docs/plugins/algorithms_phase1/07_noise_snr.md:186；lib/infrastructure/cli/session_commands.h:230；eng/ci/ledgers/dead_config_keys.json；eng/packaging/config/defaults.json；eng/contracts/schemas/phase_config_mosaic.schema.json:164,sparse_reconstruct,枚举 token,Phase2 消费 Phase1 SNR 层的路径,不适用（枚举）,"枚举三值 {dense, sparse_reconstruct, frame_reconstruct}；schema :166-172 **给 default=sparse_reconstruct**（值域与默认都有承载）",文献值（负责人裁决 + 插件文档）,docs/plugins/algorithms_phase1/07_noise_snr.md:186 附近与 GAP_AUDIT §9.46（负责人：马赛克各帧天光/光污染空间分布不同 ⇒ 帧级标量精度不足）；值域与默认唯一事实源 = phase_config_mosaic.schema.json#/$defs/mosaic_config/properties/snr_path；链路报告侧：eng/contracts/schemas/phase_config_mosaic.schema.json:164-170；eng/ci/ledgers/dead_config_keys.json；AUD-402-判读-A1 X-2,文献值,Phase2 SNR 重建,否（判读层逐行已判，未过第②层复核）,红：默认值仅表意图、未接线 ⇒ 禁按默认判读产品,AUD-402-判读-A1；AUD-402-判读-A1 X-2／U-16,预筛已回：全表命中键 snr.path｜有值侧 5（S1 defaults、S2 出厂模板、S3 CLI骨架、S4 合同schema、S6 登记册）
tolerance / tolerance_relative,容差,lib/infrastructure/scheduler/src/module_adapters.cpp:9571；lib/phase2_session/p2_session.cpp:204；lib/algorithms/coverage/include/astro/phase2/upm.h:113；docs/science/PHASE2_UPM.md:378（补侧·本行出处所列，该侧带值）,tolerance=1e-6 两侧同值；tolerance_relative 适配器侧=1、session 侧未设⇒结构体默认 0,相对（无量纲比例）／绝对（ADU·sr⁻¹）,"IRLS 步长判据 tol = tolerance × max(scale_obs, 1.0)",不适用,生产尺度 scale_obs≈5.262929e13 ⇒ ulp=1.168605e-02；绝对阈 1e-6 = 8.557e-5×ulp（比一个 ulp 小 1.17e4 倍）⇒ 原理不可达；相对阈折回 1.210e-3 ADU/px ⇒ 可达,有文献（docs/science/PHASE2_UPM.md:98 标题行「容差随观测尺度归一，禁绝对容差」、:114-115「生产必须 tolerance_relative=1」）,module_adapters.cpp:9571/:9573（设 1）、:9650-9652（读覆盖键）；p2_session.cpp:204（只设 tolerance）＋:199-212 全列无该键、:212-218 覆盖块只读 max_iterations/huber_delta/smoothing_lambda；upm.h:113 int tolerance_relative=0；upm.cpp:1036-1040 唯一消费处、:1409 持久化,文献值,Phase2 UPM 收敛判定本身（非仅日志）,是（第②层复核改判）,红：同一参数在生产两处入口取不同值（相对 vs 绝对）；session 侧那条路对 upm.tolerance_relative 的覆盖键静默失效；该键在 defaults.json／CLI 白名单／phase_config schema 零登记；两处登记锚（DISP-P2UPM-006、PHASE2_UPM.md:378 §16.3）行号已全部漂移,AUD-203-天光无缝核验 AUD203-09；复核-AUD203 V4；复核注记：是（复核-AUD203 V4 定 P2：生产侧取合规一侧；并订正成稿「设计 §5 明文」为「同一句还带『禁绝对容差』四字 ⇒ session 侧是违禁不是不一致」）,
w_jp 权重分母,公式,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1617；docs/algorithms/DRIZZLE_GEOMETRY.md:48（补侧·本行出处所列，该侧带值）；docs/contracts/DATA_SEMANTICS.md:47（补侧·本行出处所列，该侧带值）,"代码 = a_jp/A_drop,j；两处文档 = a_jp/A_pixel,j",无量纲,drop 归一 vs 像素归一,严格（Σ_p w_jp = 1 只在 drop 归一下成立）,用 A_pixel 分母时 Σ_p w'_jp = pixfrac² ⇒ 同一句「通量守恒」相差 pf²（0.8⇒0.64）,文献值（A：Fruchter & Hook 2002 §7.2 式(7) 的 a 是 the drop 的分数交叠）＋代码为唯一裁判,drizzle_engine.cpp:1617；docs/algorithms/DRIZZLE_GEOMETRY.md:48-50/:332（正确侧）vs :337-346、docs/contracts/DATA_SEMANTICS.md:47、ASTROCS_DESIGN.md:209（冲突侧）,文献值,创新点④ 权重与通量守恒声明,是（第②层独立复核）,红：同一符号在一份文档体系内两种分母，其中两处与代码相反,AUD-204-面积交叠核验 AUD204-09；复核注记：是,
