来源成稿,对象,提及行数,波次
AUD-101-DA01-根规范与科学.md,docs/development/TOOLCHAIN_LOCK.md,1,W3
AUD-101-DA01-根规范与科学.md,docs/operations/TOOLCHAIN_AGENT_HOST.md,1,W3
AUD-101-DA01-根规范与科学.md,docs/performance/,1,W3
AUD-101-DA01-根规范与科学.md,docs/operations/FATDUCK_ACCESS.md,1,W3
AUD-101-DA01-根规范与科学.md,docs/architecture/MODULE_MAP.md,1,W2
AUD-101-DA01-根规范与科学.md,docs/standards/NUMERIC_STANDARD.md,1,W3
AUD-101-DA01-根规范与科学.md,docs/algorithms/NOISE_ESTIMATION.md,1,W1
AUD-101-DA01-根规范与科学.md,docs/interfaces/,1,W2
AUD-101-DA01-根规范与科学.md,"docs/science/{ASTROMETRY,CALIBRATION,STAR_DETECTION}.md",1,W1
AUD-101-DA01-根规范与科学.md,lib/algorithms/photometry/,1,W1
AUD-101-DA01-根规范与科学.md,lib/algorithms/photometry/cpp/src/star_matcher.cpp,1,W1
AUD-101-DA01-根规范与科学.md,docs/architecture/execution_inventory.csv,1,W2
AUD-101-DA01-根规范与科学.md,lib/algorithms/noise_snr/cpp/src/noise_model.cpp,1,W1
AUD-101-DA01-根规范与科学.md,reports/PROJECT-GOVERNANCE-01/research/MASK-001_…,1,W3
AUD-101-DA01-根规范与科学.md,reports/PROJECT-GOVERNANCE-01/research/MASK-001_掩膜语义重新推导.md,1,W3
AUD-101-DA01-根规范与科学.md,reports/PROJECT-GOVERNANCE-01/…,1,W3
AUD-101-DA01-根规范与科学.md,"docs/plugins/algorithms_phase{1,2,3}/",1,W1
AUD-101-DA01-根规范与科学.md,"docs/algorithms/{UPM_SOLVER,PHASE2_UPM_IMPL,PHASE2_SAMPLER,GATES_AND_TOLERANCES,…}.md",1,W1
AUD-101-DA01-根规范与科学.md,lib/algorithms/coverage/,1,W1
AUD-101-DA01-根规范与科学.md,docs/algorithms/UPM_SOLVER.md,1,W1
AUD-101-DA01-根规范与科学.md,docs/algorithms/SEAM_GATE_DERIVATION.md,1,W1
AUD-101-DA01-根规范与科学.md,"docs/algorithms/{DRIZZLE_GEOMETRY,HIPS_WRITER}.md",1,W1
AUD-101-DA01-根规范与科学.md,lib/algorithms/drizzle/healpix_drizzle/,1,W1
AUD-101-DA01-根规范与科学.md,"lib/algorithms/coverage/{src,include/astro/phase2}/",1,W1
AUD-101-DA01-根规范与科学.md,artifacts/evidence/reject-docfix-01/,1,W3
AUD-101-DA01-根规范与科学.md,"docs/algorithms/{PLATESOLVE,GAIA_QUERY,GATES_AND_TOLERANCES,PHASE2_",1,W1
AUD-101-DA01-根规范与科学.md,lib/algorithms/platesolve/cpp/ipv/,1,W1
AUD-101-DA01-根规范与科学.md,docs/algorithms/PLATESOLVE.md,1,W1
AUD-101-DA01-根规范与科学.md,"docs/algorithms/{CALIBRATION_ALGORITHMS,COSMETIC_ALGORITHMS}.md",1,W1
AUD-101-DA01-根规范与科学.md,lib/algorithms/calibration/src/calibrator.cpp,1,W1
AUD-101-DA01-根规范与科学.md,"artifacts/evidence/{sci-fix-semantics-01,lindef-close-01}/",1,W3
AUD-101-DA01-根规范与科学.md,docs/plugins/algorithms_phase1/04_psf.md,1,W1
AUD-101-DA01-根规范与科学.md,lib/algorithms/star_detection/,1,W1
AUD-101-DA01-根规范与科学.md,docs/algorithms/STAR_PSF_ALGORITHMS.md,1,W1
AUD-101-DA01-根规范与科学.md,artifacts/evidence/psf-constants/,1,W3
AUD-101-DA01-根规范与科学.md,docs/algorithms/STAR_DETECTION_ALGORITHMS.md,1,W1
AUD-101-DA01-根规范与科学.md,lib/algorithms/star_detection/…,1,W1
AUD-101-DA01-根规范与科学.md,实验/回归域内有意义,1,W1
AUD-101-DA01-根规范与科学.md,docs/architecture/PERFORMANCE_MODEL.md,1,W2
AUD-101-DA01-根规范与科学.md,docs/algorithms/ACR_EQUIVALENCE.md,1,W1
AUD-101-DA01-根规范与科学.md,docs/validation/ACR_EQUIVALENCE.md,1,W3
AUD-101-DA01-根规范与科学.md,"docs/algorithms/{PHASE3_FITS_IMPL,PHASE3_PROJ_IMPL,PHASE3_RESAMPLE,PHASE3_RSMP_IMPL,HIPS_WRITER}.md",1,W1
AUD-101-DA01-根规范与科学.md,eng/tools/validation/phase3,1,W0
AUD-101-DA01-根规范与科学.md,工程控制/…/standards/02_科学证据分级与三重佐证标准.md,1,W3
AUD-101-DA01-根规范与科学.md,工程控制/…/standards/01,1,W3
AUD-101-DA01-根规范与科学.md,docs/plugins/algorithms_phase2/10_sampling.md,1,W1
AUD-101-DA01-根规范与科学.md,docs/governance/VERSION_NAMESPACES.md,1,W3
AUD-101-DA01-根规范与科学.md,工程控制/PROJECT-GOVERNANCE-01/TASK_LIST.md,1,W3
AUD-101-DA01-根规范与科学.md,lib/phase3_session/p3_v6_export.h,1,W3
AUD-101-DA01-根规范与科学.md,docs/research/CCD_LINEAR_DEFECT_LITERATURE.md,1,W3
AUD-101-DA01-根规范与科学.md,"docs/science/{PHASE2_UPM,PHOTOMETRY,CALIBRATION,REJECTION,DRIZZLE,UNIFIED_SCIENCE_MODEL}",1,W1
AUD-101-DA02-算法推导.md,docs/science/INTEGRATION.md,9,W1
AUD-101-DA02-算法推导.md,docs/science/PSF.md,5,W1
AUD-101-DA02-算法推导.md,docs/science/CALIBRATION.md,4,W1
AUD-101-DA02-算法推导.md,docs/algorithms/PHASE3_PROJ_IMPL.md,4,W1
AUD-101-DA02-算法推导.md,docs/science/ASTROMETRY.md,4,W1
AUD-101-DA02-算法推导.md,docs/science/PHASE3_HIPS_TO_FITS.md,4,W1
AUD-101-DA02-算法推导.md,docs/algorithms/UPM_SOLVER.md,4,W1
AUD-101-DA02-算法推导.md,docs/algorithms/anchors/ANCHOR_CONTRACT.md,3,W1
AUD-101-DA02-算法推导.md,eng/tools/docs_machine_consistency.py,3,W0
AUD-101-DA02-算法推导.md,eng/tests/backend/p3_wcs_main.cpp,3,W0
AUD-101-DA02-算法推导.md,lib/algorithms/coverage/CMakeLists.txt,2,W1
AUD-101-DA02-算法推导.md,docs/standards/STANDARDS_REGISTRY.md,2,W3
AUD-101-DA02-算法推导.md,eng/tools/doccheck/check_alg_line_anchors.py,2,W0
AUD-101-DA02-算法推导.md,docs/algorithms/REJECTION_ALGORITHMS.md,2,W1
AUD-101-DA02-算法推导.md,docs/algorithms/PHASE2_INTEGRATION.md,2,W1
AUD-101-DA02-算法推导.md,lib/algorithms/photometry/docs/algorithm.md,2,W1
AUD-101-DA02-算法推导.md,docs/algorithms/PHASE3_RESAMPLE.md,2,W1
AUD-101-DA02-算法推导.md,docs/algorithms/GAIA_QUERY.md,2,W1
AUD-101-DA02-算法推导.md,docs/modules/registry/astrocs.phase2.coverage.md,2,W2
AUD-101-DA02-算法推导.md,docs/algorithms/PHASE3_RSMP_IMPL.md,2,W1
AUD-101-DA02-算法推导.md,docs/standards/TEST_STANDARD.md,1,W3
AUD-101-DA02-算法推导.md,docs/algorithms/CALIBRATION_ALGORITHMS.md,1,W1
AUD-101-DA02-算法推导.md,docs/algorithms/COSMETIC_ALGORITHMS.md,1,W1
AUD-101-DA02-算法推导.md,lib/algorithms/calibration/cpp/cosmetic_corrector.cpp,1,W1
AUD-101-DA02-算法推导.md,eng/tests/quality/test_doc_line_anchors.py,1,W0
AUD-101-DA02-算法推导.md,docs/science/SCIENCE_SCOPE.md,1,W1
AUD-101-DA02-算法推导.md,docs/references/SCIENTIFIC_REFERENCES.md,1,W3
AUD-101-DA02-算法推导.md,docs/algorithms/NOISE_ESTIMATION.md,1,W1
AUD-101-DA02-算法推导.md,docs/interfaces/data/DATA-002_PHASE_PRODUCT_EXCHANGE.md,1,W2
AUD-101-DA02-算法推导.md,docs/interfaces/,1,W2
AUD-101-DA02-算法推导.md,docs/algorithms/PHOTOMETRIC_FIT.md,1,W1
AUD-101-DA02-算法推导.md,docs/algorithms/PLATESOLVE.md,1,W1
AUD-101-DA02-算法推导.md,docs/algorithms/STAR_PSF_ALGORITHMS.md,1,W1
AUD-101-DA02-算法推导.md,docs/algorithms/STAR_DETECTION_ALGORITHMS.md,1,W1
AUD-101-DA02-算法推导.md,docs/algorithms/ACR_EQUIVALENCE.md,1,W1
AUD-101-DA02-算法推导.md,docs/algorithms/anchors/__pycache__/check_doc_line_anchors.cpython-310.pyc,1,W1
AUD-101-DA02-算法推导.md,docs/algorithms/INTEGRATION_ALGORITHMS.md,1,W1
AUD-101-DA02-算法推导.md,eng/tools/doccheck/,1,W0
AUD-101-DA02-算法推导.md,eng/tests/unit/p2_output_semantics_test.cpp,1,W0
AUD-101-DA02-算法推导.md,docs/algorithms/HEALPIX_MAPPING.md,1,W1
AUD-101-DA02-算法推导.md,lib/algorithms/shared/healpix/,1,W1
AUD-101-DA02-算法推导.md,lib/algorithms/shared/healpix/healpix_core.cpp,1,W1
AUD-101-DA02-算法推导.md,eng/tools/check_gates_and_tolerances.py（本表即机器可校验事实源,1,W0
AUD-101-DA02-算法推导.md,eng/tools/check_gates_and_tolerances.py,1,W0
AUD-101-DA02-算法推导.md,lib/algorithms/photometry/cpp/test/gate4_dr3sp_gaiaxpy/gate2_psf_oracle.py,1,W1
AUD-101-DA02-算法推导.md,lib/algorithms/resample/p3_resample.cpp,1,W1
AUD-101-DA02-算法推导.md,lib/algorithms/star_detection/wrapper_phase1/star_detector.cpp,1,W1
AUD-101-DA02-算法推导.md,eng/tests/unit/p1wcs/p1wcs_tests_negative.cpp,1,W0
AUD-101-DA02-算法推导.md,lib/infrastructure/gaia_xpsd_client/README.md,1,W2
AUD-101-DA02-算法推导.md,docs/algorithms/PHASE2_COVERAGE.md,1,W1
AUD-101-DA02-算法推导.md,docs/plugins/algorithms_phase2/09_coverage.md,1,W1
AUD-101-DA02-算法推导.md,lib/algorithms/coverage/memory.md「W4,1,W1
AUD-101-DA02-算法推导.md,docs/api/PHASE2_API_V1.md,1,W3
AUD-101-DA02-算法推导.md,docs/plugins/…,1,W1
AUD-101-DA02-算法推导.md,lib/algorithms/resample/V6_PHASE3_RSMP_IMPL.md,1,W1
AUD-101-DA02-算法推导.md,eng/tests/backend/p3_resample_probe_main.cpp,1,W0
AUD-101-DA02-算法推导.md,lib/algorithms/resample/tests/p3rsmp/p3_resample_probe_main.cpp,1,W1
AUD-101-DA02-算法推导.md,eng/tests/unit/p3_wcs_test.cpp,1,W0
AUD-101-DA02-算法推导.md,docs/algorithms/PHASE2_MOSAIC_WRITE.md,1,W1
AUD-101-DA02-算法推导.md,lib/algorithms/coverage/tests/ivar_wiring_test.cpp,1,W1
AUD-101-DA02-算法推导.md,docs/interfaces/io/IO_002_,1,W2
AUD-101-DA02-算法推导.md,docs/algorithms/PHASE2_SESSION.md,1,W1
AUD-101-DA02-算法推导.md,docs/architecture/,1,W2
AUD-101-DA02-算法推导.md,lib/phase1_session/,1,W3
AUD-101-DA02-算法推导.md,eng/tests/unit/p2_ir_facade_test.cpp,1,W0
AUD-101-DA02-算法推导.md,docs/algorithms/PHASE3_FITS_IMPL.md,1,W1
AUD-101-DA02-算法推导.md,lib/infrastructure/aio/README.md,1,W2
AUD-101-DA02-算法推导.md,eng/tests/unit/p3_output_test.cpp,1,W0
AUD-101-DA02-算法推导.md,lib/algorithms/drizzle/…/tests/,1,W1
AUD-101-DA02-算法推导.md,docs/interfaces/data/DATA-002…§2a,1,W2
AUD-101-DA02-算法推导.md,lib/phase3_session/,1,W3
AUD-101-DA02-算法推导.md,lib/algorithms/projection/tests/p3wcs/,1,W1
AUD-101-DA02-算法推导.md,docs/modules/registry/astrocs.phase2.write.md,1,W2
AUD-101-DA02-算法推导.md,docs/algorithms/HIPS_WRITER.md,1,W1
AUD-101-DA02-算法推导.md,docs/modules/hips_p2.md,1,W2
AUD-101-DA02-算法推导.md,docs/science/CALIBRATION.md（SCI-CAL-001,1,W1
AUD-101-DA02-算法推导.md,lib/algorithms/cosmetic/（落码由,1,W1
AUD-101-DA02-算法推导.md,lib/algorithms/calibration/cpp/,1,W1
AUD-101-DA02-算法推导.md,lib/algorithms/projection/p3_proj_v6.h/.cpp,1,W1
AUD-101-DA02-算法推导.md,lib/.../module.yaml,1,W3
AUD-101-DA02-算法推导.md,docs/plugins/algorithms_phase1/02_cosmetic.md,1,W1
AUD-101-DA02-算法推导.md,docs/algorithms[^,1,W3
AUD-101-DB-03.md,docs/plugins/00_INDEX.md,8,W1
AUD-101-DB-03.md,docs/modules/star_detector.md,7,W2
AUD-101-DB-03.md,docs/modules/snr_estimator.md,6,W2
AUD-101-DB-03.md,eng/tools/quality/gen_module_readmes.py,5,W0
AUD-101-DB-03.md,eng/ci/ledgers/module_page_evidence.json,5,W0
AUD-101-DB-03.md,docs/modules/registry/astrocs.phase2.write.md,4,W2
AUD-101-DB-03.md,docs/plugins/algorithms_phase1/03_star_detection.md,3,W1
AUD-101-DB-03.md,docs/algorithms/PHASE3_RSMP_IMPL.md,3,W1
AUD-101-DB-03.md,docs/algorithms/PHASE2_SESSION.md,3,W1
AUD-101-DB-03.md,docs/modules/registry/astrocs.phase2.resample.md,3,W2
AUD-101-DB-03.md,docs/modules/registry/astrocs.phase3.resample.md,3,W2
AUD-101-DB-03.md,docs/modules/registry/module_id_migration_baseline.json,3,W2
AUD-101-DB-03.md,docs/plugins/algorithms_phase1/01_calibration.md,3,W1
AUD-101-DB-03.md,docs/plugins/algorithms_phase1/08_drizzle.md,3,W1
AUD-101-DB-03.md,docs/plugins/algorithms_phase1/,2,W1
AUD-101-DB-03.md,docs/plugins/algorithms_phase1/04_psf.md,2,W1
AUD-101-DB-03.md,docs/algorithms/STAR_DETECTION_ALGORITHMS.md,2,W1
AUD-101-DB-03.md,docs/plugins/algorithms_phase2/09_coverage.md,2,W1
AUD-101-DB-03.md,docs/algorithms/PHASE2_MOSAIC_WRITE.md,2,W1
AUD-101-DB-03.md,docs/plugins/algorithms_phase1/02_cosmetic.md,2,W1
AUD-101-DB-03.md,docs/modules/registry/astrocs.phase2.sample.md,2,W2
AUD-101-DB-03.md,docs/modules/phase2_samp.md,2,W2
AUD-101-DB-03.md,docs/modules/registry/astrocs.phase2.session.md,2,W2
AUD-101-DB-03.md,docs/modules/registry/astrocs.phase2.upm-apply.md,2,W2
AUD-101-DB-03.md,docs/modules/registry/astrocs.phase2.upm-fit.md,2,W2
AUD-101-DB-03.md,docs/modules/registry/astrocs.phase3.properties.md,2,W2
AUD-101-DB-03.md,docs/modules/registry/astrocs.phase3.resample2.md,2,W2
AUD-101-DB-03.md,docs/modules/registry/astrocs.phase3.verify.md,2,W2
AUD-101-DB-03.md,docs/modules/registry/astrocs.phase3.wcs.md,2,W2
AUD-101-DB-03.md,eng/tests/p3wcs/,2,W0
AUD-101-DB-03.md,docs/modules/registry/astrocs.phase3.writer.md,2,W2
AUD-101-DB-03.md,docs/plugins/algorithms_phase1/05_platesolve.md,2,W1
AUD-101-DB-03.md,docs/plugins/algorithms_phase2/,2,W1
AUD-101-DB-03.md,docs/science/PHASE3_HIPS_TO_FITS.md,1,W1
AUD-101-DB-03.md,lib/algorithms/coverage/,1,W1
AUD-101-DB-03.md,docs/algorithms/PLATESOLVE.md,1,W1
AUD-101-DB-03.md,docs/modules/registry/astrocs.phase2.coverage.md,1,W2
AUD-101-DB-03.md,eng/tests/backend/p3_resample_probe_main.cpp,1,W0
AUD-101-DB-03.md,eng/tests/unit/p3_wcs_test.cpp,1,W0
AUD-101-DB-03.md,docs/algorithms/PHASE3_FITS_IMPL.md,1,W1
AUD-101-DB-03.md,lib/infrastructure/aio/README.md,1,W2
AUD-101-DB-03.md,lib/algorithms/integration/→lib/algorithms/coverage/hips_p2/,1,W1
AUD-101-DB-03.md,lib/algorithms/coverage/src/sampler.cpp（1536,1,W1
AUD-101-DB-03.md,lib/algorithms/sampling/,1,W1
AUD-101-DB-03.md,docs/plugins/algorithms_phase2/11_upm.md,1,W1
AUD-101-DB-03.md,eng/tests/api/test_upm_parallel.py,1,W0
AUD-101-DB-03.md,docs/architecture/IO_AND_ATOMICITY.md,1,W2
AUD-101-DB-03.md,lib/algorithms/coverage/tools/stage2.cpp,1,W1
AUD-101-DB-03.md,eng/ci/ledgers/module_page_evidence.json(absent,1,W0
AUD-101-DB-03.md,docs/modules/phase3_rsmp.md,1,W2
AUD-101-DB-03.md,eng/tests/backend/p3_resample_probe_main.cpp（探针六模式,1,W0
AUD-101-DB-03.md,lib/algorithms/projection/p3_projection_registry.h,1,W1
AUD-101-DB-03.md,docs/modules/phase3_proj.md,1,W2
AUD-101-DB-03.md,docs/modules/phase3_fits.md,1,W2
AUD-101-DB-03.md,lib/algorithms/fits_output/p3_wcs.h,1,W1
AUD-101-DB-03.md,eng/tools/quality/check_module_id_normalization.py,1,W0
AUD-101-DB-03.md,artifacts/evidence/gates/module_id_migration_baseline.json,1,W3
AUD-101-DB-03.md,lib/algorithms/noise_snr/README.md（r1,1,W1
AUD-101-DB-03.md,docs/modules/registry/astrocs.phase1.star-detection.md…本页以冻结合同为准,1,W2
AUD-101-DB-03.md,lib/include/star_detector.h,1,W2
AUD-101-DB-03.md,eng/contracts/schemas/data_light.schema.json,1,W0
AUD-101-DB-03.md,eng/contracts/schemas/cosmetic_output.schema.json,1,W0
AUD-101-DB-03.md,eng/contracts/schemas/source_catalog.schema.json,1,W0
AUD-101-DB-03.md,eng/packaging/config/defaults.json#fields,1,W1
AUD-101-DB-03.md,eng/contracts/schemas/psf_output.schema.json,1,W0
AUD-101-DB-03.md,docs/modules/plate_solve.md,1,W2
AUD-101-DB-03.md,eng/contracts/schemas/wcs_output.schema.json,1,W0
AUD-101-DB-03.md,eng/contracts/schemas/photometry_output.schema.json,1,W0
AUD-101-DB-03.md,实验/absolute-snr/,1,W1
AUD-101-DB-03.md,eng/contracts/schemas/noise_snr_output.schema.json,1,W0
AUD-101-DB-03.md,eng/contracts/schemas/hips_product.schema.json,1,W0
AUD-101-DB-03.md,eng/contracts/schemas/coverage_output.schema.json,1,W0
AUD-101-DB-03.md,"eng/contracts/schemas/{data_light,calibration_output,cosmetic_output,source_catalog,psf_output,wcs_output,photometry_output,noise_snr_output,hips_product,manifest,coverage_output}.schema.json",1,W0
AUD-101-DB-03.md,lib/algorithms/fits_output/p3_wcs.h（166,1,W1
AUD-101-DB-03.md,lib/include/astrocs/core/artifact.h,1,W2
AUD-101-DB-03.md,lib/algorithms/projection/,1,W1
AUD-101-DB-03.md,eng/tests/unit/,1,W0
AUD-101-DB-04.md,docs/algorithms/PHASE3_PROJ_IMPL.md,6,W1
AUD-101-DB-04.md,docs/architecture/DATA_FLOW.md,5,W2
AUD-101-DB-04.md,docs/architecture/ARCHITECTURE.md,5,W2
AUD-101-DB-04.md,docs/architecture/BUILD_GRAPH.md,5,W2
AUD-101-DB-04.md,docs/architecture/IO_AND_ATOMICITY.md,4,W2
AUD-101-DB-04.md,docs/architecture/cpu/CPU_001_CAPABILITY_PROBE.md,4,W2
AUD-101-DB-04.md,lib/infrastructure/cli/exit_codes.h,3,W2
AUD-101-DB-04.md,docs/algorithms/PHASE3_RESAMPLE.md,3,W1
AUD-101-DB-04.md,docs/architecture/,3,W2
AUD-101-DB-04.md,docs/plugins/00_INDEX.md,3,W1
AUD-101-DB-04.md,docs/modules/gaia_xpsd_client.md,3,W2
