requirement_id,requirement_type,title,authority_doc,algorithm_id,module,public_api,implementation_files,implementation_symbols,test_ids,test_files,diagnostic_ids,error_codes,release_gate,status,notes
ENG-THREAD-001,science,线程模型契约（THREADING_MODEL）,docs/architecture/THREADING_MODEL.md,,phase2,p2_stage2_parse_config,lib/phase2/src/stage2_common.cpp,p2_stage2_parse_config,G1ProductionWiringTruth,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R2 有效
ENG-ERR-001,science,错误模型契约（ERROR_MODEL，退出码与 orchestrator.h 全量一致）,docs/architecture/ERROR_MODEL.md,,orchestrator,p2_upm_open;  p2_integrate_pixel,lib/phase2/src/upm.cpp;lib/phase2/src/integrate.cpp,p2_upm_open; p2_integrate_pixel,V17StatusesExplicit,lib/phase2/tests/synthetic_gate.cpp,ERR-P2-UPM-001,INVALID_INPUT;ZERO_VALID_WEIGHT,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 修正退出码表
ENG-IO-001,science,原子 I/O 契约（IO_AND_ATOMICITY）,docs/architecture/IO_AND_ATOMICITY.md,,astro_image_io,aio_upm_write_sparse;  aio_upm_open,lib/astro_image_io/src/aio_upm.cpp,aio_upm_write_sparse; aio_upm_open,SaveOpenRoundtripAndHash,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R2 有效
DATA-HIPS-SIGNAL-001,science,signal HiPS 数据语义,docs/contracts/DATA_SEMANTICS.md,,astro_image_io,aio_hips_product_begin;  aio_hips_write_signal_support_tile,lib/astro_image_io/src/hips/aio_hips_writer.cpp,aio_hips_product_begin; aio_hips_write_signal_support_tile,G3ManifestOrderCanonical,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R2 有效
DATA-HIPS-SUPPORT-001,science,support HiPS 数据语义（coverage 保守下界）,docs/contracts/DATA_SEMANTICS.md,,astro_image_io,aio_hips_product_begin,lib/astro_image_io/src/hips/aio_hips_writer.cpp,aio_hips_product_begin,G3ManifestOrderCanonical,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R2 有效
DATA-HIPS-IVAR-001,science,ivar 产品语义（1/variance）,docs/contracts/DATA_SEMANTICS.md,,snr_estimator,snr_noise_model_v1;  snr_phot_cal_quality,lib/snr_estimator/cpp/src/noise_model.cpp,snr_noise_model_v1; snr_phot_cal_quality,TEST-SNR-001,lib/snr_estimator/cpp/test/noise_model_science_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R2 有效
SCI-DRZ-001,science,Drizzle 球面重叠科学门（false_negative=0）,docs/science/DRIZZLE.md,,healpix_drizzle,processPixelSharedTiled;  compute_overlap_area_g_ctx,lib/healpix_db/healpix_drizzle/drizzle_engine.cpp;lib/healpix_db/healpix_drizzle/spherical_overlap.cpp,processPixelSharedTiled; compute_overlap_area_g_ctx,TEST-DRZ-CAND-001,lib/healpix_db/healpix_drizzle/tests/candidate_oracle_test.cpp,DRIZZLE_FALSE_NEGATIVE,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R2 有效
SCI-DRZ-014,science,variance 传播 identity（α²v）,docs/science/DRIZZLE.md,,healpix_drizzle,drizzleTiled,lib/healpix_db/healpix_drizzle/drizzle_engine.cpp,drizzleTiled,TEST-DRZ-VAR-001,lib/healpix_db/healpix_drizzle/tests/variance_propagation_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R2 有效
SCI-CAL-001,science,校准科学门（bias/dark/flat/cosmetic）,docs/science/CALIBRATION.md,,calibration,ac_generate_master_bias;  ac_generate_master_dark;  ac_generate_master_flat;  ac_calibrate_frame,lib/calibration/src/calibrator.cpp;lib/calibration/include/astro_calibration.h,ac_generate_master_bias; ac_generate_master_dark; ac_generate_master_flat; ac_calibrate_frame,TEST-CAL-001,lib/calibration/tests/test_photometry_apply.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R2 有效
SCI-AST-001,science,astrometry/WCS 科学门,docs/science/ASTROMETRY.md,,plate_solve,ipv_solve_from_detections_v1;  build_wcs,lib/plate_solve/cpp/ipv/src/ipv_entry.cpp;lib/plate_solve/cpp/ipv/src/ipv_wcs.cpp,ipv_solve_from_detections_v1; build_wcs,TEST-IPV-001,lib/plate_solve/cpp/ipv/test/test_synthetic.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R2 有效
SCI-PHOT-001,science,photometry 科学门（flux_calibrator）,docs/science/PHOTOMETRY.md,,photometric_calib,pc_calibrate_simple;  pc_calibrate_simple_with_gaia,lib/photometric_calib/cpp/src/pc_api.cpp,pc_calibrate_simple; pc_calibrate_simple_with_gaia,TEST-SPEC-001,lib/photometric_calib/cpp/test/test_spectrum_integrator.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R2 有效
SCI-NOISE-001,science,SNR/Noise 科学门 #1（noise_model_science_test 子项）,docs/science/NOISE_MODEL.md,,snr_estimator,snr_noise_model_v1;  snr_phot_cal_quality,lib/snr_estimator/cpp/src/noise_model.cpp,snr_noise_model_v1; snr_phot_cal_quality,TEST-SNR-001,lib/snr_estimator/cpp/test/noise_model_science_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-NOISE-002,science,SNR/Noise 科学门 #2（noise_model_science_test 子项）,docs/science/NOISE_MODEL.md,,snr_estimator,snr_noise_model_v1;  snr_phot_cal_quality,lib/snr_estimator/cpp/src/noise_model.cpp,snr_noise_model_v1; snr_phot_cal_quality,TEST-SNR-001,lib/snr_estimator/cpp/test/noise_model_science_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-NOISE-003,science,SNR/Noise 科学门 #3（noise_model_science_test 子项）,docs/science/NOISE_MODEL.md,,snr_estimator,snr_noise_model_v1;  snr_phot_cal_quality,lib/snr_estimator/cpp/src/noise_model.cpp,snr_noise_model_v1; snr_phot_cal_quality,TEST-SNR-001,lib/snr_estimator/cpp/test/noise_model_science_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-NOISE-004,science,SNR/Noise 科学门 #4（noise_model_science_test 子项）,docs/science/NOISE_MODEL.md,,snr_estimator,snr_noise_model_v1;  snr_phot_cal_quality,lib/snr_estimator/cpp/src/noise_model.cpp,snr_noise_model_v1; snr_phot_cal_quality,TEST-SNR-001,lib/snr_estimator/cpp/test/noise_model_science_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-NOISE-005,science,SNR/Noise 科学门 #5（noise_model_science_test 子项）,docs/science/NOISE_MODEL.md,,snr_estimator,snr_noise_model_v1;  snr_phot_cal_quality,lib/snr_estimator/cpp/src/noise_model.cpp,snr_noise_model_v1; snr_phot_cal_quality,TEST-SNR-001,lib/snr_estimator/cpp/test/noise_model_science_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-NOISE-006,science,SNR/Noise 科学门 #6（noise_model_science_test 子项）,docs/science/NOISE_MODEL.md,,snr_estimator,snr_noise_model_v1;  snr_phot_cal_quality,lib/snr_estimator/cpp/src/noise_model.cpp,snr_noise_model_v1; snr_phot_cal_quality,TEST-SNR-001,lib/snr_estimator/cpp/test/noise_model_science_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-NOISE-007,science,SNR/Noise 科学门 #7（noise_model_science_test 子项）,docs/science/NOISE_MODEL.md,,snr_estimator,snr_noise_model_v1;  snr_phot_cal_quality,lib/snr_estimator/cpp/src/noise_model.cpp,snr_noise_model_v1; snr_phot_cal_quality,TEST-SNR-001,lib/snr_estimator/cpp/test/noise_model_science_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-NOISE-008,science,SNR/Noise 科学门 #8（noise_model_science_test 子项）,docs/science/NOISE_MODEL.md,,snr_estimator,snr_noise_model_v1;  snr_phot_cal_quality,lib/snr_estimator/cpp/src/noise_model.cpp,snr_noise_model_v1; snr_phot_cal_quality,TEST-SNR-001,lib/snr_estimator/cpp/test/noise_model_science_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-NOISE-009,science,SNR/Noise 科学门 #9（noise_model_science_test 子项）,docs/science/NOISE_MODEL.md,,snr_estimator,snr_noise_model_v1;  snr_phot_cal_quality,lib/snr_estimator/cpp/src/noise_model.cpp,snr_noise_model_v1; snr_phot_cal_quality,TEST-SNR-001,lib/snr_estimator/cpp/test/noise_model_science_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-NOISE-010,science,SNR/Noise 科学门 #10（noise_model_science_test 子项）,docs/science/NOISE_MODEL.md,,snr_estimator,snr_noise_model_v1;  snr_phot_cal_quality,lib/snr_estimator/cpp/src/noise_model.cpp,snr_noise_model_v1; snr_phot_cal_quality,TEST-SNR-001,lib/snr_estimator/cpp/test/noise_model_science_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-NOISE-011,science,SNR/Noise 科学门 #11（noise_model_science_test 子项）,docs/science/NOISE_MODEL.md,,snr_estimator,snr_noise_model_v1;  snr_phot_cal_quality,lib/snr_estimator/cpp/src/noise_model.cpp,snr_noise_model_v1; snr_phot_cal_quality,TEST-SNR-001,lib/snr_estimator/cpp/test/noise_model_science_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-NOISE-012,science,SNR/Noise 科学门 #12（noise_model_science_test 子项）,docs/science/NOISE_MODEL.md,,snr_estimator,snr_noise_model_v1;  snr_phot_cal_quality,lib/snr_estimator/cpp/src/noise_model.cpp,snr_noise_model_v1; snr_phot_cal_quality,TEST-SNR-001,lib/snr_estimator/cpp/test/noise_model_science_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-NOISE-013,science,SNR/Noise 科学门 #13（noise_model_science_test 子项）,docs/science/NOISE_MODEL.md,,snr_estimator,snr_noise_model_v1;  snr_phot_cal_quality,lib/snr_estimator/cpp/src/noise_model.cpp,snr_noise_model_v1; snr_phot_cal_quality,TEST-SNR-001,lib/snr_estimator/cpp/test/noise_model_science_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-NOISE-014,science,SNR/Noise 科学门 #14（noise_model_science_test 子项）,docs/science/NOISE_MODEL.md,,snr_estimator,snr_noise_model_v1;  snr_phot_cal_quality,lib/snr_estimator/cpp/src/noise_model.cpp,snr_noise_model_v1; snr_phot_cal_quality,TEST-SNR-001,lib/snr_estimator/cpp/test/noise_model_science_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-NOISE-015,science,SNR/Noise 科学门 #15（noise_model_science_test 子项）,docs/science/NOISE_MODEL.md,,snr_estimator,snr_noise_model_v1;  snr_phot_cal_quality,lib/snr_estimator/cpp/src/noise_model.cpp,snr_noise_model_v1; snr_phot_cal_quality,TEST-SNR-001,lib/snr_estimator/cpp/test/noise_model_science_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-UPM-001,science,UPM 科学门 #1（PHASE2_UPM 语义集）,docs/science/PHASE2_UPM.md,,phase2,p2_upm_build;  p2_upm_calibrate_block,lib/phase2/src/upm.cpp,p2_upm_build; p2_upm_calibrate_block,S0IdentityCalibrationNoChange;S1KnownAdditiveFieldRecovered;S2LowSnrDoesNotPullHighSnr;SaveOpenRoundtripAndHash,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
TEST-PR-UPM-001,science,PR#1 frame-binding 测试 #1,docs/science/PHASE2_UPM.md,,phase2,p2_upm_save;  p2_upm_open,lib/phase2/src/upm.cpp,p2_upm_save; p2_upm_open,OpenSavePreservesFrameParameterBinding,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-UPM-002,science,UPM 科学门 #2（PHASE2_UPM 语义集）,docs/science/PHASE2_UPM.md,,phase2,p2_upm_build;  p2_upm_calibrate_block,lib/phase2/src/upm.cpp,p2_upm_build; p2_upm_calibrate_block,S0IdentityCalibrationNoChange;S1KnownAdditiveFieldRecovered;S2LowSnrDoesNotPullHighSnr;SaveOpenRoundtripAndHash,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
TEST-PR-UPM-002,science,PR#1 frame-binding 测试 #2,docs/science/PHASE2_UPM.md,,phase2,p2_upm_save;  p2_upm_open,lib/phase2/src/upm.cpp,p2_upm_save; p2_upm_open,UpmPersistAllPermutations,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-UPM-003,science,UPM 科学门 #3（PHASE2_UPM 语义集）,docs/science/PHASE2_UPM.md,,phase2,p2_upm_build;  p2_upm_calibrate_block,lib/phase2/src/upm.cpp,p2_upm_build; p2_upm_calibrate_block,S0IdentityCalibrationNoChange;S1KnownAdditiveFieldRecovered;S2LowSnrDoesNotPullHighSnr;SaveOpenRoundtripAndHash,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
TEST-PR-UPM-003,science,PR#1 frame-binding 测试 #3,docs/science/PHASE2_UPM.md,,phase2,p2_upm_save;  p2_upm_open,lib/phase2/src/upm.cpp,p2_upm_save; p2_upm_open,UpmPersistRandomStableIds,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-UPM-004,science,UPM 科学门 #4（PHASE2_UPM 语义集）,docs/science/PHASE2_UPM.md,,phase2,p2_upm_build;  p2_upm_calibrate_block,lib/phase2/src/upm.cpp,p2_upm_build; p2_upm_calibrate_block,S0IdentityCalibrationNoChange;S1KnownAdditiveFieldRecovered;S2LowSnrDoesNotPullHighSnr;SaveOpenRoundtripAndHash,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
TEST-PR-UPM-004,science,PR#1 frame-binding 测试 #4,docs/science/PHASE2_UPM.md,,phase2,p2_upm_save;  p2_upm_open,lib/phase2/src/upm.cpp,p2_upm_save; p2_upm_open,UpmPersistSparseDenseBinding,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-UPM-005,science,UPM 科学门 #5（PHASE2_UPM 语义集）,docs/science/PHASE2_UPM.md,,phase2,p2_upm_build;  p2_upm_calibrate_block,lib/phase2/src/upm.cpp,p2_upm_build; p2_upm_calibrate_block,S0IdentityCalibrationNoChange;S1KnownAdditiveFieldRecovered;S2LowSnrDoesNotPullHighSnr;SaveOpenRoundtripAndHash,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
TEST-PR-UPM-005,science,PR#1 frame-binding 测试 #5,docs/science/PHASE2_UPM.md,,phase2,p2_upm_save;  p2_upm_open,lib/phase2/src/upm.cpp,p2_upm_save; p2_upm_open,UpmPersistRoundtripChainNoDrift,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-UPM-006,science,UPM 科学门 #6（PHASE2_UPM 语义集）,docs/science/PHASE2_UPM.md,,phase2,p2_upm_build;  p2_upm_calibrate_block,lib/phase2/src/upm.cpp,p2_upm_build; p2_upm_calibrate_block,S0IdentityCalibrationNoChange;S1KnownAdditiveFieldRecovered;S2LowSnrDoesNotPullHighSnr;SaveOpenRoundtripAndHash,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
TEST-PR-UPM-006,science,PR#1 frame-binding 测试 #6,docs/science/PHASE2_UPM.md,,phase2,p2_upm_save;  p2_upm_open,lib/phase2/src/upm.cpp,p2_upm_save; p2_upm_open,UpmPersistInsertionOrderIndependent,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-UPM-007,science,UPM 科学门 #7（PHASE2_UPM 语义集）,docs/science/PHASE2_UPM.md,,phase2,p2_upm_build;  p2_upm_calibrate_block,lib/phase2/src/upm.cpp,p2_upm_build; p2_upm_calibrate_block,S0IdentityCalibrationNoChange;S1KnownAdditiveFieldRecovered;S2LowSnrDoesNotPullHighSnr;SaveOpenRoundtripAndHash,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
TEST-PR-UPM-007,science,PR#1 frame-binding 测试 #7,docs/science/PHASE2_UPM.md,,phase2,p2_upm_save;  p2_upm_open,lib/phase2/src/upm.cpp,p2_upm_save; p2_upm_open,UpmPersistMosaicSeamEquivalence,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-UPM-008,science,UPM 科学门 #8（PHASE2_UPM 语义集）,docs/science/PHASE2_UPM.md,,phase2,p2_upm_build;  p2_upm_calibrate_block,lib/phase2/src/upm.cpp,p2_upm_build; p2_upm_calibrate_block,S0IdentityCalibrationNoChange;S1KnownAdditiveFieldRecovered;S2LowSnrDoesNotPullHighSnr;SaveOpenRoundtripAndHash,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
TEST-PR-UPM-008,science,PR#1 frame-binding 测试 #8,docs/science/PHASE2_UPM.md,,phase2,p2_upm_save;  p2_upm_open,lib/phase2/src/upm.cpp,p2_upm_save; p2_upm_open,UpmPersistRoundtripChainNoDrift,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-UPM-009,science,UPM 科学门 #9（PHASE2_UPM 语义集）,docs/science/PHASE2_UPM.md,,phase2,p2_upm_build;  p2_upm_calibrate_block,lib/phase2/src/upm.cpp,p2_upm_build; p2_upm_calibrate_block,S0IdentityCalibrationNoChange;S1KnownAdditiveFieldRecovered;S2LowSnrDoesNotPullHighSnr;SaveOpenRoundtripAndHash,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
TEST-PR-UPM-009,science,PR#1 frame-binding 测试 #9,docs/science/PHASE2_UPM.md,,phase2,p2_upm_save;  p2_upm_open,lib/phase2/src/upm.cpp,p2_upm_save; p2_upm_open,UpmPersistInsertionOrderIndependent,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
SCI-UPM-010,science,UPM 科学门 #10（PHASE2_UPM 语义集）,docs/science/PHASE2_UPM.md,,phase2,p2_upm_build;  p2_upm_calibrate_block,lib/phase2/src/upm.cpp,p2_upm_build; p2_upm_calibrate_block,S0IdentityCalibrationNoChange;S1KnownAdditiveFieldRecovered;S2LowSnrDoesNotPullHighSnr;SaveOpenRoundtripAndHash,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
TEST-PR-UPM-010,science,PR#1 frame-binding 测试 #10,docs/science/PHASE2_UPM.md,,phase2,p2_upm_save;  p2_upm_open,lib/phase2/src/upm.cpp,p2_upm_save; p2_upm_open,UpmPersistInvalidModelRejected,lib/phase2/tests/synthetic_gate.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 展开范围行
TEST-UPMW-001,science,UPM 权重门 UPMW-001（V19R3）,docs/science/PHASE2_UPM.md,,phase2,p2_upm_raw_weight;  p2_upm_build,lib/phase2/src/upm.cpp,p2_upm_raw_weight; p2_upm_build,UPMW001SnrInvariance,lib/phase2/tests/synthetic_gate.cpp;lib/healpix_db/healpix_drizzle/tests/control_median_mc_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 冻结测试门
TEST-UPMW-002,science,UPM 权重门 UPMW-002（V19R3）,docs/science/PHASE2_UPM.md,,phase2,p2_upm_raw_weight;  p2_upm_build,lib/phase2/src/upm.cpp,p2_upm_raw_weight; p2_upm_build,UPMW002ControlIvarRatio,lib/phase2/tests/synthetic_gate.cpp;lib/healpix_db/healpix_drizzle/tests/control_median_mc_test.cpp,-,-,PRE_RELEASE_ENGINEERING_FOUNDATION,VERIFIED,V19R3 冻结测试门
