task_id,gate,title,depends_on,platform,change_class,heavy_compute,commit_required,scope,acceptance,status
P2-006,G5,组装Canonical Phase2 Pipeline,P2-003;P2-004;P2-005,Linux,architecture,yes,yes,coverage/sampler/upm/reject/integrate/write,Registry/IR执行; artifact chain; ACR absent; trace exact,PASS
P2-007,G5,Phase2接缝与资源联合门,P2-006;MON-003,Linux,validation,yes,yes,production synthetic >=10s,seam metrics pass and CPU/resource pass in same run,PASS
P3-001,G6,核实并冻结Phase3科学算法API,CHK-003,Linux,science,no,yes,HiPS/WCS/domain/unit/order/interpolation/coverage,SCI->ALG推导; Dec极区条件正确; primary references; no contradiction,PASS
P3-002,G6,实现properties order unit与请求语义,P3-001;RT-007,Linux,science,yes,yes,properties; order selection; bitpix/max memory,order真正驱动采样; BUNIT传播; invalid/missing显式; no fixed 20,PASS
P3-003,G6,实现Runtime并行tile resampler,P3-002;RT-006;CPU-004,Linux+Windows,architecture,yes,yes,output tiles; per-worker cache; ordered writer,无serial pixel production loop; lease>=2; no shared cache race,PASS
P3-004,G6,建立独立球面重采样Oracle,P3-003,Linux,science,yes,yes,nearest/bilinear; cross-tile; RA wrap; boundaries,Oracle不调用production lookup/WCS; constant/analytic/impulse/continuity,PASS
P3-005,G6,修复FITS输出校验与provenance,P3-001;RT-007,Linux,science,yes,yes,BITPIX/BUNIT/WCS/checksum/atomicity/version/run/missing,CFITSIO checksum verify; mismatch hard fail; fsync order; reopen independent,PASS
P3-006,G6,组装Phase3生产Pipeline与资源门,P3-004;P3-005;MON-003,Linux,validation,yes,yes,registry/IR/session removal; full synthetic,SCI/ALG/API/CODE/TEST闭合; 2核利用达标; status IMPLEMENTED,PASS
DOC-001,G7,重建合同front matter与完整图,P1-004;P2-007;P3-006,Linux,documentation,no,yes,SCI ALG DATA ARCH API MOD TEST,每active模块完整链; 双向依赖; DRAFT不得宣称implemented,PASS
DOC-002,G7,重建当前版本追溯矩阵,RT-009;P1-004;P2-007;P3-006,Linux,documentation,no,yes,current source only; symbols/tests/evidence,无V5默认表/硬编码计数; 每行路径符号真实,PASS
DOC-003,G7,重建全公共API AST语义检查,DOC-001,Linux,documentation,no,yes,all public headers; ABI/layout/signatures; semantics,参数类型/cv/noexcept/layout全比; 占位字段拒绝; negative fixture,PASS
DOC-004,G7,补齐所有生产模块README,DOC-001,Linux,documentation,no,yes,core/io/runtime/cpu/P1/P2/P3 modules,职责/端口/合同/符号/并行/内存/错误/test齐,PASS
DOC-005,G7,重建L0负责人文档,DOC-002;DOC-003;DOC-004,Linux,documentation,no,yes,REVIEW plus 5 docs,状态由ledger/evidence生成; owner只读L0可判断风险,PASS
DOC-006,G7,统一注释命名与代码可读性,DOC-005,Linux,quality,no,yes,comments; vague names; CLI split; dead code,注释准确无审计历史; main thin; warnings fixed; no unrelated format,PASS
QA-001,G7,完成零警告静态分析,DOC-006,Linux,quality,no,yes,GCC/Clang warnings; clang-tidy/cppcheck scoped,自有生产源码zero warning; P0/P1 static findings closed,PASS
QA-002,G7,完成sanitizer与线程安全,QA-001;RT-003,Linux,quality,yes,yes,ASan UBSan LSan targeted TSan,所有权/并发生产链覆盖; 不禁LSan; suppressions逐项,PASS
QA-003,G7,完成依赖许可SBOM与可复现构建,QA-002,Linux,quality,no,yes,locks; licenses; flags; build IDs,双平台依赖清单; provider hashes; reproducibility metadata,PASS
LNX-001,G8,Linux干净GCC与Clang构建,QA-001;P3-006,Linux,validation,no,yes,fresh dirs; Release/Debug; CLI/package,完整自有源码; zero warning; no hidden old build,PASS
LNX-002,G8,Linux全合成科学测试,LNX-001,Linux,validation,yes,yes,all production oracles; pipeline integration,机器summary逐test; no CHECK true; no rerun masking,PASS
LNX-003,G8,Linuxsanitizer现场复验,LNX-002;QA-002,Linux,validation,yes,yes,production paths under sanitizers,ASan/UBSan/LSan/targeted TSan pass; hashes current,PASS
LNX-004,G8,Linux 2c2g资源恢复验证,LNX-003;MON-003,Linux,validation,yes,yes,P1/P2/P3 >=10s; cancel/resume; memory pressure,real samples summaries balance; no low utilization; bounded RAM,PASS
LNX-005,G8,尝试少量真实数据辅助冒烟,LNX-004,Linux,validation,yes,yes,Fatduck hashed 1R/panel+masters if online,online则P1/P2/P3 smoke; offline记录NOT_RUN不阻塞Windows; 禁伪PASS实测,WAITING_WINDOWS
WIN-001,G9,Windows在线探测与MSVC干净构建,LNX-004;QA-003,Windows,validation,no,yes,SSH timeouts; clean Release/Debug,online build pass; offline WAITING_WINDOWS; no Linux stop,WAITING_WINDOWS
WIN-002,G9,Windows CPU provider benchmark,WIN-001;CPU-003,Windows,validation,yes,yes,baseline/AVX2/AVX512; memory/thread/block,correctness before timing; profile verified; actual DLL loaded,WAITING_WINDOWS
WIN-003,G9,Windows全合成科学资源验证,WIN-001;LNX-002,Windows,validation,yes,yes,same production registry/oracles,MSVC tolerance; no serial heavy; resource gates pass,WAITING_WINDOWS
WIN-004,G9,Windows少量真实三板块验证,WIN-002;WIN-003,Windows,validation,yes,yes,1 hashed R/panel plus masters,P1->P2->P3 artifact identity; seam/units/resources,WAITING_WINDOWS
WIN-005,G9,Windows银心32R最终一次全链,WIN-004;DOC-005,Windows,validation,yes,yes,11+11+10 frozen manifest; final candidate,all inputs contribute; numerical/resource/artifact gates; no rerun unless failed cause fixed,WAITING_WINDOWS
WIN-006,G9,生成真实HiPS与Phase3审核视图,WIN-005;P3-006,Windows,validation,yes,yes,locked center/FOV/stretch; seam/support/FITS,views from WIN-005 artifacts/current commit; metrics and WCS verify,WAITING_WINDOWS
REL-001,G10,生成Linux Windows alpha.2发布包,WIN-006;LNX-004;QA-003;VER-001,Linux+Windows,release,no,yes,single CLI; provider DLL/so; configs/licenses,clean install/run smoke; checksums; no data/build/history,WAITING_WINDOWS
REL-002,G10,最终文档与真相校验,REL-001;DOC-006,Linux,release,no,yes,L0-L3; version/API/IR/status,all current; no false implementation; no P0/P1 open,NOT_STARTED
REL-003,G10,生成严格白名单审核包,REL-002,Linux,release,no,yes,full self-owned source; summaries; evidence; previews,validate_return_audit PASS; source/evidence/artifact commit equal,NOT_STARTED
REL-004,G10,负责人最终视觉与发布决定,REL-003,Owner,release,no,no,six actual views; limits; decision,owner explicit APPROVE/REJECT; Agent cannot execute or pre-pass,NOT_STARTED
