task_id,title,owner_id,lane,depends_on,spec_ref,write_scope,timeout_sec,domain,status
CLI-001B,CLI去科学静态链接薄化,SA-CLI,rw-mod,CLI-001,tasks/CLI-001B.md,cli/;CMakeLists.txt;tests/,10800,architecture,NOT_STARTED
CI-001B,workflow与注册表联动核死,SA-CI,rw-ci,CI-REG-002,tasks/CI-001B.md,.github/workflows/;ci/,7200,ci,PASSED
GOV-AGENTS-001,AGENTS.md 宪章要素映射对齐,SA-DOC,repo-write,,tasks/GOV-AGENTS-001.md,AGENTS.md,3600,governance,IN_PROGRESS
CI-DATA-REG-001,DATA 产物语义登记对齐,SA-DOC,rw-docs,,tasks/CI-DATA-REG-001.md,docs/contracts/;docs/science/,3600,ci,NOT_STARTED
CI-VER-CHK-001,版本一致性检查器排除标准条款号,SA-CI,rw-tools,,tasks/CI-VER-CHK-001.md,tools/check_version_consistency.py;tests/version/,5400,ci,NOT_STARTED
WCS-PATH-001,p1wcs astropy 交叉测试环境无关化,SA-WCS,rw-tests,,tasks/WCS-PATH-001.md,tests/unit/p1wcs/,5400,testing,NOT_STARTED
ARCH-TB-001,线程预算登记与库存生成器幂等,SA-RT,rw-tools,,tasks/ARCH-TB-001.md,tools/arch/;lib/calibration/src/;lib/drizzle/src/;lib/cosmetic/src/;tests/arch/,7200,architecture,IN_PROGRESS
CORE-RACE-001,p1001 链并发撕裂读修复,SA-P1,rw-lib,,tasks/CORE-RACE-001.md,lib/core/src/module_adapters.cpp;tests/unit/,10800,science,NOT_STARTED
CON-COMMENT-001,测试头 invariant 科学 ID 锚补全,SA-DOC,rw-tools,,tasks/CON-COMMENT-001.md,lib/phase1_session/tests/;lib/astro_image_io/tests/;lib/calibration/tests/;tools/quality/contracts/,7200,docs,NOT_STARTED
CI-WIN-001,Windows 构建断链修复,SA-CI,rw-ci,,tasks/CI-WIN-001.md,lib/gaia_xpsd_client/;.github/workflows/,7200,ci,NOT_STARTED
CI-BACKEND-001,CI 镜像依赖与工具链 PATH 对齐,SA-CI,rw-ci,,tasks/CI-BACKEND-001.md,.github/workflows/;ci/,7200,ci,NOT_STARTED
CI-REPAIR-002,CI 修复常驻线 round2,SA-CI,rw-ci,CI-REPAIR-001,tasks/CI-REPAIR-002.md,run/ci_repair/;ci/;tools/quality/,7200,ci,NOT_STARTED
CI-002,同SHA双虚拟机终验与候选,FG-000,read-only,CI-001B|CI-BASELINE-001|CI-REPAIR-002|CI-WIN-001|CI-BACKEND-001|CORE-RACE-001|SCI-F2-001|SCI-F3-001|RT-001A|RT-001B|MOD-001B|CLI-001B,tasks/CI-002.md,,21600,ci,NOT_STARTED
REAL-001,Linux最终SHA全量真实数据终验,SA-REAL,realdata,CI-002|REAL-000|STD-F1-ADJ,tasks/REAL-001.md,run/;artifacts/;reports/,259200,realdata,NOT_STARTED
VIS-001,M42与银心固定参数图像初审,SA-VIS,repo-write,REAL-001,tasks/VIS-001.md,reports/;artifacts/;run/,10800,realdata,NOT_STARTED
WIN-000,Fatduck数据面准备与裁决执行,SA-WIN,windows,CI-002,tasks/WIN-000.md,,10800,windows,NOT_STARTED
WIN-001,Fatduck同候选正式平台复验,SA-WIN,windows,WIN-000,tasks/WIN-001.md,,86400,windows,NOT_STARTED
DOC-001,收敛L0与机器追踪状态,SA-DOC,rw-docs,VIS-001|WIN-001,tasks/DOC-001.md,REVIEW.md;docs/;memory.md;CHANGELOG.md,5400,docs,NOT_STARTED
ARCH-AUDIT-P1,P1-001独立架构抽验,SA-AUD,read-only,,tasks/ARCH-AUDIT-P1.md,,7200,audit,PASSED
BASE-UTIL-001,P2利用率低独立归因诊断,SA-RT,read-only,,tasks/BASE-UTIL-001.md,run/,7200,performance,PASSED
AUD-001,独立复核P0P1和发布门禁,SA-AUD,read-only,ARCH-AUDIT-P1|DOC-001|BASE-UTIL-001|P1-HIPS-DIGEST-001,tasks/AUD-001.md,,7200,audit,NOT_STARTED
PACK-001,生成并fresh-extract验证审核包,FG-000,rw-mod,AUD-001,tasks/PACK-001.md,artifacts/;reports/;engineering/,5400,release,NOT_STARTED
