"id","severity","title","object","v6_task","independent","impact","recommendation"
"m-03","MINOR","phase2 psfsw 内存路径的 variance_from_weight 守卫为死代码（仅磁盘记录路径有效）","lib/photometric_calib/cpp/src/psfsw.cpp; lib/phase2_int/v6/src/phase2_integrate.cpp:1249","IMPL-P1-PSFW-001 / P2-INTEGRATE-001","true","内存路径守卫不会触发，对内存构造的 psfsw 方差无独立防伪；但产品记录门有效，风险有限。","或在 propagate_covariance 显式置位并加负向测试，或删除冗余检查并注明真正门在记录校验。"
"m-04","MINOR","PSFW 冻结核研究文档仍写 concentration 单位 signal/像素，与 schema/代码 ADU/px² 不一致","docs/science/v6/psfw/PSFW_FREEZE_RESEARCH.md:144","DOC-CONVERGE-001","true","同一包内单位文本两处不一致；DOC-CONVERGE 只修了 ALG-P1 spec，未同步该研究文档与 frozen 渲染。","统一单位文本（交 owner 确认后）。"
"m-05","MINOR","仓库存在预存 ci-fix 分支与 45 个注册 worktree（本包未创建，但违反 §14.1）",".git; git worktree list","无（预存）","true","§14.1 禁止分支/worktree；属预存治理债，不由本包造成。","owner 批准后清理 stale worktree 与已并入分支。"
"i-01","INFO","基线一致性与提交纪律：HEAD==origin/main，V6 区间无 merge/amend/rebase 迹象，每任务单 commit","git","全局","true","§14.5 提交纪律（main-only、无破坏性 git）从历史看成立。","保持。"
"i-02","INFO","33 个任务提交改动集 ⊆ 声明 write_scope（控制器台账更新除外）","TASK_LEDGER.csv write_scope; git show --name-only","全局","true","写域纪律在提交层成立，无 git add -A 迹象（12 项预存差异保持未提交）。","保持。"
"i-03","INFO","V6 测试确已进入根构建图：独立 configure/build rc=0，79/79 V6 ctest 全过，无零用例/skip-only","CMakeLists.txt; ctest","AR-033 / RUNTIME-CI-001","true","AR-033 构建面注册属实；V6 测试非 skip-only。","保持。"
"i-04","INFO","12 项预存 tracked 差异确与本包无关","git status","无","true","与 V6 write_scope 无交集，保持未提交，符合 C-009 陈述。","保持。"
"i-05","INFO","发布口径诚实：VERSION 未提升，无 RELEASED/已发布声明，verdict announce_release=false","VERSION; reports/v6/release-review; docs/owner/RELEASE_STATUS.md","DOC-CONVERGE-001","true","未越权宣布发布。","保持。"
"i-06","INFO","冻结合同 96 条款计数可复现：39 FROZEN / 49 PENDING_OWNER_SIGNOFF / 8 OPEN","docs/contracts/v6/frozen/astrocs.v6.contract-freeze.v1.json","CONTRACT-FREEZE-001","true","计数陈述属实。","保持。"
"i-07","INFO","Windows CI 失败根因 UNKNOWN（无 token 取回 win-stage-*.log），FD-F-003 为候选","reports/v6/windows/WIN-VERIFY-001.md; FD-F-003","WIN-VERIFY-001","true","根因未定位；报告如实登记，未编造。","有 token 环境取回 Windows CI 日志定位；修复 0 用例门。"
"i-08","INFO","关键冻结合式独立数值复算 17/17 PASS，实现代码逐项符号/指数/归一一致","docs/frozen; lib/snr_estimator/cpp/src/information_weight.cpp; lib/healpix_db/healpix_drizzle/v6_drizzle_science.cpp; lib/photometric_calib/cpp/src/psfsw.cpp","IMPL-* / CONTRACT-FREEZE-001","true","冻结公式与实现结构一致，未发现符号/指数/归一错误。","保持。"
